# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 8
# run: 009973f8-eed4-45c2-93a2-02baaffc4296
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	29	7656	6670	53360	0	0	-1165.0204486091993	-1165.0204486091993	-1165.0204486091993	-1165.0204486091993	-1365.1875029173711,-1365.1875029173711,-1267.0012484910642,-1265.0106816401117,-1265.0106816401117,-1265.0106816401117,-1265.0106816401117,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1167.0160983926917,-1165.0204486091993,-1165.0204486091993	0.9960270797844731	-1165.0204486091993	0	true	271
26	16	16	14	3668	3220	25760	0	0	-1160.5396073631089	-1160.5396073631089	-1160.5396073631089	-1160.5396073631089	-1162.8827824286125,-1162.8827824286125,-1162.8827824286125,-1162.8827824286125,-1162.0602409306755,-1161.238821432203,-1161.238821432203,-1161.238821432203,-1161.238821432203,-1161.238821432203,-1161.238821432203,-1161.238821432203,-1160.5396073631089,-1160.5396073631089	0.995805594344244	-1160.5396073631089	0	true	34
27	16	16	1	256	230	1840	0	0	-1158.6608296821478	-1158.6608296821478	-1158.6608296821478	-1158.6608296821478	-1158.6608296821478	0.9955956967707507	-1158.6608296821478	0	true	12
28	17	17	10	2540	2300	18400	0	0	-1156.8411620100537	-1156.8411620100537	-1156.8411620100537	-1156.8411620100537	-1157.7580694320604,-1157.7580694320604,-1157.7580694320604,-1157.7580694320604,-1157.7580694320604,-1156.9297683519117,-1156.9297683519117,-1156.9297683519117,-1156.8411620100537,-1156.8411620100537	0.9952876130456717	-1156.8411620100537	0	true	14
29	18	18	11	2750	2530	20240	0	0	-1155.8356102318694	-1155.8356102318694	-1155.8356102318694	-1155.8356102318694	-1206.8089225910132,-1206.0302798241148,-1205.8356099658672,-1205.8356099658672,-1205.8356099658672,-1205.8356099658672,-1205.8356099658672,-1205.8356099658672,-1205.8356099658672,-1155.8356102318694,-1155.8356102318694	0.995024126157873	-1155.8356102318694	0	true	14
30	18	18	16	3936	3680	29440	0	0	-1156.1875657560372	-1156.1875657560372	-1156.1875657560372	-1156.1875657560372	-1157.005453070611,-1157.005453070611,-1157.005453070611,-1157.005453070611,-1157.005453070611,-1157.005453070611,-1157.005453070611,-1157.005453070611,-1157.005453070611,-1157.005453070611,-1157.005453070611,-1157.005453070611,-1157.005453070611,-1157.005453070611,-1156.1875657560372,-1156.1875657560372	0.9947478816502295	-1156.1875657560372	0	true	86
31	20	20	6	1440	1380	11040	0	0	-1155.427075386623	-1155.427075386623	-1155.427075386623	-1155.427075386623	-1155.8036140991735,-1155.8036140991735,-1155.8036140991735,-1155.8036140991735,-1155.427075386623,-1155.427075386623	0.9943563799065661	-1155.427075386623	0	true	12
32	22	22	38	8892	8740	69920	0	0	-1156.2517770770698	-1156.2517770770698	-1156.2517770770698	-1156.2517770770698	-1161.3997166761671,-1161.3997166761671,-1161.3997166761671,-1161.3997166761671,-1161.3997166761671,-1161.3997166761671,-1161.3997166761671,-1161.3997166761671,-1161.3997166761671,-1159.8594214966383,-1157.1326462248394,-1157.1326462248394,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.4503206672093,-1156.3397883948985,-1156.3189067494295,-1156.2517770770698,-1156.2517770770698	0.9933681213033975	-1156.2517770770698	0	true	21
33	23	23	1	232	230	1840	0	0	-1154.769151983884	-1154.769151983884	-1154.769151983884	-1154.769151983884	-1154.769151983884	0.9931903919404012	-1154.769151983884	0	true	10
34	25	25	21	4788	4830	38640	0	0	-1056.1087632747822	-1056.1087632747822	-1056.1087632747822	-1056.1087632747822	-1206.8500007463767,-1206.8500007463767,-1206.8500007463767,-1156.8500051671106,-1156.8500051671106,-1156.8500051671106,-1156.8500051671106,-1155.8850877422333,-1155.8850877422333,-1155.8850877422333,-1155.8850877422333,-1155.0766797211554,-1155.0766797211554,-1155.0766797211554,-1155.0766797211554,-1155.0766797211554,-1155.0766797211554,-1155.0766797211554,-1155.0766797211554,-1056.1087632747822,-1056.1087632747822	0.992750053004438	-1056.1087632747822	0	true	15
