# solver: Greedy
# max_time: 300000
# main_solver: Greedy
# random.seed: 14
# run: 020a9e97-2da1-4e9a-bd37-ce7291a33f19
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	1	0	0	0	0	0	-1369.1837890740862	-1369.1837890740862	-1165.1319495305086	-1165.1319495305086	-1369.1837890740862	0.9968457241868389	-1369.1837890740862	3	true	107
26	15	15	1	0	0	0	0	0	-1364.6062227439036	-1364.6062227439036	-1161.755091835089	-1161.755091835089	-1364.6062227439036	0.9960270797844731	-1364.6062227439036	3	true	14
27	15	15	1	0	0	0	0	0	-1363.4159899834985	-1363.4159899834985	-1160.4392546708093	-1160.4392546708093	-1363.4159899834985	0.9960270797844731	-1363.4159899834985	3	true	10
28	15	15	1	0	0	0	0	0	-1362.3572012739544	-1362.3572012739544	-1159.2408185893287	-1159.2408185893287	-1362.3572012739544	0.9960270797844731	-1362.3572012739544	3	true	10
29	16	16	1	0	0	0	0	0	-1410.0836116738558	-1410.0836116738558	-1158.265489512847	-1158.265489512847	-1410.0836116738558	0.995805594344244	-1410.0836116738558	2	true	10
30	16	15	1	0	0	0	0	0	-1414.710521096893	-1414.710521096893	-1158.9476851066343	-1158.9476851066343	-1414.710521096893	0.99547682061105	-1414.710521096893	4	true	10
31	17	16	1	0	0	0	0	0	-1363.7854992398384	-1363.7854992398384	-1157.359728850896	-1157.359728850896	-1363.7854992398384	0.9953376199910808	-1363.7854992398384	4	true	9
32	18	17	1	0	0	0	0	0	-1363.616779501555	-1363.616779501555	-1157.1572406326493	-1157.1572406326493	-1363.616779501555	0.995074133103282	-1363.616779501555	4	true	8
33	18	18	1	0	0	0	0	0	-1363.3916681376766	-1363.3916681376766	-1155.8407207915347	-1155.8407207915347	-1363.3916681376766	0.9949686359947655	-1363.3916681376766	4	true	8
34	18	18	1	0	0	0	0	0	-1515.4483017739224	-1515.4483017739224	-1156.9081597461686	-1156.9081597461686	-1515.4483017739224	0.9948311168948906	-1515.4483017739224	5	true	8
35	20	20	1	0	0	0	0	0	-1317.97592476423	-1317.97592476423	-1157.8864176643795	-1157.8864176643795	-1317.97592476423	0.9940017253858359	-1317.97592476423	5	true	8
36	22	22	1	0	0	0	0	0	-1325.7863006558698	-1325.7863006558698	-1057.7702194332635	-1057.7702194332635	-1325.7863006558698	0.9933979500076767	-1325.7863006558698	7	true	8
37	22	22	1	0	0	0	0	0	-1274.3416144088105	-1274.3416144088105	-1057.6938431689166	-1057.6938431689166	-1274.3416144088105	0.9933979500076767	-1274.3416144088105	7	true	8
38	23	23	1	0	0	0	0	0	-1173.020276310192	-1173.020276310192	-1058.0564333486814	-1058.0564333486814	-1173.020276310192	0.9927866808986627	-1173.020276310192	6	true	7
39	26	25	1	0	0	0	0	0	-1172.7240402884283	-1172.7240402884283	-1057.3197349860818	-1057.3197349860818	-1172.7240402884283	0.9921021560011988	-1172.7240402884283	6	true	7
40	27	26	1	0	0	0	0	0	-1071.267244207968	-1071.267244207968	-1057.6432569327958	-1057.6432569327958	-1071.267244207968	0.9914030457446573	-1071.267244207968	6	true	8
41	27	27	1	0	0	0	0	0	-1069.908251946893	-1069.908251946893	-460.9083822634457	-460.9083822634457	-1069.908251946893	0.9913530387992483	-1069.908251946893	6	true	8
42	29	29	1	0	0	0	0	0	-1069.5925926423622	-1069.5925926423622	-459.8672973805948	-459.8672973805948	-1069.5925926423622	0.9911927095137482	-1069.5925926423622	6	true	8
43	30	30	1	0	0	0	0	0	-1069.3494984588835	-1069.3494984588835	-459.48557041723683	-459.48557041723683	-1069.3494984588835	0.9906075770757631	-1069.3494984588835	6	true	8
44	30	29	1	0	0	0	0	0	-1070.332048882573	-1070.332048882573	-459.1557468665985	-459.1557468665985	-1070.332048882573	0.9906651508615959	-1070.332048882573	6	true	7
45	31	31	1	0	0	0	0	0	-1069.0943670754725	-1069.0943670754725	-458.82982121535105	-458.82982121535105	-1069.0943670754725	0.9905951484489803	-1069.0943670754725	6	true	8
46	32	31	1	0	0	0	0	0	-1169.8595992098803	-1169.8595992098803	-459.6244739805585	-459.6244739805585	-1169.8595992098803	0.9905194069351736	-1169.8595992098803	6	true	8
47	33	32	1	0	0	0	0	0	-1168.878863108981	-1168.878863108981	-459.1111133767118	-459.1111133767118	-1168.878863108981	0.9900624721269766	-1168.878863108981	6	true	8
48	38	35	1	0	0	0	0	0	-Infinity	-Infinity	-1082.408272613076	-1082.408272613076	-Infinity	0.9892229183877878	-Infinity	8	true	3
49	40	37	1	0	0	0	0	0	-Infinity	-Infinity	-1167.4398746925763	-1167.4398746925763	-Infinity	0.9886625335390147	-Infinity	5	true	3
50	42	38	1	0	0	0	0	0	-Infinity	-Infinity	-1178.1840193504202	-1178.1840193504202	-Infinity	0.9877496509018064	-Infinity	7	true	3
51	43	40	1	0	0	0	0	0	-Infinity	-Infinity	-1175.1423424488419	-1175.1423424488419	-Infinity	0.9876929178760205	-Infinity	7	true	3
52	44	41	1	0	0	0	0	0	-Infinity	-Infinity	-1175.7581086681819	-1175.7581086681819	-Infinity	0.987494608169263	-Infinity	7	true	3
53	46	43	1	0	0	0	0	0	-Infinity	-Infinity	-1220.372368717318	-1220.372368717318	-Infinity	0.9863481404581046	-Infinity	6	true	3
54	46	41	1	0	0	0	0	0	-Infinity	-Infinity	-1431.8516980951908	-1431.8516980951908	-Infinity	0.9861497576417778	-Infinity	8	true	3
55	46	44	1	0	0	0	0	0	-Infinity	-Infinity	-1430.325256435047	-1430.325256435047	-Infinity	0.9858757064212135	-Infinity	8	true	3
56	48	46	1	0	0	0	0	0	-Infinity	-Infinity	-1380.324227332809	-1380.324227332809	-Infinity	0.9856921282926724	-Infinity	8	true	4
57	49	45	1	0	0	0	0	0	-Infinity	-Infinity	-1070.7993874007898	-1070.7993874007898	-Infinity	0.9852028425000549	-Infinity	6	true	3
58	52	48	1	0	0	0	0	0	-Infinity	-Infinity	-1081.1688747784979	-1081.1688747784979	-Infinity	0.9845951557599373	-Infinity	8	true	3
59	53	48	1	0	0	0	0	0	-Infinity	-Infinity	-1091.1733115380548	-1091.1733115380548	-Infinity	0.9841113897398029	-Infinity	9	true	4
60	54	49	1	0	0	0	0	0	-Infinity	-Infinity	-1195.9071705866113	-1195.9071705866113	-Infinity	0.9832111185033009	-Infinity	10	true	3
61	54	50	1	0	0	0	0	0	-Infinity	-Infinity	-1082.6687049451584	-1082.6687049451584	-Infinity	0.9828510904292264	-Infinity	8	true	4
62	55	50	1	0	0	0	0	0	-Infinity	-Infinity	-1085.8127595816532	-1085.8127595816532	-Infinity	0.9823968241203092	-Infinity	9	true	3
63	59	54	1	0	0	0	0	0	-Infinity	-Infinity	-1085.4023635780402	-1085.4023635780402	-Infinity	0.9803369254501724	-Infinity	9	true	4
64	60	54	1	0	0	0	0	0	-1083.7012248009514	-1083.7012248009514	-459.83914256035695	-459.83914256035695	-1083.7012248009514	0.9800066529708074	-1083.7012248009514	9	true	10
65	63	57	1	0	0	0	0	0	-1133.5429650601227	-1133.5429650601227	-459.6657223766085	-459.6657223766085	-1133.5429650601227	0.9790971333737876	-1133.5429650601227	9	true	9
66	66	60	1	0	0	0	0	0	-1133.4253182543039	-1133.4253182543039	-458.1724531128698	-458.1724531128698	-1133.4253182543039	0.9763634203580909	-1133.4253182543039	9	true	10
67	67	60	1	0	0	0	0	0	-1133.1995224980112	-1133.1995224980112	-457.96003902691956	-457.96003902691956	-1133.1995224980112	0.9760575299200916	-1133.1995224980112	9	true	11
68	68	61	1	0	0	0	0	0	-1480.9445142079862	-1480.9445142079862	-458.3979292346138	-458.3979292346138	-1480.9445142079862	0.9754158106754596	-1480.9445142079862	8	true	10
69	68	61	1	0	0	0	0	0	-1479.6414051098561	-1479.6414051098561	-458.27427347939187	-458.27427347939187	-1479.6414051098561	0.9745557131472942	-1479.6414051098561	8	true	10
70	70	63	1	0	0	0	0	0	-Infinity	-Infinity	-1479.5489852277017	-1479.5489852277017	-Infinity	0.9735269152879423	-Infinity	8	true	3
71	73	65	1	0	0	0	0	0	-Infinity	-Infinity	-1169.2642001508855	-1169.2642001508855	-Infinity	0.9723537991387696	-Infinity	5	true	3
72	74	63	1	0	0	0	0	0	-Infinity	-Infinity	-870.1492595358221	-870.1492595358221	-Infinity	0.9712943683698763	-Infinity	5	true	3
73	77	66	1	0	0	0	0	0	-Infinity	-Infinity	-867.7598729934425	-867.7598729934425	-Infinity	0.9705501129542848	-Infinity	5	true	3
74	80	70	1	0	0	0	0	0	-Infinity	-Infinity	-1018.0584460378946	-1018.0584460378946	-Infinity	0.9681655346868353	-Infinity	5	true	3
75	80	68	1	0	0	0	0	0	-Infinity	-Infinity	-1017.4549228989254	-1017.4549228989254	-Infinity	0.9677879603161258	-Infinity	5	true	3
76	82	70	1	0	0	0	0	0	-Infinity	-Infinity	-717.6526696332344	-717.6526696332344	-Infinity	0.9666080815317917	-Infinity	5	true	3
77	85	73	1	0	0	0	0	0	-Infinity	-Infinity	-615.8456724058568	-615.8456724058568	-Infinity	0.9649259034515025	-Infinity	4	true	3
78	88	76	1	0	0	0	0	0	-Infinity	-Infinity	-614.4532253930932	-614.4532253930932	-Infinity	0.9642379058494965	-Infinity	4	true	4
79	90	78	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9613577543664693	-Infinity	4	true	3
80	93	81	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.96081553724567	-Infinity	4	true	3
81	95	82	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9601455245977146	-Infinity	2	true	3
82	97	84	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9598100613389289	-Infinity	2	true	3
83	98	85	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9585345552379351	-Infinity	2	true	2
84	101	87	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.95745406891308	-Infinity	2	true	2
85	106	92	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9551498015075194	-Infinity	2	true	2
86	107	93	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9519807941161419	-Infinity	2	true	3
87	112	97	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9510773791681596	-Infinity	2	true	3
88	113	99	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9492641887396643	-Infinity	2	true	3
89	117	103	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9478085406598872	-Infinity	3	true	3
90	119	104	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.946592033981328	-Infinity	3	true	2
91	124	109	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9456615319379155	-Infinity	3	true	2
92	129	114	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9441009716261763	-Infinity	3	true	2
93	134	119	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9423374591500283	-Infinity	4	true	3
94	136	121	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.94187376170667	-Infinity	4	true	3
