# solver: Greedy
# max_time: 300000
# main_solver: Greedy
# random.seed: 1
# run: 0289b418-e10a-46ac-89be-94f6ee302c8d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	1	0	0	0	0	0	-1369.1875733550048	-1369.1875733550048	-1165.1100445750717	-1165.1100445750717	-1369.1875733550048	0.9968457241868389	-1369.1875733550048	3	true	248
26	15	15	1	0	0	0	0	0	-1364.5568455670268	-1364.5568455670268	-1161.8927096375405	-1161.8927096375405	-1364.5568455670268	0.9961066961054532	-1364.5568455670268	3	true	15
27	15	15	1	0	0	0	0	0	-1363.2611184596149	-1363.2611184596149	-1160.4937977930513	-1160.4937977930513	-1363.2611184596149	0.9960270797844731	-1363.2611184596149	3	true	52
28	15	15	1	0	0	0	0	0	-1362.2073113095705	-1362.2073113095705	-1159.3271520227793	-1159.3271520227793	-1362.2073113095705	0.9960270797844731	-1362.2073113095705	3	true	11
29	15	15	1	0	0	0	0	0	-1411.3246278615384	-1411.3246278615384	-1158.309320267315	-1158.309320267315	-1411.3246278615384	0.9960270797844731	-1411.3246278615384	3	true	10
30	16	16	1	0	0	0	0	0	-1409.534007849787	-1409.534007849787	-1157.734772409661	-1157.734772409661	-1409.534007849787	0.9955956967707507	-1409.534007849787	2	true	9
31	16	15	1	0	0	0	0	0	-1364.305707348138	-1364.305707348138	-1158.2254323144807	-1158.2254323144807	-1364.305707348138	0.99547682061105	-1364.305707348138	4	true	10
32	18	17	1	0	0	0	0	0	-1363.3895521397837	-1363.3895521397837	-1155.903115543302	-1155.903115543302	-1363.3895521397837	0.9953202199135847	-1363.3895521397837	4	true	8
33	18	17	1	0	0	0	0	0	-1363.0540837794003	-1363.0540837794003	-1156.5746304139375	-1156.5746304139375	-1363.0540837794003	0.9952647297504772	-1363.0540837794003	4	true	8
34	18	18	1	0	0	0	0	0	-1413.007079772468	-1413.007079772468	-1055.5652885951472	-1055.5652885951472	-1413.007079772468	0.9949686359947655	-1413.007079772468	4	true	9
35	18	18	1	0	0	0	0	0	-1515.3175903152912	-1515.3175903152912	-1057.5519317157255	-1057.5519317157255	-1515.3175903152912	0.9944764623741603	-1515.3175903152912	5	true	8
36	20	20	1	0	0	0	0	0	-1224.81550367509	-1224.81550367509	-1058.2355542117716	-1058.2355542117716	-1224.81550367509	0.9936241510151266	-1224.81550367509	7	true	9
37	22	22	1	0	0	0	0	0	-1172.4011866224196	-1172.4011866224196	-1056.3446259387285	-1056.3446259387285	-1172.4011866224196	0.9933979500076767	-1172.4011866224196	7	true	8
38	22	22	1	0	0	0	0	0	-1172.3543257568767	-1172.3543257568767	-1056.3042928920154	-1056.3042928920154	-1172.3543257568767	0.9932990327603982	-1172.3543257568767	7	true	50
39	24	23	1	0	0	0	0	0	-1288.3891002046128	-1288.3891002046128	-1058.7126711378814	-1058.7126711378814	-1288.3891002046128	0.9926060271528939	-1288.3891002046128	9	true	8
40	26	25	1	0	0	0	0	0	-1286.6270893814058	-1286.6270893814058	-1057.9597307922202	-1057.9597307922202	-1286.6270893814058	0.9920889962787228	-1286.6270893814058	9	true	8
41	27	26	1	0	0	0	0	0	-1083.5217859920097	-1083.5217859920097	-461.1433195735774	-461.1433195735774	-1083.5217859920097	0.9913898860221814	-1083.5217859920097	8	true	7
42	28	27	1	0	0	0	0	0	-1081.5760448395672	-1081.5760448395672	-460.142761717897	-460.142761717897	-1081.5760448395672	0.9912444710888206	-1081.5760448395672	8	true	7
43	28	26	1	0	0	0	0	0	-1192.823811481741	-1192.823811481741	-460.9261940536863	-460.9261940536863	-1192.823811481741	0.9912780283811345	-1192.823811481741	10	true	8
44	28	26	1	0	0	0	0	0	-1190.936200203208	-1190.936200203208	-460.55910381431767	-460.55910381431767	-1190.936200203208	0.990900454010425	-1190.936200203208	10	true	7
45	29	27	1	0	0	0	0	0	-1096.6026014339989	-1096.6026014339989	-460.199334512637	-460.199334512637	-1096.6026014339989	0.9907182284089162	-1096.6026014339989	11	true	7
46	30	30	1	0	0	0	0	0	-1096.197443213894	-1096.197443213894	-459.1585963949688	-459.1585963949688	-1096.197443213894	0.9906883631498526	-1096.197443213894	11	true	8
47	30	29	1	0	0	0	0	0	-1080.9938609803544	-1080.9938609803544	-459.3195938541868	-459.3195938541868	-1080.9938609803544	0.9907383700952618	-1080.9938609803544	7	true	7
48	33	31	1	0	0	0	0	0	-Infinity	-Infinity	-1087.1974068662128	-1087.1974068662128	-Infinity	0.9902403842638959	-Infinity	9	true	4
49	37	35	1	0	0	0	0	0	-Infinity	-Infinity	-1086.3005916740144	-1086.3005916740144	-Infinity	0.9894565765713074	-Infinity	9	true	5
50	40	38	1	0	0	0	0	0	-Infinity	-Infinity	-1172.9668977678903	-1172.9668977678903	-Infinity	0.9889730664346654	-Infinity	6	true	5
