# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 10
# run: 0872fac9-211f-4c27-9ef4-f4b99d4575a0
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	37	9880	79920	639360	0	0	-2991.843874220357	-2991.843874220357	-2991.843874220357	-2991.843874220357	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3091.780687562225,-3091.780687562225,-3090.5353198469606,-3089.805791507765,-3089.805791507765,-3089.805791507765,-3089.805791507765,-3089.805791507765,-3089.805791507765,-3089.805791507765,-3089.805791507765,-3089.805791507765,-3089.805791507765,-3089.805791507765,-3089.805791507765,-3089.805791507765,-3089.805791507765,-3089.805791507765,-3089.805791507765,-3089.805791507765,-2991.843874220357,-2991.843874220357	0.9960270797844731	-2991.843874220357	8	false	533
26	15	15	5	1306	10800	86400	0	0	-2980.3082238769343	-2980.3082238769343	-2980.3082238769343	-2980.3082238769343	-Infinity,-Infinity,-Infinity,-2980.3082238769343,-2980.3082238769343	0.9960270797844731	-2980.3082238769343	8	false	113
27	16	16	26	6516	56160	449280	0	0	-3017.7566304268025	-3017.7566304268025	-3017.7566304268025	-3017.7566304268025	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3019.103352125705,-3018.089306022107,-3018.089306022107,-3018.089306022107,-3018.089306022107,-3018.089306022107,-3018.089306022107,-3018.089306022107,-3018.089306022107,-3018.089306022107,-3018.089306022107,-3018.089306022107,-3018.089306022107,-3017.7566304268025,-3017.7566304268025	0.9958381646573722	-3017.7566304268025	6	false	120
28	16	16	7	1718	15120	120960	0	0	-3018.4655336582914	-3018.4655336582914	-3018.4655336582914	-3018.4655336582914	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3018.4655336582914,-3018.4655336582914	0.9955956967707507	-3018.4655336582914	6	false	96
29	17	17	65	14465	140400	1123200	0	0	-1774.273664784295	-1774.273664784295	-1774.273664784295	-1774.273664784295	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2315.2203923816546,-2313.86145973326,-2312.996546586796,-2312.996546586796,-2022.3174202264279,-2021.2300504235895,-2021.2300504235895,-2020.3161063967877,-2019.3497154257655,-1968.2377871499734,-1968.2377871499734,-1968.2377871499734,-1968.2059080711508,-1968.2059080711508,-1968.2059080711508,-1968.2059080711508,-1968.2059080711508,-1968.2059080711508,-1968.2059080711508,-1968.2059080711508,-1968.2059080711508,-1968.2059080711508,-1968.2059080711508,-1968.2059080711508,-1871.8557541896487,-1871.0104741555208,-1871.0104741555208,-1871.0104741555208,-1871.0104741555208,-1871.0104741555208,-1871.0104741555208,-1871.0104741555208,-1871.0104741555208,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1871.009284464284,-1774.5614675031063,-1774.273664784295,-1774.273664784295	0.9952876130456717	-1774.273664784295	8	false	157
30	18	18	53	11353	114480	915840	0	0	-1213.477390980741	-1213.477390980741	-1213.477390980741	-1213.477390980741	-Infinity,-Infinity,-Infinity,-1314.3485967018476,-1317.831290864686,-1323.1245327874167,-1322.4040718047977,-1318.5914650021846,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.7929883345982,-1216.0158344287354,-1216.0158344287354,-1216.0158344287354,-1216.0158344287354,-1216.0158344287354,-1216.0158344287354,-1214.3170092560458,-1214.3170092560458,-1214.3170092560458,-1214.3170092560458,-1214.3170092560458,-1214.3170092560458,-1214.3170092560458,-1214.3170092560458,-1214.3170092560458,-1214.3170092560458,-1214.3170092560458,-1214.3170092560458,-1214.3170092560458,-1214.3170092560458,-1214.3170092560458,-1214.3170092560458,-1213.477390980741,-1213.477390980741	0.9952702129681755	-1213.477390980741	3	false	138
31	18	18	16	3300	34560	276480	0	0	-1220.4040740897647	-1220.4040740897647	-1220.4040740897647	-1220.4040740897647	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1220.4040740897647,-1220.4040740897647	0.9948854007501045	-1220.4040740897647	4	false	100
32	18	18	8	1561	17280	138240	0	0	-1220.8166550222147	-1220.8166550222147	-1220.8166550222147	-1220.8166550222147	-Infinity,-Infinity,-Infinity,-Infinity,-1221.6331750307922,-1221.6331750307922,-1220.8166550222147,-1220.8166550222147	0.9947478816502295	-1220.8166550222147	4	false	73
33	20	19	46	8252	99360	794880	0	0	-723.8217848951128	-723.8217848951128	-723.8217848951128	-723.8217848951128	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-823.6549161053582,-823.6549161053582,-823.6549161053582,-823.6549161053582,-823.6549161053582,-823.6549161053582,-823.6549161053582,-823.6549161053582,-823.6549161053582,-823.5528082878449,-823.5528082878449,-823.5528082878449,-823.5528082878449,-823.5528082878449,-823.5528082878449,-823.5528082878449,-823.5528082878449,-823.5528082878449,-823.5528082878449,-823.5528082878449,-823.5528082878449,-823.5528082878449,-823.5528082878449,-823.5528082878449,-724.9721391777172,-724.9721391777172,-723.8217848951128,-723.8217848951128	0.994018504031993	-723.8217848951128	8	false	243
34	22	22	62	10912	133920	1071360	0	0	-714.6396417527311	-714.6396417527311	-714.6396417527311	-714.6396417527311	-726.3001891768463,-722.4501512377692,-720.0801331707964,-723.5460804148338,-730.1897693174521,-724.6398607971157,-724.3082894608275,-723.6591229526484,-722.5554051518218,-720.7981626920155,-720.652192678322,-721.7038584776524,-721.7038584776524,-729.3743132026475,-729.3743132026475,-738.5175664436142,-732.7429744452968,-734.6919590106885,-731.3590172331327,-722.4499008314172,-721.2276090310661,-720.2834319801326,-720.2834319801326,-719.311268613749,-719.096254500841,-719.096254500841,-719.027504005147,-719.027504005147,-719.027504005147,-719.027504005147,-719.027504005147,-718.7421304940488,-716.8776827654162,-716.8776827654162,-716.8776827654162,-716.8776827654162,-718.0571792585265,-716.8560201957014,-716.8560201957014,-716.8560201957014,-716.8560201957014,-716.8560201957014,-716.8560201957014,-716.8560201957014,-716.8560201957014,-716.8560201957014,-716.8560201957014,-716.8560201957014,-716.8560201957014,-716.8560201957014,-715.7913648980426,-715.7913648980426,-715.7913648980426,-715.7913648980426,-715.7913648980426,-715.7913648980426,-715.0974176682864,-715.0974176682864,-715.0974176682864,-715.0974176682864,-714.6396417527311,-714.6396417527311	0.9933979500076767	-714.6396417527311	3	true	128
35	22	21	25	4223	54000	432000	0	0	-764.2164605700187	-764.2164605700187	-764.2164605700187	-764.2164605700187	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-862.4734610834967,-862.4734610834967,-862.4734610834967,-862.4734610834967,-862.4734209517321,-862.4734209517321,-862.4734209517321,-862.4734209517321,-862.4734209517321,-862.4734209517321,-764.4920223582205,-764.4920223582205,-764.4920223582205,-764.4920223582205,-764.2164605700187,-764.2164605700187	0.9934147286538336	-764.2164605700187	5	true	93
36	23	23	13	2158	28080	224640	0	0	-764.3501051421797	-764.3501051421797	-764.3501051421797	-764.3501051421797	-771.1415466532015,-770.4417275514177,-767.2390659687209,-767.2390659687209,-767.2390659687209,-766.7682965312015,-766.7682965312015,-766.3135996300587,-766.3135996300587,-766.3135996300587,-766.3135996300587,-764.3501051421797,-764.3501051421797	0.9929965784721563	-764.3501051421797	5	true	83
37	25	23	13	2075	28080	224640	0	0	-763.1407725193804	-763.1407725193804	-763.1407725193804	-763.1407725193804	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-763.1407725193804,-763.1407725193804	0.9925072195699696	-763.1407725193804	6	true	79
38	28	26	63	9013	136080	1088640	0	0	-704.3859828481573	-704.3859828481573	-704.3859828481573	-704.3859828481573	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-715.6091486432446,-710.6434208577783,-709.7149022836323,-708.4939639847809,-705.8549935074702,-705.8549935074702,-705.0367987407038,-705.4241517505477,-706.5482320796507,-706.5482320796507,-706.5482320796507,-706.5482320796507,-706.05967583238,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-705.188639344858,-704.3859828481573,-704.3859828481573	0.9912372697962435	-704.3859828481573	0	true	123
39	28	26	4	572	8640	69120	0	0	-698.537298551601	-698.537298551601	-698.537298551601	-698.537298551601	-Infinity,-Infinity,-698.537298551601,-698.537298551601	0.9912372697962435	-698.537298551601	0	true	63
40	30	28	52	7852	112320	898560	0	0	-693.7084447327454	-693.7084447327454	-693.7084447327454	-693.7084447327454	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-745.2207137695634,-744.3201663046142,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-694.3202655915862,-693.7084447327454,-693.7084447327454	0.9910769405107435	-693.7084447327454	0	true	114
41	30	27	14	2058	30240	241920	0	0	-695.2112901508115	-695.2112901508115	-695.2112901508115	-695.2112901508115	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-695.2113643581786,-695.2113643581786,-695.2113643581786,-695.2113643581786,-695.2112901508115,-695.2112901508115	0.9911022729765099	-695.2112901508115	0	true	71
42	30	28	17	2567	36720	293760	0	0	-693.6992453887055	-693.6992453887055	-693.6992453887055	-693.6992453887055	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-695.6277616050407,-695.6277616050407,-695.6277616050407,-695.6277616050407,-696.0463367330777,-695.8896742498179,-696.3014500969243,-694.1023129140046,-694.1023129140046,-693.6992453887055,-693.6992453887055	0.9906993661400338	-693.6992453887055	0	true	70
43	31	28	13	1963	28080	224640	0	0	-690.431398917547	-690.431398917547	-690.431398917547	-690.431398917547	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-691.4321059173839,-691.4321059173839,-691.4321059173839,-691.4321059173839,-691.4321059173839,-691.4321059173839,-690.431398917547,-690.431398917547	0.9906204443599622	-690.431398917547	0	true	63
44	34	32	26	4342	56160	449280	0	0	-683.5893045913219	-683.5893045913219	-683.5893045913219	-683.5893045913219	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-692.3162176689722,-692.3162176689722,-692.3162176689722,-692.3162176689722,-692.3162176689722,-687.6782193536293,-687.6782193536293,-687.6782193536293,-685.7965834160914,-685.7965834160914,-685.7965834160914,-685.7965834160914,-685.7965834160914,-685.7965834160914,-685.7965834160914,-684.3704091333143,-684.3704091333143,-684.3704091333143,-683.5893045913219,-683.5893045913219	0.9900593284154963	-683.5893045913219	0	true	74
45	35	33	10	1710	21600	172800	0	0	-680.4307706442206	-680.4307706442206	-680.4307706442206	-680.4307706442206	-Infinity,-Infinity,-681.1287172116564,-681.1287172116564,-681.1287172116564,-681.1287172116564,-681.1287172116564,-681.1287172116564,-680.4307706442206,-680.4307706442206	0.9896752472931181	-680.4307706442206	0	true	57
46	38	37	17	3179	36720	293760	0	0	-677.5322682065051	-677.5322682065051	-677.5322682065051	-677.5322682065051	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-677.5326991776793,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-677.5322682065051,-677.5322682065051	0.9890492831606729	-677.5322682065051	0	true	70
47	40	39	18	3510	38880	311040	0	0	-677.392844661951	-677.392844661951	-677.392844661951	-677.392844661951	-Infinity,-Infinity,-Infinity,-679.5895744438016,-679.5895744438016,-679.5895744438016,-678.8384776116596,-678.8384776116596,-678.8384776116596,-678.8384776116596,-678.1030415060651,-678.1030415060651,-678.1030415060651,-678.1030415060651,-678.1030415060651,-678.1030415060651,-677.392844661951,-677.392844661951	0.9886297438971786	-677.392844661951	0	true	202
48	41	40	16	3184	34560	276480	0	0	-679.2289616001153	-679.2289616001153	-679.2289616001153	-679.2289616001153	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-679.2289616001153,-679.2289616001153	0.9882371089551909	-679.2289616001153	0	true	64
49	42	39	8	1560	17280	138240	0	0	-731.190546676244	-731.190546676244	-731.190546676244	-731.190546676244	-Infinity,-Infinity,-Infinity,-732.8954158457075,-732.1908119732661,-732.1908119732661,-731.190546676244,-731.190546676244	0.9880666905491258	-731.190546676244	0	true	55
50	43	39	12	2340	25920	207360	0	0	-779.6495098500876	-779.6495098500876	-779.6495098500876	-779.6495098500876	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-780.5232666450432,-780.5232666450432,-779.6495098500876,-779.6495098500876	0.98723956543672	-779.6495098500876	0	true	138
51	43	40	27	5373	58320	466560	0	0	-828.9413821110556	-828.9413821110556	-828.9413821110556	-828.9413821110556	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-832.0176630417564,-831.2056238507134,-831.2056238507134,-831.2056238507134,-830.4288038575481,-829.7004255404829,-829.7004255404829,-829.7004255404829,-829.7004255404829,-829.7004255404829,-829.7004255404829,-829.7004255404829,-829.7004255404829,-829.7004255404829,-829.7004255404829,-829.7004255404829,-829.7004255404829,-829.7004255404829,-829.7004255404829,-828.9413821110556,-828.9413821110556	0.986595068028454	-828.9413821110556	0	true	76
52	45	39	12	2340	25920	207360	0	0	-830.9209242133284	-830.9209242133284	-830.9209242133284	-830.9209242133284	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-832.751689408904,-832.751689408904,-832.751689408904,-832.751689408904,-830.9209242133284,-830.9209242133284	0.9863260613681724	-830.9209242133284	0	true	183
53	45	37	11	2057	23760	190080	0	0	-832.6789555903413	-832.6789555903413	-832.6789555903413	-832.6789555903413	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-834.0049918234602,-834.0049918234602,-834.0049918234602,-832.9321785343768,-832.6789555903413,-832.6789555903413	0.9862023599768973	-832.6789555903413	0	true	172
54	47	39	24	4680	51840	414720	0	0	-830.7834810004139	-830.7834810004139	-830.7834810004139	-830.7834810004139	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-831.0417894169801,-831.0417894169801,-831.0273604752734,-831.0273604752734,-831.0273604752734,-831.0273604752734,-831.0273604752734,-831.0273604752734,-831.0273604752734,-831.0273604752734,-831.0273604752734,-831.0273604752734,-831.0273604752734,-831.0273604752734,-831.0273604752734,-830.7834810004139,-830.7834810004139	0.9860578223583684	-830.7834810004139	0	true	64
55	50	44	24	5160	51840	414720	0	0	-827.205912715353	-827.205912715353	-827.205912715353	-827.205912715353	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-827.205912715353,-827.205912715353	0.9854483809885876	-827.205912715353	0	true	71
56	50	43	27	5697	58320	466560	0	0	-828.30777441781	-828.30777441781	-828.30777441781	-828.30777441781	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-828.30777441781,-828.30777441781	0.9851850768747119	-828.30777441781	0	true	70
57	52	46	19	4237	41040	328320	0	0	-825.193395323347	-825.193395323347	-825.193395323347	-825.193395323347	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-825.193395323347,-825.193395323347	0.9841633340887989	-825.193395323347	0	true	66
58	53	47	19	4313	41040	328320	0	0	-823.5661155308799	-823.5661155308799	-823.5661155308799	-823.5661155308799	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-824.3871692698929,-824.3871692698929,-823.5661155308799,-823.5661155308799	0.9838647911625154	-823.5661155308799	0	true	65
59	54	49	27	6345	58320	466560	0	0	-822.4266415605615	-822.4266415605615	-822.4266415605615	-822.4266415605615	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-822.4266415605615,-822.4266415605615	0.9835689167355116	-822.4266415605615	0	true	72
60	54	49	27	6345	58320	466560	0	0	-823.4051568473907	-823.4051568473907	-823.4051568473907	-823.4051568473907	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-823.4051568473907,-823.4051568473907	0.9829259546282013	-823.4051568473907	0	true	169
61	55	50	16	3824	34560	276480	0	0	-720.5704461982131	-720.5704461982131	-720.5704461982131	-720.5704461982131	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-720.5704461982131,-720.5704461982131	0.9826452504368297	-720.5704461982131	0	true	60
62	56	50	19	4541	41040	328320	0	0	-721.8672112258903	-721.8672112258903	-721.8672112258903	-721.8672112258903	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-723.3756106568384,-722.6675295892449,-721.8672112258903,-721.8672112258903	0.9815329248945394	-721.8672112258903	0	true	63
63	56	50	24	5736	51840	414720	0	0	-720.0000189155982	-720.0000189155982	-720.0000189155982	-720.0000189155982	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-720.0000189155982,-720.0000189155982	0.9813604228657491	-720.0000189155982	0	true	174
64	56	49	24	5640	51840	414720	0	0	-726.0770964170938	-726.0770964170938	-726.0770964170938	-726.0770964170938	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-726.0772878613799,-Infinity,-Infinity,-Infinity,-726.0772878613799,-726.0770964170938,-726.0770964170938	0.9812009708950806	-726.0770964170938	0	true	67
65	56	47	15	3405	32400	259200	0	0	-731.4165983194788	-731.4165983194788	-731.4165983194788	-731.4165983194788	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-731.4165983194788,-731.4165983194788	0.9809408470474701	-731.4165983194788	0	true	58
66	57	48	18	4158	38880	311040	0	0	-729.5384572782431	-729.5384572782431	-729.5384572782431	-729.5384572782431	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-729.5384572782431,-729.5384572782431	0.9802251774734795	-729.5384572782431	0	true	245
67	59	51	30	7290	64800	518400	0	0	-723.279643027895	-723.279643027895	-723.279643027895	-723.279643027895	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-724.7461108144078,-724.7461108144078,-724.7461108144078,-724.7461108144078,-724.7461108144078,-724.7461108144078,-724.7461108144078,-724.7461108144078,-723.9669691166021,-723.9669691166021,-723.9669691166021,-723.9669691166021,-723.9669691166021,-723.9669691166021,-723.9669691166021,-723.279643027895,-723.279643027895	0.9797021881694095	-723.279643027895	0	true	75
68	60	50	18	4302	38880	311040	0	0	-726.2577556697541	-726.2577556697541	-726.2577556697541	-726.2577556697541	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-726.2577556697541,-726.2577556697541	0.9797397664880356	-726.2577556697541	0	true	63
69	60	49	12	2820	25920	207360	0	0	-727.5547278257961	-727.5547278257961	-727.5547278257961	-727.5547278257961	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-727.5547278257961,-727.5547278257961	0.979193601450494	-727.5547278257961	0	true	172
70	60	48	28	6468	60480	483840	0	0	-733.937058623133	-733.937058623133	-733.937058623133	-733.937058623133	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-734.9363734748262,-733.937058623133,-733.937058623133	0.9784687200707702	-733.937058623133	0	true	71
71	62	50	18	4302	38880	311040	0	0	-734.7180778355954	-734.7180778355954	-734.7180778355954	-734.7180778355954	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-734.7180778355954,-734.7180778355954	0.9779213121705503	-734.7180778355954	0	true	64
72	63	48	16	3696	34560	276480	0	0	-739.3651286981595	-739.3651286981595	-739.3651286981595	-739.3651286981595	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-739.3651286981595,-739.3651286981595	0.9768474057069333	-739.3651286981595	0	true	160
73	64	50	19	4541	41040	328320	0	0	-735.7384008955842	-735.7384008955842	-735.7384008955842	-735.7384008955842	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-735.7384008955842,-735.7384008955842	0.9762165432333441	-735.7384008955842	0	true	66
