# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 15
# run: 08ae96ef-dab7-48e7-bcac-bba5fd721ff4
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	100	75400	548064	4384512	0	0	-1014.4534301552783	-170.00629653973854	-4.186947633739452	-1.3781711306856912	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-870.0056359859115,-Infinity,-Infinity,-Infinity,-870.0055906021674,-370.0057337171039,-370.0057337171039,-370.0057337171039,-370.0057337171039,-370.0057337171039,-370.0057337171039,-370.0057337171039,-370.0057337171039,-370.0057337171039,-370.0057337171039,-370.0057337171039,-370.00607516206657,-370.00607516206657,-370.00607516206657,-370.00607516206657,-370.00607516206657,-170.00629653973854,-170.00629653973854,-170.00629653973854,-170.00629653973854,-170.00629653973854,-170.00629653973854,-170.00629653973854,-170.00629653973854,-170.00629653973854,-170.00629653973854,-170.00629653973854,-170.00629653973854,-170.00629653973854,-170.00629653973854,-170.00629653973854,-170.00629653973854,-170.00629653973854,-271.67146297425313,-271.67146297425313,-271.67146297425313,-271.67146297425313,-375.14254129621986,-375.14254129621986,-375.14254129621986,-375.14254129621986,-375.14254129621986,-375.14254129621986,-365.4337423364421,-365.4337423364421,-363.4165028734137,-363.4340665168842,-363.4340665168842,-363.4340665168842,-363.4340665168842,-363.4340665168842,-363.4340665168842,-363.4340665168842,-363.4340665168842,-363.4340665168842,-363.4340665168842,-363.4340665168842,-363.4340665168842,-382.3065406356464,-382.3065406356464,-382.3065406356464,-800.2002273204027,-907.1383446183086,-1014.4534301552783,-1014.4534301552783,-1014.4534301552783,-1014.4534301552783,-1014.4534301552783	0.995805594344244	-170.00629653973854	7	true	1149
26	16	16	100	75200	545886	4367088	0	0	-367.3126742681237	-163.7801413248359	-0.3820974888633826	2.9992271171751974	-Infinity,-Infinity,-Infinity,-Infinity,-363.77966894279615,-363.77966894279615,-363.77966894279615,-363.77966894279615,-363.77966894279615,-363.77966894279615,-363.77966894279615,-363.77966894279615,-363.7799616841987,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.7801413248359,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-163.78031461324164,-261.09251608871335,-261.09251608871335,-262.25595952739593,-367.3126742681237	0.9955956967707507	-163.7801413248359	7	true	891
27	17	17	100	75600	556578	4452624	0	0	-162.11490937788275	-162.1143173874472	5.785523700105796	5.785523700105796	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-366.12894522609236,-166.12902686307078,-166.12902686307078,-166.1292565989036,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-166.12949592882455,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.1143173874472,-162.11490937788275,-162.11490937788275,-162.11490937788275,-162.11490937788275,-162.11490937788275,-162.11490937788275,-162.11490937788275,-162.11490937788275,-162.11490937788275,-162.11490937788275,-162.11490937788275,-162.11490937788275	0.9952876130456717	-162.1143173874472	7	true	493
28	18	18	100	74800	559548	4476384	0	0	34.3154427585022	34.3154427585022	54.781806936112844	54.781806936112844	-Infinity,-Infinity,-Infinity,-377.451468320777,-177.451516190259,-177.45175187509554,-177.45175187509554,-177.45175187509554,-177.45175187509554,-177.45175187509554,-177.45175187509554,-181.50940189577014,-187.94411248315933,-187.94411248315933,-187.94411248315933,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-194.7663349838762,-184.66785903622292,-179.4306307371966,-179.4306307371966,-179.4307708620622,-179.4307708620622,-179.4307708620622,-179.4307708620622,-179.4307708620622,-179.4307708620622,-179.4307708620622,-179.4307708620622,-179.4307708620622,-179.4307708620622,-179.4307708620622,-179.4307708620622,-179.4307708620622,-179.4307708620622,-179.43134628289366,-174.84323792584237,-174.84323792584237,-172.8327397682358,-172.8327397682358,-170.95928861872488,-170.95928861872488,-170.95928861872488,-170.95928861872488,-170.95928861872488,-170.95928861872488,-170.95928861872488,-170.95928861872488,-170.95928861872488,-170.95928861872488,-170.95928387994837,-170.95928387994837,-170.95928387994837,-170.95928387994837,-170.95928387994837,-170.95928387994837,-170.95928387994837,-170.95928387994837,-170.95928387994837,-170.95928387994837,29.040659213838413,29.040659213838413,29.040659213838413,29.040659213838413,29.040659213838413,29.040659213838413,29.040659213838413,29.040659213838413,34.3154427585022	0.995024126157873	34.3154427585022	8	true	591
29	19	19	100	79000	568656	4549248	0	0	34.71944903533637	34.71944903533637	53.700933333351735	53.700933333351735	-Infinity,-Infinity,-Infinity,-381.05262753062874,-187.3266000358974,-187.3266000358974,-187.32672312517172,-187.32672312517172,-187.32672312517172,-187.3268156486878,-187.3268156486878,-187.3268156486878,-187.3268156486878,-187.3268156486878,-187.3268156486878,-187.3268156486878,-187.3268156486878,-187.3268156486878,-187.3268156486878,-187.3268156486878,-187.3268156486878,-194.30050534081764,-194.30050534081764,-194.30050534081764,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.30041281730152,-194.3004931227363,-194.3004931227363,-194.3004931227363,-179.09675412409692,-179.09675412409692,-179.09675412409692,-179.09675412409692,-179.09675412409692,-179.09675412409692,-179.09675412409692,-179.09720601479196,-179.09720601479196,-179.09720601479196,-179.09720601479196,-179.09720601479196,-179.09720601479196,-179.09720601479196,-179.09720601479196,-179.09720601479196,-179.09720601479196,-179.09720601479196,-179.09720601479196,-179.09720601479196,-172.58554320754433,-172.58554320754433,-172.58554320754433,-170.8498944852716,-170.8498944852716,-170.8498944852716,29.14951091630802,29.14951091630802,29.14951091630802,29.149579465713533,29.149579465713533,29.149579465713533,34.64130255711679,34.64130255711679,34.64130255711679,34.64130255711679,34.64130255711679,34.64130255711679,34.64130255711679,34.64130255711679,34.54439652095721,34.54439652095721,34.54439652095721,34.54439652095721,34.54439652095721,34.54439652095721,34.54439652095721,34.54439652095721,34.71944903533637,34.71944903533637	0.994524166368136	34.71944903533637	8	true	535
30	20	20	100	66600	537570	4300560	0	0	-772.673263709537	38.86116343609271	55.32758353674615	55.00562510449734	-382.93145154126313,-382.93145154126313,-382.93145154126313,-182.93146163658687,17.068470816549098,17.068470816549098,17.068470816549098,17.068470816549098,17.068341378091308,17.068341378091308,11.437985252892577,11.437667926290903,11.437667926290903,11.437667926290903,11.437667926290903,11.437667926290903,11.437667926290903,11.437667926290903,11.437667926290903,11.437566039933333,9.778612303301575,9.778612303301575,-3.672614796549741,-3.6727510036534206,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-10.739047398857974,-3.6727510036534206,-3.6727510036534206,-9.552670811386744,-17.736889827760375,-17.736889827760375,-220.41639750882786,-220.41639750882786,-220.41639750882786,-220.41639750882786,-220.41639750882786,-220.41639750882786,-220.41639750882786,-220.41639750882786,-220.41639750882786,-220.41639750882786,-220.41639750882786,-220.41639750882786,-20.41626130172414,-20.41626130172414,-20.41626130172414,-0.3356156905895684,-0.3356156905895684,15.612014195862603,15.612014195862603,15.612014195862603,28.175484496801733,28.175484496801733,28.175484496801733,28.175484496801733,32.58137015683451,34.63573033590224,34.63573033590224,34.63573033590224,38.86116343609271,38.86116343609271,38.86116343609271,38.86116343609271,38.86116343609271,38.86116343609271,38.86116343609271,38.86116343609271,38.86116343609271,38.86116343609271,38.86116343609271,38.861024903798004,38.861024903798004,-680.0190769658325,-680.0190769658325,-680.0190769658325,-680.0190769658325,-778.9647383830144,-778.9647383830144,-778.9647383830144,-778.9647383830144,-778.9647383830144,-778.9647383830144,-778.9647383830144,-772.673263709537	0.9943563799065661	38.86116343609271	7	true	489
31	23	23	100	85530	576180	4609440	0	0	-261.2014254723008	4.909543490149337	53.45096187970754	54.091081214024996	4.909543490149337,4.909543490149337,4.909543490149337,4.909534604262097,4.909534604262097,4.909534604262097,4.909534604262097,4.909534604262097,4.909534604262097,4.909534604262097,4.909534604262097,4.909534604262097,4.909534604262097,4.909534604262097,4.909534604262097,4.909534604262097,4.909534604262097,4.909534604262097,4.9094393813880455,4.9094393813880455,4.90917998010878,4.90917998010878,4.909019209766489,4.908822397516763,4.908822397516763,4.908822397516763,4.908822397516763,4.908822397516763,4.908822397516763,4.908822397516763,4.908822397516763,4.908822397516763,4.908822397516763,3.8595237055751834,3.8595237055751834,3.8595237055751834,3.8595237055751834,3.8595237055751834,3.8595237055751834,3.8595660710571007,3.8595660710571007,3.8595660710571007,3.8595660710571007,3.8595660710571007,3.8595660710571007,3.8595660710571007,3.8595660710571007,3.8595660710571007,3.8595660710571007,3.8592403735327547,3.8592403735327547,3.8592403735327547,3.8592403735327547,3.8592403735327547,3.8592403735327547,3.8592403735327547,3.8592403735327547,3.858932440261553,3.858932440261553,-182.81927645558855,-178.91587804071412,-176.67623372091987,-176.67623372091987,-176.67623372091987,-271.4330283583643,-271.4330283583643,-271.4330283583643,-366.7170025960804,-366.7170025960804,-366.7170025960804,-366.7170025960804,-363.5431508118511,-361.657271288752,-361.8310958985056,-361.8310958985056,-362.10415104002163,-362.10415104002163,-361.05485234808003,-361.05485234808003,-361.05485234808003,-361.05485234808003,-361.05485234808003,-361.05485234808003,-361.10780700856424,-361.10780700856424,-361.10780700856424,-361.10780700856424,-361.10780700856424,-361.10780700856424,-361.10780700856424,-361.10780700856424,-361.10780700856424,-361.10780700856424,-361.10780700856424,-361.10780700856424,-361.10780700856424,-361.10780700856424,-361.10780700856424,-361.10780700856424,-261.2014254723008	0.9931903919404012	4.909543490149337	13	true	540
32	23	23	100	85668	569646	4557168	0	0	-573.1517013509248	20.831807539264197	54.23543459001151	55.10348989966926	-191.49327293997726,-191.49327293997726,-191.49327293997726,8.506725547053405,8.506725547053405,8.50671220547734,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.5065707446845,8.506239087018647,8.506239087018647,8.506239087018647,8.506239087018647,8.506239087018647,8.506239087018647,8.506239087018647,8.506239087018647,8.506239087018647,8.506239087018647,8.506239087018647,8.506239087018647,8.506239087018647,8.506239087018647,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.50592756023232,8.505860330707682,8.505860330707682,8.505860330707682,8.505860330707682,8.505860330707682,8.505860330707682,8.505860330707682,8.505860330707682,20.831807539264197,20.831807539264197,20.831807539264197,20.831807539264197,20.831807539264197,20.831807539264197,20.831807539264197,20.831807539264197,19.691940776355864,19.691940776355864,-164.19918142658315,-164.19918142658315,-164.19918142658315,-159.84503954844004,-159.84503954844004,-159.84503954844004,-159.8454940004255,-159.8454940004255,-156.11074860548484,-157.26929013990681,-162.5980240769779,-567.9744266381729,-573.1517013509248,-573.1517013509248,-573.1517013509248	0.99312042608257	20.831807539264197	11	true	613
33	26	25	100	92512	591228	4729824	0	0	-59.86377110910804	31.119487448262323	56.72175851905834	56.79899011434398	22.15583826607053,22.15583826607053,22.15583826607053,22.15583826607053,22.15583826607053,22.155776103820525,22.155776103820525,22.155776103820525,22.155776103820525,22.155776103820525,22.155776103820525,22.155776103820525,22.155776103820525,22.15556074220306,22.15556074220306,22.15556074220306,22.155579256068958,22.155579256068958,22.155579256068958,22.155472645091674,22.155472645091674,22.155472645091674,22.155332467917997,26.450846226388347,31.119487448262323,18.999194398663082,18.999194398663082,18.999194398663082,18.999194398663082,18.999194398663082,18.999194398663082,18.999194398663082,18.999194398663082,18.999194398663082,18.999194398663082,18.999194398663082,18.999194398663082,18.999194398663082,18.999194398663082,18.999194398663082,18.999194398663082,-183.8893510942903,-183.88966691524888,-183.88966691524888,-183.88966691524888,-183.88966691524888,-183.88966691524888,-183.88966691524888,-183.88966691524888,-183.88966691524888,-183.88966691524888,-183.88966691524888,-183.88966691524888,-183.88966691524888,-183.88966691524888,-183.88966691524888,-183.88966691524888,-189.0336390168733,-189.0336390168733,-189.0336390168733,-189.0336390168733,-189.0336390168733,-189.0336390168733,-189.0336390168733,-189.0336390168733,-189.0336390168733,-189.0336390168733,-189.0336390168733,-189.0336390168733,-189.0336390168733,-189.0336390168733,-189.0336390168733,-189.0336390168733,-189.0336390168733,-174.52965783986633,-174.52965783986633,-174.52965783986633,-174.52965783986633,-169.40120336492805,-169.40120336492805,-169.40120336492805,-169.40120336492805,-169.47046977175432,-169.47046977175432,-171.53839573888385,-171.53839573888385,-171.53839573888385,-171.53839573888385,-266.95645150639797,-463.6119435149259,-362.1776697237078,-362.1776697237078,-362.1776697237078,-362.1776697237078,-362.1776697237078,-362.1776697237078,-362.1776697237078,-359.8637695270588,-359.8637695270588,-59.86377110910804	0.992365715998567	31.119487448262323	8	true	553
34	27	24	100	90839	581130	4649040	0	0	-67.18643060876991	30.280862001498424	50.8561891706757	50.91755850992668	19.697155252875817,19.697155252875817,19.697155252875817,19.697155252875817,19.697099640950896,19.697099640950896,19.697099640950896,19.697099640950896,19.697048451635155,19.696986305966348,19.696986305966348,19.696986305966348,19.696986305966348,19.696986305966348,19.69687310660686,19.696722674153875,23.485953271365197,26.68032152621858,26.68032152621858,30.280862001498424,30.280862001498424,30.280862001498424,30.280862001498424,30.280862001498424,5.086310384044037,-2.1625813191313803,-5.800709223552115,-5.800709223552115,-5.800709223552115,-5.800709223552115,-5.8009826514671765,-5.8009826514671765,-5.8009826514671765,-2.0147098646834394,-2.0147098646834394,-2.0147098646834394,-2.0147098646834394,-2.0147098646834394,-2.982207432177759,-2.982207432177759,-2.982207432177759,-2.982207432177759,-2.982207432177759,-2.982207432177759,-2.982207432177759,-2.982207432177759,-0.9456057878168735,-4.716935283146338,-4.716935283146338,-4.716935283146338,-4.716935283146338,-4.716935283146338,-4.716935283146338,-4.716935283146338,-4.716935283146338,-102.39483712762737,-102.39483712762737,-102.39483712762737,-102.39483712762737,-102.39483712762737,-123.61688981546456,-123.61688981546456,-123.61688981546456,-123.61688981546456,-113.1211457143447,-106.25681148499388,-109.03697507933062,-109.03697507933062,-109.03697507933062,-91.43785063289783,-91.43785063289783,-91.43785063289783,-87.01970184265902,-87.03759025162391,-87.03759025162391,-87.03759025162391,-88.10815394485704,-88.76325124335868,-94.35971918444444,-94.35971918444444,-94.35971918444444,-94.35971918444444,-94.35971918444444,-94.35971918444444,-94.35971918444444,-94.35971918444444,-94.35971918444444,-94.35971918444444,-94.35971918444444,-94.35971918444444,-81.13004786023126,-81.13004786023126,-81.13004786023126,-75.16693326608483,-69.79623693889064,-67.18643060876991,-67.18643060876991,-67.18643060876991,-67.18643060876991,-67.18643060876991	0.9918044538349623	30.280862001498424	8	true	661
