# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 3
# run: 0910fb86-dbd3-41ad-b471-00db5cd753c8
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	21	5557	10710	85680	0	0	-1654.8796607964573	-1654.8796607964573	-1654.8796607964573	-1654.8796607964573	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1854.1321030893819,-1855.5739443138805,-1855.5739443138805,-1663.9075764839133,-1659.1925899724579,-1657.8901093569955,-1655.9231096966025,-1655.9231096966025,-1655.9179125587586,-1654.8991739636192,-1654.8991739636192,-1654.8991739636192,-1654.8991739636192,-1654.8991739636192,-1654.8796607964573,-1654.8796607964573	0.9968457241868389	-1654.8796607964573	1	true	339
26	15	15	14	3681	7140	57120	0	0	-1647.2094342706857	-1647.2094342706857	-1647.2094342706857	-1647.2094342706857	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1647.2094342706857,-1647.2094342706857	0.9964541127788218	-1647.2094342706857	1	true	50
27	15	15	14	3566	7140	57120	0	0	-1645.9892088943413	-1645.9892088943413	-1645.9892088943413	-1645.9892088943413	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1646.9996170591114,-1646.9996170591114,-1646.9996170591114,-1646.9996170591114,-1646.9996170591114,-1646.9996170591114,-1646.9996170591114,-1645.9892088943413,-1645.9892088943413	0.9960270797844731	-1645.9892088943413	1	true	43
28	15	15	59	14655	30090	240720	0	0	-1642.9521984227183	-1642.9521984227183	-1642.9521984227183	-1642.9521984227183	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5389107342598,-1643.5280908551351,-1643.5280908551351,-1642.9714564702094,-1642.9714564702094,-1642.9714564702094,-1642.9714564702094,-1642.9714564702094,-1642.9714564702094,-1642.9714564702094,-1642.9714564702094,-1642.9714564702094,-1642.9714564702094,-1642.9714564702094,-1642.9714564702094,-1642.9714564702094,-1642.9521984227183,-1642.9521984227183	0.9960270797844731	-1642.9521984227183	0	true	61
29	15	15	24	5811	12240	97920	0	0	-850.7658093877685	-850.7658093877685	-850.7658093877685	-850.7658093877685	-Infinity,-1293.3848248063503,-1293.3848248063503,-1292.555008599599,-1096.7657956398652,-1096.7657956398652,-998.945805476364,-998.945805476364,-998.7477295544159,-998.7477295544159,-998.7477295544159,-998.7477295544159,-998.7477295544159,-998.7477295544159,-900.7815898762426,-900.7815898762426,-900.7815898762426,-900.7658089616081,-900.7658089616081,-900.7658089616081,-900.7658089616081,-900.7658089616081,-850.7658093877685,-850.7658093877685	0.9960270797844731	-850.7658093877685	0	true	33
30	16	16	13	3127	6630	53040	0	0	-850.0029038597031	-850.0029038597031	-850.0029038597031	-850.0029038597031	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-850.8025883273389,-850.8025883273389,-850.8025883273389,-850.8025883273389,-850.8025883273389,-850.0029038597031,-850.0029038597031	0.9956367112391343	-850.0029038597031	0	true	31
31	16	16	53	11978	27030	216240	0	0	-850.9959814944743	-850.9959814944743	-850.9959814944743	-850.9959814944743	-852.0079697738639,-852.0079697738639,-852.0079697738639,-852.0079697738639,-852.0079697738639,-852.0079697738639,-852.0079697738639,-852.0079697738639,-852.0079697738639,-852.0079697738639,-852.0079697738639,-852.0079697738639,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-851.1410872711814,-850.9959814944743,-850.9959814944743	0.9954268136656409	-850.9959814944743	0	true	39
32	18	18	4	864	2040	16320	0	0	-848.6078913363735	-848.6078913363735	-848.6078913363735	-848.6078913363735	-849.689054573863,-849.689054573863,-848.6078913363735,-848.6078913363735	0.9952702129681755	-848.6078913363735	0	true	21
33	18	18	21	4368	10710	85680	0	0	-847.1821098468686	-847.1821098468686	-847.1821098468686	-847.1821098468686	-854.7823742562152,-849.8545488790796,-849.8545488790796,-849.7191627536174,-849.0412716038196,-849.0412716038196,-849.0412716038196,-848.3400682932079,-848.3400682932079,-848.3400682932079,-848.3400682932079,-848.265669531967,-848.265669531967,-848.265669531967,-848.265669531967,-848.265669531967,-848.265669531967,-848.265669531967,-848.265669531967,-847.1821098468686,-847.1821098468686	0.9949686359947655	-847.1821098468686	0	true	26
34	18	18	7	1434	3570	28560	0	0	-847.0331003019551	-847.0331003019551	-847.0331003019551	-847.0331003019551	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-847.0331003019551,-847.0331003019551	0.9948311168948906	-847.0331003019551	0	true	19
