# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 28
# run: 09cdd0fc-8882-4361-977e-7c5842054c72
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	16	4237	8160	65280	0	0	-1652.1340922168097	-1652.1340922168097	-1652.1340922168097	-1652.1340922168097	-Infinity,-Infinity,-Infinity,-Infinity,-1755.9194826834964,-1753.9765668856608,-1753.9765668856608,-1753.9765668856608,-1753.9765668856608,-1656.00683568573,-1654.1002010918135,-1654.1002010918135,-1654.1002010918135,-1654.1002010918135,-1652.1340922168097,-1652.1340922168097	0.9961066961054532	-1652.1340922168097	1	true	271
26	15	15	7	1840	3570	28560	0	0	-1647.0438622515433	-1647.0438622515433	-1647.0438622515433	-1647.0438622515433	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1647.0438622515433,-1647.0438622515433	0.9960270797844731	-1647.0438622515433	1	true	35
27	15	15	6	1534	3060	24480	0	0	-1645.0415146298983	-1645.0415146298983	-1645.0415146298983	-1645.0415146298983	-Infinity,-Infinity,-Infinity,-Infinity,-1645.0415146298983,-1645.0415146298983	0.9960270797844731	-1645.0415146298983	1	true	30
28	16	16	5	1257	2550	20400	0	0	-1643.2298993706677	-1643.2298993706677	-1643.2298993706677	-1643.2298993706677	-Infinity,-Infinity,-Infinity,-1643.2298993706677,-1643.2298993706677	0.995805594344244	-1643.2298993706677	0	true	29
29	16	16	24	5765	12240	97920	0	0	-1642.3330174648347	-1642.3330174648347	-1642.3330174648347	-1642.3330174648347	-Infinity,-Infinity,-Infinity,-Infinity,-1643.9848014982472,-1643.9848014982472,-1643.9848014982472,-1643.9848014982472,-1643.1782107402069,-1643.1782107402069,-1643.1782107402069,-1643.1782107402069,-1643.1782107402069,-1643.1782107402069,-1643.1782107402069,-1643.1782107402069,-1643.1782107402069,-1643.1782107402069,-1643.1782107402069,-1643.1782107402069,-1643.1782107402069,-1643.1782107402069,-1642.3330174648347,-1642.3330174648347	0.9954268136656409	-1642.3330174648347	0	true	31
30	17	17	38	9044	19380	155040	0	0	-852.8683309907034	-852.8683309907034	-852.8683309907034	-852.8683309907034	-1541.3457230257015,-1443.279729697181,-1345.0693749274817,-1345.0693749274817,-1345.0693749274817,-1247.1957566678868,-1247.1957566678868,-1247.1957566678868,-1247.1957566678868,-1247.177059262071,-1247.177059262071,-1052.3184159134826,-1050.4598013481382,-1050.4598013481382,-1050.4598013481382,-1050.4598013481382,-952.4689709410758,-952.4689709410758,-952.4689709410758,-853.6688499205412,-853.6688499205412,-853.6688499205412,-853.6688499205412,-853.6688499205412,-853.6688499205412,-853.6688499205412,-853.6688499205412,-853.6688499205412,-853.6688499205412,-853.6688499205412,-853.6688499205412,-853.6688499205412,-853.6688499205412,-853.6688499205412,-853.6688499205412,-853.6688499205412,-852.8683309907034,-852.8683309907034	0.9952876130456717	-852.8683309907034	0	true	34
31	18	18	12	2747	6120	48960	0	0	-849.3983763055282	-849.3983763055282	-849.3983763055282	-849.3983763055282	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-849.3983763055282,-849.3983763055282	0.9952147228050682	-849.3983763055282	0	true	22
32	18	18	25	5510	12750	102000	0	0	-850.7979547017572	-850.7979547017572	-850.7979547017572	-850.7979547017572	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-850.9813487907342,-850.9813487907342,-850.9813487907342,-850.9813487907342,-850.9813487907342,-850.9813487907342,-850.9813487907342,-850.9813487907342,-850.9813487907342,-850.9813487907342,-850.9813487907342,-850.9813487907342,-850.9813487907342,-850.9813487907342,-850.7979547017572,-850.7979547017572	0.9949686359947655	-850.7979547017572	0	true	28
33	18	18	6	1284	3060	24480	0	0	-653.6909035800737	-653.6909035800737	-653.6909035800737	-653.6909035800737	-755.7823562791369,-654.5000134665958,-654.5000134665958,-654.5000134665958,-653.6909035800737,-653.6909035800737	0.9945946805477371	-653.6909035800737	0	true	20
34	21	21	25	5253	12750	102000	0	0	-647.5127146363723	-647.5127146363723	-647.5127146363723	-647.5127146363723	-Infinity,-Infinity,-655.1780431949522,-653.197782950724,-653.197782950724,-653.197782950724,-651.7640693323939,-649.8205467493464,-649.8205467493464,-649.8205467493464,-649.8205467493464,-649.1381146187482,-649.5380420713584,-649.5380420713584,-649.5380420713584,-649.5380420713584,-649.4810654193875,-649.4810654193875,-649.4810654193875,-648.1628705100038,-648.1628705100038,-648.1628705100038,-648.1628705100038,-647.5127146363723,-647.5127146363723	0.993575679370673	-647.5127146363723	0	true	27
