# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 21
# run: 0a8897b2-b7d7-4211-8eb2-384aa51fded5
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	54400	323730	2589840	0	0	-1657.3161237286358	-1657.2466385351677	-1652.1047235759308	-1653.0645626790117	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1664.3989243227718,-1664.3989243227718,-1664.3989243227718,-1664.3989243227718,-1664.3989243227718,-1664.3989243227718,-1664.3989243227718,-1665.178581216528,-1663.187949337274,-1665.831212943784,-1661.2461962758102,-1661.2461962758102,-1661.2461962758102,-1661.2461962758102,-1661.2461962758102,-1661.2461962758102,-1661.2461962758102,-1657.2466385351677,-1657.2466385351677,-1657.2466385351677,-1657.2466385351677,-1657.2466385351677,-1657.2466385351677,-1657.2466385351677,-1657.291817471245,-1657.291817471245,-1657.291817471245,-1657.291817471245,-1657.291817471245,-1657.291817471245,-1657.3262040913778,-1657.3262040913778,-1657.3262040913778,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1659.3943444651143,-1657.3161237286358,-1657.3161237286358	0.9960270797844731	-1657.2466385351677	3	true	1265
26	16	16	100	54200	325908	2607264	0	0	-1644.3974446301727	-1644.3974446301727	-1644.3974446301727	-1644.3974446301727	-Infinity,-Infinity,-Infinity,-Infinity,-1650.8634754682125,-1650.8634754682125,-1650.8634754682125,-1650.8634754682125,-1650.8634754682125,-1650.8634754682125,-1650.8634754682125,-1650.8634754682125,-1650.8634754682125,-1650.8634754682125,-1650.8634754682125,-1650.8634754682125,-1650.8634754682125,-1650.8634754682125,-1650.8634754682125,-1649.1185357652619,-1649.1185357652619,-1649.1185357652619,-1649.1185357652619,-1649.1185357652619,-1649.1185357652619,-1649.1185357652619,-1649.1185357652619,-1649.1185357652619,-1649.1185357652619,-1649.1185357652619,-1649.1185357652619,-1646.1181950765542,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727,-1644.3974446301727	0.9958381646573722	-1644.3974446301727	0	true	636
27	16	16	100	51200	316008	2528064	0	0	-1644.4413546229039	-1644.4413546229039	-1644.4413546229039	-1644.4413546229039	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1648.0704958569927,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039,-1644.4413546229039	0.9954268136656409	-1644.4413546229039	0	true	291
28	16	16	100	50600	310068	2480544	0	0	-1642.8424179358258	-1642.8424179358258	-1642.8424179358258	-1642.8424179358258	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1646.4864474072178,-1644.0217884293436,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258,-1642.8424179358258	0.9954268136656409	-1642.8424179358258	0	true	261
29	18	18	100	48000	312444	2499552	0	0	-1640.4006291056396	-1640.4006291056396	-1640.4006291056396	-1640.4006291056396	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1645.526587226383,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1642.252866996589,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396,-1640.4006291056396	0.9952702129681755	-1640.4006291056396	0	true	304
30	18	18	100	47400	306504	2452032	0	0	-876.2675895636138	-870.556224625858	-852.7460246353546	-853.0874214468517	-886.1095075532587,-886.1095075532587,-886.1288773263886,-886.1288773263886,-886.1288773263886,-870.556224625858,-875.1049524726795,-875.1049524726795,-875.1049524726795,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-881.5084734548859,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-878.2465210602699,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138,-876.2675895636138	0.9948311168948906	-870.556224625858	9	true	259
31	19	19	100	44000	296802	2374416	0	0	-658.014618561081	-657.5967389051285	-651.2164956742762	-651.1366530739068	-Infinity,-Infinity,-668.8313868092562,-668.8313868092562,-668.8313868092562,-668.8313868092562,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-663.7694156546152,-664.0723024498384,-664.0723024498384,-664.0723024498384,-664.0723024498384,-664.0723024498384,-664.0723024498384,-664.0723024498384,-664.0723024498384,-664.0723024498384,-664.0723024498384,-664.0723024498384,-664.0723024498384,-660.4569046910653,-660.4569046910653,-660.4569046910653,-660.4569046910653,-660.4569046910653,-660.4569046910653,-660.4569046910653,-660.4569046910653,-660.4569046910653,-660.4569046910653,-657.5967389051285,-657.5967389051285,-658.014618561081,-658.014618561081,-658.014618561081,-658.014618561081	0.994524166368136	-657.5967389051285	5	true	259
32	21	20	100	43400	295020	2360160	0	0	-651.3882132856312	-651.3882132856312	-648.7432711742498	-648.7432711742498	-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-661.1021978987355,-657.978462522546,-655.1214225360353,-656.6658189911043,-656.6658189911043,-656.6658189911043,-656.6658189911043,-656.6658189911043,-656.6658189911043,-656.6658189911043,-656.6658189911043,-656.6658189911043,-656.6658189911043,-656.6658189911043,-656.6658189911043,-656.6658189911043,-656.6658189911043,-656.6658189911043,-656.6658189911043,-656.6658189911043,-653.3879155256965,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312,-651.3882132856312	0.9938310145414936	-651.3882132856312	3	true	264
33	23	22	100	68159	297396	2379168	0	0	-648.6899322219068	-648.6899322219068	-646.8276611728081	-646.8276611728081	-Infinity,-Infinity,-656.5717693657206,-656.5717693657206,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-658.6715694755485,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-651.5509752873664,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068,-648.6899322219068	0.9931464165344603	-648.6899322219068	2	true	266
34	25	23	100	68594	297594	2380752	0	0	-645.7294790032156	-645.7294790032156	-644.7143345780676	-644.7143345780676	-656.6705628823505,-656.6705628823505,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-653.4226941894825,-651.8155352804782,-651.8155352804782,-651.8155352804782,-651.8155352804782,-651.8155352804782,-651.8155352804782,-648.9797890600246,-648.9797890600246,-648.9797890600246,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-649.4365900379805,-647.7016176364801,-647.7016176364801,-647.7016176364801,-647.7016176364801,-647.7016176364801,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156,-645.7294790032156	0.9926633085004497	-645.7294790032156	1	true	254
