# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 30
# run: 0aefa724-2013-4231-a64d-195975bc23db
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	23	6123	20976	167808	0	0	-2096.322357398487	-2096.322357398487	-2096.322357398487	-2096.322357398487	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2096.322357398487,-2096.322357398487	0.9960270797844731	-2096.322357398487	2	true	357
26	15	15	15	3944	13680	109440	0	0	-2038.356746255687	-2038.356746255687	-2038.356746255687	-2038.356746255687	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2038.356746255687,-2038.356746255687	0.9960270797844731	-2038.356746255687	2	true	60
27	15	15	22	5570	20064	160512	0	0	-2035.7735078772162	-2035.7735078772162	-2035.7735078772162	-2035.7735078772162	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2035.7735078772162,-2035.7735078772162	0.9960270797844731	-2035.7735078772162	2	true	67
28	16	16	25	6204	22800	182400	0	0	-2031.5976377708691	-2031.5976377708691	-2031.5976377708691	-2031.5976377708691	-Infinity,-Infinity,-Infinity,-2035.3869799674462,-2034.3818275627407,-2033.4918699477735,-2033.4918699477735,-2033.4918699477735,-2033.4918699477735,-2033.4918699477735,-2033.473718482459,-2033.473718482459,-2033.473718482459,-2032.497090804361,-2032.497090804361,-2032.497090804361,-2032.497090804361,-2032.497090804361,-2032.497090804361,-2032.497090804361,-2032.497090804361,-2032.497090804361,-2032.497090804361,-2031.5976377708691,-2031.5976377708691	0.9956692815522626	-2031.5976377708691	1	true	55
29	16	16	22	5154	20064	160512	0	0	-1138.061202337344	-1138.061202337344	-1138.061202337344	-1138.061202337344	-Infinity,-Infinity,-Infinity,-1286.4843732365662,-1286.4843732365662,-1286.4843732365662,-1286.4843732365662,-1235.6615672154046,-1235.6615672154046,-1235.6615672154046,-1235.6615672154046,-1235.6615672154046,-1235.6615672154046,-1235.6615672154046,-1235.6615672154046,-1235.6615672154046,-1235.6615672154046,-1235.6615672154046,-1235.6615672154046,-1235.6615672154046,-1138.061202337344,-1138.061202337344	0.9954268136656409	-1138.061202337344	3	true	49
30	18	18	33	7530	30096	240768	0	0	-1128.9196792966554	-1128.9196792966554	-1128.9196792966554	-1128.9196792966554	-Infinity,-Infinity,-Infinity,-Infinity,-1135.2098554496267,-1133.447871540277,-1131.180632107067,-1131.0252129158903,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1129.8679409964307,-1128.9196792966554,-1128.9196792966554	0.9952147228050682	-1128.9196792966554	0	true	60
31	18	18	21	4496	19152	153216	0	0	-1131.222632299613	-1131.222632299613	-1131.222632299613	-1131.222632299613	-Infinity,-1233.1177769395797,-1183.1178238180216,-1181.4077759093814,-1181.4077759093814,-1181.4077759093814,-1181.4077759093814,-1181.4077759093814,-1181.4077759093814,-1131.4077889371158,-1131.4077889371158,-1131.4077889371158,-1131.4077889371158,-1131.4077889371158,-1131.4077889371158,-1131.4077889371158,-1131.4077889371158,-1131.4077889371158,-1131.4077889371158,-1131.222632299613,-1131.222632299613	0.9949686359947655	-1131.222632299613	0	true	52
32	18	18	8	1593	7296	58368	0	0	-836.7659318766822	-836.7659318766822	-836.7659318766822	-836.7659318766822	-Infinity,-Infinity,-Infinity,-Infinity,-935.1580684337019,-935.1580684337019,-836.7659318766822,-836.7659318766822	0.9945946805477371	-836.7659318766822	1	true	52
33	19	19	17	3299	15504	124032	0	0	-835.9515650121465	-835.9515650121465	-835.9515650121465	-835.9515650121465	-836.577467175986,-836.4818350797572,-836.4818350797572,-836.4818350797572,-836.4818350797572,-836.4818350797572,-836.4818350797572,-836.4818350797572,-836.4818350797572,-836.4818350797572,-836.4818350797572,-839.1132574732368,-837.5324825753515,-837.5324825753515,-836.8549285591756,-835.9515650121465,-835.9515650121465	0.9941695118474059	-835.9515650121465	0	true	43
34	22	22	11	2090	10032	80256	0	0	-834.0125408441187	-834.0125408441187	-834.0125408441187	-834.0125408441187	-839.1529826856736,-838.8317320962461,-837.9984596603232,-837.9984596603232,-835.1856532863827,-835.1856532863827,-834.7983082852254,-834.7983082852254,-834.7983082852254,-834.0125408441187,-834.0125408441187	0.9933979500076767	-834.0125408441187	0	true	43
