# solver: Greedy
# max_time: 300000
# main_solver: Greedy
# random.seed: 19
# run: 0ea2a354-e035-4b43-ac8f-2d9df63fa2d4
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	0	0	0	0	0	-1367.136161944132	-1367.136161944132	-1167.0534088120448	-1167.0534088120448	-1367.136161944132	0.9960270797844731	-1367.136161944132	2	true	598
26	16	16	1	0	0	0	0	0	-1362.5436105641475	-1362.5436105641475	-1159.7758265308887	-1159.7758265308887	-1362.5436105641475	0.9958381646573722	-1362.5436105641475	2	true	15
27	16	16	1	0	0	0	0	0	-1361.9069439986833	-1361.9069439986833	-1160.1542704288483	-1160.1542704288483	-1361.9069439986833	0.9955956967707507	-1361.9069439986833	2	true	11
28	16	16	1	0	0	0	0	0	-1362.2328939415918	-1362.2328939415918	-1158.7587568023735	-1158.7587568023735	-1362.2328939415918	0.9954268136656409	-1362.2328939415918	3	true	10
29	18	18	1	0	0	0	0	0	-1411.2578616998528	-1411.2578616998528	-1156.6794296384971	-1156.6794296384971	-1411.2578616998528	0.9952702129681755	-1411.2578616998528	3	true	10
30	18	18	1	0	0	0	0	0	-1410.7475990928654	-1410.7475990928654	-1156.2404418348603	-1156.2404418348603	-1410.7475990928654	0.9949686359947655	-1410.7475990928654	3	true	12
31	19	19	1	0	0	0	0	0	-1164.6005921919586	-1164.6005921919586	-1156.9922343170276	-1156.9922343170276	-1164.6005921919586	0.994524166368136	-1164.6005921919586	4	true	17
32	20	20	1	0	0	0	0	0	-1163.5396192985954	-1163.5396192985954	-1155.9623973833857	-1155.9623973833857	-1163.5396192985954	0.9940017253858359	-1163.5396192985954	4	true	9
33	23	23	1	0	0	0	0	0	-1171.9662758251256	-1171.9662758251256	-1156.463272480501	-1156.463272480501	-1171.9662758251256	0.9931903919404012	-1171.9662758251256	6	true	10
34	24	24	1	0	0	0	0	0	-1220.2863428661633	-1220.2863428661633	-1155.6504752201647	-1155.6504752201647	-1220.2863428661633	0.9929386025836923	-1220.2863428661633	6	true	9
