# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 17
# run: 11d1bca7-8784-45ae-88c8-821c0a0c61cf
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	38	10142	82080	656640	0	0	-2936.5403213354225	-2936.5403213354225	-2936.5403213354225	-2936.5403213354225	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2949.489542962491,-2948.5808832899766,-2944.6093781637824,-2950.367877711642,-2947.8043361723217,-2950.089571645706,-2942.956729419974,-2942.956729419974,-2941.892654839894,-2941.892654839894,-2941.892654839894,-2941.892654839894,-2938.69596260971,-2938.69596260971,-2938.69596260971,-2938.69596260971,-2938.69596260971,-2938.69596260971,-2937.635028743355,-2937.635028743355,-2936.5403213354225,-2936.5403213354225	0.995805594344244	-2936.5403213354225	6	false	533
26	16	16	11	2872	23760	190080	0	0	-2977.3835608501313	-2977.3835608501313	-2977.3835608501313	-2977.3835608501313	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2977.3835608501313,-2977.3835608501313	0.9955956967707507	-2977.3835608501313	6	false	172
27	17	17	51	12956	110160	881280	0	0	-2970.379011324824	-2970.379011324824	-2970.379011324824	-2970.379011324824	-Infinity,-2980.2194890285755,-2975.396906565315,-2975.396906565315,-2974.1473560086074,-2974.1449381850107,-2973.421169251696,-2973.421169251696,-2973.421169251696,-2972.5763113104117,-2972.5763113104117,-2970.6579658989062,-2970.6579658989062,-2970.6579658989062,-2970.6579658989062,-2970.6579658989062,-2970.6579658989062,-2970.6579658989062,-2970.6579658989062,-2970.6579658989062,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.652807379863,-2970.6243262934786,-2970.6243262934786,-2970.6243262934786,-2970.6243262934786,-2970.6243262934786,-2970.6243262934786,-2970.6243262934786,-2970.6243262934786,-2970.379011324824,-2970.379011324824	0.9952876130456717	-2970.379011324824	5	false	154
28	18	18	6	1474	12960	103680	0	0	-3019.305289771005	-3019.305289771005	-3019.305289771005	-3019.305289771005	-Infinity,-Infinity,-Infinity,-3020.2926193058356,-3019.305289771005,-3019.305289771005	0.995024126157873	-3019.305289771005	4	false	100
29	18	18	32	7087	69120	552960	0	0	-1235.1943693636629	-1235.1943693636629	-1235.1943693636629	-1235.1943693636629	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1633.4099800266079,-1633.4099800266079,-1536.231241738629,-1436.8173491566608,-1337.8559266045436,-1337.8559266045436,-1337.8559266045436,-1337.2742830129905,-1238.7180773458874,-1238.181982729096,-1236.4444368150735,-1235.8040274579034,-1235.8040274579034,-1235.8040274579034,-1235.8040274579034,-1235.8040274579034,-1235.8040274579034,-1235.5491135674504,-1237.0234968993607,-1237.0234968993607,-1237.0234968993607,-1237.0234968993607,-1237.0234968993607,-1235.1943693636629,-1235.1943693636629	0.9947478816502295	-1235.1943693636629	9	false	125
30	20	20	35	7382	75600	604800	0	0	-724.8338319548546	-724.8338319548546	-724.8338319548546	-724.8338319548546	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1024.3234497227947,-1024.3234497227947,-924.4988488688956,-926.1838765262531,-934.1009717279188,-935.1457535519442,-930.8073474330333,-930.8073474330333,-930.8073474330333,-930.8073474330333,-929.7537218586067,-926.4931853081077,-926.4931853081077,-926.4931853081077,-828.9654432332068,-827.3801721475141,-827.3801721475141,-827.3801721475141,-827.3801721475141,-826.0763950194163,-826.0763950194163,-724.8338319548546,-724.8338319548546	0.9943563799065661	-724.8338319548546	7	true	116
31	22	22	45	9192	97200	777600	0	0	-715.8989066949315	-715.8989066949315	-715.8989066949315	-715.8989066949315	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-721.4476270300906,-717.2834320351841,-717.2834320351841,-717.2834320351841,-717.2834320351841,-717.0815608732588,-717.0815608732588,-717.0815608732588,-716.8428093409306,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-716.8251807757991,-715.8989066949315,-715.8989066949315	0.9933681213033975	-715.8989066949315	4	true	149
32	23	23	6	1188	12960	103680	0	0	-708.7461712430952	-708.7461712430952	-708.7461712430952	-708.7461712430952	-Infinity,-Infinity,-Infinity,-Infinity,-708.7461712430952,-708.7461712430952	0.9931903919404012	-708.7461712430952	3	true	83
33	25	25	5	964	10800	86400	0	0	-702.8580433208068	-702.8580433208068	-702.8580433208068	-702.8580433208068	-Infinity,-Infinity,-Infinity,-702.8580433208068,-702.8580433208068	0.992750053004438	-702.8580433208068	1	true	80
34	27	27	21	3801	45360	362880	0	0	49.88523506963604	49.88523506963604	49.88523506963604	49.88523506963604	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,49.88523506963604,49.88523506963604	0.9920211871531864	49.88523506963604	0	true	94
