# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 10
# run: 15b3da1d-c5c6-43e7-a5e2-5d14568c2430
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	52	13811	47424	379392	0	0	-2045.102483527907	-2045.102483527907	-2045.102483527907	-2045.102483527907	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2147.3772117988174,-2147.3772117988174,-2147.334804101226,-2147.3024690227594,-2147.374263783617,-2147.374263783617,-2147.374263783617,-2146.4398300341845,-2144.1129491024853,-2144.1129491024853,-2144.1129491024853,-2144.076144413085,-2144.065224242451,-2046.0932448058215,-2045.1142316043724,-2045.1142316043724,-2045.1142316043724,-2045.1142316043724,-2045.1142316043724,-2045.1142316043724,-2045.1142316043724,-2045.1142316043724,-2045.1142316043724,-2045.1142316043724,-2045.1142316043724,-2045.1142316043724,-2045.102483527907,-2045.102483527907	0.9960270797844731	-2045.102483527907	2	true	388
26	15	15	21	5522	19152	153216	0	0	-2037.1261972701666	-2037.1261972701666	-2037.1261972701666	-2037.1261972701666	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2037.1261972701666,-2037.1261972701666	0.9960270797844731	-2037.1261972701666	2	true	68
27	16	16	12	3031	10944	87552	0	0	-2031.05444148322	-2031.05444148322	-2031.05444148322	-2031.05444148322	-Infinity,-Infinity,-2032.414382571107,-2032.414382571107,-2032.414382571107,-2032.414382571107,-2032.414382571107,-2032.414382571107,-2032.414382571107,-2032.414382571107,-2031.05444148322,-2031.05444148322	0.9958381646573722	-2031.05444148322	0	true	47
28	16	16	26	6346	23712	189696	0	0	-2031.9974427944935	-2031.9974427944935	-2031.9974427944935	-2031.9974427944935	-Infinity,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2032.680240225374,-2031.9974427944935,-2031.9974427944935	0.9955956967707507	-2031.9974427944935	0	true	58
29	17	17	15	3588	13680	109440	0	0	-1131.6360696374609	-1131.6360696374609	-1131.6360696374609	-1131.6360696374609	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1131.6360696374609,-1131.6360696374609	0.9952876130456717	-1131.6360696374609	0	true	55
30	18	18	19	4332	17328	138624	0	0	-1127.2109440279378	-1127.2109440279378	-1127.2109440279378	-1127.2109440279378	-1129.1874615095335,-1129.1874615095335,-1129.1874615095335,-1129.1874615095335,-1129.1874615095335,-1129.1874615095335,-1129.1874615095335,-1129.1874615095335,-1129.1874615095335,-1129.1874615095335,-1129.1874615095335,-1128.1148536098892,-1128.1148536098892,-1128.1148536098892,-1128.1148536098892,-1128.1148536098892,-1128.1148536098892,-1127.2109440279378,-1127.2109440279378	0.9952702129681755	-1127.2109440279378	0	true	48
31	18	18	28	5841	25536	204288	0	0	-833.9708882196807	-833.9708882196807	-833.9708882196807	-833.9708882196807	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-932.6085356480415,-932.6085356480415,-932.6085356480415,-932.6085356480415,-932.6085356480415,-932.6085356480415,-932.6085356480415,-932.6085356480415,-834.2158075460546,-834.2158075460546,-834.2158075460546,-834.2158075460546,-834.2158075460546,-834.2158075460546,-834.2158075460546,-834.2158075460546,-834.2158075460546,-834.2158075460546,-833.9708882196807,-833.9708882196807	0.9948854007501045	-833.9708882196807	0	true	46
32	18	18	12	2435	10944	87552	0	0	-834.388409282005	-834.388409282005	-834.388409282005	-834.388409282005	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-834.388409282005,-834.388409282005	0.9947478816502295	-834.388409282005	0	true	39
33	20	20	7	1374	6384	51072	0	0	-830.9759403173865	-830.9759403173865	-830.9759403173865	-830.9759403173865	-Infinity,-832.9584414697853,-832.9584414697853,-831.209487560256,-831.209487560256,-830.9759403173865,-830.9759403173865	0.9940017253858359	-830.9759403173865	0	true	37
34	22	21	4	738	3648	29184	0	0	-832.103530878264	-832.103530878264	-832.103530878264	-832.103530878264	-836.6253589943087,-834.9168653748502,-832.103530878264,-832.103530878264	0.9934147286538336	-832.103530878264	0	true	36
35	23	23	11	1961	10032	80256	0	0	-827.8644170290153	-827.8644170290153	-827.8644170290153	-827.8644170290153	-Infinity,-829.2616542810935,-829.2616542810935,-828.6422848313828,-828.6422848313828,-828.6422848313828,-828.6422848313828,-828.6422848313828,-828.6422848313828,-827.8644170290153,-827.8644170290153	0.9931903919404012	-827.8644170290153	0	true	40
36	24	24	35	5822	31920	255360	0	0	-528.8882689222378	-528.8882689222378	-528.8882689222378	-528.8882689222378	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-627.4304806490613,-627.4304806490613,-627.4304806490613,-627.4304806490613,-627.4304806490613,-529.9591133180929,-528.9461307376802,-528.9461307376802,-528.9461307376802,-528.9461307376802,-528.9461307376802,-528.9461307376802,-528.9461307376802,-528.9461307376802,-528.9461307376802,-528.9461307376802,-528.9461307376802,-528.9461307376802,-528.9461307376802,-528.9461307376802,-528.9461307376802,-528.9461307376802,-528.8882689222378,-528.8882689222378	0.9928686367258611	-528.8882689222378	0	true	52
37	25	25	18	2896	16416	131328	0	0	-524.9311694589765	-524.9311694589765	-524.9311694589765	-524.9311694589765	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-526.0851435175753,-526.0851435175753,-526.942776276811,-526.942776276811,-526.942776276811,-526.942776276811,-526.0915402643166,-526.0341440085151,-526.0341440085151,-524.9311694589765,-524.9311694589765	0.9925332100218598	-524.9311694589765	0	true	42
38	29	29	15	2341	13680	109440	0	0	-522.2210670814956	-522.2210670814956	-522.2210670814956	-522.2210670814956	-524.7773493283878,-523.97731340667,-523.97731340667,-523.97731340667,-523.97731340667,-523.1767299892407,-523.1767299892407,-523.1767299892407,-523.1767299892407,-523.1767299892407,-523.1767299892407,-523.1767299892407,-523.5418044801966,-522.2210670814956,-522.2210670814956	0.9910958393344104	-522.2210670814956	0	true	43
39	29	27	14	2084	12768	102144	0	0	-576.073060583545	-576.073060583545	-576.073060583545	-576.073060583545	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-576.8540185121391,-576.8540185121391,-576.7738789543599,-576.073060583545,-576.073060583545	0.9911080120777006	-576.073060583545	0	true	37
40	32	31	32	4800	29184	233472	0	0	-618.6808013486087	-618.6808013486087	-618.6808013486087	-618.6808013486087	-Infinity,-672.6257492754706,-672.6257492754706,-672.6257492754706,-672.6257492754706,-672.0119605426297,-622.011963473322,-622.011963473322,-622.011963473322,-622.011963473322,-621.3945355731365,-621.3945355731365,-621.9959220351168,-621.9959220351168,-621.9959220351168,-621.5083207184788,-619.5089118375513,-619.5089118375513,-619.5089118375513,-619.4971311852005,-619.4971311852005,-618.696103501137,-618.696103501137,-618.696103501137,-618.696103501137,-618.696103501137,-618.696103501137,-618.696103501137,-618.696103501137,-618.696103501137,-618.6808013486087,-618.6808013486087	0.9906902274438701	-618.6808013486087	0	true	52
41	32	29	52	7384	47424	379392	0	0	-622.3985996744876	-622.3985996744876	-622.3985996744876	-622.3985996744876	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-622.7082508486625,-622.7082508486625,-622.7082508486625,-622.7082508486625,-622.7082508486625,-622.3988067136326,-622.3988067136326,-622.3988067136326,-622.3988067136326,-622.3988067136326,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3987327654116,-622.3986997327542,-622.3986997327542,-622.3986997327542,-622.3986997327542,-622.3986997327542,-622.3986997327542,-622.3986997327542,-622.3986997327542,-622.3986997327542,-622.3985996744876,-622.3985996744876	0.9907688567856645	-622.3985996744876	0	true	60
42	32	30	21	3066	19152	153216	0	0	-619.7214736800803	-619.7214736800803	-619.7214736800803	-619.7214736800803	-Infinity,-Infinity,-Infinity,-Infinity,-621.7148729358983,-621.7148729358983,-620.223271697828,-620.223271697828,-620.223271697828,-620.223271697828,-619.8937943860573,-619.8937943860573,-619.8937943860573,-619.8937943860573,-619.8937943860573,-619.8937943860573,-619.8937943860573,-619.8937943860573,-619.8937943860573,-619.7214736800803,-619.7214736800803	0.9902219606524297	-619.7214736800803	0	true	40
43	33	32	35	5390	31920	255360	0	0	-518.3897528186689	-518.3897528186689	-518.3897528186689	-518.3897528186689	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-518.3897528186689,-518.3897528186689	0.9898978293768871	-518.3897528186689	0	true	55
44	35	32	7	1078	6384	51072	0	0	-519.8119979556	-519.8119979556	-519.8119979556	-519.8119979556	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-519.8119979556,-519.8119979556	0.9896048062230864	-519.8119979556	0	true	31
45	36	36	13	2210	11856	94848	0	0	-517.6133397220916	-517.6133397220916	-517.6133397220916	-517.6133397220916	-521.0280538463484,-519.2129990221091,-519.2129990221091,-518.4132178523029,-518.4132178523029,-518.4132178523029,-518.4132178523029,-518.4132178523029,-518.4132178523029,-518.4132178523029,-517.6133747926812,-517.6133397220916,-517.6133397220916	0.9889136649096001	-517.6133397220916	0	true	36
46	40	39	17	3094	15504	124032	0	0	-516.6802217998948	-516.6802217998948	-516.6802217998948	-516.6802217998948	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-516.6802217998948,-516.6802217998948	0.9883490762605915	-516.6802217998948	0	true	39
47	43	39	29	5278	26448	211584	0	0	-518.560918261792	-518.560918261792	-518.560918261792	-518.560918261792	-Infinity,-Infinity,-Infinity,-569.3387935510931,-569.3387935510931,-569.3387935510931,-569.3387935510931,-569.3387935510931,-519.3389469800912,-519.3389469800912,-519.3389469800912,-519.3389469800912,-519.3389469800912,-519.3389469800912,-519.3389469800912,-519.3389469800912,-518.560943051574,-518.560943051574,-518.560943051574,-518.560943051574,-518.560943051574,-518.560943051574,-518.560943051574,-518.560943051574,-518.560943051574,-518.560943051574,-518.560943051574,-518.560918261792,-518.560918261792	0.987317719566314	-518.560918261792	0	true	47
48	45	39	11	2002	10032	80256	0	0	-519.9883229441352	-519.9883229441352	-519.9883229441352	-519.9883229441352	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-522.8039734140018,-519.9883229441352,-519.9883229441352	0.987153332699717	-519.9883229441352	0	true	37
49	46	43	10	1980	9120	72960	0	0	-516.0570231284905	-516.0570231284905	-516.0570231284905	-516.0570231284905	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-516.190717294393,-516.190717294393,-516.0570231284905,-516.0570231284905	0.9868244127473844	-516.0570231284905	0	true	34
50	46	42	30	5820	27360	218880	0	0	-517.9026958057988	-517.9026958057988	-517.9026958057988	-517.9026958057988	-523.8595178689253,-522.9634801037972,-522.168701770331,-520.8891596933489,-520.8891596933489,-520.8891596933489,-520.8891596933489,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-518.6975137882571,-517.9026958057988,-517.9026958057988	0.9865440009942902	-517.9026958057988	0	true	46
51	46	44	22	4444	20064	160512	0	0	-515.7260172576241	-515.7260172576241	-515.7260172576241	-515.7260172576241	-Infinity,-Infinity,-Infinity,-517.513886034483,-517.513886034483,-517.513886034483,-517.513886034483,-517.513886034483,-516.7188794482809,-516.7188794482809,-516.7188794482809,-516.7188794482809,-516.7188794482809,-516.7188794482809,-516.7188794482809,-515.8123477506941,-515.8123477506941,-515.8123477506941,-515.8123477506941,-515.8123477506941,-515.7260172576241,-515.7260172576241	0.9856609836161455	-515.7260172576241	0	true	42
52	47	45	12	2472	10944	87552	0	0	-514.7077322473127	-514.7077322473127	-514.7077322473127	-514.7077322473127	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-515.5086204051084,-515.5086204051084,-514.7077322473127,-514.7077322473127	0.9854589453213531	-514.7077322473127	0	true	34
53	50	47	7	1498	6384	51072	0	0	-514.9544571662382	-514.9544571662382	-514.9544571662382	-514.9544571662382	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-514.9544571662382,-514.9544571662382	0.985030157697341	-514.9544571662382	0	true	31
54	50	47	12	2568	10944	87552	0	0	-515.552467729342	-515.552467729342	-515.552467729342	-515.552467729342	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-520.2132250401587,-515.552467729342,-515.552467729342	0.9850528582186123	-515.552467729342	0	true	34
55	54	51	14	3220	12768	102144	0	0	-517.5772003297184	-517.5772003297184	-517.5772003297184	-517.5772003297184	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-517.5772003297184,-517.5772003297184	0.9839751866121753	-517.5772003297184	0	true	37
56	57	54	22	5324	20064	160512	0	0	-516.9424912939587	-516.9424912939587	-516.9424912939587	-516.9424912939587	-Infinity,-Infinity,-Infinity,-518.579203614573,-518.579203614573,-518.579203614573,-518.1823501127483,-518.1821379043813,-517.3363594184888,-517.3363594184888,-517.3363594184888,-517.3363594184888,-517.3363594184888,-517.3363594184888,-517.3363594184888,-517.3363594184888,-517.3363594184888,-517.3363594184888,-517.3363594184888,-517.3363594184888,-516.9424912939587,-516.9424912939587	0.9831805952581131	-516.9424912939587	0	true	45
57	57	54	18	4356	16416	131328	0	0	-516.2433636683495	-516.2433636683495	-516.2433636683495	-516.2433636683495	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-516.2433636683495,-516.2433636683495	0.9823627185062255	-516.2433636683495	0	true	41
58	57	54	13	3146	11856	94848	0	0	-514.3115606963341	-514.3115606963341	-514.3115606963341	-514.3115606963341	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-516.6112530511595,-514.8801755193828,-514.5804831645572,-514.3115606963341,-514.3115606963341	0.9821550507745963	-514.3115606963341	0	true	38
59	57	54	8	1936	7296	58368	0	0	-613.9691891624401	-613.9691891624401	-613.9691891624401	-613.9691891624401	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-613.9691891624401,-613.9691891624401	0.9818293476433133	-613.9691891624401	0	true	30
60	59	57	5	1270	4560	36480	0	0	-713.6451112731895	-713.6451112731895	-713.6451112731895	-713.6451112731895	-Infinity,-Infinity,-Infinity,-713.6451112731895,-713.6451112731895	0.9810013452160753	-713.6451112731895	0	true	32
61	61	58	28	7224	25536	204288	0	0	-666.7028868218814	-666.7028868218814	-666.7028868218814	-666.7028868218814	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-669.0987870156904,-669.0987870156904,-669.0987870156904,-669.0987870156904,-669.0987870156904,-669.0987870156904,-668.3002690972602,-668.3002690972602,-668.3002690972602,-668.3002690972602,-668.3002690972602,-668.3002690972602,-668.3002690972602,-668.3002690972602,-668.3002690972602,-667.5034530806629,-667.5034530806629,-667.5034530806629,-667.5034530806629,-667.5034530806629,-666.7028868218814,-666.7028868218814	0.9794015250656157	-666.7028868218814	0	true	136
62	65	61	11	2970	10032	80256	0	0	-663.7750013187303	-663.7750013187303	-663.7750013187303	-663.7750013187303	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-664.5970136023036,-664.5970136023036,-664.5970136023036,-663.7750013187303,-663.7750013187303	0.9781856763731809	-663.7750013187303	0	true	34
63	69	64	13	3666	11856	94848	0	0	-665.0207167825539	-665.0207167825539	-665.0207167825539	-665.0207167825539	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-665.4754261191177,-665.4754261191177,-665.4754261191177,-665.0207167825539,-665.0207167825539	0.9774118115820183	-665.0207167825539	0	true	63
64	69	64	21	5922	19152	153216	0	0	-665.5812884348393	-665.5812884348393	-665.5812884348393	-665.5812884348393	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-666.3809708324783,-666.3809708324783,-666.3809708324783,-666.3809708324783,-666.3809708324783,-666.3809708324783,-665.5812884348393,-665.5812884348393	0.9768940861669387	-665.5812884348393	0	true	46
65	70	62	19	5206	17328	138624	0	0	-564.7097230814524	-564.7097230814524	-564.7097230814524	-564.7097230814524	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-564.7097230814524,-564.7097230814524	0.9765115769003008	-564.7097230814524	0	true	38
66	71	66	32	9280	29184	233472	0	0	-563.667557621252	-563.667557621252	-563.667557621252	-563.667557621252	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-564.50268749097,-564.50268749097,-564.50268749097,-564.50268749097,-564.50268749097,-563.667557621252,-563.667557621252	0.9754553263976722	-563.667557621252	0	true	51
67	74	68	22	6556	20064	160512	0	0	-564.0442068263623	-564.0442068263623	-564.0442068263623	-564.0442068263623	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-564.0442068263623,-564.0442068263623	0.9753640125456022	-564.0442068263623	0	true	46
68	76	69	24	7248	21888	175104	0	0	-563.5432259086725	-563.5432259086725	-563.5432259086725	-563.5432259086725	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-564.321571344553,-564.321571344553,-564.321571344553,-564.321571344553,-564.321571344553,-564.321571344553,-564.321571344553,-564.321571344553,-564.321571344553,-564.321571344553,-564.321571344553,-564.321571344553,-564.321571344553,-563.5432259086725,-563.5432259086725	0.9734199925428243	-563.5432259086725	0	true	54
69	77	69	21	6342	19152	153216	0	0	-512.1158364148234	-512.1158364148234	-512.1158364148234	-512.1158364148234	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-512.1158364148234,-512.1158364148234	0.9732235105752995	-512.1158364148234	0	true	49
70	77	70	29	8874	26448	211584	0	0	-514.3267693415968	-514.3267693415968	-514.3267693415968	-514.3267693415968	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-515.1357119298972,-515.1357119298972,-515.1357119298972,-515.1357119298972,-515.1357119298972,-515.1357119298972,-515.1357119298972,-514.3267693415968,-514.3267693415968	0.9727022759008929	-514.3267693415968	0	true	53
71	81	71	20	6200	18240	145920	0	0	-515.3744943680906	-515.3744943680906	-515.3744943680906	-515.3744943680906	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-515.3744943680906,-515.3744943680906	0.9716312572652637	-515.3744943680906	0	true	46
72	83	70	18	5508	16416	131328	0	0	-512.7889539524135	-512.7889539524135	-512.7889539524135	-512.7889539524135	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-512.7889539524135,-512.7889539524135	0.9705373187796551	-512.7889539524135	0	true	45
