# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 3
# run: 15c482e3-f48b-4b58-af34-b07aa4defb87
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	41	10824	9430	75440	0	0	-1165.0956155548322	-1165.0956155548322	-1165.0956155548322	-1165.0956155548322	-1369.1712755228186,-1267.2513387563451,-1267.2513387563451,-1267.2513387563451,-1265.2770653513269,-1265.2770653513269,-1265.2770653513269,-1265.2770653513269,-1265.2770653513269,-1265.0857130218371,-1265.0857130218371,-1265.0857130218371,-1265.0857130218371,-1265.0857130218371,-1265.0857130218371,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1167.0916433203486,-1165.0956155548322,-1165.0956155548322	0.9968457241868389	-1165.0956155548322	0	true	235
26	15	15	1	262	230	1840	0	0	-1160.679223760345	-1160.679223760345	-1160.679223760345	-1160.679223760345	-1160.679223760345	0.9964541127788218	-1160.679223760345	0	true	16
27	15	15	18	4608	4140	33120	0	0	-1159.6742016979751	-1159.6742016979751	-1159.6742016979751	-1159.6742016979751	-1160.4968932599313,-1160.4968932599313,-1160.4968932599313,-1160.4968932599313,-1160.4968932599313,-1160.4968932599313,-1160.4968932599313,-1160.4968932599313,-1160.4968932599313,-1160.4968932599313,-1160.4968932599313,-1160.4968932599313,-1160.4968932599313,-1160.4968932599313,-1160.4968932599313,-1160.4968932599313,-1159.6742016979751,-1159.6742016979751	0.9960270797844731	-1159.6742016979751	0	true	17
28	15	15	7	1778	1610	12880	0	0	-1158.2370822996638	-1158.2370822996638	-1158.2370822996638	-1158.2370822996638	-1158.3236333829693,-1158.3236333829693,-1158.3236333829693,-1158.3236333829693,-1158.3236333829693,-1158.2370822996638,-1158.2370822996638	0.9960270797844731	-1158.2370822996638	0	true	12
29	15	15	6	1500	1380	11040	0	0	-1157.303307575404	-1157.303307575404	-1157.303307575404	-1157.303307575404	-1207.3559213380943,-1157.3559221041098,-1157.3559221041098,-1157.3559221041098,-1157.303307575404,-1157.303307575404	0.9960270797844731	-1157.303307575404	0	true	11
30	16	16	18	4428	4140	33120	0	0	-1155.8263574308485	-1155.8263574308485	-1155.8263574308485	-1155.8263574308485	-1158.717340893277,-1158.717340893277,-1158.717340893277,-1158.717340893277,-1158.717340893277,-1157.5364104957314,-1157.5364104957314,-1157.5364104957314,-1157.5364104957314,-1157.5364104957314,-1156.615920604637,-1156.615920604637,-1156.615920604637,-1156.615920604637,-1156.615920604637,-1156.615920604637,-1155.8263574308485,-1155.8263574308485	0.9956367112391343	-1155.8263574308485	0	true	15
31	16	16	23	5520	5290	42320	0	0	-1155.2570353314838	-1155.2570353314838	-1155.2570353314838	-1155.2570353314838	-1156.9065349281077,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1156.1019354978962,-1155.2570353314838,-1155.2570353314838	0.9954268136656409	-1155.2570353314838	0	true	17
32	17	17	1	234	230	1840	0	0	-1154.5029012738312	-1154.5029012738312	-1154.5029012738312	-1154.5029012738312	-1154.5029012738312	0.9954094135881447	-1154.5029012738312	0	true	9
33	18	18	51	11832	11730	93840	0	0	-1154.9345113085549	-1154.9345113085549	-1154.9345113085549	-1154.9345113085549	-1156.6048618083587,-1156.6048618083587,-1156.6048618083587,-1156.6048618083587,-1156.6048618083587,-1156.6048618083587,-1156.6048618083587,-1156.6048618083587,-1156.6048618083587,-1156.6048618083587,-1156.6048618083587,-1156.6048618083587,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1155.8253927734738,-1154.9345113085549,-1154.9345113085549	0.9949686359947655	-1154.9345113085549	0	true	20
34	18	18	8	1824	1840	14720	0	0	-1055.6588191615	-1055.6588191615	-1055.6588191615	-1055.6588191615	-1205.5225079447534,-1106.4616437650016,-1106.4616437650016,-1105.6588149312593,-1105.6588149312593,-1105.6588149312593,-1055.6588191615,-1055.6588191615	0.9948854007501045	-1055.6588191615	0	true	9
