# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 10
# run: 15e6b8a3-6bab-4a77-a6b6-1df89b53806a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	472230	3777840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	7	true	1104
26	15	15	100	53200	469260	3754080	0	0	-2039.7801033078367	-2039.7801033078367	-2037.0439102636847	-2037.0439102636847	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2040.7354563637005,-2040.7354563637005,-2040.7354563637005,-2040.7354563637005,-2040.7354563637005,-2040.7354563637005,-2040.7354563637005,-2040.7354563637005,-2040.7354563637005,-2040.7354563637005,-2040.7354563637005,-2040.7318746064263,-2040.7318746064263,-2040.7318746064263,-2040.7318746064263,-2040.7318746064263,-2039.7801033078367,-2039.7801033078367,-2039.7801033078367,-2039.7801033078367,-2039.7801033078367	0.9960270797844731	-2039.7801033078367	4	true	975
27	16	16	100	52200	459756	3678048	0	0	-2032.6674319538743	-2032.6674319538743	-2031.9429467743448	-2031.9429467743448	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2035.663999540143,-2034.6391286853639,-2034.6391286853639,-2034.6391286853639,-2034.6391286853639,-2034.6391286853639,-2034.6391286853639,-2034.6391286853639,-2034.6391286853639,-2034.6391286853639,-2034.6391286853639,-2034.6391286853639,-2036.174133895351,-2036.174133895351,-2036.174133895351,-2036.174133895351,-2038.4641574111417,-2038.4641574111417,-2038.4641574111417,-2038.4641574111417,-2038.4641574111417,-2038.4641574111417,-2038.4641574111417,-2038.4641574111417,-2038.4641574111417,-2038.4641574111417,-2038.4641574111417,-2038.4641574111417,-2036.174133895351,-2036.174133895351,-2036.174133895351,-2032.9244055207698,-2032.9244055207698,-2032.9244055207698,-2032.9244055207698,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743,-2032.6674319538743	0.9958381646573722	-2032.6674319538743	3	true	500
28	16	16	100	51600	450846	3606768	0	0	-2035.4285425328171	-2035.4285425328171	-2033.1885063745533	-2033.1885063745533	-Infinity,-Infinity,-Infinity,-2048.3707150086293,-2048.407128419266,-2048.407128419266,-2048.407128419266,-2047.0826122942397,-2047.1010416264037,-2048.4605399112697,-2048.4605399112697,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2044.0062672241513,-2040.340951429039,-2040.340951429039,-2040.340951429039,-2040.340951429039,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171,-2035.4285425328171	0.9955956967707507	-2035.4285425328171	3	true	1842
29	17	17	100	47400	438372	3506976	0	0	-2031.487904702579	-2031.487904702579	-2028.8833827702927	-2028.8833827702927	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2038.8123187645094,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2038.2377626091154,-2035.1586059476235,-2035.1586059476235,-2035.1586059476235,-2035.1586059476235,-2035.1586059476235,-2033.8611079788518,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2035.120778216769,-2031.487904702579,-2031.487904702579,-2031.487904702579	0.9952876130456717	-2031.487904702579	3	true	617
30	18	18	100	46400	428868	3430944	0	0	-1150.8474941664258	-1149.569009204267	-1134.4444236026654	-1134.362889787474	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1149.569009204267,-1154.2440215954502,-1154.2440215954502,-1154.2440215954502,-1154.2440215954502,-1154.2440215954502,-1154.2440215954502,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1152.2592958042,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.5586387906978,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258,-1150.8474941664258	0.9952702129681755	-1149.569009204267	9	true	477
31	18	17	100	45600	411642	3293136	0	0	-1156.5077724963626	-1156.5077724963626	-1141.7171465307451	-1141.7171465307451	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1165.5627881361424,-1156.9497124700113,-1156.9497124700113,-1156.9497124700113,-1156.5077724963626,-1156.5077724963626,-1156.5077724963626,-1156.5077724963626,-1156.5077724963626,-1156.5077724963626,-1156.5077724963626,-1156.5077724963626,-1156.5077724963626,-1156.5077724963626	0.9949222479730375	-1156.5077724963626	10	true	500
32	18	17	100	45500	384912	3079296	0	0	-572.8476731869702	-572.8476731869702	-550.208775767623	-550.208775767623	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-581.4606054766797,-572.8476731869702,-572.8476731869702,-572.8476731869702,-572.8476731869702,-572.8476731869702,-572.8476731869702,-572.8476731869702,-572.8476731869702,-572.8476731869702,-572.8476731869702,-572.8476731869702	0.9947847288731626	-572.8476731869702	12	true	399
33	21	21	100	46528	394416	3155328	0	0	-556.0174988055137	-556.0174988055137	-542.5840293507113	-542.5840293507113	-Infinity,-Infinity,-565.633797917055,-565.633797917055,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-561.1702386675438,-559.4540579766194,-559.4540579766194,-559.4540579766194,-559.4540579766194,-559.4540579766194,-559.4540579766194,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-557.7381808137138,-556.0174988055137,-556.0174988055137,-556.0174988055137,-556.0174988055137,-556.0174988055137	0.9937941673185605	-556.0174988055137	9	true	581
34	23	23	100	46996	396198	3169584	0	0	-542.5708455478809	-542.5708455478809	-533.1623268638895	-533.1623268638895	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-551.4866376941451,-551.4866376941451,-551.4866376941451,-551.4866376941451,-551.4866376941451,-551.4866376941451,-551.4866376941451,-551.4866376941451,-551.4866376941451,-551.4866376941451,-547.6606552660883,-547.6606552660883,-547.6606552660883,-547.6606552660883,-547.6606552660883,-547.6606552660883,-547.6606552660883,-547.6606552660883,-547.6606552660883,-547.6606552660883,-547.6606552660883,-547.6606552660883,-546.7980590902586,-546.7980590902586,-546.7980590902586,-546.7980590902586,-546.7980590902586,-546.7980590902586,-546.7980590902586,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-547.2906048319193,-545.7411591351964,-545.7411591351964,-545.7411591351964,-545.7411591351964,-545.7411591351964,-545.7411591351964,-546.484671824273,-546.484671824273,-546.484671824273,-546.484671824273,-546.484671824273,-549.0953311289047,-549.0953311289047,-549.0953311289047,-549.0953311289047,-549.0953311289047,-549.0953311289047,-549.0953311289047,-549.0953311289047,-549.0953311289047,-549.0953311289047,-549.0953311289047,-549.0953311289047,-544.5401594854519,-544.5401594854519,-542.5708455478809,-542.5708455478809,-542.5708455478809,-542.5708455478809,-542.5708455478809,-542.5708455478809,-542.5708455478809,-542.5708455478809,-542.5708455478809,-542.5708455478809,-542.5708455478809,-542.5708455478809	0.9931903919404012	-542.5708455478809	7	true	541
