# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 19
# run: 188f74d1-6377-4a3d-924f-6a7f67a1dd05
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	78000	533016	4264128	0	0	-414.45494699461415	-414.45494699461415	-58.40093012147311	-58.40093012147311	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1068.7757933837188,-1068.7757933837188,-1068.7757933837188,-868.7759587851674,-868.7759587851674,-868.7759587851674,-868.7759587851674,-868.7759587851674,-868.7759587851674,-868.7759587851674,-868.7759587851674,-1468.7760770689854,-1468.7760770689854,-1468.7760770689854,-1468.7760770689854,-1468.7760770689854,-1468.7760770689854,-1468.7760770689854,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1468.776417605848,-1673.9134753264614,-1673.9134753264614,-1673.9134753264614,-1173.9136235325118,-1173.9136235325118,-1173.9136235325118,-1173.9136235325118,-1173.9136235325118,-1164.205081802539,-1165.4831176651976,-1165.4831176651976,-1163.48326635471,-1163.48326635471,-1163.48326635471,-1163.48326635471,-1163.48326635471,-1163.48326635471,-1163.48326635471,-1163.48326635471,-1163.48326635471,-963.483363869608,-963.483363869608,-965.5451615206298,-982.3565218328033,-982.3565218328033,-787.6205925140412,-600.2030834655999,-507.1406048976391,-414.45494699461415,-414.45494699461415,-414.45494699461415,-414.45494699461415,-414.45494699461415	0.9960270797844731	-414.45494699461415	13	true	961
26	16	16	100	78200	545886	4367088	0	0	-408.92583737515133	-379.24037779324556	-49.662973921384285	-48.710661342295836	-Infinity,-Infinity,-Infinity,-Infinity,-966.4484909365053,-966.4484909365053,-966.4484909365053,-966.4485704789372,-966.4485704789372,-966.4485704789372,-966.4485704789372,-966.4485704789372,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-966.4488632991412,-967.7871742845023,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-970.9487350400836,-379.6192480546434,-379.24037779324556,-394.833923718959,-394.833923718959,-394.833923718959,-394.833923718959,-401.68986227224906,-408.92583737515133,-408.92583737515133,-408.92583737515133,-408.92583737515133,-408.92583737515133,-408.92583737515133,-408.92583737515133,-408.92583737515133	0.9958381646573722	-379.24037779324556	9	true	766
27	16	16	100	78000	543708	4349664	0	0	-376.47337374643234	-372.36709709072113	-49.96853848015262	-50.69554181520199	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-972.3669408086711,-972.3669408086711,-972.3669408086711,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-972.3667738581813,-372.36709709072113,-372.36709709072113,-372.36709709072113,-372.36709709072113,-372.36709709072113,-372.36709709072113,-372.36709709072113,-372.36709709072113,-372.36709709072113,-372.36709709072113,-376.8563349724015,-376.8563349724015,-381.9507138700515,-381.9507138700515,-381.9507138700515,-381.9507138700515,-381.9507138700515,-381.9507138700515,-381.9507138700515,-381.9507138700515,-381.9507138700515,-381.9507138700515,-381.9507138700515,-381.9507138700515,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.8489169151506,-376.47337374643234,-376.47337374643234,-376.47337374643234,-376.47337374643234,-376.47337374643234,-376.47337374643234,-376.47337374643234,-376.47337374643234,-376.47337374643234,-376.47337374643234,-376.47337374643234,-376.47337374643234,-376.47337374643234,-376.47337374643234,-376.47337374643234,-376.47337374643234	0.9955956967707507	-372.36709709072113	8	true	509
28	16	16	100	73000	532422	4259376	0	0	-175.53684064089543	-169.83282252437405	51.647590647645345	52.607230952917824	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-566.6808775564126,-566.6808775564126,-566.6808775564126,-566.6808775564126,-566.6808775564126,-566.6808775564126,-566.6808775564126,-566.6808775564126,-566.6808775564126,-566.6808775564126,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-366.6811333745179,-370.6270663688613,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-374.7367605588508,-371.2256369458254,-371.2256369458254,-376.3656074195511,-374.4189738039679,-374.4189738039679,-374.4189738039679,-374.4189738039679,-374.4189738039679,-374.4189738039679,-374.4189738039679,-374.4189738039679,-369.83276451578564,-375.536782632307,-375.536782632307,-375.536782632307,-375.536782632307,-375.536782632307,-375.536782632307,-375.536782632307,-375.536782632307,-375.536782632307,-375.536782632307,-375.536782632307,-369.83276451578564,-369.83276451578564,-169.83282252437405,-169.83282252437405,-169.83282252437405,-169.83282252437405,-169.83282252437405,-175.53684064089543,-175.53684064089543,-175.53684064089543,-175.53684064089543	0.9954268136656409	-169.83282252437405	8	true	598
29	18	18	100	84800	544500	4356000	0	0	-168.3343414910233	-159.3994987514158	54.25695658978229	-47.48532703904754	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-359.3991514804343,-359.3991514804343,-359.3991514804343,-359.3991514804343,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-359.39930598066695,-159.3994987514158,-159.3994987514158,-262.11524252088276,-365.63126090574224,-365.63126090574224,-365.63126090574224,-370.13738968091127,-370.67568548948583,-378.5985270605807,-378.5985270605807,-378.5985270605807,-378.5985270605807,-378.5985270605807,-378.5985270605807,-378.5985270605807,-378.5985270605807,-378.5985270605807,-378.5985270605807,-378.5985270605807,-378.5985270605807,-378.5985270605807,-378.5985270605807,-378.5985270605807,-378.5985270605807,-373.2774162385502,-373.2774162385502,-373.2774162385502,-373.2774162385502,-373.2774162385502,-370.1090278328067,-370.1090278328067,-370.1090278328067,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-368.3343172402841,-168.3343414910233,-168.3343414910233,-168.3343414910233,-168.3343414910233,-168.3343414910233,-168.3343414910233,-168.3343414910233,-168.3343414910233,-168.3343414910233	0.9952702129681755	-159.3994987514158	5	true	585
30	18	18	100	77800	537372	4298976	0	0	33.609313288293635	33.72260722667135	54.453840089427146	53.881119497033865	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-181.4201473205542,-181.4201473205542,-181.4201473205542,-181.4201473205542,-181.4201473205542,-181.4201473205542,-181.4201473205542,-181.4201473205542,-181.4201473205542,-181.4201473205542,-181.4201473205542,-181.4201473205542,-181.4201473205542,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,18.57971736799364,-193.94974898673084,-193.94974898673084,-193.94974898673084,-193.94974898673084,-193.94974898673084,-193.94974898673084,6.049719078583355,6.049719078583355,6.049719078583355,6.049719078583355,9.547830634359626,12.092627626531938,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,14.629690623398886,18.164813366907374,20.575582768808403,19.985162391274716,19.985162391274716,19.985162391274716,19.985162391274716,22.618561383686448,22.618561383686448,22.618561383686448,22.618561383686448,22.618561383686448,27.822041364803667,27.822041364803667,33.72260722667135,33.72260722667135,33.609313288293635,33.609313288293635,33.609313288293635,33.609313288293635,33.609313288293635,33.609313288293635	0.9949686359947655	33.72260722667135	7	true	480
31	19	19	100	64000	518958	4151664	0	0	28.469917450982976	34.23834131711145	53.121267990712845	53.31887819298355	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,10.184207298620564,10.184105248067901,10.184105248067901,10.184105248067901,10.184105248067901,10.184105248067901,12.089623827767827,12.089623827767827,12.089623827767827,12.558421429379205,12.558421429379205,12.558421429379205,12.558421429379205,12.558421429379205,12.558421429379205,12.558421429379205,12.558421429379205,14.99256885282227,14.99256885282227,14.99256885282227,14.99256885282227,14.99256885282227,14.99256885282227,12.00472228659454,12.00472228659454,12.00472228659454,12.00472228659454,12.00472228659454,17.332500882904927,26.626479950224066,27.95846380815034,27.95846380815034,27.95846380815034,27.95846380815034,29.860503725407305,29.860503725407305,29.860503725407305,29.860503725407305,29.860503725407305,29.860503725407305,34.23834131711145,34.23834131711145,31.290076472974693,31.290076472974693,33.58438513820889,-472.0721141289849,-472.0721141289849,-472.0721141289849,-472.0721141289849,-474.30339796532877,-474.30339796532877,-474.30339796532877,-474.30339796532877,-474.30339796532877,-474.30339796532877,-575.7574032608753,-575.7574032608753,-575.7574032608753,-575.7574032608753,24.242420546425464,27.010658913968626,27.010658913968626,27.010658913968626,27.010658913968626,27.010658913968626,27.010658913968626,27.010658913968626,28.469837009784513,28.469837009784513,28.469837009784513,28.469837009784513,28.469837009784513,28.469837009784513,28.469837009784513,28.469917450982976,28.469917450982976,28.469917450982976,28.469917450982976,28.469917450982976,28.469917450982976	0.994524166368136	34.23834131711145	7	true	501
32	21	21	100	65200	547866	4382928	0	0	33.44447278164754	38.42598399567603	56.73702352552384	58.13879386643712	-182.56739960544428,-182.56739960544428,-182.56739960544428,17.432595803619517,17.432517749636663,17.432517749636663,17.432483826199803,17.432483826199803,17.432483826199803,17.432483826199803,17.432483826199803,17.432483826199803,17.432483826199803,17.432483826199803,17.432483826199803,17.432483826199803,17.432483826199803,17.432483826199803,17.432483826199803,17.432483826199803,17.432483826199803,19.59772520873888,19.59772520873888,19.59772520873888,19.59772520873888,20.272596404049153,20.272596404049153,20.272596404049153,20.272363599677306,20.272363599677306,20.272363599677306,20.272363599677306,20.272363599677306,20.272363599677306,20.272363599677306,20.272363599677306,20.272363599677306,22.705434013978206,22.705434013978206,22.705434013978206,22.705434013978206,22.705434013978206,22.705434013978206,22.705434013978206,22.705434013978206,22.705434013978206,31.519323585522486,35.10664599193322,35.10664599193322,34.16862880372113,36.12444309005459,36.12444309005459,36.12444309005459,36.12444309005459,36.12444309005459,36.12444309005459,36.12444309005459,36.12444309005459,36.12444309005459,36.12444309005459,36.12444309005459,36.12444309005459,36.12444309005459,38.42598399567603,34.84604410884362,32.78893927236023,32.78893927236023,32.78893927236023,32.78893927236023,30.557293832901543,30.557293832901543,30.557293832901543,30.557293832901543,30.557293832901543,30.557293832901543,30.557293832901543,30.557293832901543,30.557293832901543,30.557293832901543,30.557293832901543,30.557293832901543,30.557293832901543,30.557293832901543,30.557293832901543,30.557293832901543,32.074183950908285,33.44447278164754,33.44447278164754,33.44447278164754,33.44447278164754,33.44447278164754,33.44447278164754,33.44447278164754,33.44447278164754,33.44447278164754,33.44447278164754,33.44447278164754,33.44447278164754,33.44447278164754,33.44447278164754	0.9937941673185605	38.42598399567603	7	true	509
33	23	23	100	87130	571428	4571424	0	0	40.50846055080619	40.74258701621979	57.32451511452828	57.32451511452828	-Infinity,-Infinity,-Infinity,-Infinity,28.779273227650854,28.779273227650854,28.779273227650854,28.779273227650854,28.779273227650854,28.779273227650854,28.779205586082306,28.779205586082306,28.779205586082306,28.779205586082306,32.7639231081752,32.07779564980603,11.978280167773661,8.485420726053071,8.485420726053071,9.476972535928105,4.157212782453755,4.157212782453755,4.157212782453755,4.9048347700377946,4.9048347700377946,4.9048347700377946,4.9048347700377946,4.9048347700377946,4.9048347700377946,4.9048347700377946,2.7551080687983145,-0.6737143811660822,-0.6737143811660822,-0.6737143811660822,-0.6737143811660822,-0.6737143811660822,-0.6737143811660822,-0.6737143811660822,-0.6737143811660822,3.4337765140844496,3.4337765140844496,3.4337765140844496,3.4337765140844496,3.4337765140844496,3.4337765140844496,3.4337765140844496,-0.5031924840014383,-0.5031924840014383,-0.5031924840014383,-0.5031924840014383,-0.5031924840014383,8.011072069417686,29.14273912288884,29.14273912288884,29.14273912288884,29.14273912288884,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,22.47696789465892,25.923628240480284,27.36106425622649,27.36106425622649,27.36106425622649,27.36106425622649,27.36106425622649,27.36106425622649,27.36106425622649,27.36106425622649,27.36106425622649,27.36106425622649,27.36106425622649,27.36106425622649,27.36106425622649,27.36106425622649,27.36106425622649,27.36106425622649,27.36106425622649,34.01185766442197,34.01185766442197,34.01185766442197,40.74258701621979,40.50846055080619,40.50846055080619	0.9931903919404012	40.74258701621979	5	true	638
34	25	25	100	87813	581130	4649040	0	0	44.46294399365962	46.35253400289976	60.05585969043006	60.07684083303307	-Infinity,-Infinity,30.847763399100288,30.847763399100288,30.847763399100288,30.847636305083242,30.847636305083242,30.847636305083242,30.847636305083242,30.847636305083242,30.847636305083242,30.847544431123353,30.847544431123353,30.847544431123353,30.847544431123353,30.847544431123353,40.596037233194465,40.596037233194465,40.596037233194465,39.62282626759233,39.62282626759233,39.62282626759233,39.62282626759233,39.62282626759233,20.43549590917742,5.591008134730238,5.591008134730238,5.591008134730238,5.591008134730238,5.591008134730238,4.091419667695931,4.091419667695931,4.091419667695931,4.091419667695931,4.091276154668485,4.091276154668485,4.091276154668485,4.091276154668485,4.091276154668485,4.091276154668485,3.9767248389721104,3.9767248389721104,3.9767248389721104,5.476313306006418,5.476313306006418,5.476313306006418,5.476313306006418,5.476313306006418,35.04354608576066,35.04354608576066,35.04354608576066,35.04354608576066,46.35253400289976,46.35237436547517,46.35237436547517,46.35237436547517,46.35237436547517,43.39555408505325,36.68812778399296,36.68812778399296,36.68812778399296,36.68812778399296,36.68812778399296,36.68812778399296,36.68812778399296,36.68812778399296,43.334833033126685,43.334833033126685,43.334833033126685,43.334833033126685,43.334833033126685,43.334833033126685,43.334833033126685,43.334833033126685,43.334833033126685,43.334833033126685,43.334833033126685,43.334833033126685,32.55806470830481,32.55806470830481,33.96667062802544,33.96667062802544,33.96667062802544,33.96667062802544,33.96667062802544,33.96667062802544,33.96667062802544,33.96667062802544,30.770849525095382,30.770849525095382,42.421461327382985,45.42940910236217,42.14096636819529,42.14096636819529,42.14096636819529,42.14096636819529,42.14096636819529,42.14096636819529,44.46294399365962,44.46294399365962	0.9927211016149905	46.35253400289976	3	true	685
