# solver: Greedy
# max_time: 300000
# main_solver: Greedy
# random.seed: 8
# run: 1f6a3f8c-4b6e-40e4-91ef-adcc22655cc3
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	0	0	0	0	0	-1367.1340083375567	-1367.1340083375567	-1165.0612058621293	-1165.0612058621293	-1367.1340083375567	0.9960270797844731	-1367.1340083375567	2	true	99
26	16	16	1	0	0	0	0	0	-1363.0816269845182	-1363.0816269845182	-1161.2466454476112	-1161.2466454476112	-1363.0816269845182	0.995805594344244	-1363.0816269845182	2	true	14
27	16	16	1	0	0	0	0	0	-1361.3033122693014	-1361.3033122693014	-1159.5501113128364	-1159.5501113128364	-1361.3033122693014	0.9955956967707507	-1361.3033122693014	2	true	10
28	17	17	1	0	0	0	0	0	-1362.205162821943	-1362.205162821943	-1157.4463843057565	-1157.4463843057565	-1362.205162821943	0.9952876130456717	-1362.205162821943	3	true	9
29	18	18	1	0	0	0	0	0	-1411.2615074541175	-1411.2615074541175	-1156.7251577322563	-1156.7251577322563	-1411.2615074541175	0.995024126157873	-1411.2615074541175	3	true	9
30	18	18	1	0	0	0	0	0	-1213.6494482323897	-1213.6494482323897	-1157.5508095227176	-1157.5508095227176	-1213.6494482323897	0.9947478816502295	-1213.6494482323897	4	true	9
31	20	20	1	0	0	0	0	0	-1162.4792213503906	-1162.4792213503906	-1156.0510040685676	-1156.0510040685676	-1162.4792213503906	0.9943563799065661	-1162.4792213503906	4	true	8
32	22	22	1	0	0	0	0	0	-1171.1271653047024	-1171.1271653047024	-1157.2162485267904	-1157.2162485267904	-1171.1271653047024	0.9933681213033975	-1171.1271653047024	6	true	9
33	23	23	1	0	0	0	0	0	-1169.5168534931965	-1169.5168534931965	-1156.279403395148	-1156.279403395148	-1169.5168534931965	0.9931903919404012	-1169.5168534931965	6	true	9
34	25	25	1	0	0	0	0	0	-1122.6694951120844	-1122.6694951120844	-1056.117971386159	-1056.117971386159	-1122.6694951120844	0.992750053004438	-1122.6694951120844	6	true	9
