# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 23
# run: 1f899452-4cdb-419d-9a40-71690e659245
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	23	14040	95680	765440	0	0	-136.98537836352335	-136.98537836352335	-136.98537836352335	-136.98537836352335	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-136.98537836352335,-136.98537836352335	0.9963744964578416	-136.98537836352335	5	false	1577
26	15	15	30	16412	124800	998400	0	0	-126.83538400879772	-126.83538400879772	-126.83538400879772	-126.83538400879772	-Infinity,-128.99575680747043,-128.99575680747043,-128.99575680747043,-128.99575680747043,-128.99575680747043,-128.99575680747043,-128.99575680747043,-128.99575680747043,-128.99575680747043,-128.99575680747043,-128.99575680747043,-128.99575680747043,-128.99575680747043,-128.99575680747043,-128.99575680747043,-128.99575680747043,-128.8478226677682,-128.8478226677682,-130.8685477133648,-133.43455832822647,-130.47700917862176,-128.18461703657155,-128.18461703657155,-128.18461703657155,-128.05081890662208,-128.05081890662208,-128.05081890662208,-126.83538400879772,-126.83538400879772	0.9960270797844731	-126.83538400879772	7	false	1250
27	15	15	13	6910	54080	432640	0	0	-171.67004610538226	-171.67004610538226	-171.67004610538226	-171.67004610538226	-Infinity,-Infinity,-621.6693816006506,-171.6700465837991,-171.6700465837991,-171.6700465837991,-171.6700465837991,-171.6700465837991,-171.6700465837991,-171.6700465837991,-171.6700465837991,-171.67004610538226,-171.67004610538226	0.9960270797844731	-171.67004610538226	7	false	589
28	16	16	75	40740	312000	2496000	0	0	-118.19104467289758	-118.19104467289758	-118.19104467289758	-118.19104467289758	-Infinity,-Infinity,-Infinity,-Infinity,-171.7258183738739,-121.72610887611583,-121.72610887611583,-121.45665214147968,-121.45665214147968,-120.22589592282223,-120.22589592282223,-120.22589592282223,-120.22589592282223,-119.1850393716902,-119.10996267989832,-119.10996267989832,-119.10996267989832,-119.10996267989832,-119.10996267989832,-119.03218592600273,-119.03218592600273,-119.03218592600273,-119.03218592600273,-118.88798466299492,-118.88798466299492,-118.88798466299492,-118.88798466299492,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.4792423332327,-118.19104467289758,-118.19104467289758	0.9955956967707507	-118.19104467289758	5	false	2535
29	16	16	25	13245	104000	832000	0	0	-67.64018862466952	-67.64018862466952	-67.64018862466952	-67.64018862466952	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-117.64018830646687,-117.64018830646687,-117.64018830646687,-117.64018830646687,-117.64018830646687,-117.64018830646687,-117.64018830646687,-117.64018830646687,-117.64018830646687,-117.64018830646687,-117.64018830646687,-117.64018830646687,-67.64018862466952,-67.64018862466952	0.9954268136656409	-67.64018862466952	6	false	1012
30	18	18	18	9124	74880	599040	0	0	39.264503527290174	39.264503527290174	39.264503527290174	39.264503527290174	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,39.264503527290174,39.264503527290174	0.9952702129681755	39.264503527290174	3	false	698
31	18	18	22	10439	91520	732160	0	0	85.6408776205725	85.6408776205725	85.6408776205725	85.6408776205725	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,85.60128049311821,85.60128049311821,85.60128049311821,85.60128049311821,85.60128049311821,85.6408776205725,85.6408776205725	0.9949686359947655	85.6408776205725	5	false	666
32	18	18	13	6024	54080	432640	0	0	84.59570200966003	84.59570200966003	84.59570200966003	84.59570200966003	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,84.59570200966003,84.59570200966003	0.9948311168948906	84.59570200966003	5	false	421
33	20	20	25	12234	104000	832000	0	0	86.32002753901702	86.32002753901702	86.32002753901702	86.32002753901702	-Infinity,-Infinity,-Infinity,-Infinity,79.53337937853168,82.96437240579738,83.99430534871438,83.99430534871438,83.99430534871438,83.99430534871438,83.99430534871438,84.56613499769809,84.56613499769809,84.56613499769809,84.69114885090161,85.65352198700296,85.65352198700296,85.77990936087426,85.77990936087426,85.77990936087426,85.77990936087426,85.87016965257092,85.87016965257092,86.32002753901702,86.32002753901702	0.9940017253858359	86.32002753901702	5	false	722
34	22	21	14	6882	58240	465920	0	0	86.41500394331031	86.41500394331031	86.41500394331031	86.41500394331031	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,85.15097226865306,85.15097226865306,85.15097226865306,86.14259195495504,86.14259195495504,86.41500394331031,86.41500394331031	0.9934147286538336	86.41500394331031	4	true	405
