# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 8
# run: 1fd624a7-030a-46a9-8941-2070a047adf3
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	76400	331848	2654784	0	0	-381.87804489954164	-381.87804489954164	-29.044107857344017	-29.044107857344017	-1169.143668219996,-1169.143668219996,-1169.143668219996,-969.1440964090356,-969.1441402563647,-969.1441402563647,-970.454131918269,-974.5229422899316,-974.5230756401779,-974.5230756401779,-974.5230756401779,-974.5230756401779,-674.6717186394613,-674.6717186394613,-674.6717186394613,-674.6717186394613,-674.6717186394613,-674.6717186394613,-674.6717186394613,-674.6717186394613,-674.6717186394613,-674.6717186394613,-674.6717186394613,-674.6717186394613,-674.6717186394613,-674.6717186394613,-674.6717186394613,-674.6717186394613,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-974.6718403726742,-674.6719109610102,-674.6719109610102,-674.6719109610102,-674.6719109610102,-674.6719109610102,-674.6719109610102,-674.6719109610102,-674.6719109610102,-674.6719109610102,-674.6719109610102,-674.6719109610102,-674.6719109610102,-674.6719109610102,-777.6150228971758,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-883.0862914873212,-877.985587218088,-873.3833613953207,-868.0987612376003,-868.0987612376003,-868.0987612376003,-868.9716759190908,-868.9716759190908,-868.9716759190908,-868.9716759190908,-868.9716759190908,-868.9716759190908,-581.1860142884134,-581.1860142884134,-381.87804489954164,-381.87804489954164,-381.87804489954164,-381.87804489954164,-381.87804489954164,-381.87804489954164	0.9960270797844731	-381.87804489954164	5	true	802
26	16	16	100	81600	341352	2730816	0	0	-377.7427712666473	-377.7427712666473	-26.23477248218017	-26.23477248218017	-1167.1860361774022,-1167.1860361774022,-1167.1860361774022,-667.1863748098319,-667.1864058707076,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.186441527884,-667.195613878964,-667.195613878964,-667.195613878964,-667.195613878964,-667.195613878964,-667.195613878964,-665.9822854393676,-472.7574768187986,-472.7574768187986,-472.7574768187986,-472.7574768187986,-472.7574768187986,-472.7574768187986,-377.7427712666473,-377.7427712666473,-377.7427712666473,-377.7427712666473,-377.7427712666473,-377.7427712666473,-377.7427712666473,-377.7427712666473,-377.7427712666473,-377.7427712666473	0.995805594344244	-377.7427712666473	5	true	289
27	16	16	100	83000	341352	2730816	0	0	-376.6855448967417	-376.6855448967417	-25.13124801407556	-25.13124801407556	-666.066696847742,-666.066696847742,-666.066696847742,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0669487461499,-666.0769070117466,-666.0769070117466,-666.0769070117466,-467.57287951107094,-471.699209427309,-471.699209427309,-471.699209427309,-471.699209427309,-471.699209427309,-376.6855448967417,-376.6855448967417,-376.6855448967417,-376.6855448967417,-376.6855448967417,-376.6855448967417,-376.6855448967417,-376.6855448967417,-376.6855448967417,-376.6855448967417,-376.6855448967417	0.9955956967707507	-376.6855448967417	5	true	252
28	17	17	100	82000	350856	2806848	0	0	-Infinity	-212.01193288281428	-Infinity	-58.3382666298482	-667.0177632817187,-667.0177632817187,-667.0177632817187,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-667.0180848832838,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.018189294616,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-617.0185379204069,-615.1318362663502,-615.1318362663502,-615.1318362663502,-615.1318362663502,-615.1318362663502,-615.1318362663502,-615.1407275022408,-615.1407275022408,-515.1413086706449,-515.1413086706449,-515.1413086706449,-515.1413086706449,-312.01155117988276,-212.01193288281428,-212.01193288281428,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952876130456717	-212.01193288281428	2	true	303
29	18	18	100	84600	362736	2901888	0	0	-673.8152110459677	-371.9170129000518	-24.78805098345839	-8.519814270861579	-671.9168722367614,-671.9168722367614,-671.9168722367614,-371.9170129000518,-371.9170129000518,-371.9170129000518,-371.9170129000518,-671.9170863724461,-671.9170863724461,-671.9170863724461,-671.9170863724461,-671.9170863724461,-671.9170863724461,-671.9170863724461,-671.9170863724461,-671.9170863724461,-671.9170863724461,-671.9170863724461,-671.9170863724461,-671.9170863724461,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8618987392917,-676.8619852274057,-676.8619852274057,-676.8619852274057,-676.8619852274057,-676.8619852274057,-676.8619852274057,-676.8619852274057,-676.8619852274057,-676.8619852274057,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677,-673.8152110459677	0.995024126157873	-371.9170129000518	5	true	309
30	18	18	100	73400	345312	2762496	0	0	-Infinity	-370.33415497732267	-Infinity	-9.974624618868	-370.33415497732267,-370.33415497732267,-370.33415497732267,-670.3344310498129,-670.3344310498129,-670.334698558218,-670.334698558218,-670.3347250128463,-670.3347250128463,-670.3347250128463,-670.3347250128463,-670.3347250128463,-670.334698558218,-675.2592860891218,-675.2592860891218,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-575.2595702299284,-525.2598332187364,-525.2598332187364,-525.2598332187364,-525.2598332187364,-525.2598332187364,-531.3276221244502,-531.3276221244502,-531.3276221244502,-531.3276221244502,-531.3276221244502,-531.3276221244502,-531.3276221244502,-531.3276221244502,-531.3276221244502,-531.3276221244502,-531.3277149771737,-531.3277149771737,-531.3277149771737,-531.3277149771737,-531.3277149771737,-531.3277149771737,-531.3277149771737,-531.3277149771737,-531.3277149771737,-525.2599260714599,-525.2599260714599,-525.2599260714599,-631.0656483765415,-631.0656483765415,-631.0656483765415,-631.0656483765415,-631.0656483765415,-631.0656483765415,-531.0656495327416,-525.25992722766,-525.25992722766,-525.2602695612914,-525.2602695612914,-525.2602695612914,-525.2602695612914,-525.2602695612914,-529.2939235873799,-524.3693360564761,-524.3693360564761,-520.3356820303875,-520.3356820303875,-520.3356330575211,-520.3356330575211,-520.3356330575211,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9947478816502295	-370.33415497732267	5	true	262
31	20	20	100	82400	352044	2816352	0	0	-Infinity	-16.854480034616	-Infinity	-6.794440002729123	-265.26136918226206,-265.26136918226206,-265.26136918226206,-165.26226604801815,-169.29624050935936,-469.2964456689873,-469.2964456689873,-469.29684042523854,-469.29684042523854,-469.29684042523854,-469.29684042523854,-469.29684042523854,-369.2968875657335,-369.2968875657335,-474.24514430605444,-474.24514430605444,-474.24514430605444,-474.24514430605444,-474.24514430605444,-374.2453865246903,-374.2453865246903,-374.2453865246903,-374.2453865246903,-374.2453865246903,-374.2453865246903,-374.2453865246903,-374.2453865246903,-374.2453865246903,-374.2453865246903,-374.2453865246903,-374.2453865246903,-374.2453865246903,-374.2453865246903,-374.2453865246903,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-230.31454879707624,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-324.2455501444449,-419.297293404124,-419.297293404124,-419.297293404124,-419.297293404124,-419.297293404124,-319.2970511854882,-319.2970511854882,-319.2970511854882,-319.2970511854882,-319.2970511854882,-319.2970511854882,-19.29684602586027,-19.29684602586027,-19.29684602586027,-16.854480034616,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9943563799065661	-16.854480034616	4	true	264
32	22	22	100	82800	372240	2977920	0	0	-Infinity	27.103824023824668	-Infinity	41.13039782657667	-280.5232065632212,-280.5232065632212,-280.5232065632212,-280.52373405804974,-280.52373405804974,-580.5240341380253,-580.5240341380253,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-480.5242840667969,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5245846129661,-580.5246865892867,-580.5246865892867,-580.5246865892867,-580.5246865892867,-580.5246865892867,-580.5246865892867,-580.5246865892867,-580.5246865892867,-580.5246865892867,-580.5246865892867,-580.5246865892867,-580.5246865892867,-580.5246865892867,-580.5246865892867,-580.5246865892867,-580.5246865892867,-577.2618159731644,-577.2618159731644,-577.2618159731644,-577.2618159731644,-474.1554942217137,-474.1554942217137,-469.543525585626,-469.543525585626,-469.54324247257193,-464.25727742880775,-472.89622307236044,-472.89622307236044,-472.89622307236044,-472.89622307236044,27.103824023824668,27.103824023824668,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9933681213033975	27.103824023824668	6	true	321
33	23	23	100	84000	380160	3041280	0	0	-Infinity	29.572799329610636	-Infinity	43.830645413669494	-570.4263767095841,-570.4263767095841,-570.4263767095841,-570.4269490670523,-570.4269490670523,-570.4270855649596,-570.4270855649596,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-70.42716908697626,-570.4272840046839,-570.4272840046839,-570.4272840046839,-470.4272506935299,-470.4272506935299,-470.4272506935299,-470.4272506935299,-470.4272506935299,-470.4272506935299,-470.4272506935299,-470.4272506935299,-470.4272506935299,-470.4272506935299,-470.4272506935299,-470.4272506935299,-Infinity,-Infinity,-Infinity,-Infinity,29.572799329610636,29.572799329610636,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9931903919404012	29.572799329610636	6	true	299
34	25	25	100	86000	399960	3199680	0	0	-67.93698071910842	-67.93698071910842	44.64223276645997	44.64223276645997	-170.39475048301696,-170.39475048301696,-170.39475048301696,-70.39489132720549,-70.39486824909746,-70.39486824909746,-70.39486824909746,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39495531745833,-70.39497839556635,-70.39497839556635,-70.39497839556635,-70.39497839556635,-70.39497839556635,-70.39497839556635,-70.39497839556635,-70.39497839556635,-70.39497839556635,-70.39497839556635,-70.39497839556635,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-70.39509308116502,-67.93698071910842	0.992750053004438	-67.93698071910842	5	true	329
