# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 16
# run: 20b4dd37-4fb4-4f84-8f21-65857a2168f3
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	472230	3777840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	7	true	801
26	15	15	100	53200	469260	3754080	0	0	-Infinity	-Infinity	-2040.673340912351	-2040.673340912351	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	5	true	588
27	16	16	100	52200	459756	3678048	0	0	-2044.085750679729	-2044.085750679729	-2036.4719989688585	-2036.4719989688585	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2044.085750679729,-2044.085750679729,-2044.085750679729,-2044.085750679729,-2044.085750679729	0.9955956967707507	-2044.085750679729	7	true	530
28	16	16	100	51600	450846	3606768	0	0	-2037.481796888779	-2037.481796888779	-2033.2704984976692	-2033.2704984976692	-Infinity,-Infinity,-Infinity,-2047.5714761528006,-2043.6098523912408,-2043.6098523912408,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2040.4320969802013,-2037.481796888779,-2037.481796888779,-2037.481796888779,-2037.481796888779,-2037.481796888779,-2037.481796888779,-2037.481796888779,-2037.481796888779,-2037.481796888779	0.9955956967707507	-2037.481796888779	5	true	405
29	18	18	100	47400	443718	3549744	0	0	-2032.361281836804	-2032.361281836804	-2028.243499062354	-2028.243499062354	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2033.9787898160696,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2034.2915417010895,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804,-2032.361281836804	0.9952702129681755	-2032.361281836804	4	true	518
30	18	18	100	46800	434808	3478464	0	0	-1158.4576861219982	-1158.4576861219982	-1139.0505490257635	-1139.0505490257635	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1169.4451285464113,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1167.7309424877365,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1166.0416536338196,-1163.954961748512,-1168.623214750543,-1168.623214750543,-1168.858636026433,-1169.963167568742,-1169.963167568742,-1169.963167568742,-1169.963167568742,-1169.963167568742,-1169.963167568742,-1169.963167568742,-1169.963167568742,-1169.963167568742,-1169.963167568742,-1169.963167568742,-1169.963167568742,-1169.963167568742,-1166.116925676867,-1166.116925676867,-1166.116925676867,-1166.116925676867,-1166.116925676867,-1166.116925676867,-1162.7233813611208,-1162.9874575317026,-1158.4576861219982,-1158.4576861219982,-1158.4576861219982,-1158.4576861219982	0.995024126157873	-1158.4576861219982	9	true	389
31	18	18	100	45797	416988	3335904	0	0	-875.0581800910217	-869.44018003783	-842.6233988698716	-842.3177744674571	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-872.6646606258823,-872.6646606258823,-872.6646606258823,-872.6646606258823,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-869.44018003783,-875.3991969819721,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-880.1132726641182,-877.0319192313768,-875.0581800910217,-875.0581800910217,-875.0581800910217,-875.0581800910217,-875.0581800910217,-875.0581800910217,-875.0581800910217,-875.0581800910217,-875.0581800910217,-875.0581800910217	0.9947478816502295	-869.44018003783	13	true	474
32	20	20	100	46227	409860	3278880	0	0	-562.6063534330074	-555.8933555218646	-543.4538653079552	-543.4231490972672	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-565.4627068021997,-565.4627068021997,-565.4627068021997,-565.4627068021997,-565.4627068021997,-565.4627068021997,-565.4627068021997,-565.4627068021997,-565.4627068021997,-565.4627068021997,-565.4627068021997,-565.4627068021997,-565.4627068021997,-565.4627068021997,-565.4627068021997,-565.4627068021997,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-563.7043530497169,-559.4158301158091,-559.4158301158091,-559.4158301158091,-559.4158301158091,-559.4158301158091,-559.4158301158091,-559.4158301158091,-559.4158301158091,-557.7127151853209,-557.7127151853209,-557.7127151853209,-558.042769700759,-558.042769700759,-556.3421295994358,-555.8933555218646,-555.8933555218646,-555.8933555218646,-555.8933555218646,-556.9786269746786,-556.9786269746786,-560.8695627882366,-560.8695627882366,-560.8695627882366,-560.8695627882366,-560.8695627882366,-560.8695627882366,-560.8695627882366,-560.8695627882366,-561.2000042388838,-561.2000042388838,-561.2000042388838,-561.2000042388838,-561.2000042388838,-562.6063534330074,-562.6063534330074,-562.6063534330074,-562.6063534330074,-562.6063534330074,-562.6063534330074,-562.6063534330074,-562.6063534330074,-562.6063534330074,-562.6063534330074,-562.6063534330074,-562.6063534330074	0.9943563799065661	-555.8933555218646	9	true	384
33	22	22	100	46541	402732	3221856	0	0	-550.2194671070653	-550.2194671070653	-542.8118936503041	-542.8118936503041	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.362872520553,-564.362872520553,-564.362872520553,-564.362872520553,-564.362872520553,-564.362872520553,-564.362872520553,-564.362872520553,-564.362872520553,-564.362872520553,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-564.1420457835208,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-562.9737903344742,-561.3307158612447,-561.3307158612447,-561.3307158612447,-561.3307158612447,-561.3307158612447,-561.3307158612447,-561.3307158612447,-561.3307158612447,-561.3307158612447,-561.3307158612447,-561.3307158612447,-561.3307158612447,-561.3307158612447,-561.3307158612447,-561.3307158612447,-561.3307158612447,-553.3436846451881,-553.3436846451881,-553.3436846451881,-553.3436846451881,-550.2194671070653,-550.2194671070653,-550.2194671070653,-550.2194671070653	0.9933681213033975	-550.2194671070653	7	true	402
34	23	23	100	46961	399168	3193344	0	0	-542.3534920064716	-540.5663575528906	-532.096152283919	-531.9814791129817	-Infinity,-Infinity,-Infinity,-550.4010043970011,-550.4010043970011,-550.4010043970011,-550.4010043970011,-550.4010043970011,-550.4010043970011,-550.4010043970011,-550.4010043970011,-550.4010043970011,-550.4010043970011,-550.4010043970011,-550.4010043970011,-550.4010043970011,-550.4010043970011,-550.4010043970011,-550.4010043970011,-550.4010043970011,-545.7270848421814,-545.7270848421814,-545.7270848421814,-545.7270848421814,-545.7270848421814,-545.7270848421814,-545.7270848421814,-545.7270848421814,-545.7270848421814,-545.7270848421814,-545.7270848421814,-545.7270848421814,-545.7270848421814,-545.7270848421814,-545.7270848421814,-544.8757072620767,-544.8757072620767,-544.8757072620767,-544.8757072620767,-541.3404803063405,-541.3404803063405,-541.3404803063405,-541.3404803063405,-540.5663575528906,-540.5663575528906,-540.5663575528906,-542.1147101330438,-544.6568547439338,-546.000179833244,-546.000179833244,-546.000179833244,-546.000179833244,-546.000179833244,-546.000179833244,-546.000179833244,-549.1125830837443,-549.1125830837443,-549.1125830837443,-549.1125830837443,-545.7345317722619,-545.7345317722619,-545.7345317722619,-545.7345317722619,-545.7345317722619,-543.1121233269367,-543.1121233269367,-543.1121233269367,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716,-542.3534920064716	0.9931903919404012	-540.5663575528906	7	true	381
