# solver: Greedy
# max_time: 300000
# main_solver: Greedy
# random.seed: 26
# run: 22c66ceb-5e52-4643-bf1d-4ec882b16d76
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	0	0	0	0	0	-1367.1258862262887	-1367.1258862262887	-1165.036498351084	-1165.036498351084	-1367.1258862262887	0.9960270797844731	-1367.1258862262887	2	true	117
26	16	16	1	0	0	0	0	0	-1362.584721572365	-1362.584721572365	-1159.8187396946487	-1159.8187396946487	-1362.584721572365	0.9958381646573722	-1362.584721572365	2	true	14
27	16	16	1	0	0	0	0	0	-1362.0246866682876	-1362.0246866682876	-1160.2766846830982	-1160.2766846830982	-1362.0246866682876	0.9955956967707507	-1362.0246866682876	2	true	9
28	17	17	1	0	0	0	0	0	-1362.489759499283	-1362.489759499283	-1157.7046636727653	-1157.7046636727653	-1362.489759499283	0.9952876130456717	-1362.489759499283	3	true	10
29	18	18	1	0	0	0	0	0	-1411.5677234660282	-1411.5677234660282	-1156.908191257317	-1156.908191257317	-1411.5677234660282	0.9952702129681755	-1411.5677234660282	3	true	8
30	18	18	1	0	0	0	0	0	-1411.0604604686127	-1411.0604604686127	-1156.4734725739854	-1156.4734725739854	-1411.0604604686127	0.9949686359947655	-1411.0604604686127	3	true	9
31	18	18	1	0	0	0	0	0	-1261.560822866529	-1261.560822866529	-1157.400408887534	-1157.400408887534	-1261.560822866529	0.9947478816502295	-1261.560822866529	3	true	8
32	21	21	1	0	0	0	0	0	-1260.265537172545	-1260.265537172545	-1155.7757192813697	-1155.7757192813697	-1260.265537172545	0.9941547071596204	-1260.265537172545	3	true	8
33	22	22	1	0	0	0	0	0	-1268.7407914633898	-1268.7407914633898	-1156.7866787163434	-1156.7866787163434	-1268.7407914633898	0.9933979500076767	-1268.7407914633898	5	true	9
34	23	23	1	0	0	0	0	0	-1317.2155914717246	-1317.2155914717246	-1156.1734691645427	-1156.1734691645427	-1317.2155914717246	0.9931903919404012	-1317.2155914717246	5	true	9
35	25	25	1	0	0	0	0	0	-1215.8035541202905	-1215.8035541202905	-1056.0824891426453	-1056.0824891426453	-1215.8035541202905	0.9925715194361789	-1215.8035541202905	4	true	9
36	26	26	1	0	0	0	0	0	-1215.3764208133553	-1215.3764208133553	-1055.7026860031942	-1055.7026860031942	-1215.3764208133553	0.9920515276244505	-1215.3764208133553	4	true	8
37	28	28	1	0	0	0	0	0	-1164.7888454866616	-1164.7888454866616	-1055.352155715799	-1055.352155715799	-1164.7888454866616	0.9911454807319727	-1164.7888454866616	4	true	8
38	29	29	1	0	0	0	0	0	-1164.676334876885	-1164.676334876885	-1055.2292287549085	-1055.2292287549085	-1164.676334876885	0.9911305663798331	-1164.676334876885	4	true	9
39	30	30	1	0	0	0	0	0	-1164.5920539022568	-1164.5920539022568	-1055.1460686224345	-1055.1460686224345	-1164.5920539022568	0.9909851514464726	-1164.5920539022568	4	true	9
40	30	30	1	0	0	0	0	0	-1164.5429249712256	-1164.5429249712256	-1055.093839089828	-1055.093839089828	-1164.5429249712256	0.9906075770757631	-1164.5429249712256	4	true	9
41	31	31	1	0	0	0	0	0	-1164.503917308491	-1164.503917308491	-460.4589406264961	-460.4589406264961	-1164.503917308491	0.9904783193572204	-1164.503917308491	4	true	8
42	34	34	1	0	0	0	0	0	-1164.2893428338316	-1164.2893428338316	-461.6452978166795	-461.6452978166795	-1164.2893428338316	0.9898785650053734	-1164.2893428338316	4	true	8
43	36	36	1	0	0	0	0	0	-1166.7017053641316	-1166.7017053641316	-461.50581155421406	-461.50581155421406	-1166.7017053641316	0.9893906682945731	-1166.7017053641316	5	true	8
44	39	39	1	0	0	0	0	0	-1166.2186154684418	-1166.2186154684418	-460.11793955875413	-460.11793955875413	-1166.2186154684418	0.9886200568792449	-1166.2186154684418	5	true	8
45	44	44	1	0	0	0	0	0	-1165.8087762506493	-1165.8087762506493	-459.52903029057194	-459.52903029057194	-1165.8087762506493	0.9877593013649558	-1165.8087762506493	5	true	8
