# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 10
# run: 2441ee62-1b9d-4cf4-b8bb-64a2aec9f1ed
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	74600	331848	2654784	0	0	-381.8821039790414	-381.8821039790414	-79.0374290129122	-79.0374290129122	-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-969.1464002414216,-969.1464440584245,-969.1464440584245,-970.4567983583412,-974.5257598765544,-974.5258936021748,-974.5258936021748,-974.5258936021748,-974.5258936021748,-674.6753806171583,-674.6753806171583,-674.6753806171583,-674.6753806171583,-674.6753806171583,-674.6753806171583,-674.6753806171583,-674.6753806171583,-674.6753806171583,-674.6753806171583,-674.6753806171583,-674.6753806171583,-674.6753806171583,-674.6753806171583,-674.6753806171583,-674.6753806171583,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-974.6755016357348,-674.6755728556955,-674.6755728556955,-674.6755728556955,-674.6755728556955,-674.6755728556955,-674.6755728556955,-674.6755728556955,-674.6755728556955,-674.6755728556955,-674.6755728556955,-674.6755728556955,-674.6755728556955,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-883.0895623325665,-877.9894801514827,-873.3873990921148,-868.1023980117637,-868.1023980117637,-868.1023980117637,-868.9751580664058,-868.9751580664058,-868.9751580664058,-868.9751580664058,-868.9751580664058,-777.2974146236609,-686.1879491434887,-476.8158583138107,-381.8821039790414,-381.8821039790414,-381.8821039790414,-381.8821039790414,-381.8821039790414,-381.8821039790414	0.9960270797844731	-381.8821039790414	5	true	949
26	15	15	100	79200	330660	2645280	0	0	-377.7601113743047	-377.7601113743047	-76.29282810240596	-76.29282810240596	-1167.2305536340828,-1167.2305536340828,-1167.2305536340828,-667.2308868149863,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-667.2309498033,-472.77432985648335,-472.77432985648335,-472.77432985648335,-472.77432985648335,-472.77432985648335,-472.77432985648335,-472.77432985648335,-377.7601113743047,-377.7601113743047,-377.7601113743047,-377.7601113743047,-377.7601113743047,-377.7601113743047,-377.7601113743047,-377.7601113743047,-377.7601113743047,-377.7601113743047	0.9960270797844731	-377.7601113743047	5	true	346
27	16	16	100	81800	341352	2730816	0	0	-376.6722304461898	-376.6722304461898	-75.14364005465761	-75.14364005465761	-666.0584532888385,-666.0584532888385,-666.0584532888385,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-666.0587629746921,-471.6857686794519,-471.6857686794519,-471.6857686794519,-471.6857686794519,-471.6857686794519,-471.6857686794519,-376.6722304461898,-376.6722304461898,-376.6722304461898,-376.6722304461898,-376.6722304461898,-376.6722304461898,-376.6722304461898,-376.6722304461898,-376.6722304461898,-376.6722304461898,-376.6722304461898	0.9958381646573722	-376.6722304461898	5	true	261
28	16	16	100	81000	340164	2721312	0	0	-Infinity	-112.03688243135366	-Infinity	-58.325458944292734	-667.0828640768532,-667.0828640768532,-667.0828640768532,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-667.083094993574,-617.0831995039566,-617.0831995039566,-617.0831995039566,-617.0831995039566,-617.0831995039566,-617.0831995039566,-617.0831995039566,-617.0831995039566,-617.0831995039566,-617.0831995039566,-617.0835251018907,-617.0835251018907,-617.0835251018907,-617.0835251018907,-617.0835251018907,-617.0835251018907,-617.0835251018907,-617.0835251018907,-617.0835251018907,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-617.0838247882082,-615.1359127145911,-615.145789294509,-615.145789294509,-615.145789294509,-515.1464010669329,-515.1464010669329,-515.1464010669329,-515.1464010669329,-215.14619086131506,-215.14619086131506,-215.14619086131506,-215.14619086131506,-215.14619086131506,-215.14619086131506,-215.14619086131506,-212.03650174880738,-112.03688243135366,-112.07225976032944,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-112.03688243135366	2	true	284
29	17	17	100	83600	350856	2806848	0	0	-Infinity	-213.72235182805323	-Infinity	-56.96955831174609	-663.2923664843944,-663.2923664843944,-663.2923664843944,-663.2925850940219,-363.2926148955566,-363.2929241012684,-363.2929241012684,-363.2929241012684,-663.2929905013717,-663.2929905013717,-663.2929905013717,-663.2929905013717,-663.2929905013717,-663.2929905013717,-663.2929905013717,-663.2929905013717,-663.2929905013717,-663.2929905013717,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-666.8531604599248,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8534898005224,-716.8535744357565,-716.8535744357565,-716.8535744357565,-716.8535744357565,-716.8535744357565,-716.8535744357565,-716.8535744357565,-716.8535744357565,-716.8535744357565,-716.8535744357565,-716.8535744357565,-716.8535744357565,-716.8535744357565,-716.8535744357565,-713.7222766680912,-713.7222766680912,-713.7222766680912,-413.72220570145447,-413.72220570145447,-313.7220158771819,-313.7220158771819,-313.7220158771819,-313.7220158771819,-313.7220158771819,-313.7220158771819,-313.7220158771819,-313.7220158771819,-313.7220158771819,-313.7220158771819,-313.7220158771819,-313.7220158771819,-213.72235182805323,-213.72235182805323,-213.72235182805323,-213.72235182805323,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952876130456717	-213.72235182805323	3	true	277
30	18	18	100	84600	362340	2898720	0	0	-363.2959058820165	-363.2959058820165	-7.300363674365743	-7.300363674365743	-666.3296709053697,-666.3296709053697,-666.3296709053697,-666.3296802754155,-666.3296802754155,-666.3297579490697,-666.3297579490697,-666.3297579490697,-666.3297579490697,-666.3297579490697,-666.3297579490697,-666.3297579490697,-666.3297579490697,-666.3297579490697,-666.3297579490697,-666.3297579490697,-666.3297579490697,-666.3297579490697,-666.3297579490697,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-366.3299251652656,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165,-363.2959058820165	0.9952702129681755	-363.2959058820165	3	true	494
31	18	18	100	78800	344124	2752992	0	0	-369.70746010517576	-369.70746010517576	-8.939763691761243	-8.939763691761243	-671.7526553870011,-671.7526553870011,-671.7526553870011,-671.752759379063,-671.752759379063,-671.752759379063,-671.752759379063,-376.442976022508,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.4430047738399,-376.442976022508,-376.442976022508,-376.442976022508,-376.442976022508,-376.442976022508,-482.5117517630818,-482.5117517630818,-482.5117517630818,-482.5117517630818,-482.5117517630818,-482.5117517630818,-482.5117517630818,-482.5117517630818,-482.5117517630818,-482.5117517630818,-482.5117517630818,-482.5118470370156,-482.5118470370156,-482.5118470370156,-482.5118470370156,-482.5118470370156,-482.5118470370156,-482.5118470370156,-482.5118470370156,-482.5118470370156,-482.5118470370156,-482.5118470370156,-482.5118470370156,-376.4430712964419,-376.4430712964419,-376.4430712964419,-376.4430712964419,-376.4430712964419,-376.4430712964419,-376.4430712964419,-376.4430712964419,-376.4430712964419,-373.18115740555083,-373.18115740555083,-373.18115740555083,-373.18115740555083,-373.18115740555083,-373.18115740555083,-373.18115740555083,-373.18115740555083,-373.50751637235396,-373.50751637235396,-373.50751637235396,-373.50751637235396,-373.50751637235396,-373.50751637235396,-373.50751637235396,-373.50751637235396,-373.50751637235396,-373.50751637235396,-373.50751637235396,-373.50751637235396,-373.50751637235396,-369.70746010517576,-369.70746010517576,-369.70746010517576,-369.70746010517576,-369.70746010517576,-369.70746010517576,-369.70746010517576,-369.70746010517576	0.9948854007501045	-369.70746010517576	4	true	303
32	18	18	100	81400	342936	2743488	0	0	-Infinity	-17.795082954967242	-Infinity	-8.176586749640553	-674.7110112725876,-674.7110112725876,-674.7110112725876,-474.71165554225865,-474.71165554225865,-474.71165554225865,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-479.38393428639034,-485.45232097838095,-485.45232097838095,-485.45232097838095,-485.45232097838095,-485.45232097838095,-485.45232097838095,-485.45232097838095,-485.45232097838095,-485.45232097838095,-485.45232097838095,-485.45232097838095,-485.45232097838095,-485.45232097838095,-485.45232097838095,-485.4526233622953,-485.4526233622953,-485.4526233622953,-485.4526233622953,-485.4526233622953,-479.3842366703047,-479.3842366703047,-479.3843346206692,-479.3843346206692,-481.16835528070834,-487.42021186542456,-487.42021186542456,-487.42021186542456,-479.38450622792703,-479.38450622792703,-479.38450622792703,-479.38450622792703,-179.38452428104017,-25.367256888274664,-25.367256888274664,-29.40105422782395,-29.40105422782395,-22.08940228542326,-22.08940228542326,-22.08940228542326,-22.08940228542326,-22.08940228542326,-22.08940228542326,-22.089968563305455,-22.089968563305455,-22.467361699098916,-22.467361699098916,-17.795082954967242,-17.795082954967242,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9947478816502295	-17.795082954967242	4	true	258
33	21	21	100	84800	375408	3003264	0	0	-266.5329037197673	-266.09728404333475	43.03234248233442	42.10738932448475	-569.3605807555592,-569.3605807555592,-569.3605807555592,-569.3606669676418,-569.3606721976897,-569.3606721976897,-569.3606721976897,-569.3606721976897,-569.3606721976897,-569.3606721976897,-569.3606721976897,-569.3606721976897,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-380.30997279475895,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-274.24192268272503,-270.9783451667783,-270.9783451667783,-270.9783451667783,-270.9783451667783,-270.9783451667783,-270.9783451667783,-270.9783451667783,-266.09728404333475,-266.09728404333475,-266.09728404333475,-266.4754402975001,-266.4754402975001,-266.4754402975001,-266.4754402975001,-266.4754402975001,-266.4754402975001,-266.4754402975001,-266.5329037197673,-266.5329037197673,-266.5329037197673,-266.5329037197673,-266.5329037197673,-266.5329037197673,-266.5329037197673,-266.5329037197673,-266.5329037197673,-266.5329037197673,-266.5329037197673,-266.5329037197673	0.9937941673185605	-266.09728404333475	4	true	436
34	23	23	100	83200	396792	3174336	0	0	-Infinity	-19.052759475648177	-Infinity	-6.870091517344322	-667.0502225209025,-667.0502225209025,-667.0502225209025,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.0508484532307,-467.05115055864076,-467.05115055864076,-467.05115055864076,-467.05115055864076,-467.05115055864076,-467.05115055864076,-467.05115055864076,-467.05119972674675,-467.05119972674675,-467.05119972674675,-467.05119972674675,-467.05119972674675,-467.05119972674675,-467.0513712621585,-467.0513712621585,-467.0513712621585,-467.0513712621585,-467.0513712621585,-467.0512568553458,-467.0512568553458,-467.0512568553458,-467.0512568553458,-467.0512568553458,-419.0527410505301,-19.052759475648177,-19.052759475648177,-19.052759475648177,-19.05332226813619,-19.05332226813619,-19.05332226813619,-22.376002273397134,-22.376002273397134,-22.376002273397134,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9931903919404012	-19.052759475648177	5	true	306
