# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 22
# run: 24c9ba6c-4075-45df-bb8a-622dfeba4261
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	41	21349	70602	564816	0	0	-94.94694261339525	-94.94694261339525	-94.94694261339525	-94.94694261339525	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-100.83899937958178,-98.54912844650241,-97.8528027831554,-96.60928928716523,-96.60928928716523,-96.60928928716523,-96.60928928716523,-95.92565562445611,-95.85556711635644,-95.85556711635644,-95.85556711635644,-95.85556711635644,-95.85556711635644,-95.85556711635644,-95.85556711635644,-95.85556711635644,-95.85556711635644,-95.85556711635644,-95.85556711635644,-95.85556711635644,-95.85556711635644,-95.85556711635644,-95.85556711635644,-94.94694261339525,-94.94694261339525	0.9960270797844731	-94.94694261339525	0	true	1190
26	16	16	24	11736	41328	330624	0	0	-84.35532234348935	-84.35532234348935	-84.35532234348935	-84.35532234348935	-86.35721444794846,-86.35721444794846,-85.27650327687343,-85.27650327687343,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.39097547762682,-84.35532234348935,-84.35532234348935	0.9958381646573722	-84.35532234348935	0	true	562
27	16	16	27	12656	46494	371952	0	0	-86.39202678528844	-86.39202678528844	-86.39202678528844	-86.39202678528844	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-86.72738164500225,-86.72738164500225,-86.72738164500225,-86.47171105964088,-86.47171105964088,-86.47171105964088,-86.47171105964088,-86.39202678528844,-86.39202678528844	0.9954268136656409	-86.39202678528844	1	true	587
28	17	17	10	4784	17220	137760	0	0	-131.54204777655906	-131.54204777655906	-131.54204777655906	-131.54204777655906	-Infinity,-Infinity,-Infinity,-Infinity,-132.43962770656606,-132.43962770656606,-132.43962770656606,-132.43962770656606,-131.54204777655906,-131.54204777655906	0.9952876130456717	-131.54204777655906	1	true	190
29	18	18	12	5772	20664	165312	0	0	-78.42288087528827	-78.42288087528827	-78.42288087528827	-78.42288087528827	-129.0845414173084,-129.0845414173084,-129.0845414173084,-78.93462409575194,-78.93462409575194,-78.93462409575194,-78.93462409575194,-78.93462409575194,-78.56557952856313,-78.56557952856313,-78.42288087528827,-78.42288087528827	0.9952702129681755	-78.42288087528827	0	true	203
30	18	18	12	5605	20664	165312	0	0	-81.54973156360884	-81.54973156360884	-81.54973156360884	-81.54973156360884	-Infinity,-182.40997750119686,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-81.54973156360884,-81.54973156360884	0.9949686359947655	-81.54973156360884	0	true	189
31	18	18	1	455	1722	13776	0	0	-85.01944977207718	-85.01944977207718	-85.01944977207718	-85.01944977207718	-85.01944977207718	0.9947478816502295	-85.01944977207718	0	true	58
32	20	20	15	6904	25830	206640	0	0	-83.03955363942634	-83.03955363942634	-83.03955363942634	-83.03955363942634	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-83.03955363942634,-83.03955363942634	0.9940017253858359	-83.03955363942634	0	true	259
33	23	23	7	3301	12054	96432	0	0	-80.14748986664075	-80.14748986664075	-80.14748986664075	-80.14748986664075	-Infinity,-Infinity,-Infinity,-82.05544591588156,-81.2430019348169,-80.14748986664075,-80.14748986664075	0.9931903919404012	-80.14748986664075	0	true	161
34	23	23	14	6076	24108	192864	0	0	-77.64992244653294	-77.64992244653294	-77.64992244653294	-77.64992244653294	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-78.54318379569227,-77.65002269792686,-77.65002269792686,-77.65002269792686,-77.65002269792686,-77.65002269792686,-77.64992244653294,-77.64992244653294	0.9930914746931229	-77.64992244653294	0	true	238
