# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 7
# run: 252ea90a-31c6-4915-87e3-5715e2d86cd4
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	55806	620730	4965840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	13	true	1030
26	16	16	100	55905	623304	4986432	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995805594344244	-Infinity	11	true	767
27	16	16	100	55903	603504	4828032	0	0	-Infinity	-Infinity	-2489.3778184852717	-2489.3778184852717	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-Infinity	10	true	818
28	17	17	100	56096	594198	4753584	0	0	-Infinity	-Infinity	-2486.7536939184497	-2486.7536939184497	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952876130456717	-Infinity	11	true	656
29	18	18	100	56293	576972	4615776	0	0	-Infinity	-Infinity	-2441.8902503003865	-2441.8902503003865	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995024126157873	-Infinity	13	true	634
30	18	18	100	56353	549252	4394016	0	0	-1052.705327279055	-1050.5131296594402	-1030.5295420971936	-1030.5295420971936	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1054.5617397319852,-1051.4591968842196,-1051.4591968842196,-1051.4591968842196,-1051.4591968842196,-1051.4591968842196,-1051.4591968842196,-1051.4591968842196,-1051.4591968842196,-1051.4591968842196,-1051.4591968842196,-1051.4591968842196,-1051.4591968842196,-1051.6418335905057,-1051.6418335905057,-1053.4268105765696,-1057.1334584604642,-1057.1334584604642,-1057.1334584604642,-1057.1334584604642,-1057.1334584604642,-1057.1334584604642,-1057.1334584604642,-1057.1334584604642,-1057.1334584604642,-1057.1334584604642,-1057.1334584604642,-1057.1334584604642,-1053.8430913797574,-1051.9164836277475,-1052.0283223809201,-1052.0283223809201,-1050.5131296594402,-1050.5131296594402,-1050.5131296594402,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055,-1052.705327279055	0.9948854007501045	-1050.5131296594402	15	true	577
31	20	20	100	56837	542520	4340160	0	0	-1047.4714942468645	-1047.4714942468645	-1025.0044614280437	-1025.0044614280437	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1071.4354187736096,-1071.4354187736096,-1071.4354187736096,-1071.4354187736096,-1071.4354187736096,-1071.4354187736096,-1071.4354187736096,-1071.4354187736096,-1064.7836290850396,-1064.7836290850396,-1064.7836290850396,-1064.7836290850396,-1064.7836290850396,-1064.7836290850396,-1064.7836290850396,-1064.9430996773126,-1058.6546729062002,-1054.6893497848264,-1054.6893497848264,-1054.6893497848264,-1054.6893497848264,-1054.6893497848264,-1054.6893497848264,-1054.5298791925534,-1054.5298791925534,-1054.5298791925534,-1054.5298791925534,-1054.5298791925534,-1054.5298791925534,-1054.5298791925534,-1054.5298791925534,-1051.021357730147,-1049.1797194504204,-1048.5270930055135,-1048.962345496556,-1048.962345496556,-1048.962345496556,-1048.962345496556,-1048.962345496556,-1048.962345496556,-1048.962345496556,-1048.962345496556,-1048.962345496556,-1048.962345496556,-1048.962345496556,-1048.962345496556,-1048.962345496556,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645,-1047.4714942468645	0.9943563799065661	-1047.4714942468645	14	true	690
32	22	22	100	57001	531828	4254624	0	0	-651.8016723742545	-651.8016723742545	-624.4303622487391	-624.4303622487391	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545,-651.8016723742545	0.9933681213033975	-651.8016723742545	15	true	674
33	23	22	100	57006	508068	4064544	0	0	-647.2015708056026	-646.275979248774	-624.2925503340688	-624.2925503340688	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-667.0381903846089,-664.1503314624863,-661.5056141237912,-661.5056141237912,-661.5056141237912,-661.5056141237912,-661.5056141237912,-661.5056141237912,-661.5056141237912,-661.5056141237912,-661.5056141237912,-661.5056141237912,-661.5056141237912,-661.5056141237912,-661.5056141237912,-651.2388814962284,-650.7070071912026,-650.7070071912026,-650.7070071912026,-653.0329664764915,-653.0329664764915,-653.0329664764915,-653.0329664764915,-653.0329664764915,-653.0329664764915,-653.0329664764915,-650.7070071912026,-650.7070071912026,-646.275979248774,-646.433221285548,-646.433221285548,-646.433221285548,-646.433221285548,-646.433221285548,-646.433221285548,-646.433221285548,-646.433221285548,-646.433221285548,-646.433221285548,-646.433221285548,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026,-647.2015708056026	0.9932403988858102	-646.275979248774	15	true	557
34	25	25	100	57640	515790	4126320	0	0	-635.0334792014339	-635.0334792014339	-614.8029920775404	-614.8029920775404	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-635.0334792014339,-635.0334792014339,-635.0334792014339,-635.0334792014339	0.992750053004438	-635.0334792014339	11	true	587
