# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 12
# run: 25dba5ec-2e64-4018-bbce-ef3492d9a880
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	472230	3777840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9963744964578416	-Infinity	7	true	1007
26	15	15	100	53200	469260	3754080	0	0	-2040.5095792122424	-2040.5095792122424	-2036.9637275529824	-2036.9637275529824	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2042.2364525585397,-2042.2364525585397,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424,-2040.5095792122424	0.9960270797844731	-2040.5095792122424	5	true	1108
27	15	15	100	52200	454410	3635280	0	0	-2037.6391075089136	-2037.6391075089136	-2034.0099242535612	-2034.0099242535612	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136,-2037.6391075089136	0.9960270797844731	-2037.6391075089136	5	true	563
28	16	16	100	51400	447876	3583008	0	0	-2036.41240890954	-2036.41240890954	-2031.4553269451337	-2031.4553269451337	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2046.150679308171,-2046.150679308171,-2046.150679308171,-2046.150679308171,-2046.150679308171,-2046.150679308171,-2041.5574103298918,-2041.5574103298918,-2041.5574103298918,-2041.5574103298918,-2041.5574103298918,-2041.5574103298918,-2041.5574103298918,-2041.5574103298918,-2041.5574103298918,-2041.5574103298918,-2037.6018019958115,-2037.6018019958115,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954,-2036.41240890954	0.995805594344244	-2036.41240890954	5	true	496
29	16	16	100	47200	430056	3440448	0	0	-1140.6294937272066	-1140.6294937272066	-1135.0575672318641	-1135.0575672318641	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1144.8417048467422,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066,-1140.6294937272066	0.9955956967707507	-1140.6294937272066	6	true	551
30	17	17	100	46600	426492	3411936	0	0	-1133.8796803057035	-1133.8796803057035	-1129.0477298385406	-1129.0477298385406	-Infinity,-Infinity,-Infinity,-Infinity,-1150.1735108244088,-1148.8720332844357,-1142.795938183884,-1142.795938183884,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1145.5506665402156,-1141.0139655715313,-1141.0139655715313,-1141.0139655715313,-1141.0139655715313,-1141.0139655715313,-1141.0139655715313,-1141.0139655715313,-1141.0139655715313,-1141.0139655715313,-1141.0139655715313,-1141.0139655715313,-1141.0139655715313,-1141.0139655715313,-1138.8439309840446,-1138.8439309840446,-1138.8439309840446,-1138.8439309840446,-1138.8439309840446,-1138.8439309840446,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1135.7114357115768,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.9859706148698,-1133.8796803057035	0.9952876130456717	-1133.8796803057035	5	true	623
31	18	17	100	45637	402732	3221856	0	0	-555.2434655830277	-555.2434655830277	-538.2510294833509	-538.2510294833509	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-567.5264639015379,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-561.5823694279032,-557.5795346885988,-555.2434655830277,-555.2434655830277,-555.2434655830277,-555.2434655830277,-555.2434655830277,-555.2434655830277	0.9953202199135847	-555.2434655830277	10	true	475
32	18	16	100	45418	379566	3036528	0	0	-551.4616139103255	-551.4609561811983	-542.764656987911	-542.73974643345	-Infinity,-Infinity,-Infinity,-Infinity,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1677202148239,-570.1671408847308,-570.1671408847308,-570.1671408847308,-570.1671408847308,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-572.6291187863698,-559.9062532549283,-556.066478464195,-558.1114244457665,-558.1114244457665,-558.1114244457665,-558.1114244457665,-558.1114244457665,-558.1114244457665,-558.1114244457665,-558.1114244457665,-558.1114244457665,-558.1114244457665,-558.1114244457665,-558.1114244457665,-558.1114244457665,-558.1114244457665,-551.4609561811983,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255,-551.4616139103255	0.9950554901631077	-551.4609561811983	9	true	430
33	18	17	100	45546	376002	3008016	0	0	-601.0755775657096	-585.9618155587683	-544.0093152007667	-543.3058564088446	-585.9618155587683,-585.9618155587683,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-595.140388029772,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096,-601.0755775657096	0.9947847288731626	-585.9618155587683	15	true	418
34	21	20	100	46093	392040	3136320	0	0	-552.9576188479498	-549.054673122509	-531.7782037247692	-531.7571041687688	-572.665628577462,-572.665628577462,-571.1232500593085,-571.5596122514951,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-566.5389083317501,-559.299540233797,-556.1752884380679,-556.1752884380679,-556.1752884380679,-556.1752884380679,-556.1752884380679,-556.1752884380679,-551.5159711263843,-549.3514758565173,-549.054673122509,-549.054673122509,-549.054673122509,-549.054673122509,-549.054673122509,-549.054673122509,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-553.3888991030619,-550.6167024849295,-552.9576188479498,-552.9576188479498,-552.9576188479498,-552.9576188479498,-552.9576188479498,-552.9576188479498,-552.9576188479498,-552.9576188479498,-552.9576188479498	0.9940032606867913	-549.054673122509	9	true	441
