# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 8
# run: 26f541b6-21ed-49f5-a9dd-ba5dad044eb2
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	18	4765	9180	73440	0	0	-1653.0951933630363	-1653.0951933630363	-1653.0951933630363	-1653.0951933630363	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1754.989543633654,-1655.0187193301344,-1655.0187193301344,-1655.0187193301344,-1655.0187193301344,-1655.0187193301344,-1657.0465549444145,-1654.0691807438589,-1654.0691807438589,-1654.0691807438589,-1654.0691807438589,-1653.0951933630363,-1653.0951933630363	0.9960270797844731	-1653.0951933630363	0	true	288
26	16	16	13	3407	6630	53040	0	0	-1647.6455399706804	-1647.6455399706804	-1647.6455399706804	-1647.6455399706804	-1649.3274319368008,-1649.3274319368008,-1649.3274319368008,-1649.3274319368008,-1649.3274319368008,-1649.3274319368008,-1648.4924560233674,-1648.4924560233674,-1648.4924560233674,-1648.4924560233674,-1648.4924560233674,-1647.6455399706804,-1647.6455399706804	0.995805594344244	-1647.6455399706804	0	true	42
27	16	16	9	2298	4590	36720	0	0	-1646.0413795760087	-1646.0413795760087	-1646.0413795760087	-1646.0413795760087	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1646.8518802398376,-1646.0413795760087,-1646.0413795760087	0.9955956967707507	-1646.0413795760087	0	true	29
28	17	17	9	2260	4590	36720	0	0	-1642.67160367084	-1642.67160367084	-1642.67160367084	-1642.67160367084	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1642.67160367084,-1642.67160367084	0.9952876130456717	-1642.67160367084	0	true	28
29	18	18	16	3847	8160	65280	0	0	-1641.7809403174474	-1641.7809403174474	-1641.7809403174474	-1641.7809403174474	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1643.3878237973447,-1643.3878237973447,-1643.3878237973447,-1643.3878237973447,-1643.3878237973447,-1643.3878237973447,-1643.3878237973447,-1642.5599875565622,-1641.7809403174474,-1641.7809403174474	0.995024126157873	-1641.7809403174474	0	true	34
30	18	18	50	11911	25500	204000	0	0	-853.8886497630289	-853.8886497630289	-853.8886497630289	-853.8886497630289	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1152.2112027872752,-1052.35514777136,-1052.35514777136,-1052.35514777136,-954.1379643709361,-954.1379643709361,-954.1379643709361,-953.3092428773497,-953.3092428773497,-953.3092428773497,-953.3092428773497,-953.3092428773497,-953.3092428773497,-953.3092428773497,-953.3092428773497,-953.3092428773497,-953.3092428773497,-953.3092428773497,-953.3092428773497,-952.492718019157,-952.492718019157,-855.408719299111,-855.408719299111,-855.408719299111,-854.1656617157053,-854.1656617157053,-854.1656617157053,-854.1656617157053,-854.1656617157053,-854.1656617157053,-854.1656617157053,-854.1656617157053,-854.1656617157053,-854.1656617157053,-854.1656617157053,-854.1656617157053,-854.1656617157053,-854.1656617157053,-853.8886497630289,-853.8886497630289	0.9947478816502295	-853.8886497630289	0	true	39
31	20	20	40	9361	20400	163200	0	0	-850.2337887047095	-850.2337887047095	-850.2337887047095	-850.2337887047095	-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.5529227393151,-851.0566270079896,-851.0566270079896,-851.0566270079896,-851.0566270079896,-851.0566270079896,-851.0566270079896,-851.0566270079896,-851.0566270079896,-851.0566270079896,-851.0566270079896,-851.0566270079896,-851.0566270079896,-851.0566270079896,-851.0566270079896,-851.0566270079896,-851.0566270079896,-851.0566270079896,-850.2337887047095,-850.2337887047095	0.9943563799065661	-850.2337887047095	0	true	36
32	22	22	54	11880	27540	220320	0	0	-651.781019831291	-651.781019831291	-651.781019831291	-651.781019831291	-911.6708382393851,-910.6904686307106,-808.9629825453575,-756.1930165794411,-755.3345361295305,-754.8794916402296,-754.8794916402296,-754.2645100445636,-752.7721414151687,-751.8468286805441,-751.3848263957613,-751.3848263957613,-751.3848263957613,-751.3848263957613,-751.3848263957613,-751.3848263957613,-751.3848263957613,-751.3848263957613,-751.3848263957613,-751.3848263957613,-751.3848263957613,-751.3848263957613,-751.3848263957613,-751.3848263957613,-751.3848263957613,-751.3848263957613,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-652.2886512018962,-651.781019831291,-651.781019831291	0.9933681213033975	-651.781019831291	0	true	47
33	23	23	4	840	2040	16320	0	0	-646.2070992250466	-646.2070992250466	-646.2070992250466	-646.2070992250466	-647.264870874035,-647.264870874035,-646.2070992250466,-646.2070992250466	0.9931903919404012	-646.2070992250466	0	true	21
34	24	24	30	6240	15300	122400	0	0	-643.857948480636	-643.857948480636	-643.857948480636	-643.857948480636	-646.8756681144398,-646.8756681144398,-646.8756681144398,-646.8756681144398,-645.7530326951149,-645.7530326951149,-645.7530326951149,-645.7530326951149,-645.7530326951149,-645.7530326951149,-644.8005021835503,-644.8005021835503,-644.8005021835503,-644.8005021835503,-644.8005021835503,-644.8005021835503,-644.8005021835503,-644.8005021835503,-644.4139760154148,-644.4139760154148,-644.4139760154148,-644.4139760154148,-644.4139760154148,-644.4139760154148,-644.4139760154148,-644.4139760154148,-644.4139760154148,-644.4139760154148,-643.857948480636,-643.857948480636	0.9929675539731397	-643.857948480636	0	true	32
