# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 17
# run: 291b9898-8ff5-40a7-8e6a-fc36018e44a5
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	47	21821	43710	349680	0	0	-102.9261634233434	-102.9261634233434	-102.9261634233434	-102.9261634233434	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.960885695825,-102.93992993712051,-102.93992993712051,-102.93992993712051,-102.93992993712051,-102.93992993712051,-102.93992993712051,-102.93992993712051,-102.93992993712051,-102.93992993712051,-102.93992993712051,-102.93992993712051,-102.9261634233434,-102.9261634233434	0.995805594344244	-102.9261634233434	0	true	874
26	16	16	15	6645	13950	111600	0	0	-97.27458330647039	-97.27458330647039	-97.27458330647039	-97.27458330647039	-98.92647894483822,-98.92647894483822,-98.92647894483822,-98.92647894483822,-98.92647894483822,-98.92647894483822,-98.92647894483822,-98.92647894483822,-98.92647894483822,-98.92647894483822,-98.92647894483822,-98.11897233417668,-98.11897233417668,-97.27458330647039,-97.27458330647039	0.9955956967707507	-97.27458330647039	0	true	304
27	17	17	25	10775	23250	186000	0	0	-93.60397014856525	-93.60397014856525	-93.60397014856525	-93.60397014856525	-95.16017081049569,-95.16017081049569,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-94.38232960219811,-93.60397014856525,-93.60397014856525	0.9952876130456717	-93.60397014856525	0	true	284
28	18	18	23	10212	21390	171120	0	0	7.846713048178275	7.846713048178275	7.846713048178275	7.846713048178275	6.141589209624423,6.141589209624423,6.141589209624423,6.141589209624423,6.141589209624423,6.141589209624423,6.141589209624423,6.141589209624423,6.141589209624423,6.141589209624423,6.141589209624423,6.141589209624423,6.141589209624423,6.918973531019969,6.918973531019969,6.918973531019969,6.918973531019969,6.918973531019969,6.918973531019969,6.918973531019969,6.918973531019969,7.846713048178275,7.846713048178275	0.995024126157873	7.846713048178275	0	true	265
29	18	18	7	3101	6510	52080	0	0	4.765002598740209	4.765002598740209	4.765002598740209	4.765002598740209	-45.23499597562021,-45.23499597562021,-45.23499597562021,-45.23499597562021,-45.23499597562021,4.765002598740209,4.765002598740209	0.9947478816502295	4.765002598740209	0	true	109
30	20	20	19	9014	17670	141360	0	0	6.017818026769968	6.017818026769968	6.017818026769968	6.017818026769968	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,5.641644603503041,5.641644603503041,5.641644603503041,5.641644603503041,5.641644603503041,5.641644603503041,5.778768236585821,5.778768236585821,5.778768236585821,5.778768236585821,6.017818026769968,6.017818026769968	0.9943563799065661	6.017818026769968	0	true	263
31	22	22	10	5010	9300	74400	0	0	6.42669275114768	6.42669275114768	6.42669275114768	6.42669275114768	-196.20864240947796,-195.73040778420392,4.269294531595673,4.269294531595673,4.269294531595673,4.972748966827685,4.972748966827685,5.06431159736847,6.42669275114768,6.42669275114768	0.9933681213033975	6.42669275114768	0	true	189
32	23	23	21	10439	19530	156240	0	0	10.62781518282835	10.62781518282835	10.62781518282835	10.62781518282835	-Infinity,8.989906956876627,8.989906956876627,8.989906956876627,8.989906956876627,8.989906956876627,8.989906956876627,8.989906956876627,9.808758107948986,9.808758107948986,9.808758107948986,9.808758107948986,9.808758107948986,9.808758107948986,9.808758107948986,9.808758107948986,9.808758107948986,9.808758107948986,9.808758107948986,10.62781518282835,10.62781518282835	0.9931903919404012	10.62781518282835	0	true	235
33	25	25	17	8534	15810	126480	0	0	12.216072726855476	12.216072726855476	12.216072726855476	12.216072726855476	9.611431819460584,9.869408299123116,9.869408299123116,9.869408299123116,9.869408299123116,9.869408299123116,9.869408299123116,9.869408299123116,10.51960833254245,10.51960833254245,10.51960833254245,10.51960833254245,10.51960833254245,10.51960833254245,11.361478879445364,12.216072726855476,12.216072726855476	0.992750053004438	12.216072726855476	0	true	172
34	26	26	24	12600	22320	178560	0	0	12.088846231804128	12.088846231804128	12.088846231804128	12.088846231804128	11.453669382254743,11.453669382254743,11.453669382254743,11.453669382254743,11.453669382254743,11.453669382254743,11.453669382254743,11.787612133219247,11.787612133219247,11.787612133219247,11.787612133219247,11.787612133219247,11.787612133219247,11.787612133219247,11.787612133219247,11.787612133219247,11.787612133219247,11.787612133219247,11.787612133219247,11.787612133219247,11.787612133219247,11.787612133219247,12.088846231804128,12.088846231804128	0.9921504448717292	12.088846231804128	0	true	207
