# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 12
# run: 2c54420a-e79e-48a2-801f-b88b6d64d86f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	29	7727	26448	211584	0	0	-2094.4586736695737	-2094.4586736695737	-2094.4586736695737	-2094.4586736695737	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2094.4586736695737,-2094.4586736695737	0.9963744964578416	-2094.4586736695737	2	true	433
26	15	15	25	6574	22800	182400	0	0	-2036.3276822869102	-2036.3276822869102	-2036.3276822869102	-2036.3276822869102	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2036.3276822869102,-2036.3276822869102	0.9960270797844731	-2036.3276822869102	2	true	129
27	15	15	9	2280	8208	65664	0	0	-2033.7361084158847	-2033.7361084158847	-2033.7361084158847	-2033.7361084158847	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2033.7361084158847,-2033.7361084158847	0.9960270797844731	-2033.7361084158847	2	true	53
28	16	16	6	1481	5472	43776	0	0	-2030.2339898222883	-2030.2339898222883	-2030.2339898222883	-2030.2339898222883	-Infinity,-Infinity,-Infinity,-Infinity,-2030.2339898222883,-2030.2339898222883	0.995805594344244	-2030.2339898222883	0	true	50
29	16	16	54	12760	49248	393984	0	0	-1138.7996292080056	-1138.7996292080056	-1138.7996292080056	-1138.7996292080056	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1487.7674124807259,-1487.7674124807259,-1487.7150850384267,-1487.7150850384267,-1487.7150850384267,-1437.7150860097306,-1437.5648359128757,-1338.7705655452462,-1338.7705655452462,-1338.7705655452462,-1338.7705655452462,-1338.7705655452462,-1338.7705655452462,-1338.7705655452462,-1338.7705655452462,-1338.7705655452462,-1239.975023443179,-1239.975023443179,-1239.975023443179,-1239.975023443179,-1239.975023443179,-1239.975023443179,-1239.975023443179,-1239.975023443179,-1239.975023443179,-1239.975023443179,-1239.975023443179,-1142.8717483405958,-1141.9361012185705,-1141.9361012185705,-1141.9361012185705,-1141.9361012185705,-1141.9361012185705,-1141.9361012185705,-1141.9361012185705,-1141.9361012185705,-1141.9361012185705,-1141.3067166313344,-1141.3067166313344,-1141.3067166313344,-1140.5071877281248,-1140.5071877281248,-1138.7996292080056,-1138.7996292080056	0.9955956967707507	-1138.7996292080056	0	true	76
30	17	17	13	2940	11856	94848	0	0	-1131.3229114200876	-1131.3229114200876	-1131.3229114200876	-1131.3229114200876	-1134.0650975381543,-1132.5140439050288,-1132.5140439050288,-1132.1151121240323,-1132.1151121240323,-1132.1151121240323,-1132.1151121240323,-1132.1151121240323,-1132.1151121240323,-1132.1151121240323,-1132.1151121240323,-1131.3229114200876,-1131.3229114200876	0.9952876130456717	-1131.3229114200876	0	true	46
31	18	18	33	7000	30096	240768	0	0	-828.753624889775	-828.753624889775	-828.753624889775	-828.753624889775	-Infinity,-Infinity,-Infinity,-978.183834745578,-978.0345566791046,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-928.0345636431775,-828.753624889775,-828.753624889775	0.9952702129681755	-828.753624889775	0	true	54
32	18	18	5	1009	4560	36480	0	0	-831.969998248257	-831.969998248257	-831.969998248257	-831.969998248257	-Infinity,-Infinity,-Infinity,-831.969998248257,-831.969998248257	0.9949686359947655	-831.969998248257	0	true	37
33	18	18	10	1960	9120	72960	0	0	-834.439887317582	-834.439887317582	-834.439887317582	-834.439887317582	-835.1373619930156,-835.1373619930156,-835.1373619930156,-835.1373619930156,-835.1373619930156,-835.1373619930156,-835.1373619930156,-835.1373619930156,-834.439887317582,-834.439887317582	0.9947478816502295	-834.439887317582	0	true	38
34	21	21	13	2455	11856	94848	0	0	-829.1921580569763	-829.1921580569763	-829.1921580569763	-829.1921580569763	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-831.2183276832156,-830.2115043773304,-829.4424526923613,-829.4424526923613,-829.1921580569763,-829.1921580569763	0.9939532537413823	-829.1921580569763	0	true	39
35	22	22	23	4187	20976	167808	0	0	-534.3950328846572	-534.3950328846572	-534.3950328846572	-534.3950328846572	-733.6629507266339,-634.2707543801282,-634.2707543801282,-634.2707543801282,-634.2707543801282,-634.2707543801282,-536.4658337741024,-536.3981529747989,-535.5851734049297,-534.6007237210954,-534.6007237210954,-534.6007237210954,-534.6007237210954,-534.6007237210954,-534.6007237210954,-534.6007237210954,-534.6007237210954,-534.6007237210954,-534.6007237210954,-534.6007237210954,-534.6007237210954,-534.3950328846572,-534.3950328846572	0.9933979500076767	-534.3950328846572	0	true	46
36	22	21	13	2245	11856	94848	0	0	-537.2819681774154	-537.2819681774154	-537.2819681774154	-537.2819681774154	-Infinity,-Infinity,-Infinity,-Infinity,-537.2820069355275,-537.2820069355275,-537.2820069355275,-537.2820069355275,-537.2820069355275,-537.2820069355275,-537.2820069355275,-537.2819681774154,-537.2819681774154	0.9933648313727785	-537.2819681774154	0	true	40
37	25	24	19	3230	17328	138624	0	0	-531.0732446339385	-531.0732446339385	-531.0732446339385	-531.0732446339385	-535.3703944219964,-534.0035083093464,-533.1522908439567,-531.9988308289792,-531.9988308289792,-531.9988308289792,-531.9988308289792,-531.9988308289792,-531.9988308289792,-531.9988308289792,-531.9988308289792,-531.9988308289792,-531.9988308289792,-531.9988308289792,-531.9988308289792,-531.9988308289792,-531.9988308289792,-531.0732446339385,-531.0732446339385	0.992480498022386	-531.0732446339385	0	true	43
38	26	26	15	2490	13680	109440	0	0	-526.0743553161085	-526.0743553161085	-526.0743553161085	-526.0743553161085	-528.6598333843822,-528.6598333843822,-528.6598333843822,-528.6598333843822,-526.8774316585498,-526.8774316585498,-526.8774260985662,-526.8774260985662,-526.8774260985662,-526.8774260985662,-526.8774260985662,-526.8774260985662,-526.8774260985662,-526.0743553161085,-526.0743553161085	0.9920521490557898	-526.0743553161085	0	true	41
39	28	28	7	1121	6384	51072	0	0	-524.8789675116477	-524.8789675116477	-524.8789675116477	-524.8789675116477	-576.4214356025874,-576.4214356025874,-575.6848169280877,-575.6848169280877,-524.9065862272084,-524.8789675116477,-524.8789675116477	0.9912237810807055	-524.8789675116477	0	true	45
40	30	29	32	4808	29184	233472	0	0	-522.8312662693363	-522.8312662693363	-522.8312662693363	-522.8312662693363	-Infinity,-Infinity,-Infinity,-673.3112562259197,-673.3112562259197,-573.3471593074413,-573.3471593074413,-573.0566460516496,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-572.831249239266,-522.8312662693363,-522.8312662693363	0.991068057698072	-522.8312662693363	0	true	53
41	30	30	21	3066	19152	153216	0	0	-570.3600736133262	-570.3600736133262	-570.3600736133262	-570.3600736133262	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-570.3600736133262,-570.3600736133262	0.9910634517952054	-570.3600736133262	0	true	47
42	30	29	18	2556	16416	131328	0	0	-570.395682718961	-570.395682718961	-570.395682718961	-570.395682718961	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-570.3957053284994,-570.3957053284994,-570.3956845070705,-570.395682718961,-570.395682718961	0.9907026560706528	-570.395682718961	0	true	41
43	30	29	13	1846	11856	94848	0	0	-572.5538044826258	-572.5538044826258	-572.5538044826258	-572.5538044826258	-573.0341505708374,-573.0341505708374,-573.0341505708374,-573.0341505708374,-573.0341505708374,-573.0341505708374,-573.0341505708374,-572.9131589957467,-572.9131589957467,-572.9131589957467,-572.9131589957467,-572.5538044826258,-572.5538044826258	0.9906898253412386	-572.5538044826258	0	true	41
44	32	30	11	1606	10032	80256	0	0	-520.9996129043699	-520.9996129043699	-520.9996129043699	-520.9996129043699	-Infinity,-572.8639822382175,-572.8639822382175,-572.8639822382175,-571.747272885632,-521.7475368566248,-521.7475368566248,-521.7475368566248,-521.7475368566248,-520.9996129043699,-520.9996129043699	0.9906159115666647	-520.9996129043699	0	true	39
45	32	32	21	3234	19152	153216	0	0	-520.2976840645009	-520.2976840645009	-520.2976840645009	-520.2976840645009	-520.6899181005775,-520.6897848414047,-520.6897848414047,-520.6897848414047,-520.6897848414047,-520.6897848414047,-520.6897848414047,-520.6897848414047,-520.6897848414047,-522.0312493441145,-522.0312493441145,-520.2999181108265,-520.2999181108265,-520.2999181108265,-520.2999181108265,-520.299899152419,-520.299899152419,-520.299899152419,-520.299899152419,-520.2976840645009,-520.2976840645009	0.9903943895716509	-520.2976840645009	0	true	44
46	34	34	14	2268	12768	102144	0	0	-518.3152147513819	-518.3152147513819	-518.3152147513819	-518.3152147513819	-519.5071915087918,-519.5071915087918,-519.5071915087918,-519.5071915087918,-519.5071915087918,-518.6883561372143,-518.6883561372143,-518.6883561372143,-518.6883561372143,-518.6883561372143,-518.6883561372143,-518.6883561372143,-518.3152147513819,-518.3152147513819	0.9896908927409505	-518.3152147513819	0	true	37
47	37	36	6	1020	5472	43776	0	0	-519.3695913140525	-519.3695913140525	-519.3695913140525	-519.3695913140525	-Infinity,-521.4660581297218,-521.4660581297218,-520.376452575983,-519.3695913140525,-519.3695913140525	0.9892863774939499	-519.3695913140525	0	true	36
48	40	39	30	5460	27360	218880	0	0	-517.5057651544347	-517.5057651544347	-517.5057651544347	-517.5057651544347	-523.0262442193151,-523.0262442193151,-521.3418839258253,-521.0894972608827,-521.0894972608827,-519.0928363516101,-519.0928363516101,-519.0928363516101,-518.3808184697021,-518.3808184697021,-518.3808184697021,-518.3808184697021,-518.3808184697021,-518.3808184697021,-518.3808184697021,-518.3808184697021,-518.3808184697021,-518.3808184697021,-517.5799503825582,-517.5214443020767,-517.5214443020767,-517.5214443020767,-517.5214443020767,-517.5214443020767,-517.5214443020767,-517.5214443020767,-517.5214443020767,-517.5214443020767,-517.5057651544347,-517.5057651544347	0.9885118547166638	-517.5057651544347	0	true	55
49	42	41	40	7600	36480	291840	0	0	-515.9268209150999	-515.9268209150999	-515.9268209150999	-515.9268209150999	-519.281199883158,-518.3737580507625,-518.3737580507625,-518.3737580507625,-518.3737580507625,-517.573107826595,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-516.7343304459297,-515.9268209150999,-515.9268209150999	0.9876596895767686	-515.9268209150999	0	true	69
50	43	43	18	3564	16416	131328	0	0	-514.4831876493448	-514.4831876493448	-514.4831876493448	-514.4831876493448	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-514.4831876493448,-514.4831876493448	0.987423545667892	-514.4831876493448	0	true	45
51	45	44	11	2222	10032	80256	0	0	-515.2710193926803	-515.2710193926803	-515.2710193926803	-515.2710193926803	-Infinity,-Infinity,-521.3940736694803,-520.529869302409,-520.529869302409,-520.529869302409,-517.2610576519006,-517.2610576519006,-517.2610576519006,-515.2710193926803,-515.2710193926803	0.9865970785416102	-515.2710193926803	0	true	38
52	45	43	9	1782	8208	65664	0	0	-516.0847075694212	-516.0847075694212	-516.0847075694212	-516.0847075694212	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-516.0847075694212,-516.0847075694212	0.986389922576966	-516.0847075694212	0	true	38
53	45	41	10	1900	9120	72960	0	0	-518.449928037714	-518.449928037714	-518.449928037714	-518.449928037714	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-518.449928037714,-518.449928037714	0.9862507950665662	-518.449928037714	0	true	34
