# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 21
# run: 2de36be6-6b74-4225-a1dc-f37f7aefd257
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67657	772200	6177600	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	19	false	1519
26	16	16	100	68015	775170	6201360	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9958381646573722	-Infinity	16	false	1281
27	16	16	100	67803	750420	6003360	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954268136656409	-Infinity	17	false	1220
28	16	16	100	67928	715770	5726160	0	0	-Infinity	-Infinity	-2937.5095549342946	-2937.5095549342946	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954268136656409	-Infinity	14	false	1089
29	18	18	100	68080	696960	5575680	0	0	-Infinity	-Infinity	-1745.7527842684242	-1745.7527842684242	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952702129681755	-Infinity	16	false	873
30	18	18	100	68186	662310	5298480	0	0	-1258.5165167388436	-1258.5165167388436	-1228.7626136496904	-1228.7626136496904	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1280.7689831087032,-1280.7689831087032,-1280.7689831087032,-1280.7689831087032,-1280.7689831087032,-1280.7689831087032,-1280.7689831087032,-1280.7689831087032,-1280.7689831087032,-1280.7689831087032,-1280.7689831087032,-1275.5980319994153,-1275.5980319994153,-1275.5980319994153,-1260.2513244548684,-1260.2513244548684,-1260.2513244548684,-1260.2513244548684,-1260.2513244548684,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1262.3287271149563,-1258.5165167388436	0.9948311168948906	-1258.5165167388436	20	false	821
31	19	19	100	68484	650430	5203440	0	0	-1244.0001874075551	-1242.4616458055218	-1224.6205117393945	-1224.6205117393945	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1259.9975844678902,-1259.9975844678902,-1259.9378172513202,-1259.9378172513202,-1259.9378172513202,-1259.9378172513202,-1259.9378172513202,-1259.9378172513202,-1259.9378172513202,-1255.5206206389234,-1255.5206206389234,-1255.5206206389234,-1255.5206206389234,-1255.5206206389234,-1255.5206206389234,-1255.5206206389234,-1255.5206206389234,-1255.5206206389234,-1251.5833255202501,-1247.2754071619208,-1247.2754071619208,-1247.2754071619208,-1247.2754071619208,-1247.2754071619208,-1247.2754071619208,-1243.4884154575104,-1243.4884154575104,-1242.4616458055218,-1242.4616458055218,-1242.4616458055218,-1244.0001874075551,-1244.0001874075551	0.994524166368136	-1242.4616458055218	16	false	867
32	20	20	100	68478	623700	4989600	0	0	-763.8255372416687	-763.8255372416687	-722.4998464670545	-722.4998464670545	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-783.6313479196448,-783.6313479196448,-783.6313479196448,-783.6313479196448,-783.6313479196448,-783.6313479196448,-783.6313479196448,-783.6313479196448,-783.6313479196448,-783.6313479196448,-783.6313479196448,-783.6313479196448,-783.6313479196448,-783.6313479196448,-783.6313479196448,-783.6313479196448,-779.5336177671934,-779.5336177671934,-779.5336177671934,-776.4623048738844,-776.4623048738844,-776.4623048738844,-774.2834982655572,-774.2834982655572,-774.2834982655572,-774.2834982655572,-774.2834982655572,-774.2834982655572,-774.2834982655572,-774.2834982655572,-774.2834982655572,-771.5498462388431,-769.6875343130023,-769.6875343130023,-769.6875343130023,-769.6875343130023,-769.6875343130023,-768.6433729366483,-768.6433729366483,-768.6433729366483,-768.6433729366483,-768.6433729366483,-768.6433729366483,-768.6433729366483,-768.6433729366483,-768.6433729366483,-768.6433729366483,-768.6433729366483,-768.6433729366483,-768.6433729366483,-766.6746611014105,-765.952889670144,-765.952889670144,-764.7780280144431,-764.7780280144431,-764.6452618765894,-764.6452618765894,-764.6452618765894,-764.6452618765894,-763.8255372416687,-763.8255372416687,-763.8255372416687,-763.8255372416687,-763.8255372416687,-763.8255372416687,-763.8255372416687	0.9940017253858359	-763.8255372416687	22	false	903
33	22	21	100	68717	611820	4894560	0	0	-759.1278000687055	-759.1278000687055	-724.7102102170778	-724.7102102170778	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-768.4375077383256,-768.4375077383256,-768.4375077383256,-768.4375077383256,-769.403159540403,-769.403159540403,-769.403159540403,-769.403159540403,-769.403159540403,-769.403159540403,-769.403159540403,-769.403159540403,-769.403159540403,-769.403159540403,-769.403159540403,-765.6482304007917,-763.5275833298263,-762.5503839216719,-762.5503839216719,-762.5503839216719,-762.5503839216719,-762.5503839216719,-762.5503839216719,-762.5503839216719,-762.5503839216719,-762.5503839216719,-762.5503839216719,-762.5503839216719,-762.5503839216719,-762.5503839216719,-762.5503839216719,-762.5503839216719,-762.5503839216719,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-763.8261189288645,-759.1278000687055,-759.1278000687055,-759.1278000687055,-759.1278000687055,-759.1278000687055,-759.1278000687055,-759.1278000687055,-759.1278000687055	0.9933358799833313	-759.1278000687055	22	false	904
34	24	23	100	69336	612810	4902480	0	0	-769.5645255051738	-769.5645255051738	-716.2501407731148	-716.2501407731148	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-793.9881616208309,-786.0240359927604,-783.080350055637,-783.080350055637,-777.3590532498888,-777.3590532498888,-777.3590532498888,-777.3590532498888,-777.632958614736,-777.632958614736,-777.632958614736,-777.632958614736,-777.632958614736,-777.632958614736,-779.9406912008583,-779.9406912008583,-777.632958614736,-777.3590532498888,-778.3027391870122,-778.3027391870122,-778.3027391870122,-778.3027391870122,-778.3027391870122,-778.3027391870122,-778.3027391870122,-778.3027391870122,-778.3027391870122,-772.9048325104942,-772.9048325104942,-772.9048325104942,-772.9048325104942,-772.9048325104942,-772.9048325104942,-772.9048325104942,-772.9048325104942,-772.9048325104942,-769.5645255051738,-769.5645255051738,-769.5645255051738,-769.5645255051738,-769.5645255051738,-769.5645255051738,-769.5645255051738,-769.5645255051738,-769.5645255051738,-769.5645255051738,-769.5645255051738,-769.5645255051738,-769.5645255051738,-769.5645255051738,-769.5645255051738,-769.5645255051738,-769.5645255051738	0.9928159247263875	-769.5645255051738	22	true	1135
