# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 18
# run: 2f208d17-e97a-4ba1-86db-749463016e6a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	12	12	25	6600	5750	46000	0	0	-1165.3914825914364	-1165.3914825914364	-1165.3914825914364	-1165.3914825914364	-1368.7733335977473,-1368.7733335977473,-1365.5327845618444,-1363.5404186983365,-1363.5404186983365,-1363.5404186983365,-1363.5404186983365,-1265.3834920659165,-1265.3834920659165,-1265.3834920659165,-1167.3874667217444,-1167.3874667217444,-1167.3874667217444,-1167.3874667217444,-1167.3874667217444,-1167.3874667217444,-1167.3874667217444,-1167.3874667217444,-1167.3874667217444,-1167.3874667217444,-1167.3874667217444,-1167.3874667217444,-1167.3874667217444,-1165.3914825914364,-1165.3914825914364	0.9974600273429788	-1165.3914825914364	0	true	198
26	13	13	1	262	230	1840	0	0	-1161.0400312691095	-1161.0400312691095	-1161.0400312691095	-1161.0400312691095	-1161.0400312691095	0.9973879413076377	-1161.0400312691095	0	true	16
27	14	14	17	4352	3910	31280	0	0	-1159.9956020156992	-1159.9956020156992	-1159.9956020156992	-1159.9956020156992	-1161.9558395750869,-1161.9558395750869,-1161.9558395750869,-1160.974384632725,-1160.974384632725,-1160.974384632725,-1160.974384632725,-1160.974384632725,-1160.974384632725,-1160.974384632725,-1160.974384632725,-1160.974384632725,-1160.974384632725,-1160.974384632725,-1160.974384632725,-1159.9956020156992,-1159.9956020156992	0.9968457241868389	-1159.9956020156992	0	true	21
28	15	15	13	3302	2990	23920	0	0	-1158.7059294512173	-1158.7059294512173	-1158.7059294512173	-1158.7059294512173	-1159.5952667935949,-1159.5952667935949,-1159.5952667935949,-1159.5952667935949,-1159.5952667935949,-1159.522456920773,-1159.522456920773,-1159.522456920773,-1159.522456920773,-1159.522456920773,-1159.522456920773,-1158.7059294512173,-1158.7059294512173	0.9960270797844731	-1158.7059294512173	0	true	14
29	15	15	3	750	690	5520	0	0	-1157.3898518106657	-1157.3898518106657	-1157.3898518106657	-1157.3898518106657	-1207.4584274397675,-1157.3898518106657,-1157.3898518106657	0.9960270797844731	-1157.3898518106657	0	true	11
30	15	15	1	248	230	1840	0	0	-1156.566873597079	-1156.566873597079	-1156.566873597079	-1156.566873597079	-1156.566873597079	0.9960270797844731	-1156.566873597079	0	true	10
31	15	15	1	240	230	1840	0	0	-1156.1889239938382	-1156.1889239938382	-1156.1889239938382	-1156.1889239938382	-1156.1889239938382	0.9960270797844731	-1156.1889239938382	0	true	10
32	16	16	4	936	920	7360	0	0	-1157.063507170966	-1157.063507170966	-1157.063507170966	-1157.063507170966	-1159.6236334716175,-1158.702633897967,-1157.063507170966,-1157.063507170966	0.9954268136656409	-1157.063507170966	0	true	11
33	16	16	1	232	230	1840	0	0	-1155.7159082725639	-1155.7159082725639	-1155.7159082725639	-1155.7159082725639	-1155.7159082725639	0.9954268136656409	-1155.7159082725639	0	true	8
34	18	17	13	2990	2990	23920	0	0	-1155.6941122012677	-1155.6941122012677	-1155.6941122012677	-1155.6941122012677	-1211.2265224977039,-1210.5595727601178,-1207.600406871727,-1207.600406871727,-1207.600406871727,-1205.694107884097,-1205.694107884097,-1205.694107884097,-1205.694107884097,-1205.694107884097,-1205.694107884097,-1155.6941122012677,-1155.6941122012677	0.9953202199135847	-1155.6941122012677	0	true	11
35	18	18	12	2712	2760	22080	0	0	-1056.5241679514288	-1056.5241679514288	-1056.5241679514288	-1056.5241679514288	-1160.940581251296,-1058.1308321224033,-1058.1308321224033,-1057.3014925124112,-1057.3014925124112,-1057.3014925124112,-1057.3014925124112,-1057.3014925124112,-1057.3014925124112,-1057.3014925124112,-1056.5241679514288,-1056.5241679514288	0.9949686359947655	-1056.5241679514288	0	true	11
36	18	18	37	8288	8510	68080	0	0	-1055.693973136324	-1055.693973136324	-1055.693973136324	-1055.693973136324	-1057.6070711343982,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1056.663625201369,-1055.693973136324,-1055.693973136324	0.9948854007501045	-1055.693973136324	0	true	17
37	18	18	1	220	230	1840	0	0	-1055.1620376351937	-1055.1620376351937	-1055.1620376351937	-1055.1620376351937	-1055.1620376351937	0.9945307462293742	-1055.1620376351937	0	true	8
38	20	20	10	2160	2300	18400	0	0	-563.8409544639012	-563.8409544639012	-563.8409544639012	-563.8409544639012	-863.5421318943205,-764.5007711266189,-666.6312991643115,-666.6312991643115,-564.9890213954089,-564.6404761743321,-564.6404761743321,-564.6404761743321,-563.8409544639012,-563.8409544639012	0.9936403082299445	-563.8409544639012	0	true	10
39	22	22	5	1080	1150	9200	0	0	-560.014130591501	-560.014130591501	-560.014130591501	-560.014130591501	-561.63732284245,-561.63732284245,-560.4244948321964,-560.014130591501,-560.014130591501	0.9934141072224947	-560.014130591501	0	true	9
40	23	23	1	212	230	1840	0	0	-558.9123828254777	-558.9123828254777	-558.9123828254777	-558.9123828254777	-558.9123828254777	0.9931903919404012	-558.9123828254777	0	true	8
41	24	24	23	4784	5290	42320	0	0	-463.41620420025305	-463.41620420025305	-463.41620420025305	-463.41620420025305	-565.3244798885022,-565.3244798885022,-565.3244798885022,-565.3244798885022,-563.106367433411,-562.1498685511043,-562.1498685511043,-562.1498685511043,-562.1498685511043,-562.1498685511043,-562.1498685511043,-562.1498685511043,-562.1498685511043,-562.1498685511043,-562.1498685511043,-562.1498685511043,-562.1498685511043,-562.1498685511043,-560.5053617131971,-560.5053617131971,-560.5053617131971,-463.41620420025305,-463.41620420025305	0.992514493972116	-463.41620420025305	0	true	16
42	26	26	12	2472	2760	22080	0	0	-459.4662725807869	-459.4662725807869	-459.4662725807869	-459.4662725807869	-461.5209488545366,-460.5810676426401,-460.5810676426401,-460.5810676426401,-460.5810676426401,-460.08674240759166,-460.08674240759166,-460.08674240759166,-460.08674240759166,-460.08674240759166,-459.4662725807869,-459.4662725807869	0.9922360927321776	-459.4662725807869	0	true	12
43	27	27	1	206	230	1840	0	0	-457.990047715043	-457.990047715043	-457.990047715043	-457.990047715043	-457.990047715043	0.9914139390704847	-457.990047715043	0	true	7
44	28	28	2	400	460	3680	0	0	-457.1758558871171	-457.1758558871171	-457.1758558871171	-457.1758558871171	-457.1758558871171,-457.1758558871171	0.9911454807319727	-457.1758558871171	0	true	10
45	30	30	1	196	230	1840	0	0	-456.56030271892723	-456.56030271892723	-456.56030271892723	-456.56030271892723	-456.56030271892723	0.9909851514464726	-456.56030271892723	0	true	8
46	30	30	1	194	230	1840	0	0	-456.220976152806	-456.220976152806	-456.220976152806	-456.220976152806	-456.220976152806	0.9909851514464726	-456.220976152806	0	true	58
47	30	30	1	190	230	1840	0	0	-455.92648302689497	-455.92648302689497	-455.92648302689497	-455.92648302689497	-455.92648302689497	0.9906075770757631	-455.92648302689497	0	true	8
48	33	33	1	190	230	1840	0	0	-455.6101937404727	-455.6101937404727	-455.6101937404727	-455.6101937404727	-455.6101937404727	0.9902322691017027	-455.6101937404727	0	true	8
49	36	36	1	184	230	1840	0	0	-455.3560668580308	-455.3560668580308	-455.3560668580308	-455.3560668580308	-455.3560668580308	0.9900905827563768	-455.3560668580308	0	true	8
50	36	36	11	1980	2530	20240	0	0	-455.5069618858214	-455.5069618858214	-455.5069618858214	-455.5069618858214	-457.1837590253648,-457.1837590253648,-457.1837590253648,-457.1837590253648,-456.39564983192054,-456.39564983192054,-456.39564983192054,-456.39564983192054,-456.39564983192054,-455.5069618858214,-455.5069618858214	0.9900736944458659	-455.5069618858214	0	true	11
51	37	37	1	178	230	1840	0	0	-454.6503167851831	-454.6503167851831	-454.6503167851831	-454.6503167851831	-454.6503167851831	0.9898708519458111	-454.6503167851831	0	true	8
52	42	42	26	4732	5980	47840	0	0	-454.76711820429654	-454.76711820429654	-454.76711820429654	-454.76711820429654	-506.50582447162355,-505.63071952689944,-505.63071952689944,-505.63071952689944,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-455.63072118931234,-454.76711820429654,-454.76711820429654	0.9890095115549674	-454.76711820429654	0	true	18
53	43	43	6	1116	1380	11040	0	0	-453.89803793477506	-453.89803793477506	-453.89803793477506	-453.89803793477506	-Infinity,-Infinity,-Infinity,-Infinity,-453.89803793477506,-453.89803793477506	0.9884886424284074	-453.89803793477506	0	true	11
54	44	44	24	4560	5520	44160	0	0	-455.6397865275175	-455.6397865275175	-455.6397865275175	-455.6397865275175	-460.55505090244196,-460.55505090244196,-460.55505090244196,-460.55505090244196,-460.55505090244196,-460.55505090244196,-459.7377762281231,-458.9410542145469,-458.9410542145469,-458.9410542145469,-458.9410542145469,-457.23952711230265,-456.4396809552495,-456.4396809552495,-456.4396809552495,-456.4396809552495,-456.4396809552495,-456.4396809552495,-456.4396809552495,-456.4396809552495,-456.4396809552495,-456.4396809552495,-455.6397865275175,-455.6397865275175	0.9874702626826825	-455.6397865275175	0	true	17
55	45	45	8	1552	1840	14720	0	0	-453.56785691556263	-453.56785691556263	-453.56785691556263	-453.56785691556263	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-453.56785691556263,-453.56785691556263	0.9869277531236064	-453.56785691556263	0	true	65
56	48	45	28	5432	6440	51520	0	0	-454.68845228049304	-454.68845228049304	-454.68845228049304	-454.68845228049304	-554.8501716848556,-554.8501716848556,-554.8501716848556,-554.8501716848556,-554.8501716848556,-554.8501716848556,-554.8501716848556,-454.8694264039626,-454.8694264039626,-454.8694264039626,-454.8694264039626,-454.8694264039626,-454.8694264039626,-454.8694264039626,-454.8694264039626,-454.68847060089274,-454.68847060089274,-454.68847060089274,-454.68847060089274,-454.68847060089274,-454.68847060089274,-454.68847060089274,-454.68847060089274,-454.68847060089274,-454.68847060089274,-454.68847060089274,-454.68845228049304,-454.68845228049304	0.9860478794569421	-454.68845228049304	0	true	19
57	51	50	1	214	230	1840	0	0	-452.9547264927981	-452.9547264927981	-452.9547264927981	-452.9547264927981	-452.9547264927981	0.985838676424357	-452.9547264927981	0	true	10
58	51	50	1	214	230	1840	0	0	-452.88448589780984	-452.88448589780984	-452.88448589780984	-452.88448589780984	-452.88448589780984	0.9854586894378605	-452.88448589780984	0	true	10
59	53	52	25	5550	5750	46000	0	0	-453.920711532866	-453.920711532866	-453.920711532866	-453.920711532866	-456.38802172473265,-456.38802172473265,-456.38802172473265,-456.38802172473265,-455.57068760615095,-455.57068760615095,-455.57068760615095,-455.57068760615095,-455.57068760615095,-455.57068760615095,-455.57068760615095,-455.57068760615095,-454.73725526124997,-454.73725526124997,-454.73725526124997,-454.73725526124997,-454.73725526124997,-454.73725526124997,-454.73725526124997,-454.73725526124997,-454.73725526124997,-454.73725526124997,-454.73725526124997,-453.920711532866,-453.920711532866	0.9849153025639524	-453.920711532866	0	true	18
