# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 10
# run: 3128027e-e103-4666-b75a-2f9f15b156ef
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	175230	1401840	0	0	-1163.2191896960207	-1163.2191896960207	-1163.2191896960207	-1163.2191896960207	-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1169.1459723846763,-1167.1536205780135,-1167.1536205780135,-1167.1536205780135,-1167.1536205780135,-1167.1536205780135,-1167.1536205780135,-1167.1536205780135,-1167.1536205780135,-1167.1536205780135,-1167.1774600988888,-1167.1774600988888,-1167.1774600988888,-1167.1774600988888,-1167.1774600988888,-1167.1774600988888,-1167.1774600988888,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1167.2097827557138,-1165.2102527498291,-1165.2102527498291,-1165.2102527498291,-1165.2102527498291,-1165.2102527498291,-1165.2102527498291,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207,-1163.2191896960207	0.9960270797844731	-1163.2191896960207	0	true	669
26	15	15	100	53200	174240	1393920	0	0	-1158.6650583462897	-1158.6650583462897	-1158.6650583462897	-1158.6650583462897	-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897,-1158.6650583462897	0.9960270797844731	-1158.6650583462897	0	true	328
27	16	16	88	45408	153120	1224960	0	0	-1157.4744966002916	-1157.4744966002916	-1157.4744966002916	-1157.4744966002916	-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916,-1157.4744966002916	0.9958381646573722	-1157.4744966002916	0	true	169
28	16	16	100	51400	173250	1386000	0	0	-1157.0637944534842	-1157.0637944534842	-1157.0637944534842	-1157.0637944534842	-1159.0227878603232,-1159.0227878603232,-1159.0358005195917,-1159.0358005195917,-1159.0358005195917,-1159.0358005195917,-1159.0358005195917,-1159.0358005195917,-1159.0358005195917,-1159.0358005195917,-1159.0358005195917,-1159.0358005195917,-1159.0358005195917,-1159.0358005195917,-1159.0358005195917,-1159.0358005195917,-1159.0358005195917,-1159.0358005195917,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842,-1157.0637944534842	0.9955956967707507	-1157.0637944534842	0	true	194
29	17	17	100	51200	175230	1401840	0	0	-1155.4911835167975	-1155.4911835167975	-1155.4911835167975	-1155.4911835167975	-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975,-1155.4911835167975	0.9952876130456717	-1155.4911835167975	0	true	198
30	18	18	88	43648	153990	1231920	0	0	-1155.056736554888	-1155.056736554888	-1155.056736554888	-1155.056736554888	-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888,-1155.056736554888	0.9952702129681755	-1155.056736554888	0	true	163
31	18	18	100	49200	173250	1386000	0	0	-1155.6487185954763	-1155.6487185954763	-1155.6487185954763	-1155.6487185954763	-1162.7963059734602,-1162.7963059734602,-1162.7963059734602,-1160.824929030037,-1160.824929030037,-1160.824929030037,-1160.824929030037,-1160.824929030037,-1160.824929030037,-1160.824929030037,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763,-1155.6487185954763	0.9948854007501045	-1155.6487185954763	0	true	166
32	18	18	100	47803	169290	1354320	0	0	-1157.1466963195303	-1157.1466963195303	-1155.9468742804859	-1155.9468742804859	-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303,-1157.1466963195303	0.9947478816502295	-1157.1466963195303	1	true	185
33	21	21	100	48675	178200	1425600	0	0	-1154.5615276509682	-1154.5615276509682	-1154.5615276509682	-1154.5615276509682	-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1156.2563236647754,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682,-1154.5615276509682	0.9937941673185605	-1154.5615276509682	0	true	170
34	23	23	100	48871	182160	1457280	0	0	-1055.3167593795022	-1055.3167593795022	-1055.3167593795022	-1055.3167593795022	-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1057.2731142886396,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022,-1055.3167593795022	0.9931903919404012	-1055.3167593795022	0	true	175
