# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 18
# run: 31a55beb-03cb-4e7c-81a6-afe19d102f3e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	12	12	100	68400	854568	6836544	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9974600273429788	-Infinity	27	false	1160
26	13	13	100	70200	876546	7012368	0	0	-479.7124619552099	-479.7124619552099	-38.12055212735109	-38.12055212735109	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-619.4457984827887,-619.4457984827887,-621.3253944347731,-623.9069142380279,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4204577445229,-631.4207367366557,-631.4207367366557,-631.5685415580716,-643.1538777215823,-663.2968540871645,-663.2968540871645,-663.2968540871645,-479.7124619552099,-479.7124619552099,-479.7124619552099,-479.7124619552099,-479.7124619552099,-479.7124619552099,-479.7124619552099,-479.7124619552099,-479.7124619552099,-479.7124619552099	0.9973879413076377	-479.7124619552099	27	false	975
27	14	14	100	69213	890208	7121664	0	0	-Infinity	-Infinity	-126.80628499792603	-126.80628499792603	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9968457241868389	-Infinity	27	true	802
28	15	15	100	71800	878526	7028208	0	0	-Infinity	-Infinity	-36.258429260363116	-36.258429260363116	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	17	true	818
29	15	15	100	71400	844668	6757344	0	0	19.189339221634086	19.189339221634086	74.20180717689884	74.20180717689884	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086,19.189339221634086	0.9960270797844731	19.189339221634086	17	true	766
30	15	15	100	70636	799128	6393024	0	0	31.4351319866374	33.936426525298565	76.00507600473439	75.48457514941433	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,31.7755464521313,33.48860433257822,33.936426525298565,30.22194261431889,26.11673825221628,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,12.754627208120638,13.3337176772976,7.365057790625187,7.365057790625187,7.365057790625187,7.365057790625187,12.738787918870244,17.67333507152746,17.67333507152746,17.67333507152746,20.340578990649448,20.340578990649448,20.340578990649448,20.340578990649448,20.340578990649448,20.340578990649448,20.340578990649448,20.340578990649448,20.340578990649448,20.340578990649448,20.340578990649448,20.340578990649448,20.340578990649448,31.4351319866374,31.4351319866374,31.4351319866374,31.4351319866374,31.4351319866374,31.4351319866374,31.4351319866374,31.4351319866374,31.4351319866374,31.4351319866374,31.4351319866374,31.4351319866374	0.9960270797844731	33.936426525298565	17	true	763
31	15	15	100	66264	695970	5567760	0	0	52.16752119709675	52.16752119709675	78.21249109379465	78.21249109379465	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,23.00187813219995,23.00187813219995,23.00187813219995,23.00187813219995,23.00187813219995,23.00187813219995,23.00187813219995,23.00187813219995,23.00187813219995,23.00187813219995,23.00187813219995,23.00187813219995,23.00187813219995,23.00187813219995,23.00187813219995,23.00187813219995,23.00187813219995,22.517827864169575,16.513608928559165,16.513608928559165,16.513608928559165,12.833806344239918,6.003004914639746,6.003004914639746,6.003004914639746,6.003004914639746,6.003004914639746,6.003004914639746,6.003004914639746,6.003004914639746,8.632449520962702,10.353884664298043,10.353884664298043,10.353884664298043,10.353884664298043,22.713320951409493,22.713320951409493,22.713320951409493,22.713320951409493,22.95746755839263,22.95746755839263,22.95746755839263,22.95746755839263,22.95746755839263,22.95746755839263,20.909379587918256,20.909379587918256,20.909379587918256,32.99284378332496,32.99284378332496,32.99284378332496,32.99284378332496,32.99284378332496,29.105945271168306,29.105945271168306,29.105945271168306,29.105945271168306,29.105945271168306,29.105945271168306,29.105945271168306,29.105945271168306,29.105945271168306,29.105945271168306,29.105945271168306,29.105945271168306,34.19725307077833,38.85085968298735,38.85085968298735,38.85085968298735,42.737758195143996,42.737758195143996,42.737758195143996,42.737758195143996,42.737758195143996,42.737758195143996,45.97403466533426,45.97403466533426,45.97403466533426,50.273861516904304,50.185978147204025,50.185978147204025,50.185978147204025,50.185978147204025,50.185978147204025,50.185978147204025,50.185978147204025,50.185978147204025,52.16752119709675	0.9960270797844731	52.16752119709675	12	true	614
32	16	16	100	66731	683892	5471136	0	0	34.76229686962764	34.76229686962764	76.45405495520976	76.45405495520976	-Infinity,-Infinity,-Infinity,-Infinity,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,18.876128920105153,13.738914672790898,13.738914672790898,7.960944469314747,7.960944469314747,7.960944469314747,7.960944469314747,7.960944469314747,7.960944469314747,3.678671589959812,3.678671589959812,3.678671589959812,3.678671589959812,3.678671589959812,3.678671589959812,2.322418845654312,2.322418845654312,10.647821390704657,18.585369470173305,26.163708562997996,26.163708562997996,26.163708562997996,26.163708562997996,26.163708562997996,26.163708562997996,20.20370133777763,20.20370133777763,20.20370133777763,20.20370133777763,19.3598720652476,15.383007970260046,15.383007970260046,15.383007970260046,8.298592531972503,8.298592531972503,8.298592531972503,8.298592531972503,8.66224560151916,8.66224560151916,8.66224560151916,8.66224560151916,8.66224560151916,8.66224560151916,8.66224560151916,8.66224560151916,8.66224560151916,8.66224560151916,8.66224560151916,8.66224560151916,8.66224560151916,8.66224560151916,14.544143723685401,14.544143723685401,14.544143723685401,14.544143723685401,14.544143723685401,14.544143723685401,21.628559161972944,21.628559161972944,21.628559161972944,28.391008244311266,28.391008244311266,28.391008244311266,28.391008244311266,28.391008244311266,28.391008244311266,28.391008244311266,28.391008244311266,28.391008244311266,34.76229686962764,34.76229686962764	0.9954268136656409	34.76229686962764	15	true	585
33	16	16	100	66008	663498	5307984	0	0	38.695965564379286	38.695965564379286	77.90550774852188	77.90550774852188	-Infinity,-Infinity,-Infinity,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,36.582586717880424,30.854916245315998,30.854916245315998,30.854916245315998,30.854916245315998,30.854916245315998,30.854916245315998,30.854916245315998,30.854916245315998,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286,38.695965564379286	0.9954268136656409	38.695965564379286	15	true	591
34	17	16	100	66089	631818	5054544	0	0	37.13672435477991	42.42077462714889	78.13940902126065	76.4853203082083	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,25.02912723543256,25.02912723543256,25.02912723543256,25.02912723543256,29.051146622525057,29.051146622525057,35.3035701807661,41.43635014193916,41.43635014193916,41.43635014193916,41.43635014193916,42.42077462714889,42.42077462714889,38.96322117527444,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,34.970498302914116,29.225223817370825,29.225223817370825,29.225223817370825,29.225223817370825,29.225223817370825,29.225223817370825,29.225223817370825,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991,37.13672435477991	0.9953376199910808	42.42077462714889	15	true	624
