# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 3
# run: 3377a15e-a931-46c7-b36c-e702533104a6
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	29	12955	26970	215760	0	0	-102.4371512502781	-102.4371512502781	-102.4371512502781	-102.4371512502781	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-155.59789712941446,-155.59789712941446,-153.66071625300907,-153.66071625300907,-153.66071625300907,-153.66071625300907,-152.62729184229897,-152.62729184229897,-152.62729184229897,-152.62729184229897,-152.62729184229897,-102.62654994223298,-102.62654994223298,-102.62654994223298,-102.62654994223298,-102.62654994223298,-102.62654994223298,-102.49804114429506,-102.49804114429506,-102.4371512502781,-102.4371512502781	0.9968457241868389	-102.4371512502781	0	true	595
26	15	15	23	10051	21390	171120	0	0	-94.97761766590389	-94.97761766590389	-94.97761766590389	-94.97761766590389	-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.50649982730765,-95.06877530939636,-94.97761766590389,-94.97761766590389	0.9964541127788218	-94.97761766590389	0	true	227
27	15	15	1	427	930	7440	0	0	-94.87545682665575	-94.87545682665575	-94.87545682665575	-94.87545682665575	-94.87545682665575	0.9960270797844731	-94.87545682665575	0	true	46
28	15	15	14	5919	13020	104160	0	0	-143.5339634093561	-143.5339634093561	-143.5339634093561	-143.5339634093561	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-143.5339634093561,-143.5339634093561	0.9960270797844731	-143.5339634093561	0	true	143
29	15	15	7	2927	6510	52080	0	0	-192.8104401406759	-192.8104401406759	-192.8104401406759	-192.8104401406759	-242.80989217354295,-242.80989217354295,-242.80989217354295,-242.80989217354295,-242.80989217354295,-192.8104401406759,-192.8104401406759	0.9960270797844731	-192.8104401406759	0	true	137
30	16	16	14	5764	13020	104160	0	0	-91.93051443013152	-91.93051443013152	-91.93051443013152	-91.93051443013152	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-93.72385934667965,-93.72385934667965,-93.72385934667965,-91.93051443013152,-91.93051443013152	0.9956367112391343	-91.93051443013152	0	true	136
31	16	16	2	798	1860	14880	0	0	-41.05446813966607	-41.05446813966607	-41.05446813966607	-41.05446813966607	-41.05446813966607,-41.05446813966607	0.9954268136656409	-41.05446813966607	0	true	39
32	18	18	25	10128	23250	186000	0	0	-39.46004358344182	-39.46004358344182	-39.46004358344182	-39.46004358344182	-Infinity,-Infinity,-40.05080364656657,-40.05080364656657,-40.05080364656657,-40.05080364656657,-39.750021027890504,-39.750021027890504,-39.60265515905517,-39.60265515905517,-39.60265515905517,-39.60265515905517,-39.60265515905517,-39.60265515905517,-39.60265515905517,-39.60265515905517,-39.60265515905517,-39.60265515905517,-39.60265515905517,-39.60265515905517,-39.60265515905517,-39.60265515905517,-39.60265515905517,-39.46004358344182,-39.46004358344182	0.9952702129681755	-39.46004358344182	0	true	251
33	18	18	23	8995	21390	171120	0	0	8.445642820678334	8.445642820678334	8.445642820678334	8.445642820678334	-Infinity,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.430493830211596,8.445642820678334,8.445642820678334	0.9949686359947655	8.445642820678334	0	true	171
34	18	18	2	775	1860	14880	0	0	6.186174580746611	6.186174580746611	6.186174580746611	6.186174580746611	6.186174580746611,6.186174580746611	0.9948311168948906	6.186174580746611	0	true	37
35	18	18	3	1178	2790	22320	0	0	6.361646371411826	6.361646371411826	6.361646371411826	6.361646371411826	-Infinity,6.361646371411826,6.361646371411826	0.9944764623741603	6.361646371411826	0	true	41
36	20	20	10	4019	9300	74400	0	0	54.93433699007332	54.93433699007332	54.93433699007332	54.93433699007332	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,54.93433699007332,54.93433699007332	0.9937073862597878	54.93433699007332	0	true	252
37	22	22	86	32177	79980	639840	0	0	56.935482612573594	56.935482612573594	56.935482612573594	56.935482612573594	56.09708083922523,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.93513604797013,56.935482612573594,56.935482612573594	0.9933979500076767	56.935482612573594	0	true	350
38	22	22	1	380	930	7440	0	0	59.02481152717329	59.02481152717329	59.02481152717329	59.02481152717329	59.02481152717329	0.9932990327603982	59.02481152717329	0	true	26
39	25	25	16	6447	14880	119040	0	0	60.477855940232644	60.477855940232644	60.477855940232644	60.477855940232644	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,60.477855940232644,60.477855940232644	0.9925232671204333	60.477855940232644	0	true	98
40	26	26	9	3726	8370	66960	0	0	60.497424190322725	60.497424190322725	60.497424190322725	60.497424190322725	59.567121570997216,59.567121570997216,59.567121570997216,59.567121570997216,59.567121570997216,59.567121570997216,59.567121570997216,60.497424190322725,60.497424190322725	0.99162149713776	60.497424190322725	0	true	69
41	27	26	14	5719	13020	104160	0	0	60.28293171113341	60.28293171113341	60.28293171113341	60.28293171113341	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,60.11254794204818,60.11254794204818,60.11254794204818,60.11254794204818,60.11254794204818,60.11254794204818,60.28293171113341,60.28293171113341	0.991357644702115	60.28293171113341	0	true	93
42	28	28	10	4050	9300	74400	0	0	62.033025996077264	62.033025996077264	62.033025996077264	62.033025996077264	61.89328408769991,61.89328408769991,61.89328408769991,61.89328408769991,61.89328408769991,61.89328408769991,61.89328408769991,61.89328408769991,62.033025996077264,62.033025996077264	0.9912076238658876	62.033025996077264	0	true	78
43	28	27	7	2785	6510	52080	0	0	61.47563304155986	61.47563304155986	61.47563304155986	61.47563304155986	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,61.47563304155986,61.47563304155986	0.9912408521651398	61.47563304155986	0	true	58
44	28	28	20	7980	18600	148800	0	0	62.35843586535752	62.35843586535752	62.35843586535752	62.35843586535752	62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.31954590205879,62.35843586535752,62.35843586535752	0.9908300494951781	62.35843586535752	0	true	110
