# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 29
# run: 34093b22-e0a7-4398-bac5-b7d957baf7f7
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	15	3960	3450	27600	0	0	-1165.029693097977	-1165.029693097977	-1165.029693097977	-1165.029693097977	-1367.1308627464289,-1365.188119384797,-1363.210118181653,-1363.210118181653,-1363.210118181653,-1363.210118181653,-1363.210118181653,-1363.210118181653,-1263.2160567044025,-1263.2160567044025,-1263.2160567044025,-1263.2160567044025,-1263.2160567044025,-1165.029693097977,-1165.029693097977	0.9960270797844731	-1165.029693097977	0	true	227
26	16	16	3	786	690	5520	0	0	-1158.9263859757968	-1158.9263859757968	-1158.9263859757968	-1158.9263859757968	-1160.6427823926929,-1158.9263859757968,-1158.9263859757968	0.9958381646573722	-1158.9263859757968	0	true	23
27	16	16	16	4096	3680	29440	0	0	-1158.0033646405477	-1158.0033646405477	-1158.0033646405477	-1158.0033646405477	-1159.6284665898472,-1159.6284665898472,-1159.6284665898472,-1158.8147683381803,-1158.8147683381803,-1158.8147683381803,-1158.8147683381803,-1158.8147683381803,-1158.8147683381803,-1158.8147683381803,-1158.8147683381803,-1158.8147683381803,-1158.8147683381803,-1158.8147683381803,-1158.0033646405477,-1158.0033646405477	0.9956367112391343	-1158.0033646405477	0	true	24
28	16	16	6	1524	1380	11040	0	0	-1157.0208021900748	-1157.0208021900748	-1157.0208021900748	-1157.0208021900748	-1158.6398424719623,-1158.6398424719623,-1158.6398424719623,-1157.8359416125686,-1157.0208021900748,-1157.0208021900748	0.9954268136656409	-1157.0208021900748	0	true	14
29	18	18	6	1512	1380	11040	0	0	-1155.8087677955216	-1155.8087677955216	-1155.8087677955216	-1155.8087677955216	-1205.936023243864,-1205.936023243864,-1205.936023243864,-1205.936023243864,-1155.8087677955216,-1155.8087677955216	0.9952702129681755	-1155.8087677955216	0	true	27
30	18	18	1	248	230	1840	0	0	-1155.1338714991157	-1155.1338714991157	-1155.1338714991157	-1155.1338714991157	-1155.1338714991157	0.9952147228050682	-1155.1338714991157	0	true	11
31	18	18	20	4840	4600	36800	0	0	-1156.970918740757	-1156.970918740757	-1156.970918740757	-1156.970918740757	-1159.5894174338982,-1159.5894174338982,-1159.5894174338982,-1159.5894174338982,-1159.5894174338982,-1158.7379001465267,-1158.7379001465267,-1158.7379001465267,-1158.7379001465267,-1158.7379001465267,-1158.7379001465267,-1158.7379001465267,-1158.7379001465267,-1157.9597239512518,-1157.9597239512518,-1157.9597239512518,-1157.9597239512518,-1157.9597239512518,-1156.970918740757,-1156.970918740757	0.9947478816502295	-1156.970918740757	0	true	15
32	20	20	5	1170	1150	9200	0	0	-1155.5612237936532	-1155.5612237936532	-1155.5612237936532	-1155.5612237936532	-1155.634211352022,-1155.634211352022,-1155.634211352022,-1155.5612237936532,-1155.5612237936532	0.9940017253858359	-1155.5612237936532	0	true	11
33	23	23	19	4446	4370	34960	0	0	-1155.6887251660162	-1155.6887251660162	-1155.6887251660162	-1155.6887251660162	-1161.270990144116,-1161.270990144116,-1161.270990144116,-1161.270990144116,-1161.270990144116,-1158.4578055189693,-1158.0427520721903,-1158.0427520721903,-1158.0427520721903,-1158.0427520721903,-1158.0427520721903,-1157.2303065834842,-1157.2303065834842,-1157.2303065834842,-1157.2303065834842,-1156.4603830585131,-1156.4603830585131,-1155.6887251660162,-1155.6887251660162	0.9931903919404012	-1155.6887251660162	0	true	16
34	23	23	6	1392	1380	11040	0	0	-1154.0560096501533	-1154.0560096501533	-1154.0560096501533	-1154.0560096501533	-1204.056005740677,-1204.056005740677,-1204.056005740677,-1204.056005740677,-1154.0560096501533,-1154.0560096501533	0.9930914746931229	-1154.0560096501533	0	true	13
35	25	25	16	3648	3680	29440	0	0	-1054.5532836668458	-1054.5532836668458	-1054.5532836668458	-1054.5532836668458	-1156.211568750772,-1156.211568750772,-1156.211568750772,-1156.211568750772,-1156.211568750772,-1156.211568750772,-1055.3739970085157,-1055.3739970085157,-1055.3739970085157,-1055.3739970085157,-1055.3739970085157,-1055.3739970085157,-1055.3739970085157,-1055.3739970085157,-1054.5532836668458,-1054.5532836668458	0.9925715194361789	-1054.5532836668458	0	true	13
36	27	27	18	4032	4140	33120	0	0	-1054.4017249945125	-1054.4017249945125	-1054.4017249945125	-1054.4017249945125	-1056.1785146107652,-1056.1785146107652,-1056.1785146107652,-1056.1785146107652,-1056.1785146107652,-1056.1785146107652,-1056.1785146107652,-1056.1785146107652,-1056.1785146107652,-1056.1785146107652,-1056.1785146107652,-1055.2198111875073,-1055.2198111875073,-1055.2198111875073,-1055.2198111875073,-1055.2198111875073,-1054.4017249945125,-1054.4017249945125	0.9916600258807873	-1054.4017249945125	0	true	16
37	28	28	1	220	230	1840	0	0	-1053.8798177004478	-1053.8798177004478	-1053.8798177004478	-1053.8798177004478	-1053.8798177004478	0.9911454807319727	-1053.8798177004478	0	true	9
38	30	30	13	2834	2990	23920	0	0	-557.5098099312877	-557.5098099312877	-557.5098099312877	-557.5098099312877	-953.8067328457637,-953.8067328457637,-854.6367141802781,-854.6367141802781,-854.6367141802781,-854.6367141802781,-755.8545256733511,-755.8545256733511,-657.1495638251281,-657.1495638251281,-657.1495638251281,-557.5098099312877,-557.5098099312877	0.9909851514464726	-557.5098099312877	0	true	13
39	31	31	1	216	230	1840	0	0	-556.6517909784953	-556.6517909784953	-556.6517909784953	-556.6517909784953	-556.6517909784953	0.9909006367843485	-556.6517909784953	0	true	9
40	31	31	1	212	230	1840	0	0	-556.7483977926842	-556.7483977926842	-556.7483977926842	-556.7483977926842	-556.7483977926842	0.9904398271689779	-556.7483977926842	0	true	9
41	31	31	5	1040	1150	9200	0	0	-458.6798096924806	-458.6798096924806	-458.6798096924806	-458.6798096924806	-556.7780623814197,-556.7780623814197,-556.7780623814197,-458.6798096924806,-458.6798096924806	0.9904398271689779	-458.6798096924806	0	true	11
42	33	33	16	3296	3680	29440	0	0	-458.4728080946622	-458.4728080946622	-458.4728080946622	-458.4728080946622	-460.1064528646382,-460.1064528646382,-460.1064528646382,-460.1064528646382,-460.1064528646382,-460.1064528646382,-459.3451024539474,-459.3451024539474,-459.3451024539474,-459.3451024539474,-459.3451024539474,-459.3451024539474,-459.3451024539474,-459.3451024539474,-458.4728080946622,-458.4728080946622	0.9901772907055802	-458.4728080946622	0	true	13
43	38	38	1	202	230	1840	0	0	-457.3117051763387	-457.3117051763387	-457.3117051763387	-457.3117051763387	-457.3117051763387	0.9894139171376141	-457.3117051763387	0	true	10
