# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 28
# run: 37f1ed1e-ea68-4983-92db-b9e11e6999f0
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	76200	533016	4264128	0	0	-414.44935619554485	-414.44935619554485	-7.064985404708558	-7.064985404708558	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1068.7695506745856,-1068.7695506745856,-1068.7696452254188,-1068.7696452254188,-1068.7696452254188,-568.769782020518,-568.769782020518,-568.769782020518,-568.769782020518,-568.769782020518,-1168.7698996780944,-1168.7698996780944,-1168.7698996780944,-1168.7698996780944,-1168.7698996780944,-1168.7698996780944,-1168.7698996780944,-1168.7698996780944,-1168.7698996780944,-1168.7699956981105,-1168.7699956981105,-1168.7699956981105,-1168.7699956981105,-1168.7699956981105,-1168.7699956981105,-1168.7699956981105,-1168.7699956981105,-1168.7699956981105,-1168.7703376766758,-1168.7703376766758,-1168.7703376766758,-1168.7703376766758,-1168.7703376766758,-968.7704145771955,-968.7704145771955,-968.7704145771955,-968.7704145771955,-968.7704145771955,-968.7704145771955,-968.7704145771955,-968.7704145771955,-968.7703710240546,-968.7703710240546,-968.7703710240546,-968.7703710240546,-970.4486277099733,-970.4486277099733,-973.9077009199361,-973.9077009199361,-973.9077009199361,-973.9077009199361,-973.9077009199361,-973.9077009199361,-968.8072874824102,-968.8072874824102,-964.1987848396623,-962.1815131547685,-963.4766533902113,-963.4766533902113,-963.4766533902113,-963.4766533902113,-963.4766533902113,-963.4766533902113,-963.4766533902113,-963.4766533902113,-963.4766533902113,-963.4766533902113,-963.4766533902113,-963.4766533902113,-982.3505782352527,-982.3505782352527,-787.6157544253743,-600.1963354003708,-507.1349394434506,-414.44935619554485,-414.44935619554485,-414.44935619554485,-414.44935619554485,-414.44935619554485	0.9961066961054532	-414.44935619554485	13	true	926
26	15	15	100	76000	530838	4246704	0	0	-408.78424198043194	-394.69216170846863	-50.18524193446015	-49.504846503241524	-Infinity,-Infinity,-Infinity,-Infinity,-966.416189574123,-966.4162664138544,-966.4162664138544,-966.4162664138544,-966.4163611784248,-966.4163611784248,-966.4163611784248,-966.4163611784248,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-966.4166546395405,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-970.8584304234419,-588.3406957900298,-594.6916529026852,-394.69216170846863,-394.69216170846863,-394.69216170846863,-401.5494561129473,-408.78424198043194,-408.78424198043194,-408.78424198043194,-408.78424198043194,-408.78424198043194,-408.78424198043194,-408.78424198043194,-408.78424198043194	0.9960270797844731	-394.69216170846863	11	true	606
27	15	15	100	74600	528660	4229280	0	0	-392.76192106490856	-364.6058387682563	-47.6084223187976	1.2743866795041172	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-964.6053097880634,-964.6053097880634,-964.6053097880634,-964.6053097880634,-964.6053097880634,-964.6053097880634,-964.6055742691333,-964.6055742691333,-964.6055742691333,-964.6055742691333,-964.6055742691333,-964.6055742691333,-964.6055742691333,-964.6055742691333,-964.6055742691333,-964.6055742691333,-964.6055487060045,-964.6055487060045,-964.6055487060045,-964.6055487060045,-964.6055487060045,-964.6055487060045,-964.6055487060045,-964.6055487060045,-364.6058387682563,-364.6058387682563,-364.6058387682563,-364.6058387682563,-364.6058387682563,-364.6058387682563,-364.6058387682563,-364.6058387682563,-364.6058387682563,-364.6058387682563,-364.6058387682563,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-368.8013669665546,-380.38568710926944,-380.38568710926944,-386.3361214871003,-386.3361214871003,-392.76192106490856,-392.76192106490856,-392.76192106490856,-392.76192106490856,-392.76192106490856,-392.76192106490856,-392.76192106490856,-392.76192106490856,-392.76192106490856,-392.76192106490856,-392.76192106490856	0.9960270797844731	-364.6058387682563	7	true	384
28	16	16	100	79800	532818	4262544	0	0	-567.678846963262	-362.4927811523201	47.2783448553612	52.41176501984502	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-567.0142853005582,-567.0142853005582,-567.0142853005582,-567.0142853005582,-567.0142853005582,-567.0142853005582,-567.0142853005582,-567.0144517705614,-567.0144517705614,-567.0144517705614,-567.0144517705614,-567.0147484809419,-567.0147484809419,-567.0147484809419,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-367.0146475219629,-362.4927811523201,-366.14697592819584,-366.14697592819584,-366.14697592819584,-366.14697592819584,-366.14697592819584,-366.14697592819584,-366.14697592819584,-766.1473008281938,-766.1473008281938,-766.1473008281938,-766.1473008281938,-766.1473008281938,-766.1473008281938,-766.1473008281938,-766.1473008281938,-766.1473008281938,-766.1473008281938,-768.0017798090519,-764.0202342861576,-764.0202342861576,-764.0202342861576,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-767.6787894015132,-567.678846963262,-567.678846963262,-567.678846963262,-567.678846963262,-567.678846963262,-567.678846963262,-567.678846963262,-567.678846963262	0.995805594344244	-362.4927811523201	6	true	398
29	16	16	100	79000	522522	4180176	0	0	-165.6712416582135	-161.8660820531472	53.721617924254346	54.57162588717039	-564.7901609365975,-564.7901609365975,-564.7901609365975,-564.7905809896589,-564.7905809896589,-564.7905809896589,-564.7905809896589,-564.7905809896589,-564.7905809896589,-564.7905809896589,-564.7905809896589,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-564.7906501235889,-364.79080766186877,-364.79080766186877,-364.79080766186877,-364.79080766186877,-364.79080766186877,-364.79080766186877,-364.79080766186877,-364.79080766186877,-364.79080766186877,-364.79080766186877,-364.79080766186877,-364.79080766186877,-362.0799630264847,-362.0799630264847,-362.0799630264847,-362.0799630264847,-362.0799630264847,-362.0799630264847,-362.0799630264847,-362.0799630264847,-362.4022891436129,-365.4930717846944,-369.2198624937834,-369.2198624937834,-369.2198624937834,-369.2198624937834,-369.2198624937834,-369.2198624937834,-369.2198624937834,-369.2198624937834,-369.2198624937834,-369.2198624937834,-364.6452375316964,-364.6452375316964,-364.6452375316964,-362.61439801712135,-364.6570273845685,-364.6570273845685,-364.6570273845685,-364.6570273845685,-364.6570273845685,-364.6570273845685,-364.6570273845685,-364.6570273845685,-365.2094909692198,-365.2094909692198,-361.8659524043009,-361.8659524043009,-361.8659524043009,-361.8659524043009,-361.8659524043009,-361.8659524043009,-363.1417817615671,-363.1417817615671,-363.1417817615671,-363.1417817615671,-163.14191141041331,-163.14191141041331,-163.14191141041331,-163.14191141041331,-163.14191141041331,-163.14191141041331,-161.8660820531472,-161.8660820531472,-165.6712416582135	0.9954268136656409	-161.8660820531472	7	true	440
30	17	17	100	78600	526086	4208688	0	0	40.107629923785595	42.25582068941942	58.36610319821065	53.77094375740296	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-157.7439242811387,-157.7439242811387,-157.7440783905457,42.25576202670122,42.25576202670122,42.25576202670122,42.25576202670122,42.25576202670122,42.25576202670122,42.25576202670122,42.25576202670122,42.25576202670122,42.25576202670122,42.25582068941942,42.25582068941942,42.25582068941942,42.25582068941942,42.25582068941942,42.25582068941942,42.25582068941942,42.25582068941942,42.25582068941942,42.25582068941942,42.25582068941942,42.25582068941942,42.25582068941942,42.25582068941942,42.25582068941942,42.25582068941942,-161.61576380143248,-161.61576380143248,-161.61576380143248,-161.61576380143248,-161.61576380143248,-161.61576380143248,-161.61576380143248,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-166.83478727308614,-162.91847173280127,-162.91847173280127,-162.98648638447006,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,-159.89181266551253,40.107629923785595,40.107629923785595,40.107629923785595,40.107629923785595,40.107629923785595,40.107629923785595,40.107629923785595,40.107629923785595,40.107629923785595,40.107629923785595	0.9952876130456717	42.25582068941942	5	true	464
31	18	18	100	76800	521730	4173840	0	0	-Infinity	25.315774330147235	40.58143272756725	58.094264635383226	-Infinity,-Infinity,-Infinity,-373.9708641796841,-373.9708641796841,-179.9420215151577,20.057935119903753,20.05772312779262,20.05772312779262,20.05772312779262,20.05772312779262,20.05772312779262,20.05772312779262,20.05772312779262,19.001126776524593,17.906355981331977,17.906355981331977,17.906355981331977,17.906355981331977,17.906355981331977,17.906355981331977,17.906355981331977,17.906355981331977,17.906355981331977,17.906355981331977,17.906355981331977,15.839094195182675,15.839094195182675,15.839094195182675,15.839094195182675,15.839094195182675,15.839094195182675,15.839094195182675,13.567362018029947,15.839094195182675,15.839094195182675,15.839094195182675,15.839094195182675,15.839094195182675,-183.85608228023523,-183.85608228023523,-183.85608228023523,-179.7888204940859,-182.44140831068256,-182.44140831068256,-182.44140831068256,-182.44140831068256,-184.71788929792731,-183.36352453899173,-183.36352453899173,-190.83710874630526,-190.83710874630526,-190.83710874630526,-190.83710874630526,-190.83710874630526,-214.66951280079508,-214.66951280079508,-230.89509293391697,-230.89509293391697,-221.87042230305275,-213.12439446765794,-213.12439446765794,-213.12439446765794,-213.12439446765794,-213.12439446765794,-213.12439446765794,-204.4813558046364,-204.4813558046364,-204.4813558046364,-4.482075469264842,10.450518982337066,10.450518982337066,13.255315485675915,25.315774330147235,25.315774330147235,25.315774330147235,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952147228050682	25.315774330147235	9	true	562
32	18	18	100	74200	510840	4086720	0	0	41.235901215590616	41.495022779137315	54.171606871375616	53.74515008292903	-182.44978330169326,-182.44978330169326,-182.44978330169326,17.550203861283865,17.550142572007804,17.550085843531097,17.550085843531097,17.550085843531097,17.550085843531097,17.550085843531097,17.550085843531097,17.550085843531097,17.550085843531097,17.55001779962456,10.340911816982814,2.7719625304201294,2.7719625304201294,2.7719625304201294,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,2.7718679604370315,-5.136451677584532,-5.136451677584532,-5.136451677584532,-5.136451677584532,-5.136451677584532,-12.823753368694085,-12.823753368694085,-12.823753368694085,-4.407389184424503,-4.010450948903731,-4.010450948903731,-4.010450948903731,-4.010450948903731,-4.010450948903731,-4.010450948903731,-4.010450948903731,14.42021330991797,14.42021330991797,14.42021330991797,20.883343449701023,20.883343449701023,20.883343449701023,20.883343449701023,20.883343449701023,20.883343449701023,20.883343449701023,20.883343449701023,20.883343449701023,20.883343449701023,20.883343449701023,20.883343449701023,20.883343449701023,26.669064013748198,26.669064013748198,26.669064013748198,26.669064013748198,26.669064013748198,26.669064013748198,26.669064013748198,26.669064013748198,26.669064013748198,26.669064013748198,26.59229316496709,25.93136156830151,25.93136156830151,25.93136156830151,25.93136156830151,25.914183309060974,25.914183309060974,25.914183309060974,25.914183309060974,29.845684560147326,29.845684560147326,29.845684560147326,31.613057130616696,33.043491207946985,33.043491207946985,33.043491207946985,33.043491207946985,38.56209773036084,41.495022779137315,41.235901215590616	0.9948854007501045	41.495022779137315	5	true	383
33	18	18	100	70800	500148	4001184	0	0	40.880651515710866	40.880651515710866	51.836144775331725	51.836144775331725	-189.0563688086959,-189.0563688086959,-189.0563688086959,10.94362745816248,10.94362745816248,10.94353938976961,10.94353938976961,10.94353938976961,10.94353938976961,10.94353938976961,10.94353938976961,10.94353938976961,10.94353938976961,10.943444713867988,10.943444713867988,10.943444713867988,10.943444713867988,10.943444713867988,10.943444713867988,10.943444713867988,3.896119440097751,7.358630399331096,7.811688335715004,7.811688335715004,7.811461600632448,7.811461600632448,7.811461600632448,7.811461600632448,7.811461600632448,7.811461600632448,7.811461600632448,7.811461600632448,7.811461600632448,7.811461600632448,7.811461600632448,7.811461600632448,7.811461600632448,3.7782354251873063,3.7782354251873063,3.7782354251873063,3.7782354251873063,3.7782354251873063,3.7782354251873063,14.778357797487999,17.983342306726044,17.983342306726044,17.983342306726044,38.98113025048822,38.98113025048822,38.98113025048822,38.98113025048822,38.98113025048822,38.98113025048822,38.98113025048822,25.14449112665912,25.14449112665912,25.14449112665912,25.14449112665912,25.14449112665912,25.14449112665912,25.14449112665912,25.14449112665912,25.14449112665912,25.14449112665912,25.14449112665912,25.14449112665912,31.68586747493748,31.68586747493748,31.68586747493748,31.68586747493748,37.579631812627746,37.579631812627746,37.579631812627746,37.579631812627746,32.88200579404241,32.88200579404241,32.88200579404241,32.88200579404241,32.88200579404241,32.88200579404241,32.88200579404241,32.88200579404241,32.88200579404241,40.880651515710866,40.880651515710866,40.880651515710866,40.880651515710866,40.880651515710866,40.880651515710866,40.880651515710866,40.880651515710866,40.880651515710866,40.880651515710866,40.880651515710866,40.880651515710866,40.880651515710866,40.880651515710866,40.880651515710866,40.880651515710866,40.880651515710866	0.9945946805477371	40.880651515710866	6	true	410
34	22	22	100	79533	556776	4454208	0	0	40.266781317536555	41.612116463559786	57.128947004369174	57.46500439097592	-166.96502197415765,-166.96502197415765,-166.96502197415765,33.03492755102762,33.03492755102762,33.03492755102762,33.03492755102762,33.03492755102762,33.03492755102762,33.0348770035519,33.00461111492412,33.00461111492412,33.00461111492412,33.00461111492412,33.697410866219954,33.697410866219954,30.07451077255515,30.07451077255515,10.30959398115457,3.062009588439416,3.062009588439416,3.910341302336228,3.910341302336228,3.910341302336228,3.910341302336228,3.910341302336228,3.910341302336228,3.910341302336228,3.910341302336228,3.1557621129621367,3.1557621129621367,3.1557621129621367,3.1557621129621367,3.1557621129621367,3.1557621129621367,3.1557621129621367,3.1557621129621367,3.1557621129621367,3.1557621129621367,3.1557621129621367,3.1557621129621367,3.1557621129621367,3.1557621129621367,3.1557621129621367,3.1557621129621367,3.1557621129621367,1.212298271596751,1.212298271596751,1.212298271596751,1.212298271596751,1.212298271596751,1.212298271596751,-372.41357070631136,-372.41357070631136,-568.9519153432962,-575.9559999569306,-575.9559999569306,-575.9559999569306,-575.9559999569306,-575.9559999569306,-575.9559999569306,-575.9559999569306,-575.9559999569306,-575.9559999569306,-575.9559999569306,-575.9559999569306,-575.9559999569306,-575.9559999569306,24.04376954973057,24.04376954973057,24.04376954973057,24.04376954973057,24.04376954973057,24.04376954973057,24.04376954973057,24.04376954973057,24.04376954973057,24.04376954973057,24.04376954973057,24.04376954973057,24.04376954973057,30.57014082461241,30.57014082461241,30.57014082461241,36.38640300627505,41.612116463559786,41.612116463559786,41.612116463559786,41.612116463559786,41.612116463559786,41.612116463559786,41.612116463559786,41.612116463559786,41.612116463559786,41.612116463559786,41.612116463559786,41.612116463559786,40.266781317536555,40.266781317536555,40.266781317536555	0.9933681213033975	41.612116463559786	5	true	483
