# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 17
# run: 39ac64c4-f385-4f7e-b96b-36a7d4a7e05a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	100	85400	1172556	9380448	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995805594344244	-Infinity	30	false	2073
26	16	16	100	85000	1162260	9298080	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-Infinity	30	false	1428
27	17	17	100	84881	1164240	9313920	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952876130456717	-Infinity	30	false	1552
28	18	18	100	86313	1139688	9117504	0	0	-Infinity	-Infinity	-60.79106606723757	-60.79106606723757	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995024126157873	-Infinity	25	false	1633
29	18	18	100	86184	1038708	8309664	0	0	-Infinity	-Infinity	-42.33257338118419	-42.33257338118419	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9947478816502295	-Infinity	25	false	1339
30	20	20	100	82884	957924	7663392	0	0	31.6139569849945	40.58992069503631	86.5094873706276	85.67340278930588	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,24.92785528196488,24.92785528196488,24.92785528196488,24.92785528196488,24.92785528196488,24.92785528196488,24.92785528196488,24.92785528196488,24.92785528196488,24.92785528196488,24.92785528196488,24.92785528196488,24.92785528196488,24.92785528196488,24.92785528196488,24.92785528196488,24.92785528196488,28.959005395511568,28.959005395511568,28.959005395511568,28.959005395511568,28.959005395511568,28.959005395511568,28.959005395511568,28.959005395511568,33.185266119398314,33.185266119398314,33.185266119398314,33.185266119398314,37.14306018413727,37.14306018413727,37.14306018413727,37.14306018413727,37.14306018413727,37.14306018413727,40.58992069503631,38.26396380888045,33.44735613866793,33.44735613866793,31.6139569849945,31.6139569849945,31.6139569849945,31.6139569849945,31.6139569849945,31.6139569849945,31.6139569849945,31.6139569849945,31.6139569849945,31.6139569849945	0.9943563799065661	40.58992069503631	21	true	1266
31	22	21	100	82474	923076	7384608	0	0	32.9662056532723	32.9662056532723	82.97995802616519	82.97995802616519	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,22.501290132320452,22.501290132320452,22.501290132320452,22.501290132320452,22.501290132320452,22.501290132320452,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,22.364091318420204,27.933819782350906,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723,32.9662056532723	0.9933727272062641	32.9662056532723	24	true	1203
32	23	21	100	82990	878724	7029792	0	0	36.52365488549847	36.52365488549847	85.5422090603201	85.5422090603201	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847,36.52365488549847	0.9932078285726821	36.52365488549847	24	true	1228
33	26	25	100	86998	900108	7200864	0	0	48.6000188313835	59.30505420143405	97.89554505356993	98.34005102961464	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,26.619189862272936,26.619189862272936,26.619189862272936,28.552651596727696,28.48014537988494,28.48014537988494,28.48014537988494,26.37785563968875,26.37785563968875,26.37785563968875,26.37785563968875,26.37785563968875,26.37785563968875,26.37785563968875,26.37785563968875,26.37785563968875,40.82587578351661,40.82587578351661,40.82587578351661,40.82587578351661,40.82587578351661,40.82587578351661,40.82587578351661,40.82587578351661,40.82587578351661,40.82587578351661,40.82587578351661,40.82587578351661,40.82587578351661,44.340654456265014,33.33724016330454,33.33724016330454,33.33724016330454,33.33724016330454,33.33724016330454,33.33724016330454,33.33724016330454,33.840785588793025,33.840785588793025,33.840785588793025,33.840785588793025,33.840785588793025,33.840785588793025,33.840785588793025,33.840785588793025,33.840785588793025,33.840785588793025,33.840785588793025,33.840785588793025,33.840785588793025,33.840785588793025,59.272866276060725,56.88477829863075,57.86380918040233,57.86380918040233,57.86380918040233,57.86380918040233,57.86380918040233,57.86380918040233,56.28094144872708,56.28094144872708,56.28094144872708,56.28094144872708,56.28094144872708,55.33260357057078,55.33260357057078,55.33260357057078,54.46946046529936,54.46946046529936,54.46946046529936,54.46946046529936,54.46946046529936,54.46946046529936,54.46946046529936,52.359785451377974,59.30505420143405,59.30505420143405,58.26912358840522,58.26912358840522,54.76158096609058,54.76158096609058,54.76158096609058,54.92105889500463,54.92105889500463,54.92105889500463,54.92105889500463,53.94641766424885,48.6000188313835	0.9926336260153095	59.30505420143405	18	true	1156
34	27	24	100	86347	851400	6811200	0	0	36.76817856132297	36.76817856132297	90.51201265589279	90.51201265589279	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.794244197126787,-3.5297341134118483,-3.5297341134118483,-3.5297341134118483,-3.5297341134118483,-3.5297341134118483,-3.5297341134118483,-4.828887984862131,-4.828887984862131,-4.828887984862131,-4.828887984862131,-4.828887984862131,-4.828887984862131,-4.828887984862131,-4.828887984862131,2.689407201251651,21.991308723983792,21.991308723983792,21.991308723983792,21.991308723983792,21.991308723983792,21.991308723983792,21.991308723983792,25.167057699568836,25.167057699568836,25.167057699568836,25.167057699568836,25.167057699568836,28.79312129143301,28.79312129143301,33.57929434810866,33.57929434810866,33.57929434810866,33.57929434810866,33.57929434810866,33.57929434810866,35.580266990509955,35.580266990509955,36.76817856132297	0.9921152791688903	36.76817856132297	22	true	1191
