# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 15
# run: 39fbb18a-e73b-4423-b527-3b2829f65e47
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	100	53400	477576	3820608	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995805594344244	-Infinity	7	true	899
26	16	16	100	53200	474606	3796848	0	0	-2044.7681513366904	-2044.7681513366904	-2039.7575519433497	-2039.7575519433497	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2044.7681513366904,-2044.7681513366904,-2044.7681513366904,-2044.7681513366904,-2044.7681513366904,-2044.7681513366904,-2044.7681513366904,-2044.7681513366904,-2044.7681513366904,-2044.7681513366904,-2044.7681513366904,-2044.7681513366904,-2044.7681513366904,-2044.7681513366904,-2044.7681513366904,-2044.7681513366904	0.9955956967707507	-2044.7681513366904	7	true	953
27	17	17	100	52200	465102	3720816	0	0	-2037.729430035288	-2037.729430035288	-2034.2826820249375	-2034.2826820249375	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2039.6687451452826,-2039.6687451452826,-2039.6687451452826,-2039.6687451452826,-2039.6687451452826,-2039.6687451452826,-2039.6687451452826,-2039.6687451452826,-2039.6687451452826,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.9599358496205,-2037.9599358496205,-2037.9599358496205,-2037.9599358496205,-2037.9599358496205,-2037.9599358496205,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288,-2037.729430035288	0.9952876130456717	-2037.729430035288	5	true	527
28	18	18	100	51800	464508	3716064	0	0	-2041.911130438908	-2041.911130438908	-2034.7697709109118	-2034.7697709109118	-2060.554820432154,-2060.554820432154,-2060.554820432154,-2060.554820432154,-2055.497671550785,-2049.072651354817,-2049.072651354817,-2049.072651354817,-2045.9127510101596,-2045.9127510101596,-2045.9127510101596,-2045.9127510101596,-2045.9127510101596,-2045.9127510101596,-2045.9127510101596,-2045.9127510101596,-2045.9127510101596,-2045.9127510101596,-2045.9127510101596,-2045.9127510101596,-2043.900062702582,-2043.900062702582,-2043.900062702582,-2043.900062702582,-2043.900062702582,-2043.900062702582,-2043.900062702582,-2043.900062702582,-2043.900062702582,-2043.900062702582,-2043.900062702582,-2043.900062702582,-2043.900062702582,-2043.900062702582,-2043.900062702582,-2043.900062702582,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908,-2041.911130438908	0.995024126157873	-2041.911130438908	7	true	514
29	19	19	100	47400	449064	3592512	0	0	-2050.342154190953	-2050.342154190953	-2035.31924013002	-2035.31924013002	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2065.4860265602797,-2070.5816144191167,-2070.5816144191167,-2070.5816144191167,-2070.5816144191167,-2070.5816144191167,-2070.5816144191167,-2070.5816144191167,-2064.3726945467224,-2064.3726945467224,-2064.3726945467224,-2064.3726945467224,-2064.3726945467224,-2064.3726945467224,-2064.3726945467224,-2064.3726945467224,-2064.3726945467224,-2064.3726945467224,-2058.590346646263,-2058.590346646263,-2058.590346646263,-2058.590346646263,-2058.590346646263,-2058.590346646263,-2058.590346646263,-2058.590346646263,-2058.590346646263,-2058.590346646263,-2058.590346646263,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2058.741537015636,-2056.820477276196,-2056.820477276196,-2056.820477276196,-2056.820477276196,-2056.820477276196,-2056.820477276196,-2056.820477276196,-2053.7778417210666,-2053.7778417210666,-2053.7778417210666,-2053.7778417210666,-2053.7778417210666,-2052.466946314515,-2052.466946314515,-2052.466946314515,-2052.466946314515,-2052.466946314515,-2052.466946314515,-2052.466946314515,-2052.466946314515,-2052.466946314515,-2051.1099744108637,-2051.1099744108637,-2050.342154190953,-2050.342154190953,-2050.342154190953,-2050.342154190953,-2050.342154190953,-2050.342154190953	0.994524166368136	-2050.342154190953	9	true	823
30	20	20	100	46600	442530	3540240	0	0	-1150.275523912031	-1150.275523912031	-1138.3321085273733	-1138.3321085273733	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1169.9261742917097,-1169.9261742917097,-1169.9261742917097,-1169.9261742917097,-1169.9261742917097,-1169.9261742917097,-1169.9261742917097,-1164.1017842492572,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1160.674596007956,-1163.1955889879848,-1163.1955889879848,-1163.1955889879848,-1163.1955889879848,-1163.1955889879848,-1163.1955889879848,-1163.1955889879848,-1163.1955889879848,-1163.1955889879848,-1163.1955889879848,-1163.1955889879848,-1163.1955889879848,-1163.1955889879848,-1163.1955889879848,-1163.1955889879848,-1163.1955889879848,-1157.9336236902568,-1150.7562692415308,-1150.275523912031,-1150.275523912031,-1150.275523912031,-1150.275523912031,-1150.275523912031,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1152.4829047194644,-1150.275523912031,-1150.275523912031,-1150.275523912031,-1150.275523912031,-1150.275523912031,-1150.275523912031,-1150.275523912031,-1150.275523912031,-1150.275523912031,-1150.275523912031,-1150.275523912031	0.9943563799065661	-1150.275523912031	9	true	517
31	23	23	100	46896	440748	3525984	0	0	-845.6188361087386	-843.6076429938695	-835.9562816831109	-836.4681753211706	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-853.3313783139441,-850.3238789720109,-850.3238789720109,-850.3238789720109,-850.3238789720109,-850.3238789720109,-850.3238789720109,-850.3238789720109,-850.3238789720109,-850.3238789720109,-850.3238789720109,-850.3238789720109,-850.3238789720109,-850.3238789720109,-850.3238789720109,-850.3238789720109,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-845.3084626625738,-843.6076429938695,-843.6076429938695,-843.6076429938695,-843.6076429938695,-843.6076429938695,-843.6076429938695,-843.6076429938695,-843.6076429938695,-843.6076429938695,-843.9039958467296,-843.9039958467296,-843.9039958467296,-843.9039958467296,-843.9039958467296,-843.9039958467296,-843.9039958467296,-843.9039958467296,-843.9039958467296,-843.9039958467296,-843.9039958467296,-843.9039958467296,-843.9039958467296,-843.9039958467296,-843.9039958467296,-843.9039958467296,-845.6188361087386,-845.6188361087386,-845.6188361087386,-845.6188361087386,-845.6188361087386,-845.6188361087386	0.9931903919404012	-843.6076429938695	7	true	652
32	23	23	100	46800	419958	3359664	0	0	-562.2273865591527	-556.6909838794862	-543.8715602714084	-544.4514965427761	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-567.479606531967,-565.7709454041673,-565.7709454041673,-565.7709454041673,-565.7709454041673,-565.7709454041673,-565.7709454041673,-565.7709454041673,-565.7709454041673,-565.7709454041673,-565.7709454041673,-565.7709454041673,-562.5326136864767,-562.5326136864767,-562.5326136864767,-558.3039881491269,-556.6909838794862,-556.6909838794862,-556.6909838794862,-561.873204578396,-561.873204578396,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.5187254313531,-562.2273865591527,-562.2273865591527	0.99312042608257	-556.6909838794862	9	true	490
33	27	27	100	47511	432432	3459456	0	0	-548.6240035086602	-548.5641982948946	-537.4106092443376	-537.1825176250884	-Infinity,-Infinity,-560.1683067595526,-560.1683067595526,-560.1683067595526,-557.0421384902199,-557.0421384902199,-557.0421384902199,-557.0421384902199,-557.0421384902199,-557.0421384902199,-557.0421384902199,-557.0421384902199,-557.0421384902199,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-555.9568050619134,-551.5553950548936,-551.5553950548936,-551.5553950548936,-551.5553950548936,-551.5553950548936,-551.5553950548936,-551.5553950548936,-551.5553950548936,-551.5553950548936,-551.5553950548936,-551.5553950548936,-551.5553950548936,-551.5553950548936,-551.5553950548936,-551.5553950548936,-551.5553950548936,-551.5553950548936,-548.5641982948946,-548.5641982948946,-548.5641982948946,-548.5641982948946,-548.8518278423625,-548.8518278423625,-548.8518278423625,-548.8518278423625,-549.0095883803136,-549.0095883803136,-549.0095883803136,-549.0095883803136,-549.0095883803136,-549.0095883803136,-549.0095883803136,-549.0095883803136,-549.0095883803136,-549.0095883803136,-549.0095883803136,-549.0095883803136,-549.0095883803136,-549.0095883803136,-549.0095883803136,-548.6240035086602	0.9921864513346152	-548.5641982948946	7	true	506
34	28	28	100	89133	422928	3383424	0	0	-535.2126159534388	-535.017684802315	-528.9504623601968	-529.2731118833061	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-554.742000382164,-554.742000382164,-544.7385598769005,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-537.194966313808,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-536.7634087452345,-535.017684802315,-535.017684802315,-535.017684802315,-535.017684802315,-535.017684802315,-535.017684802315,-535.017684802315,-535.017684802315,-535.017684802315,-535.017684802315,-535.017684802315,-535.2126159534388,-535.2126159534388,-535.2126159534388,-535.2126159534388,-535.2126159534388,-535.2126159534388,-535.2126159534388,-535.2126159534388	0.9915307681622446	-535.017684802315	4	true	683
