# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 4
# run: 3b5b8abc-710c-46e2-bac3-86874e7ba013
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	31	15514	53382	427056	0	0	-143.27486425902217	-143.27486425902217	-143.27486425902217	-143.27486425902217	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-143.27486425902217,-143.27486425902217	0.9960270797844731	-143.27486425902217	1	true	1003
26	15	15	1	461	1722	13776	0	0	-135.31382366357832	-135.31382366357832	-135.31382366357832	-135.31382366357832	-135.31382366357832	0.9960270797844731	-135.31382366357832	1	true	258
27	16	16	12	5405	20664	165312	0	0	-134.55855426864107	-134.55855426864107	-134.55855426864107	-134.55855426864107	-Infinity,-Infinity,-Infinity,-Infinity,-136.3549338638197,-136.3549338638197,-136.7597139509422,-136.7597139509422,-136.7597139509422,-136.7597139509422,-134.55855426864107,-134.55855426864107	0.9955956967707507	-134.55855426864107	0	true	313
28	16	16	12	5412	20664	165312	0	0	-83.06415557580338	-83.06415557580338	-83.06415557580338	-83.06415557580338	-85.97943949391542,-85.97943949391542,-85.97943949391542,-85.97943949391542,-85.97943949391542,-85.97943949391542,-83.08238518833473,-83.08238518833473,-83.08238518833473,-83.08238518833473,-83.06415557580338,-83.06415557580338	0.9954268136656409	-83.06415557580338	0	true	291
29	18	18	17	7755	29274	234192	0	0	-27.82783038769812	-27.82783038769812	-27.82783038769812	-27.82783038769812	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-30.608115239082977,-30.608115239082977,-28.68073538664735,-28.68073538664735,-28.68073538664735,-28.68073538664735,-28.68073538664735,-27.82783038769812,-27.82783038769812	0.9952702129681755	-27.82783038769812	0	true	381
30	18	18	14	6423	24108	192864	0	0	-80.03402352213064	-80.03402352213064	-80.03402352213064	-80.03402352213064	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-80.03402352213064,-80.03402352213064	0.995024126157873	-80.03402352213064	0	true	290
31	18	18	7	3331	12054	96432	0	0	16.436982586278305	16.436982586278305	16.436982586278305	16.436982586278305	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,16.436982586278305,16.436982586278305	0.9947478816502295	16.436982586278305	0	true	143
32	20	19	30	13931	51660	413280	0	0	17.138288164865525	17.138288164865525	17.138288164865525	17.138288164865525	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,17.138288164865525,17.138288164865525	0.9943731585527232	17.138288164865525	0	true	439
33	22	21	5	2527	8610	68880	0	0	19.401014912861623	19.401014912861623	19.401014912861623	19.401014912861623	-Infinity,17.375255861649123,17.375255861649123,19.401014912861623,19.401014912861623	0.9934147286538336	19.401014912861623	0	true	134
34	22	21	19	6687	32718	261744	0	0	-31.172833791680663	-31.172833791680663	-31.172833791680663	-31.172833791680663	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-31.172833791680663,-31.172833791680663	0.9934449960155286	-31.172833791680663	0	true	327
35	24	23	37	12932	63714	509712	0	0	-29.41967558666422	-29.41967558666422	-29.41967558666422	-29.41967558666422	-Infinity,-34.27271061484477,-33.91346068462627,-33.91346068462627,-33.91346068462627,-31.37983179683362,-31.37983179683362,-30.387675678140532,-30.387675678140532,-30.387675678140532,-30.387675678140532,-30.387675678140532,-30.387675678140532,-30.387675678140532,-30.387675678140532,-30.387675678140532,-30.387675678140532,-30.387675678140532,-30.387675678140532,-30.387675678140532,-30.387675678140532,-29.41968690290434,-29.41968690290434,-29.41968690290434,-29.41968690290434,-29.41968690290434,-29.41968690290434,-29.41968690290434,-29.41968690290434,-29.41968690290434,-29.41968690290434,-29.41968690290434,-29.41968690290434,-29.41968690290434,-29.41968690290434,-29.41967558666422,-29.41967558666422	0.992915682733713	-29.41967558666422	0	true	502
36	26	25	39	14469	67158	537264	0	0	-24.214066106980926	-24.214066106980926	-24.214066106980926	-24.214066106980926	-30.988704139512816,-30.19948104342406,-30.19948104342406,-29.474955915640056,-28.699810883686244,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-25.213476222561603,-24.214066106980926,-24.214066106980926	0.9923713819901886	-24.214066106980926	0	true	427
37	28	27	18	5814	30996	247968	0	0	79.64659688934664	79.64659688934664	79.64659688934664	79.64659688934664	77.4220001281892,77.4220001281892,77.4220001281892,77.61292972098806,77.61292972098806,77.61338423677199,77.61338423677199,79.53440549827558,79.53440549827558,79.53440549827558,79.53440549827558,79.53440549827558,79.53440549827558,79.53440549827558,79.53440549827558,79.53440549827558,79.64659688934664,79.64659688934664	0.9914738523625357	79.64659688934664	0	true	158
38	30	30	43	15093	74046	592368	0	0	81.33113319495352	81.33113319495352	81.33113319495352	81.33113319495352	80.189447466724,80.189447466724,80.189447466724,80.56722468995265,80.56722468995265,80.56722468995265,80.56722468995265,80.88786256048878,80.88786256048878,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.19791250891942,81.33113319495352,81.33113319495352	0.9910013086612904	81.33113319495352	0	true	333
39	31	31	12	4247	20664	165312	0	0	83.06942335545848	83.06942335545848	83.06942335545848	83.06942335545848	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,83.06942335545848,83.06942335545848	0.9908558937279299	83.06942335545848	0	true	137
40	31	30	5	1785	8610	68880	0	0	81.22780646400801	81.22780646400801	81.22780646400801	81.22780646400801	80.35335370507559,80.35335370507559,80.35335370507559,81.22780646400801,81.22780646400801	0.9905332611985581	81.22780646400801	0	true	123
41	31	29	22	7621	37884	303072	0	0	79.78427324633923	79.78427324633923	79.78427324633923	79.78427324633923	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,29.784274025673398,29.784274025673398,29.784274025673398,29.784274025673398,29.784274025673398,29.784274025673398,29.784274025673398,29.784274025673398,29.784274025673398,29.784274025673398,29.784274025673398,29.784274025673398,79.78427324633923,79.78427324633923	0.9903831306979769	79.78427324633923	0	true	307
42	32	30	9	3186	15498	123984	0	0	81.13548655031755	81.13548655031755	81.13548655031755	81.13548655031755	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,81.13548655031755,81.13548655031755	0.990287430271748	81.13548655031755	0	true	99
43	33	31	9	3149	15498	123984	0	0	82.15418397049501	82.15418397049501	82.15418397049501	82.15418397049501	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,82.15418397049501,82.15418397049501	0.9902750016449653	82.15418397049501	0	true	249
44	34	32	35	9805	60270	482160	0	0	81.44327633522944	81.44327633522944	81.44327633522944	81.44327633522944	-Infinity,-Infinity,-Infinity,-Infinity,79.77796157859808,79.77796157859808,79.77796157859808,80.5329732495795,80.5329732495795,80.5329732495795,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,80.64082802911635,81.44327633522944,81.44327633522944	0.9897233168349401	81.44327633522944	0	true	136
45	38	37	8	2561	13776	110208	0	0	84.11149482736691	84.11149482736691	84.11149482736691	84.11149482736691	34.11148858508122,84.11146045494543,84.11146045494543,84.11146045494543,84.11146045494543,84.11146045494543,84.11149482736691,84.11149482736691	0.9890527924199997	84.11149482736691	0	true	68
46	38	36	17	5152	29274	234192	0	0	82.28533305580308	82.28533305580308	82.28533305580308	82.28533305580308	77.9552430328378,79.17823291217113,79.17823291217113,79.17823291217113,80.68541294690185,80.68541294690185,81.48557625090879,81.48557625090879,81.48557625090879,81.48557625090879,81.48557625090879,81.48557625090879,81.48557625090879,81.48557625090879,81.48557625090879,82.28533305580308,82.28533305580308	0.988869872277582	82.28533305580308	0	true	123
47	40	38	24	7123	40608	324864	0	0	82.10324059921518	82.10324059921518	82.10324059921518	82.10324059921518	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,81.40369852503208,81.40369852503208,81.40369852503208,81.40369852503208,81.40369852503208,81.40369852503208,81.40369852503208,81.40369852503208,81.40369852503208,81.40369852503208,81.40369852503208,81.40369852503208,82.10324059921518,82.10324059921518	0.9885652612570458	82.10324059921518	0	true	110
48	42	37	12	3522	20664	165312	0	0	82.42159950742212	82.42159950742212	82.42159950742212	82.42159950742212	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,80.67770834351845,80.67770834351845,80.67770834351845,80.67770834351845,80.67770834351845,82.42159950742212,82.42159950742212	0.9883517447598715	82.42159950742212	0	true	64
