# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 30
# run: 3f3bd62c-4d7d-4450-96a5-5afb483f0a6d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	11	5025	4180	33440	0	0	-165.07926873394075	-165.07926873394075	-165.07926873394075	-165.07926873394075	-1367.1331834178836,-1365.1867524994857,-1365.1867524994857,-915.1870713732262,-563.2383473114037,-Infinity,-Infinity,-Infinity,-Infinity,-165.07926873394075,-165.07926873394075	0.9960270797844731	-165.07926873394075	0	true	221
26	15	15	1	399	380	3040	0	0	-160.67804714547557	-160.67804714547557	-160.67804714547557	-160.67804714547557	-160.67804714547557	0.9960270797844731	-160.67804714547557	0	true	26
27	15	15	1	402	380	3040	0	0	-159.482549277688	-159.482549277688	-159.482549277688	-159.482549277688	-159.482549277688	0.9960270797844731	-159.482549277688	0	true	17
28	16	16	19	8027	7220	57760	0	0	-57.131683344957416	-57.131683344957416	-57.131683344957416	-57.131683344957416	-258.4522730962863,-258.4522730962863,-258.4522730962863,-258.4522730962863,-158.89004319253198,-158.75190895089375,-158.75190895089375,-57.30886429269469,-57.30886429269469,-57.30886429269469,-57.30886429269469,-57.30886429269469,-57.30886429269469,-57.30886429269469,-57.27774489079341,-57.27774489079341,-57.27774489079341,-57.131683344957416,-57.131683344957416	0.9956692815522626	-57.131683344957416	0	true	127
29	16	16	2	838	760	6080	0	0	-58.23799911341766	-58.23799911341766	-58.23799911341766	-58.23799911341766	-58.23799911341766,-58.23799911341766	0.9954268136656409	-58.23799911341766	0	true	23
30	18	18	8	3392	3040	24320	0	0	-5.517240557575937	-5.517240557575937	-5.517240557575937	-5.517240557575937	-7.207928568019957,-7.207928568019957,-7.207928568019957,-7.207928568019957,-7.207928568019957,-6.317103728272839,-5.517240557575937,-5.517240557575937	0.9952147228050682	-5.517240557575937	0	true	42
31	18	18	4	1700	1520	12160	0	0	-4.947529672594346	-4.947529672594346	-4.947529672594346	-4.947529672594346	-5.725862327596766,-5.725862327596766,-4.947529672594346,-4.947529672594346	0.9949686359947655	-4.947529672594346	0	true	29
32	18	18	6	2550	2280	18240	0	0	-5.693535046817686	-5.693535046817686	-5.693535046817686	-5.693535046817686	-6.500442505041473,-6.500442505041473,-6.500442505041473,-6.500442505041473,-5.693535046817686,-5.693535046817686	0.9945946805477371	-5.693535046817686	0	true	53
33	19	19	4	1720	1520	12160	0	0	-4.733873417726713	-4.733873417726713	-4.733873417726713	-4.733873417726713	-4.97182125268872,-4.97182125268872,-4.733873417726713,-4.733873417726713	0.9941695118474059	-4.733873417726713	0	true	28
34	23	23	10	4550	3800	30400	0	0	-5.283478333314158	-5.283478333314158	-5.283478333314158	-5.283478333314158	-10.449703313528325,-10.449703313528325,-7.637230632902871,-7.637230632902871,-6.823155783497989,-6.054057285521034,-6.054057285521034,-6.054057285521034,-5.283478333314158,-5.283478333314158	0.9931903919404012	-5.283478333314158	0	true	58
