# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 5
# run: 3f722872-cb6e-4641-a7b1-e3ccbd14688b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	472230	3777840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9964541127788218	-Infinity	6	true	940
26	15	15	100	53200	469260	3754080	0	0	-2043.8882006809342	-2043.8882006809342	-2037.1683602649189	-2037.1683602649189	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342,-2043.8882006809342	0.9963744964578416	-2043.8882006809342	5	true	755
27	15	15	100	52200	454410	3635280	0	0	-2036.692445164436	-2036.692445164436	-2033.9801929769692	-2033.9801929769692	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2039.591541426557,-2036.692445164436,-2036.692445164436,-2036.692445164436,-2036.692445164436,-2036.692445164436,-2036.692445164436,-2036.692445164436,-2036.692445164436,-2036.692445164436,-2036.692445164436,-2036.692445164436,-2036.692445164436,-2036.692445164436,-2036.692445164436,-2036.692445164436,-2036.692445164436	0.9960270797844731	-2036.692445164436	4	true	612
28	15	15	100	51600	445500	3564000	0	0	-2034.5309997696438	-2034.5309997696438	-2031.8339952062909	-2031.8339952062909	-Infinity,-Infinity,-2042.7336406682712,-2042.7336406682712,-2042.7336406682712,-2042.7336406682712,-2035.6000800874885,-2035.6000800874885,-2035.6000800874885,-2035.6000800874885,-2035.6000800874885,-2035.6000800874885,-2035.6000800874885,-2035.6000800874885,-2035.6000800874885,-2035.6000800874885,-2035.6000800874885,-2035.6000800874885,-2035.6000800874885,-2035.6000800874885,-2035.6000800874885,-2035.6000800874885,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2035.8885427223624,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438,-2034.5309997696438	0.9960270797844731	-2034.5309997696438	4	true	543
29	16	16	100	47000	427086	3416688	0	0	-1151.1819217457264	-1151.1819217457264	-1135.5224731728465	-1135.5224731728465	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1162.1789294029281,-1156.4836870688061,-1156.4836870688061,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264,-1151.1819217457264	0.995805594344244	-1151.1819217457264	8	true	732
30	17	17	100	46200	420552	3364416	0	0	-1137.8914714480427	-1137.8914714480427	-1130.14951319872	-1130.14951319872	-Infinity,-Infinity,-Infinity,-Infinity,-1153.2115835602717,-1148.091680821348,-1148.091680821348,-1148.091680821348,-1148.091680821348,-1148.091680821348,-1143.9760803155607,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1144.1572554040129,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1138.8846247925349,-1137.8914714480427,-1137.8914714480427,-1137.8914714480427,-1137.8914714480427,-1137.8914714480427,-1137.8914714480427	0.9952876130456717	-1137.8914714480427	7	true	436
31	17	16	100	45182	397386	3179088	0	0	-842.5662202595553	-842.5662202595553	-836.0860686028586	-836.0860686028586	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-865.9104765811065,-864.0450163176366,-864.0450163176366,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-858.2700025115438,-852.0937577326896,-847.721530121049,-845.8406487187528,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-845.855805704472,-842.5662202595553,-842.5662202595553,-842.5662202595553,-842.5662202595553,-842.5662202595553,-842.5662202595553	0.9953376199910808	-842.5662202595553	7	true	432
32	18	17	100	45491	387882	3103056	0	0	-549.8579500869737	-549.8579500869737	-538.4872367599253	-538.4872367599253	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-570.506150354276,-570.506150354276,-570.506150354276,-570.506150354276,-570.506150354276,-570.506150354276,-570.506150354276,-570.506150354276,-570.506150354276,-570.506150354276,-565.9329973920279,-566.0694374545293,-566.0694374545293,-566.0694374545293,-566.0694374545293,-566.0694374545293,-566.0694374545293,-566.0694374545293,-566.0694374545293,-566.0694374545293,-566.0694374545293,-566.0694374545293,-565.5836929639856,-565.5836929639856,-565.5836929639856,-565.5836929639856,-565.5836929639856,-565.5836929639856,-565.5836929639856,-565.5836929639856,-565.5836929639856,-565.5836929639856,-565.5836929639856,-565.5836929639856,-565.5836929639856,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.9566661995707,-556.7689262821743,-556.7689262821743,-556.7689262821743,-556.7689262821743,-556.7689262821743,-556.7689262821743,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737,-549.8579500869737	0.9950186429401746	-549.8579500869737	9	true	480
33	18	17	100	45617	373032	2984256	0	0	-548.0158964828596	-548.0158964828596	-541.9132281157373	-541.9132281157373	-Infinity,-Infinity,-590.3004319672358,-590.3004319672358,-590.3004319672358,-590.3004319672358,-590.3004319672358,-590.3004319672358,-590.3004319672358,-590.3004319672358,-590.3004319672358,-590.3004319672358,-592.0973885377413,-592.0973885377413,-592.0973885377413,-592.0973885377413,-592.0973885377413,-592.0973885377413,-592.0973885377413,-592.0973885377413,-592.0973885377413,-592.0973885377413,-590.3004319672358,-590.3004319672358,-590.3004319672358,-584.1422954252978,-584.1422954252978,-584.1422954252978,-584.1422954252978,-584.1422954252978,-584.1422954252978,-584.1422954252978,-584.1422954252978,-584.1422954252978,-584.1422954252978,-580.4630375178493,-580.4630375178493,-580.4630375178493,-580.4630375178493,-580.4630375178493,-580.4630375178493,-580.4630375178493,-580.4630375178493,-580.4630375178493,-580.4630375178493,-580.4630375178493,-580.4630375178493,-572.3376757417857,-558.9477427425688,-558.9477427425688,-558.9477427425688,-551.5584697465831,-551.5584697465831,-551.5584697465831,-551.5584697465831,-551.5584697465831,-551.5584697465831,-551.5584697465831,-551.5584697465831,-551.5584697465831,-551.5584697465831,-551.5584697465831,-551.5584697465831,-551.5584697465831,-551.5584697465831,-551.5584697465831,-551.5584697465831,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-553.5932174281337,-550.0422853502275,-550.0422853502275,-550.0422853502275,-550.0422853502275,-550.0422853502275,-550.0422853502275,-550.0422853502275,-550.0422853502275,-550.0422853502275,-550.0422853502275,-550.0422853502275,-550.0422853502275,-550.0422853502275,-550.0422853502275,-548.0158964828596	0.9947978885956386	-548.0158964828596	7	true	478
34	18	17	100	45547	367092	2936736	0	0	-546.6289093123027	-546.6289093123027	-540.6139027152852	-540.6139027152852	-588.3262822228205,-588.3262822228205,-589.3804974388353,-589.3804974388353,-589.3804974388353,-589.3804974388353,-589.3804974388353,-589.3804974388353,-589.3804974388353,-589.3804974388353,-591.1784197921694,-593.7487860593596,-593.7487860593596,-593.7487860593596,-593.7487860593596,-593.7487860593596,-593.7487860593596,-593.7487860593596,-593.7487860593596,-593.7487860593596,-593.7487860593596,-593.7487860593596,-593.7487860593596,-591.1784197921694,-584.7197078041628,-584.7197078041628,-584.7197078041628,-583.2217727708203,-583.2217727708203,-583.2217727708203,-583.2217727708203,-583.2217727708203,-583.2217727708203,-583.2217727708203,-579.5433469208231,-579.5433469208231,-579.5433469208231,-579.5433469208231,-579.5433469208231,-579.5433469208231,-579.5433469208231,-579.5433469208231,-579.5433469208231,-579.5433469208231,-579.5433469208231,-579.5433469208231,-579.5433469208231,-570.184287865338,-558.022663321362,-558.022663321362,-550.5974909311584,-550.5974909311584,-550.5974909311584,-548.2228689141792,-548.2228689141792,-548.2228689141792,-548.2228689141792,-548.2228689141792,-548.2228689141792,-548.2228689141792,-548.2228689141792,-548.2228689141792,-548.2228689141792,-548.2228689141792,-548.2228689141792,-548.2228689141792,-548.2228689141792,-548.2228689141792,-548.2228689141792,-548.2228689141792,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027,-546.6289093123027	0.9944432340749083	-546.6289093123027	7	true	505
