# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 17
# run: 3ffdf6a2-5d05-4ada-8c78-197c3304928f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	100	54400	327888	2623104	0	0	-1655.3528335565622	-1655.3528335565622	-1652.009483242864	-1652.009483242864	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1670.46757151919,-1670.46757151919,-1670.46757151919,-1670.46757151919,-1670.46757151919,-1670.46757151919,-1670.46757151919,-1670.46757151919,-1670.46757151919,-1670.46757151919,-1670.46757151919,-1673.095672651926,-1673.095672651926,-1669.0716635466533,-1669.0716635466533,-1669.0716635466533,-1669.0716635466533,-1669.0716635466533,-1665.8031491556999,-1665.8031491556999,-1665.8031491556999,-1665.8031491556999,-1665.8031491556999,-1665.8031491556999,-1665.8031491556999,-1665.8031491556999,-1665.8031491556999,-1665.8031491556999,-1665.8031491556999,-1665.8031491556999,-1665.8031491556999,-1665.8031491556999,-1661.228956839233,-1661.228956839233,-1661.228956839233,-1657.2404297975274,-1657.2404297975274,-1657.2404297975274,-1657.2404297975274,-1656.008220096501,-1656.008220096501,-1656.008220096501,-1657.3336693924714,-1657.3336693924714,-1657.3336693924714,-1657.3336693924714,-1657.3336693924714,-1657.3336693924714,-1657.3336693924714,-1657.3336693924714,-1657.3336693924714,-1657.3336693924714,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622,-1655.3528335565622	0.995805594344244	-1655.3528335565622	2	true	875
26	16	16	100	54200	325908	2607264	0	0	-1649.1347260533705	-1649.1347260533705	-1646.366721609431	-1646.366721609431	-Infinity,-Infinity,-Infinity,-Infinity,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705,-1649.1347260533705	0.9955956967707507	-1649.1347260533705	2	true	471
27	17	17	100	51200	320166	2561328	0	0	-1642.4172572462915	-1642.4172572462915	-1642.4172572462915	-1642.4172572462915	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1647.1113332635905,-1644.124669645048,-1644.124669645048,-1644.124669645048,-1644.124669645048,-1644.124669645048,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915,-1642.4172572462915	0.9952876130456717	-1642.4172572462915	0	true	563
28	18	18	100	51000	322344	2578752	0	0	-1643.360512458962	-1643.360512458962	-1642.1372805493952	-1642.1372805493952	-Infinity,-Infinity,-Infinity,-1655.5086677018803,-1648.2985456806796,-1648.3497443024542,-1648.3497443024542,-1648.3497443024542,-1645.207229508972,-1645.207229508972,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962,-1643.360512458962	0.995024126157873	-1643.360512458962	1	true	388
29	18	18	100	47800	310464	2483712	0	0	-1646.06446750078	-1646.06446750078	-1645.3142114771158	-1645.3142114771158	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1656.79490826166,-1649.712129075616,-1649.712129075616,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078,-1646.06446750078	0.9947478816502295	-1646.06446750078	1	true	394
30	20	20	100	47400	314820	2518560	0	0	-852.6144484628817	-852.6144484628817	-848.6132978817928	-848.6132978817928	-879.9342525436623,-879.9342525436623,-870.6539053683489,-870.6539053683489,-870.6539053683489,-870.6539053683489,-870.6539053683489,-870.6539053683489,-870.6539053683489,-870.6539053683489,-865.1968834885477,-865.1968834885477,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-860.1793746198953,-863.5514511541573,-863.5514511541573,-863.5514511541573,-863.5514511541573,-863.5514511541573,-863.5514511541573,-863.5514511541573,-863.5514511541573,-863.5514511541573,-863.5514511541573,-863.5514511541573,-863.5514511541573,-863.5514511541573,-863.5514511541573,-863.5514511541573,-863.5514511541573,-858.7170597081664,-858.7170597081664,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817,-852.6144484628817	0.9943563799065661	-852.6144484628817	3	true	365
31	22	22	100	67660	313236	2505888	0	0	-653.0791743160693	-653.0791743160693	-649.4767699524572	-649.4767699524572	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-661.5159048909813,-661.5159048909813,-661.5159048909813,-661.5159048909813,-661.5159048909813,-661.5159048909813,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-656.3739363621816,-653.0791743160693,-653.0791743160693,-653.0791743160693,-653.0791743160693	0.9933681213033975	-653.0791743160693	3	true	316
32	23	23	100	68154	305514	2444112	0	0	-650.0993851750154	-650.0993851750154	-646.4890823774277	-646.4890823774277	-655.2981980853804,-655.2981980853804,-655.2981980853804,-655.2981980853804,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154,-650.0993851750154	0.9931903919404012	-650.0993851750154	3	true	391
33	26	26	100	68751	316008	2528064	0	0	-650.8247988537872	-650.8247988537872	-646.6653213592793	-646.6653213592793	-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-655.1257762997103,-652.3312651779876,-652.3312651779876,-652.3312651779876,-652.3312651779876,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-651.1136188757621,-651.1136188757621,-651.1136188757621,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872,-650.8247988537872	0.9926207952858952	-650.8247988537872	3	true	355
34	27	27	100	69141	314226	2513808	0	0	-643.1302170382228	-643.1302170382228	-641.4185260660505	-641.4185260660505	-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-655.1343768213598,-650.9613664072248,-650.9613664072248,-650.9613664072248,-647.4037853564206,-647.4037853564206,-644.6138507080319,-644.6138507080319,-644.6138507080319,-644.6138507080319,-644.6138507080319,-644.6138507080319,-644.6138507080319,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228,-643.1302170382228	0.9920211871531864	-643.1302170382228	1	true	354
