# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 11
# run: 409324bc-9290-4d1e-a7d6-30e0e4bef6df
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	16	4341	34560	276480	0	0	-2991.915452233577	-2991.915452233577	-2991.915452233577	-2991.915452233577	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2991.915452233577,-2991.915452233577	0.9960270797844731	-2991.915452233577	8	false	1217
26	15	15	7	1828	15120	120960	0	0	-2980.5156229844897	-2980.5156229844897	-2980.5156229844897	-2980.5156229844897	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2980.5156229844897,-2980.5156229844897	0.9960270797844731	-2980.5156229844897	8	false	144
27	16	16	26	6568	56160	449280	0	0	-3021.9358682984803	-3021.9358682984803	-3021.9358682984803	-3021.9358682984803	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3023.1817153462234,-3023.1817153462234,-3023.1817153462234,-3023.1817153462234,-3023.1817153462234,-3023.1817153462234,-3023.1817153462234,-3023.1817153462234,-3023.1817153462234,-3023.1817153462234,-3021.9358682984803,-3021.9358682984803	0.995805594344244	-3021.9358682984803	6	false	174
28	16	16	23	5556	49680	397440	0	0	-2918.278565744923	-2918.278565744923	-2918.278565744923	-2918.278565744923	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2918.278565744923,-2918.278565744923	0.9955956967707507	-2918.278565744923	5	false	117
29	17	17	28	6422	60480	483840	0	0	-1723.6674062446327	-1723.6674062446327	-1723.6674062446327	-1723.6674062446327	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1821.7898179705978,-1724.2098423974478,-1724.2098423974478,-1724.4961063116698,-1724.4961063116698,-1724.4961063116698,-1723.9600293633591,-1723.9600293633591,-1723.6674062446327,-1723.6674062446327	0.9952876130456717	-1723.6674062446327	9	false	125
30	18	18	35	7438	75600	604800	0	0	-1262.5719776802505	-1262.5719776802505	-1262.5719776802505	-1262.5719776802505	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1463.3129817942456,-1463.3129817942456,-1461.4606513062533,-1461.4606513062533,-1461.4606513062533,-1461.4606513062533,-1364.113745785601,-1364.113745785601,-1266.7239560609437,-1266.7239560609437,-1267.7347767542133,-1267.1136721164933,-1267.1136721164933,-1268.4822323844146,-1268.4822323844146,-1268.4822323844146,-1267.8989649506136,-1267.1584833717327,-1266.2878104166127,-1266.2878104166127,-1265.4534384789251,-1265.4534384789251,-1265.4534384789251,-1265.4534384789251,-1265.4534384789251,-1265.4534384789251,-1264.4234502638571,-1262.5719776802505,-1262.5719776802505	0.9952702129681755	-1262.5719776802505	4	false	141
31	18	18	13	2678	28080	224640	0	0	-1220.9415599221688	-1220.9415599221688	-1220.9415599221688	-1220.9415599221688	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1220.9415599221688,-1220.9415599221688	0.9947478816502295	-1220.9415599221688	6	false	90
32	19	18	40	7773	86400	691200	0	0	-731.2557415063992	-731.2557415063992	-731.2557415063992	-731.2557415063992	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-983.8799889481735,-887.1955639348528,-887.1955639348528,-885.6047362100065,-884.5902846618905,-884.5902846618905,-785.9584376959582,-783.7597792488489,-783.7597792488489,-782.705401173616,-782.705401173616,-782.705401173616,-782.705401173616,-782.705401173616,-782.705401173616,-782.705401173616,-782.705401173616,-781.550993175848,-781.550993175848,-781.550993175848,-781.550993175848,-781.544991842646,-781.544991842646,-731.5451167835569,-731.5451167835569,-731.5451167835569,-731.5451167835569,-731.5451167835569,-731.5451167835569,-731.5451167835569,-731.5451167835569,-731.5451167835569,-731.5451167835569,-731.2557415063992,-731.2557415063992	0.9945610135910691	-731.2557415063992	7	false	160
33	21	19	31	5711	66960	535680	0	0	-722.1982268592351	-722.1982268592351	-722.1982268592351	-722.1982268592351	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-728.6273653017682,-728.6273653017682,-725.7008476896099,-724.0263001927054,-723.8423731206402,-723.8423731206402,-723.8423731206402,-723.8423731206402,-722.6340671257485,-722.6340671257485,-722.6340671257485,-722.6340671257485,-722.6340671257485,-722.3378133225585,-722.3378133225585,-722.3378133225585,-722.3378133225585,-722.3378133225585,-722.3378133225585,-722.3378133225585,-722.3378133225585,-722.3378133225585,-722.3378133225585,-722.3378133225585,-722.1982268592351,-722.1982268592351	0.9940068796104725	-722.1982268592351	7	false	103
34	22	21	20	3568	43200	345600	0	0	-716.7080808729305	-716.7080808729305	-716.7080808729305	-716.7080808729305	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-717.1216026777336,-717.1216026777336,-717.1216026777336,-717.1216026777336,-717.1216026777336,-717.1216026777336,-717.1216026777336,-717.1216026777336,-717.1216026777336,-717.1216026777336,-717.1216026777336,-716.7080808729305,-716.7080808729305	0.9934347972306098	-716.7080808729305	5	true	97
35	22	22	20	3328	43200	345600	0	0	-714.0037692546109	-714.0037692546109	-714.0037692546109	-714.0037692546109	-Infinity,-Infinity,-728.9914027340142,-724.6790299528446,-717.5639543450045,-716.5125235025741,-714.648275238673,-714.6457513177188,-714.6457513177188,-714.6219008265239,-714.2561909588691,-714.045863615332,-714.0037965938611,-714.0037965938611,-714.0037965938611,-714.0037965938611,-714.0037965938611,-714.0037965938611,-714.0037692546109,-714.0037692546109	0.9932290669025671	-714.0037692546109	4	true	92
36	23	23	16	2504	34560	276480	0	0	-712.6631225604383	-712.6631225604383	-712.6631225604383	-712.6631225604383	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-712.6631225604383,-712.6631225604383	0.9927866808986627	-712.6631225604383	5	true	81
37	25	25	22	3180	47520	380160	0	0	-705.4408142701436	-705.4408142701436	-705.4408142701436	-705.4408142701436	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-705.4408142701436,-705.4408142701436	0.9922696500244915	-705.4408142701436	3	true	102
38	28	28	28	4228	60480	483840	0	0	-692.7861453812307	-692.7861453812307	-692.7861453812307	-692.7861453812307	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-747.9066523838096,-746.3701682607552,-745.3921931310119,-745.3921931310119,-744.1248891674479,-694.124978760768,-694.124978760768,-694.124978760768,-694.124978760768,-694.124978760768,-694.124978760768,-694.124978760768,-694.124978760768,-693.2248601330277,-693.2248601330277,-693.2248601330277,-693.2248601330277,-693.2248601330277,-693.2248601330277,-693.2248601330277,-693.2248601330277,-692.7861453812307,-692.7861453812307	0.9911454807319727	-692.7861453812307	0	true	96
39	30	30	14	2226	30240	241920	0	0	-737.0240495035267	-737.0240495035267	-737.0240495035267	-737.0240495035267	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-737.0240495035267,-737.0240495035267	0.9909851514464726	-737.0240495035267	0	true	84
40	30	29	12	1860	25920	207360	0	0	-737.7288324365904	-737.7288324365904	-737.7288324365904	-737.7288324365904	-Infinity,-Infinity,-Infinity,-738.4096607970251,-738.4096607970251,-738.4096607970251,-737.7288460190115,-737.7288460190115,-737.7288460190115,-737.728838680876,-737.7288324365904,-737.7288324365904	0.9910400932878104	-737.7288324365904	0	true	68
41	30	28	14	2114	30240	241920	0	0	-687.7311004214806	-687.7311004214806	-687.7311004214806	-687.7311004214806	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-687.7311004214806,-687.7311004214806	0.9906792975632577	-687.7311004214806	0	true	68
42	30	28	15	2265	32400	259200	0	0	-685.7567780025314	-685.7567780025314	-685.7567780025314	-685.7567780025314	-685.7569839289303,-685.7569839289303,-685.7569839289303,-685.7569839289303,-685.7569839289303,-685.7569839289303,-685.7569839289303,-685.7569839289303,-685.7569839289303,-685.7569839289303,-685.7569619233713,-685.7568042961459,-685.7568042961459,-685.7567780025314,-685.7567780025314	0.9906792975632577	-685.7567780025314	0	true	113
43	31	29	18	2790	38880	311040	0	0	-687.9981597524819	-687.9981597524819	-687.9981597524819	-687.9981597524819	-690.9401879367464,-689.4958133875101,-689.4958133875101,-688.7964613357934,-688.7964613357934,-688.7964613357934,-688.7964613357934,-688.6986091927816,-688.6986091927816,-688.6986091927816,-688.6986091927816,-688.6986091927816,-688.6986091927816,-688.6986091927816,-688.6986091927816,-688.6986091927816,-687.9981597524819,-687.9981597524819	0.9907040451524697	-687.9981597524819	0	true	70
44	33	29	13	2015	28080	224640	0	0	-685.9731567401456	-685.9731567401456	-685.9731567401456	-685.9731567401456	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-685.9731567401456,-685.9731567401456	0.990355714609485	-685.9731567401456	0	true	62
45	35	30	10	1590	21600	172800	0	0	-683.6482545283134	-683.6482545283134	-683.6482545283134	-683.6482545283134	-Infinity,-Infinity,-685.2206605392072,-683.8577023429724,-683.8577023429724,-683.8577023429724,-683.6789902322803,-683.6789902322803,-683.6482545283134,-683.6482545283134	0.9899774456978673	-683.6482545283134	0	true	59
46	38	32	28	4676	60480	483840	0	0	-682.9462441293265	-682.9462441293265	-682.9462441293265	-682.9462441293265	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-683.641009403711,-683.641009403711,-683.641009403711,-683.641009403711,-683.641009403711,-683.641009403711,-683.641009403711,-683.641009403711,-683.641009403711,-682.9462441293265,-682.9462441293265	0.9893109788640233	-682.9462441293265	0	true	76
47	40	34	29	5075	62640	501120	0	0	-680.4581542655812	-680.4581542655812	-680.4581542655812	-680.4581542655812	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-681.9352312463196,-681.9352312463196,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-681.1807602117591,-680.4581542655812,-680.4581542655812	0.988539343914725	-680.4581542655812	0	true	80
48	42	37	21	3927	45360	362880	0	0	-678.6783967907953	-678.6783967907953	-678.6783967907953	-678.6783967907953	-Infinity,-Infinity,-Infinity,-Infinity,-680.3677147856371,-680.3677147856371,-680.3677147856371,-680.3677147856371,-680.3677147856371,-680.3677147856371,-680.3677147856371,-680.3677147856371,-680.3677147856371,-680.3677147856371,-680.3677147856371,-680.3677147856371,-680.3677147856371,-679.5299372342582,-679.5299372342582,-678.6783967907953,-678.6783967907953	0.988108947880188	-678.6783967907953	0	true	71
49	43	38	7	1337	15120	120960	0	0	-726.7432422672842	-726.7432422672842	-726.7432422672842	-726.7432422672842	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-726.7432422672842,-726.7432422672842	0.9878774098741782	-726.7432422672842	0	true	59
50	43	37	20	3740	43200	345600	0	0	-929.191111902821	-929.191111902821	-929.191111902821	-929.191111902821	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-929.191111902821,-929.191111902821	0.9873529949335067	-929.191111902821	0	true	64
51	43	37	17	3179	36720	293760	0	0	-975.5941205332597	-975.5941205332597	-975.5941205332597	-975.5941205332597	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-975.5941205332597,-975.5941205332597	0.9872311578362492	-975.5941205332597	0	true	200
