# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 16
# run: 413e8f54-dba8-4b5a-99a4-4d37986dea64
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	37	9808	33744	269952	0	0	-2044.452499896981	-2044.452499896981	-2044.452499896981	-2044.452499896981	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2149.368503094671,-2149.368503094671,-2149.368503094671,-2146.223469401144,-2049.5069720349275,-2049.5069720349275,-2049.5069720349275,-2048.5348223262345,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2046.6830364332513,-2045.707736484034,-2044.452499896981,-2044.452499896981	0.9960270797844731	-2044.452499896981	2	true	458
26	15	15	5	1314	4560	36480	0	0	-2036.2909039440765	-2036.2909039440765	-2036.2909039440765	-2036.2909039440765	-Infinity,-Infinity,-Infinity,-2036.2909039440765,-2036.2909039440765	0.9960270797844731	-2036.2909039440765	2	true	125
27	16	16	10	2536	9120	72960	0	0	-2034.3755901803588	-2034.3755901803588	-2034.3755901803588	-2034.3755901803588	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2034.3755901803588,-2034.3755901803588	0.9955956967707507	-2034.3755901803588	0	true	50
28	16	16	2	497	1824	14592	0	0	-2031.5751752403064	-2031.5751752403064	-2031.5751752403064	-2031.5751752403064	-2031.5751752403064,-2031.5751752403064	0.9955956967707507	-2031.5751752403064	0	true	36
29	18	18	29	6725	26448	211584	0	0	-1127.1859254852382	-1127.1859254852382	-1127.1859254852382	-1127.1859254852382	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1127.1859254852382,-1127.1859254852382	0.9952702129681755	-1127.1859254852382	0	true	63
30	18	18	9	2024	8208	65664	0	0	-1129.3713553223702	-1129.3713553223702	-1129.3713553223702	-1129.3713553223702	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1129.3713553223702,-1129.3713553223702	0.995024126157873	-1129.3713553223702	0	true	43
31	18	17	15	3240	13680	109440	0	0	-1136.8341051862744	-1136.8341051862744	-1136.8341051862744	-1136.8341051862744	-1139.1163616244703,-1136.8384489082948,-1136.8384489082948,-1136.8384489082948,-1136.8384489082948,-1136.8384489082948,-1136.8384489082948,-1136.8384489082948,-1136.8384489082948,-1136.8384489082948,-1136.8384489082948,-1136.8384489082948,-1136.8384489082948,-1136.8341051862744,-1136.8341051862744	0.9947847288731626	-1136.8341051862744	0	true	68
32	20	19	30	6153	27360	218880	0	0	-537.9757410239744	-537.9757410239744	-537.9757410239744	-537.9757410239744	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-637.0109148488185,-637.0109148488185,-637.0109148488185,-637.0109148488185,-637.0109148488185,-637.0109148488185,-637.0109148488185,-637.0109148488185,-637.0109148488185,-637.0109148488185,-637.0109148488185,-637.0109148488185,-637.0109148488185,-637.0109148488185,-537.9757410239744,-537.9757410239744	0.9943731585527232	-537.9757410239744	0	true	48
33	21	21	29	5686	26448	211584	0	0	-536.9796545726584	-536.9796545726584	-536.9796545726584	-536.9796545726584	-Infinity,-640.01270059499,-542.1613220504107,-540.5440843192016,-540.1987936711291,-539.89233307583,-539.4822733629637,-539.4822733629637,-537.6934275270974,-537.6934275270974,-537.6934275270974,-536.9853001371398,-536.9853001371398,-536.9853001371398,-536.9853001371398,-536.9853001371398,-536.9853001371398,-536.9853001371398,-536.9853001371398,-536.9853001371398,-536.9853001371398,-536.9853001371398,-536.9853001371398,-536.9853001371398,-536.9853001371398,-536.9853001371398,-536.9853001371398,-536.9796545726584,-536.9796545726584	0.993575679370673	-536.9796545726584	0	true	50
34	23	23	16	3108	14592	116736	0	0	-530.5800966466886	-530.5800966466886	-530.5800966466886	-530.5800966466886	-Infinity,-Infinity,-Infinity,-531.6958274327204,-531.6958274327204,-531.7673929604365,-531.7673929604365,-531.7673929604365,-530.5801437786305,-530.5801437786305,-530.5801437786305,-530.5801437786305,-530.5801437786305,-530.5801437786305,-530.5800966466886,-530.5800966466886	0.9931903919404012	-530.5800966466886	0	true	46
35	25	25	7	1331	6384	51072	0	0	-526.9272105449577	-526.9272105449577	-526.9272105449577	-526.9272105449577	-528.2860932678223,-528.2860932678223,-528.2860932678223,-528.2860932678223,-527.739454638281,-526.9272105449577,-526.9272105449577	0.992750053004438	-526.9272105449577	0	true	37
36	26	26	7	1281	6384	51072	0	0	-523.0103248608948	-523.0103248608948	-523.0103248608948	-523.0103248608948	-Infinity,-Infinity,-Infinity,-Infinity,-523.862836605783,-523.0103248608948,-523.0103248608948	0.9924146263004364	-523.0103248608948	0	true	40
37	29	29	14	2453	12768	102144	0	0	-521.29884975021	-521.29884975021	-521.29884975021	-521.29884975021	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-521.29884975021,-521.29884975021	0.9910162230134301	-521.29884975021	0	true	40
38	30	29	5	870	4560	36480	0	0	-520.4008856687612	-520.4008856687612	-520.4008856687612	-520.4008856687612	-523.9399890693181,-521.9708046272426,-522.0804735768249,-520.4008856687612,-520.4008856687612	0.9910562505026279	-520.4008856687612	0	true	36
39	31	30	10	1626	9120	72960	0	0	-519.1542919275852	-519.1542919275852	-519.1542919275852	-519.1542919275852	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-519.1542919275852,-519.1542919275852	0.9909108355692676	-519.1542919275852	0	true	38
40	31	30	21	3207	19152	153216	0	0	-568.6354609664735	-568.6354609664735	-568.6354609664735	-568.6354609664735	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-618.6354435048949,-618.6354435048949,-618.6354435048949,-618.6354435048949,-618.6354435048949,-618.6354435048949,-618.6354435048949,-618.6354435048949,-618.6354435048949,-618.6354435048949,-618.6354435048949,-618.6354435048949,-618.6354435048949,-568.6354609664735,-568.6354609664735	0.9905332611985581	-568.6354609664735	0	true	59
41	31	29	21	3076	19152	153216	0	0	-521.5805855270946	-521.5805855270946	-521.5805855270946	-521.5805855270946	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-521.7325184637301,-521.7325184637301,-521.7325184637301,-521.7325184637301,-521.7325184637301,-521.7325184637301,-521.7325184637301,-521.7325184637301,-521.7325184637301,-521.7325184637301,-521.7325184637301,-521.5805855270946,-521.5805855270946	0.9905701084214912	-521.5805855270946	0	true	51
42	32	31	36	5400	32832	262656	0	0	-520.2954016447544	-520.2954016447544	-520.2954016447544	-520.2954016447544	-523.1483746789401,-522.8492934651666,-522.8492934651666,-522.8492934651666,-521.9407156849442,-521.9407156849442,-521.0534934745766,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955320744585,-520.2955265624081,-520.2954016447544,-520.2954016447544	0.990237313661985	-520.2954016447544	0	true	51
43	34	31	10	1500	9120	72960	0	0	-521.7238875613507	-521.7238875613507	-521.7238875613507	-521.7238875613507	-Infinity,-523.1165462722954,-523.1165462722954,-523.1165462722954,-523.1165462722954,-521.8904031145662,-521.8904031145662,-521.8904031145662,-521.7238875613507,-521.7238875613507	0.9899765318282508	-521.7238875613507	0	true	34
44	34	32	18	2772	16416	131328	0	0	-520.6475845567376	-520.6475845567376	-520.6475845567376	-520.6475845567376	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-520.6475964129035,-520.6475964129035,-520.6475845567376,-520.6475845567376	0.9897794649841716	-520.6475845567376	0	true	36
45	39	38	24	4272	21888	175104	0	0	-517.8719580933381	-517.8719580933381	-517.8719580933381	-517.8719580933381	-520.7521345871836,-520.7521345871836,-519.8200959173007,-519.8200959173007,-519.8200680318722,-519.693952751427,-518.8936410553624,-518.8936410553624,-518.8936410553624,-518.8936410553624,-518.8936410553624,-518.8936410553624,-518.8936410553624,-518.8936410553624,-518.8936410553624,-518.0931642099071,-518.0931642099071,-518.0931642099071,-518.0931642099071,-518.0931642099071,-518.0931642099071,-518.0931642099071,-517.8719580933381,-517.8719580933381	0.9885080164642748	-517.8719580933381	0	true	43
46	42	41	13	2470	11856	94848	0	0	-515.6061261735675	-515.6061261735675	-515.6061261735675	-515.6061261735675	-516.8209141065428,-516.4578487072514,-516.4578487072514,-516.4578487072514,-516.4578487072514,-516.4578487072514,-516.4578487072514,-516.4578487072514,-516.406001051096,-516.406001051096,-516.406001051096,-515.6061261735675,-515.6061261735675	0.9881328547093526	-515.6061261735675	0	true	40
47	44	40	13	2418	11856	94848	0	0	-517.6118385543258	-517.6118385543258	-517.6118385543258	-517.6118385543258	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-517.6118385543258,-517.6118385543258	0.9874117384724485	-517.6118385543258	0	true	40
48	44	40	17	3162	15504	124032	0	0	-517.1441581789727	-517.1441581789727	-517.1441581789727	-517.1441581789727	-522.2436196060045,-522.2436196060045,-522.2436196060045,-522.2436196060045,-522.2436196060045,-522.2436196060045,-522.2436196060045,-522.2436196060045,-522.2436196060045,-522.9651924282704,-522.9651924282704,-520.0781161725977,-520.8886213399298,-518.9980006189073,-518.9980006189073,-517.1441581789727,-517.1441581789727	0.9870803327947593	-517.1441581789727	0	true	42
49	44	39	7	1274	6384	51072	0	0	-518.3617180090624	-518.3617180090624	-518.3617180090624	-518.3617180090624	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-518.3617180090624,-518.3617180090624	0.9869361241692924	-518.3617180090624	0	true	31
50	45	40	34	6324	31008	248064	0	0	-516.9989384876891	-516.9989384876891	-516.9989384876891	-516.9989384876891	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-566.9990219735573,-566.9990219735573,-566.9990219735573,-566.9990219735573,-566.9990219735573,-566.9990219735573,-566.9990219735573,-566.9990219735573,-566.9990219735573,-566.9990219735573,-566.9990219735573,-566.9990219735573,-566.9990219735573,-516.9991151531103,-516.9991151531103,-516.9991151531103,-516.9991151531103,-516.9991151531103,-516.9991151531103,-516.9989384876891,-516.9989384876891	0.9858611941717053	-516.9989384876891	0	true	47
51	46	41	6	1140	5472	43776	0	0	-516.3434064476747	-516.3434064476747	-516.3434064476747	-516.3434064476747	-Infinity,-Infinity,-Infinity,-Infinity,-516.3434064476747,-516.3434064476747	0.9856594848699746	-516.3434064476747	0	true	30
52	46	40	24	4464	21888	175104	0	0	-517.1532900784229	-517.1532900784229	-517.1532900784229	-517.1532900784229	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-517.1532900784229,-517.1532900784229	0.9856775794883794	-517.1532900784229	0	true	39
53	46	39	6	1092	5472	43776	0	0	-515.6233642893017	-515.6233642893017	-515.6233642893017	-515.6233642893017	-Infinity,-Infinity,-Infinity,-Infinity,-515.6233642893017,-515.6233642893017	0.9857367982395215	-515.6233642893017	0	true	31
