# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 22
# run: 42320bc5-f9a2-4b6d-b2de-0e4ef5b4efba
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67573	772200	6177600	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	19	false	3049
26	16	16	100	67656	770220	6161760	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9958381646573722	-Infinity	16	false	1977
27	16	16	100	67682	750420	6003360	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954268136656409	-Infinity	16	false	1957
28	17	17	100	68006	718740	5749920	0	0	-Infinity	-Infinity	-2952.0414969740627	-2952.0414969740627	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952876130456717	-Infinity	18	false	1528
29	18	18	100	68318	687060	5496480	0	0	-1748.2406966520407	-1748.2406966520407	-1722.2093760010748	-1722.2093760010748	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407,-1748.2406966520407	0.9952702129681755	-1748.2406966520407	16	false	2019
30	18	18	100	68563	662310	5298480	0	0	-762.615571832504	-758.68589373485	-727.3745114078705	-728.3984659762127	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-758.68589373485,-760.0233540651419,-762.615571832504	0.9949686359947655	-758.68589373485	22	false	1256
31	18	17	100	68306	624690	4997520	0	0	-758.8237499719671	-754.2720952550777	-734.1126375056137	-735.2974808490212	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-804.4830481671962,-804.4830481671962,-804.4830481671962,-804.4830481671962,-804.4830481671962,-804.4830481671962,-797.7016303606362,-791.1909389148876,-791.1909389148876,-791.1909389148876,-791.1909389148876,-791.1909389148876,-769.3742514600648,-769.3742514600648,-769.3742514600648,-770.3703992466058,-770.3703992466058,-770.3703992466058,-770.3703992466058,-765.0927692652607,-765.0927692652607,-765.0927692652607,-762.8524280634791,-762.8524280634791,-762.8524280634791,-762.8524280634791,-762.8524280634791,-760.8715424417272,-755.0521421735841,-755.0521421735841,-755.0558715263082,-755.0558715263082,-754.2720952550777,-758.8237499719671,-758.8237499719671,-758.8237499719671,-758.8237499719671,-758.8237499719671,-758.8237499719671,-758.8237499719671,-758.8237499719671,-758.8237499719671	0.9947847288731626	-754.2720952550777	18	false	1982
32	20	20	100	68998	623700	4989600	0	0	-774.9697778790731	-774.9697778790731	-720.4929863640235	-720.4929863640235	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731,-774.9697778790731	0.9940017253858359	-774.9697778790731	22	false	1132
33	23	22	100	69303	614790	4918320	0	0	-770.1289958011097	-757.082641960306	-717.70452218044	-718.313107848893	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-780.9749971147796,-780.9749971147796,-780.9749971147796,-780.9749971147796,-780.9749971147796,-780.9749971147796,-780.9749971147796,-780.9749971147796,-780.9749971147796,-780.9749971147796,-780.9749971147796,-780.9749971147796,-780.9749971147796,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-773.8148632332864,-770.090611087469,-766.6024573636947,-765.558626320993,-765.558626320993,-765.558626320993,-765.558626320993,-765.558626320993,-765.558626320993,-764.5174870459764,-764.2331662476895,-764.2331662476895,-764.2331662476895,-764.2331662476895,-764.2331662476895,-760.7747520559986,-760.7747520559986,-757.9113087473244,-757.082641960306,-757.082641960306,-757.1303585005485,-758.035923264912,-758.035923264912,-758.035923264912,-758.035923264912,-758.035923264912,-760.6098486117835,-760.6098486117835,-760.6098486117835,-760.6098486117835,-760.6098486117835,-760.6098486117835,-764.2957124350669,-764.2957124350669,-766.767484414026,-766.767484414026,-766.767484414026,-766.767484414026,-766.767484414026,-770.1289958011097,-770.1289958011097,-770.1289958011097	0.9932272391633342	-757.082641960306	22	true	1736
34	24	22	100	69388	590040	4720320	0	0	-752.3949080617224	-752.3949080617224	-717.0490427396036	-717.0490427396036	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224,-752.3949080617224	0.9929657627886916	-752.3949080617224	22	true	958
