# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 8
# run: 440eff0f-95d9-4aeb-b10b-18bd6578bfa3
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	54	27096	92988	743904	0	0	-96.53271015367964	-96.53271015367964	-96.53271015367964	-96.53271015367964	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-98.47193560301537,-98.47193560301537,-96.83156273751973,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.8196509448354,-96.53271015367964,-96.53271015367964	0.9960270797844731	-96.53271015367964	0	true	1377
26	16	16	14	6859	24108	192864	0	0	-89.7255555734357	-89.7255555734357	-89.7255555734357	-89.7255555734357	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-89.7255555734357,-89.7255555734357	0.995805594344244	-89.7255555734357	0	true	426
27	16	16	26	12432	44772	358176	0	0	-87.03208091948011	-87.03208091948011	-87.03208091948011	-87.03208091948011	-Infinity,-Infinity,-88.96654501732807,-88.96654501732807,-88.96654501732807,-88.96654501732807,-88.96654501732807,-88.96654501732807,-88.96654501732807,-88.96654501732807,-88.96654501732807,-88.96654501732807,-88.15670661826735,-88.15670661826735,-88.01128393116102,-87.18420453752947,-87.18420453752947,-87.18420453752947,-87.18420453752947,-87.18420453752947,-87.18420453752947,-87.18420453752947,-87.18420453752947,-87.18420453752947,-87.03208091948011,-87.03208091948011	0.9955956967707507	-87.03208091948011	0	true	984
28	17	17	34	16487	58548	468384	0	0	-82.6349063510747	-82.6349063510747	-82.6349063510747	-82.6349063510747	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-133.57481338349893,-133.57481338349893,-133.57481338349893,-83.57481441936062,-83.57481441936062,-83.57481441936062,-83.57481441936062,-83.57481441936062,-83.57481441936062,-83.57481441936062,-83.57481441936062,-83.57481441936062,-82.6349063510747,-82.6349063510747	0.9952876130456717	-82.6349063510747	0	true	727
29	18	18	7	3374	12054	96432	0	0	-83.3904546933122	-83.3904546933122	-83.3904546933122	-83.3904546933122	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-83.3904546933122,-83.3904546933122	0.995024126157873	-83.3904546933122	0	true	379
30	18	18	1	504	1722	13776	0	0	-86.56876033491491	-86.56876033491491	-86.56876033491491	-86.56876033491491	-86.56876033491491	0.9947478816502295	-86.56876033491491	0	true	71
31	20	20	14	6895	24108	192864	0	0	-33.52783643586516	-33.52783643586516	-33.52783643586516	-33.52783643586516	-Infinity,-36.79893095472282,-35.49659458056618,-35.49659458056618,-34.55789835448449,-34.55789835448449,-34.55789835448449,-34.55789835448449,-34.55789835448449,-34.55789835448449,-35.32761737707515,-35.32761737707515,-33.52783643586516,-33.52783643586516	0.9943563799065661	-33.52783643586516	0	true	264
32	21	21	60	28790	103320	826560	0	0	66.30989089856217	66.30989089856217	66.30989089856217	66.30989089856217	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,65.65244113212715,66.30989089856217,66.30989089856217	0.993575679370673	66.30989089856217	0	true	689
33	22	22	6	2872	10332	82656	0	0	69.2510875502946	69.2510875502946	69.2510875502946	69.2510875502946	-Infinity,-Infinity,-Infinity,69.03540500550066,69.2510875502946,69.2510875502946	0.9933979500076767	69.2510875502946	0	true	124
34	24	24	17	8585	29274	234192	0	0	71.66546699682952	71.66546699682952	71.66546699682952	71.66546699682952	18.673379429868145,18.673379429868145,18.673379429868145,18.673379429868145,18.673379429868145,19.48978915910848,19.48978915910848,20.259320652728267,21.027673737767223,71.02763026977502,71.02763026977502,71.48811401294928,71.48811401294928,71.48811401294928,71.48811401294928,71.66546699682952,71.66546699682952	0.9929675539731397	71.66546699682952	0	true	239
