# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 3
# run: 456d323a-8235-446f-b5e1-7a5b60ff24d0
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	32	8498	29184	233472	0	0	-2095.5687538214306	-2095.5687538214306	-2095.5687538214306	-2095.5687538214306	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2196.3359172187115,-2196.3359172187115,-2196.3359172187115,-2196.3359172187115,-2196.3359172187115,-2196.3359172187115,-2098.3647664391524,-2098.599634875325,-2098.599634875325,-2096.5547136873784,-2096.5547136873784,-2095.5687538214306,-2095.5687538214306	0.9968457241868389	-2095.5687538214306	1	true	465
26	15	15	12	3152	10944	87552	0	0	-2036.7935783211512	-2036.7935783211512	-2036.7935783211512	-2036.7935783211512	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2038.7523571627464,-2037.9237133284516,-2037.9237133284516,-2036.7935783211512,-2036.7935783211512	0.9964541127788218	-2036.7935783211512	1	true	162
27	15	15	26	6581	23712	189696	0	0	-2035.448659394293	-2035.448659394293	-2035.448659394293	-2035.448659394293	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2035.448659394293,-2035.448659394293	0.9960270797844731	-2035.448659394293	1	true	82
28	15	15	8	1978	7296	58368	0	0	-2032.3088115089283	-2032.3088115089283	-2032.3088115089283	-2032.3088115089283	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2032.3088115089283,-2032.3088115089283	0.9960270797844731	-2032.3088115089283	0	true	44
29	15	15	58	13463	52896	423168	0	0	-1133.6546899938253	-1133.6546899938253	-1133.6546899938253	-1133.6546899938253	-Infinity,-Infinity,-Infinity,-Infinity,-1382.6741574352702,-1382.6741574352702,-1332.6741577257174,-1332.6741577257174,-1331.8608237734331,-1331.8608237734331,-1331.8608237734331,-1331.8608237734331,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1233.0616886125683,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.9921317832614,-1133.6546899938253,-1133.6546899938253	0.9960270797844731	-1133.6546899938253	0	true	71
30	16	16	8	1810	7296	58368	0	0	-1134.261483682189	-1134.261483682189	-1134.261483682189	-1134.261483682189	-Infinity,-1137.0297911275654,-1137.0297911275654,-1137.0297911275654,-1137.0297911275654,-1137.0297911275654,-1134.261483682189,-1134.261483682189	0.9956367112391343	-1134.261483682189	0	true	67
31	16	16	8	1686	7296	58368	0	0	-1134.3428950010914	-1134.3428950010914	-1134.3428950010914	-1134.3428950010914	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1134.487576873344,-1134.3428950010914,-1134.3428950010914	0.9954268136656409	-1134.3428950010914	0	true	39
32	18	17	28	5631	25536	204288	0	0	-535.3775254639263	-535.3775254639263	-535.3775254639263	-535.3775254639263	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-731.3697709016452,-731.3697709016452,-731.3697709016452,-731.3697709016452,-731.3697709016452,-634.0549825959754,-634.0549825959754,-634.0549825959754,-634.0549825959754,-634.0549825959754,-632.4830610485359,-632.4830610485359,-632.4830610485359,-632.4830610485359,-632.4830610485359,-632.4830610485359,-535.3775254639263,-535.3775254639263	0.9952869916143327	-535.3775254639263	2	true	118
33	18	17	31	5995	28272	226176	0	0	-534.5249048739186	-534.5249048739186	-534.5249048739186	-534.5249048739186	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-534.5249048739186,-534.5249048739186	0.9949854146409226	-534.5249048739186	2	true	48
34	18	18	10	1871	9120	72960	0	0	-534.6188219774963	-534.6188219774963	-534.6188219774963	-534.6188219774963	-Infinity,-Infinity,-Infinity,-Infinity,-536.2008657878544,-536.2008657878544,-536.2008657878544,-536.2008657878544,-534.6188219774963,-534.6188219774963	0.9948311168948906	-534.6188219774963	1	true	40
35	18	18	5	915	4560	36480	0	0	-535.1183936442944	-535.1183936442944	-535.1183936442944	-535.1183936442944	-Infinity,-Infinity,-Infinity,-535.1183936442944,-535.1183936442944	0.9943932271294993	-535.1183936442944	1	true	34
36	20	20	12	2070	10944	87552	0	0	-534.8308708975436	-534.8308708975436	-534.8308708975436	-534.8308708975436	-Infinity,-Infinity,-538.5779002566276,-537.525689921176,-537.525689921176,-537.525689921176,-537.525689921176,-537.525689921176,-537.525689921176,-537.525689921176,-534.8308708975436,-534.8308708975436	0.9936241510151266	-534.8308708975436	0	true	39
37	22	20	7	1140	6384	51072	0	0	-531.650139416925	-531.650139416925	-531.650139416925	-531.650139416925	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-531.650139416925,-531.650139416925	0.9934557431222172	-531.650139416925	0	true	31
38	22	20	12	1944	10944	87552	0	0	-529.8113767123288	-529.8113767123288	-529.8113767123288	-529.8113767123288	-530.1792563285768,-530.1792563285768,-530.1792563285768,-530.1792563285768,-530.1792563285768,-530.1792563285768,-530.1792563285768,-530.1792563285768,-530.1792563285768,-530.1792563285768,-529.8113767123288,-529.8113767123288	0.993356825874939	-529.8113767123288	1	true	33
39	24	24	17	2655	15504	124032	0	0	-526.305023599943	-526.305023599943	-526.305023599943	-526.305023599943	-Infinity,-529.5768567081245,-528.8872307800056,-528.8872307800056,-528.8872307800056,-528.1180440705783,-528.1180440705783,-528.1180440705783,-527.2176140894381,-527.2176140894381,-527.2176140894381,-526.7257741919285,-526.7257741919285,-526.7257741919285,-526.7257741919285,-526.305023599943,-526.305023599943	0.992740768089135	-526.305023599943	0	true	39
40	25	24	17	2541	15504	124032	0	0	-525.8943201022598	-525.8943201022598	-525.8943201022598	-525.8943201022598	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-525.8943201022598,-525.8943201022598	0.9921441940035529	-525.8943201022598	0	true	37
41	27	26	46	6351	41952	335616	0	0	-522.1843606087627	-522.1843606087627	-522.1843606087627	-522.1843606087627	-Infinity,-Infinity,-572.9819564299474,-572.9819564299474,-572.9819564299474,-572.9819564299474,-522.9821499102673,-522.9821499102673,-522.9821499102673,-522.9821499102673,-522.9821499102673,-522.9821499102673,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.6793588019257,-522.1843606087627,-522.1843606087627	0.9917464779464983	-522.1843606087627	0	true	58
42	28	25	18	2379	16416	131328	0	0	-525.5929459898467	-525.5929459898467	-525.5929459898467	-525.5929459898467	-Infinity,-Infinity,-531.3585118146451,-531.3585118146451,-531.0115202732042,-527.9209487295522,-527.9209487295522,-527.9209487295522,-527.9209487295522,-527.9209487295522,-527.9208698701722,-526.5929430631994,-526.5929430631994,-526.5929430631994,-526.5929430631994,-526.5929430631994,-525.5929459898467,-525.5929459898467	0.9916417484884597	-525.5929459898467	0	true	43
