# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 10
# run: 48e8b830-eb08-4239-86a9-3ecf9d412f34
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	12	3168	2760	22080	0	0	-1165.0398830917486	-1165.0398830917486	-1165.0398830917486	-1165.0398830917486	-1363.1986068484007,-1363.1986068484007,-1363.1986068484007,-1263.2044993122568,-1263.2044993122568,-1263.2044993122568,-1263.2044993122568,-1263.2044993122568,-1263.2044993122568,-1263.2044993122568,-1165.0398830917486,-1165.0398830917486	0.9960270797844731	-1165.0398830917486	0	true	185
26	15	15	1	262	230	1840	0	0	-1160.6588830845915	-1160.6588830845915	-1160.6588830845915	-1160.6588830845915	-1160.6588830845915	0.9960270797844731	-1160.6588830845915	0	true	30
27	16	16	26	6656	5980	47840	0	0	-1157.7767191034054	-1157.7767191034054	-1157.7767191034054	-1157.7767191034054	-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1159.3219597005084,-1157.7767191034054,-1157.7767191034054	0.9958381646573722	-1157.7767191034054	0	true	36
28	16	16	15	3810	3450	27600	0	0	-1157.3582920218878	-1157.3582920218878	-1157.3582920218878	-1157.3582920218878	-1159.798013259327,-1159.798013259327,-1159.798013259327,-1159.798013259327,-1159.798013259327,-1159.798013259327,-1158.986261882159,-1158.986261882159,-1158.986261882159,-1158.986261882159,-1158.986261882159,-1158.142556914129,-1158.142556914129,-1157.3582920218878,-1157.3582920218878	0.9955956967707507	-1157.3582920218878	0	true	20
29	17	17	23	5796	5290	42320	0	0	-1155.5606330139994	-1155.5606330139994	-1155.5606330139994	-1155.5606330139994	-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1205.5606321025457,-1155.5606330139994,-1155.5606330139994	0.9952876130456717	-1155.5606330139994	0	true	17
30	18	18	1	246	230	1840	0	0	-1155.1122795149934	-1155.1122795149934	-1155.1122795149934	-1155.1122795149934	-1155.1122795149934	0.9952702129681755	-1155.1122795149934	0	true	10
31	18	18	9	2178	2070	16560	0	0	-1155.4620179450321	-1155.4620179450321	-1155.4620179450321	-1155.4620179450321	-1156.2391848122086,-1156.2391848122086,-1156.2391848122086,-1156.2391848122086,-1156.2391848122086,-1156.2391848122086,-1156.2391848122086,-1155.4620179450321,-1155.4620179450321	0.9948854007501045	-1155.4620179450321	0	true	12
32	18	18	1	234	230	1840	0	0	-1156.538470120407	-1156.538470120407	-1156.538470120407	-1156.538470120407	-1156.538470120407	0.9947478816502295	-1156.538470120407	0	true	11
33	21	21	5	1170	1150	9200	0	0	-1155.1244991793496	-1155.1244991793496	-1155.1244991793496	-1155.1244991793496	-1155.9196706321318,-1155.9196706321318,-1155.9196706321318,-1155.1244991793496,-1155.1244991793496	0.9937941673185605	-1155.1244991793496	0	true	12
34	23	23	35	8050	8050	64400	0	0	-1055.6495394159751	-1055.6495394159751	-1055.6495394159751	-1055.6495394159751	-1210.6644221017539,-1210.6644221017539,-1207.8517454593546,-1157.0379838757162,-1157.0379838757162,-1157.0379838757162,-1157.0379838757162,-1156.2677064325212,-1156.2677064325212,-1156.2677064325212,-1056.5295596564893,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1056.418710719713,-1055.6495394159751,-1055.6495394159751	0.9931903919404012	-1055.6495394159751	0	true	19
35	23	23	1	228	230	1840	0	0	-1053.7831489194743	-1053.7831489194743	-1053.7831489194743	-1053.7831489194743	-1053.7831489194743	0.9931903919404012	-1053.7831489194743	0	true	8
36	25	24	5	1120	1150	9200	0	0	-1054.5401504439023	-1054.5401504439023	-1054.5401504439023	-1054.5401504439023	-1157.3440174590187,-1157.3440174590187,-1055.3605465201433,-1054.5401504439023,-1054.5401504439023	0.992621526381588	-1054.5401504439023	0	true	12
37	26	26	6	1320	1380	11040	0	0	-1054.0235956786096	-1054.0235956786096	-1054.0235956786096	-1054.0235956786096	-1054.8904073605727,-1054.8904073605727,-1054.8904073605727,-1054.8904073605727,-1054.0235956786096,-1054.0235956786096	0.9920515276244505	-1054.0235956786096	0	true	10
38	28	28	10	2180	2300	18400	0	0	-558.1449910918624	-558.1449910918624	-558.1449910918624	-558.1449910918624	-857.5150612242734,-758.7309174730972,-561.7514351773971,-561.7514351773971,-561.7514351773971,-559.8279983040283,-559.8279983040283,-559.8279983040283,-558.1449910918624,-558.1449910918624	0.9911454807319727	-558.1449910918624	0	true	11
39	28	28	1	214	230	1840	0	0	-557.1374771309058	-557.1374771309058	-557.1374771309058	-557.1374771309058	-557.1374771309058	0.9911454807319727	-557.1374771309058	0	true	9
40	31	31	1	212	230	1840	0	0	-557.2180001223578	-557.2180001223578	-557.2180001223578	-557.2180001223578	-557.2180001223578	0.9908148792595463	-557.2180001223578	0	true	9
41	31	31	2	416	460	3680	0	0	-459.34600245262317	-459.34600245262317	-459.34600245262317	-459.34600245262317	-459.34600245262317,-459.34600245262317	0.9908148792595463	-459.34600245262317	0	true	8
42	32	32	1	206	230	1840	0	0	-458.8360333342737	-458.8360333342737	-458.8360333342737	-458.8360333342737	-458.8360333342737	0.9901344484979638	-458.8360333342737	0	true	9
43	33	33	48	9600	11040	88320	0	0	-458.90833146024164	-458.90833146024164	-458.90833146024164	-458.90833146024164	-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-459.6206904675587,-458.90833146024164,-458.90833146024164	0.9900218597612243	-458.90833146024164	0	true	23
44	36	35	1	196	230	1840	0	0	-458.465215779571	-458.465215779571	-458.465215779571	-458.465215779571	-458.465215779571	0.9895887952274072	-458.465215779571	0	true	9
45	39	39	27	5238	6210	49680	0	0	-457.6632734056039	-457.6632734056039	-457.6632734056039	-457.6632734056039	-459.51682278176975,-459.51682278176975,-459.51682278176975,-458.65595171171356,-458.65595171171356,-458.65595171171356,-458.65595171171356,-458.65595171171356,-458.65595171171356,-458.65595171171356,-458.5375145801323,-458.5227864142069,-458.5227864142069,-458.5227864142069,-458.5227864142069,-458.5227864142069,-458.5227864142069,-458.5227864142069,-458.5227864142069,-458.5227864142069,-458.5227864142069,-458.5227864142069,-458.5227864142069,-458.5227864142069,-458.5227864142069,-457.6632734056039,-457.6632734056039	0.9886399426820976	-457.6632734056039	0	true	19
46	42	42	1	188	230	1840	0	0	-456.3887857340729	-456.3887857340729	-456.3887857340729	-456.3887857340729	-456.3887857340729	0.9881580775107656	-456.3887857340729	0	true	10
