# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 28
# run: 498f5f57-92d2-4e45-b5c8-37d6e02bac42
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	36	21906	149760	1198080	0	0	-136.3235290412805	-136.3235290412805	-136.3235290412805	-136.3235290412805	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-142.16629316740156,-142.16629316740156,-142.16629316740156,-138.509904548951,-138.509904548951,-138.3763563700912,-138.3763563700912,-138.3763563700912,-138.3763563700912,-137.4172343330747,-137.4172343330747,-137.4172343330747,-137.4172343330747,-137.4172343330747,-137.4172343330747,-137.4172343330747,-137.4172343330747,-137.4172343330747,-136.3235290412805,-136.3235290412805	0.9961066961054532	-136.3235290412805	8	false	2237
26	15	15	9	5156	37440	299520	0	0	-78.13004683553876	-78.13004683553876	-78.13004683553876	-78.13004683553876	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-78.13004683553876,-78.13004683553876	0.9960270797844731	-78.13004683553876	8	false	825
27	15	15	6	3332	24960	199680	0	0	-124.07028700258074	-124.07028700258074	-124.07028700258074	-124.07028700258074	-Infinity,-Infinity,-Infinity,-Infinity,-124.07028700258074,-124.07028700258074	0.9960270797844731	-124.07028700258074	8	false	366
28	16	16	16	8966	66560	532480	0	0	-18.781657501618092	-18.781657501618092	-18.781657501618092	-18.781657501618092	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-68.78126300418477,-68.78126300418477,-68.78126300418477,-68.78126300418477,-68.78126300418477,-18.781657501618092,-18.781657501618092	0.995805594344244	-18.781657501618092	6	false	739
29	16	16	16	8808	66560	532480	0	0	-20.32279656939933	-20.32279656939933	-20.32279656939933	-20.32279656939933	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.32279656939933,-20.32279656939933	0.9954268136656409	-20.32279656939933	7	false	726
30	17	17	11	5780	45760	366080	0	0	36.01442115546005	36.01442115546005	36.01442115546005	36.01442115546005	-Infinity,-14.396793172100615,-14.396793172100615,-14.396793172100615,-14.396793172100615,35.60298459483614,35.60298459483614,35.60298459483614,35.60298459483614,36.01442115546005,36.01442115546005	0.9952876130456717	36.01442115546005	5	false	602
31	18	18	25	12744	104000	832000	0	0	-9.786359258665176	-9.786359258665176	-9.786359258665176	-9.786359258665176	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-10.275490375413082,-10.275490375413082,-10.275490375413082,-10.172790319793396,-10.172790319793396,-9.837191485650013,-9.837191485650013,-9.837191485650013,-9.837191485650013,-9.837191485650013,-9.837191485650013,-9.837191485650013,-9.786359258665176,-9.786359258665176	0.9952147228050682	-9.786359258665176	5	false	1111
32	18	18	21	10186	87360	698880	0	0	-11.839510872759444	-11.839510872759444	-11.839510872759444	-11.839510872759444	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.839510872759444,-11.839510872759444	0.9949686359947655	-11.839510872759444	6	false	754
33	18	17	30	13912	124800	998400	0	0	-21.85333303701705	-21.85333303701705	-21.85333303701705	-21.85333303701705	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-21.85333303701705,-21.85333303701705	0.9946114591938942	-21.85333303701705	7	false	1031
34	21	21	44	23200	183040	1464320	0	0	-13.286135288345037	-13.286135288345037	-13.286135288345037	-13.286135288345037	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-14.960543470803294,-14.960543470803294,-14.960543470803294,-14.743835401274124,-14.743835401274124,-14.743835401274124,-13.928688819363673,-13.928688819363673,-13.928688819363673,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.359109506336894,-13.286135288345037,-13.286135288345037	0.993575679370673	-13.286135288345037	4	true	1453
