# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 9
# run: 4c5db5d9-522b-43fb-8df1-4cc05b0476c4
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	79200	331848	2654784	0	0	-381.87814667532183	-381.87814667532183	-79.05793205302483	-79.05793205302483	-1169.1443041284635,-1169.1443041284635,-1169.1443041284635,-969.1447319338118,-969.1447760515003,-969.1447760515003,-970.4547411846303,-974.5234434132159,-974.5235772447835,-974.5235772447835,-974.5235772447835,-974.5235772447835,-674.6728072516186,-674.6728072516186,-674.6728072516186,-674.6728072516186,-674.6728072516186,-674.6728072516186,-674.6728072516186,-674.6728072516186,-674.6728072516186,-674.6728072516186,-674.6728072516186,-674.6728072516186,-674.6728072516186,-674.6728072516186,-674.6728072516186,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-974.6729281618605,-674.6729982350018,-674.6729982350018,-674.6729982350018,-674.6729982350018,-674.6729982350018,-674.6729982350018,-674.6729982350018,-674.6729982350018,-674.6729982350018,-674.6729982350018,-674.6729982350018,-674.6729982350018,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-883.0870179928816,-873.3858015127535,-868.1008202824107,-868.1008202824107,-868.1008202824107,-868.9739142589223,-868.9739142589223,-868.9739142589223,-868.9739142589223,-868.9739142589223,-777.293219395475,-686.1853054545641,-476.81247468486265,-381.87814667532183,-381.87814667532183,-381.87814667532183,-381.87814667532183,-381.87814667532183,-381.87814667532183	0.9960270797844731	-381.87814667532183	5	true	957
26	16	16	100	84400	341352	2730816	0	0	-377.72777737877004	-377.72777737877004	-76.19043735485177	-76.19043735485177	-1167.1680336056152,-1167.1680336056152,-1167.1680336056152,-667.1683974318088,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1684300276034,-667.1778331392416,-667.1778331392416,-667.1778331392416,-667.1778331392416,-667.1778331392416,-667.1778331392416,-665.9671280165861,-472.7423724521986,-472.7423724521986,-472.7423724521986,-472.7423724521986,-472.7423724521986,-472.7423724521986,-377.72777737877004,-377.72777737877004,-377.72777737877004,-377.72777737877004,-377.72777737877004,-377.72777737877004,-377.72777737877004,-377.72777737877004,-377.72777737877004,-377.72777737877004	0.9955956967707507	-377.72777737877004	5	true	356
27	17	17	100	88200	352044	2816352	0	0	-Infinity	-123.7747618634771	-65.07706944620499	-59.571552726684345	-668.0253290721361,-668.0253290721361,-668.0253290721361,-668.0256077367538,-668.0256077367538,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-668.0260424398535,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.026513342553,-718.0266142947345,-718.0266142947345,-718.0266142947345,-718.0266142947345,-718.0266142947345,-718.0266142947345,-718.0266142947345,-718.0266142947345,-718.0266142947345,-718.0266142947345,-716.0471615039164,-416.04716610238955,-416.04716610238955,-416.04716610238955,-416.04692378136855,-416.04692378136855,-416.04692378136855,-316.04703071642535,-316.04703071642535,-316.04703071642535,-216.04682229528257,-216.04682229528257,-214.04835083134827,-216.05611298253794,-217.5535311875636,-217.5535311875636,-217.5535311875636,-217.5535311875636,-217.5535311875636,-223.77437977451427,-223.77437977451427,-123.7747618634771,-123.7747618634771,-223.7747056223109,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954564961507815	-123.7747618634771	5	true	336
28	18	18	100	90800	363924	2911392	0	0	-Infinity	-225.05844483826868	-Infinity	-11.286549583929778	-672.1390177494699,-672.1390177494699,-672.1390177494699,-672.1392850476975,-572.1393673540765,-672.1395999393964,-672.1395999393964,-672.1395999393964,-672.1395999393964,-672.1395999393964,-672.1395999393964,-672.1395999393964,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-676.9062659557962,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066012038953,-726.9066726362856,-726.9066726362856,-726.9066726362856,-726.9066726362856,-726.9066726362856,-726.9066726362856,-726.9066726362856,-726.9066726362856,-726.9066726362856,-726.9066726362856,-726.9066726362856,-726.9066726362856,-726.9066726362856,-726.9066726362856,-626.9064400509658,-625.058688365759,-625.058688365759,-625.058688365759,-625.058688365759,-325.0586260381087,-225.05844483826868,-225.05844483826868,-225.05844483826868,-225.05844483826868,-225.05844483826868,-228.5555333196509,-228.5555333196509,-228.5555333196509,-228.5555333196509,-228.5555333196509,-232.78675931044052,-232.78675931044052,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9951930092629826	-225.05844483826868	5	true	354
29	18	18	100	92800	363924	2911392	0	0	-Infinity	-322.9303289186932	-75.81760112915185	-11.501830021206176	-674.6407802065014,-674.6407802065014,-674.6407802065014,-674.6409276379015,-574.6409865384787,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-674.6413551735045,-624.6414363474304,-624.6414363474304,-624.6414363474304,-624.6414363474304,-624.6414363474304,-624.6414363474304,-624.6414363474304,-624.6414363474304,-624.6414363474304,-624.6414363474304,-624.6414363474304,-624.6414363474304,-624.6414363474304,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-324.64146189969375,-322.9303289186932,-322.9303289186932,-322.9303289186932,-322.9303289186932,-322.9303289186932,-322.9303289186932,-322.9303289186932,-322.9392787130652,-322.9392787130652,-322.9392787130652,-322.9392787130652,-322.9397744229861,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.994803371813337	-322.9303289186932	5	true	383
30	18	18	100	89000	362340	2898720	0	0	-371.7588021151185	-371.7588021151185	-60.8240041629208	-60.8240041629208	-673.3657807356526,-673.3657807356526,-673.3657807356526,-673.3657915889553,-673.3657915889553,-673.3657915889553,-673.3657915889553,-673.3657915889553,-673.3657915889553,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-373.36596196815424,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185,-371.7588021151185	0.9947478816502295	-371.7588021151185	5	true	331
31	22	22	100	77000	382932	3063456	0	0	-275.5393300264574	-68.99563909275106	-8.023914931773833	-8.023914931773833	-184.76745884053264,-184.76745884053264,-184.76745884053264,-184.7679349920075,-184.7679349920075,-84.76804272564642,-84.76804272564642,-84.76804272564642,-84.76821792731597,-84.76821792731597,-84.76821792731597,-84.7683102940857,-84.7683102940857,-84.7683102940857,-84.7683102940857,-84.7683102940857,-84.7683102940857,-84.55168627624414,-84.55168627624414,-84.55168627624414,-84.55168627624414,-84.55168627624414,-84.55168627624414,-84.55168627624414,-84.55168627624414,-84.55168627624414,-84.55168627624414,-84.55168627624414,-84.55168627624414,-84.55168627624414,-84.55168627624414,-84.55168627624414,-175.7965329192932,-175.19045314236902,-175.19045314236902,-175.19045314236902,-175.19045314236902,-175.19045314236902,-175.19045314236902,-280.92753125431557,-280.92753125431557,-280.92753125431557,-280.92753125431557,-278.94216266666723,-278.94216266666723,-282.29712141760024,-282.29712141760024,-282.29712141760024,-282.29712141760024,-282.29709298693,-282.29709298693,-282.29709298693,-282.29718757654956,-282.29718757654956,-282.29718757654956,-282.29718757654956,-282.29718757654956,-82.29709520977985,-82.29709520977985,-82.29709520977985,-82.29709520977985,-88.48318814379445,-88.48318814379445,-88.48318814379445,-88.48318814379445,-88.48318814379445,-88.48318814379445,-88.48318814379445,-88.48318814379445,-88.48318814379445,-88.48318814379445,-88.48318814379445,-88.48318814379445,-82.69267197124769,-75.34717298547602,-75.34717298547602,-75.34717298547602,-75.34717298547602,-75.34717298547602,-75.34717298547602,-75.34717298547602,-78.88654599512806,-78.88654599512806,-75.53158724419501,-72.10089550803764,-72.50799745973681,-72.50799745973681,-74.4933660473852,-74.4933660473852,-74.4933660473852,-71.36690961325311,-68.99563909275106,-74.08816222928232,-276.51770555226784,-276.51770555226784,-275.5393300264574,-275.5393300264574,-275.5393300264574,-275.5393300264574,-275.5393300264574	0.9937227758241277	-68.99563909275106	3	true	390
32	23	23	100	78600	392832	3142656	0	0	20.061606127874683	32.44681748800527	40.85630605561095	40.908436713843834	-79.77344429457702,-79.77344429457702,-79.77344429457702,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,20.225719545467474,18.207218421636295,18.207218421636295,18.207218421636295,18.207218421636295,18.207218421636295,18.207218421636295,18.207218421636295,18.207218421636295,-269.2959227705146,-368.0790199996157,-368.0790199996157,-368.0790199996157,-368.0790199996157,-368.0790199996157,-368.0790199996157,-368.0790199996157,-269.19045248398834,-269.19045248398834,-269.19045248398834,-269.19045248398834,-269.19045248398834,-269.19045248398834,-269.19045248398834,-269.19045248398834,-269.19045248398834,-269.19045248398834,-269.19045248398834,-269.19045248398834,-269.19045248398834,-269.19045248398834,-266.9648349100326,-266.9648349100326,-266.9648349100326,-269.3463268971521,-269.3463268971521,-272.4896633310575,-272.4896633310575,-272.4896633310575,-272.4896633310575,-272.4896633310575,-272.4896633310575,-272.4896633310575,-272.4896633310575,-272.4896633310575,-272.4897602057644,-272.4897602057644,-272.4897602057644,-272.4897602057644,-272.48969419419564,-272.48969419419564,-272.48969419419564,-272.48969419419564,-272.48969419419564,-269.3467064833122,-266.9652144961927,-266.9652144961927,-266.9652144961927,-266.9652144961927,-266.9652144961927,-266.9652144961927,-167.66598116143172,32.44681748800527,32.44681748800527,32.44681748800527,32.44681748800527,28.843970732350122,28.843970732350122,24.675266761030645,20.061606127874683,20.061606127874683,20.061606127874683,20.061606127874683,20.061606127874683,20.061606127874683,20.061606127874683,20.061606127874683	0.9931903919404012	32.44681748800527	2	true	432
33	23	23	100	79000	393228	3145824	0	0	-265.1220302068953	-67.03361567924013	-7.711537513542606	-7.711537513542606	-Infinity,-Infinity,-Infinity,-79.69480189267652,-79.69482531705587,-79.69479583957123,-79.69487061775844,-79.69488105851991,-79.69488105851991,-79.69488105851991,-79.69488105851991,-79.69488105851991,-79.69488105851991,-79.69489555012217,-79.69489555012217,-79.69489555012217,-79.69505731615223,-79.69505731615223,-79.69505731615223,-81.33218071556685,-81.33218071556685,-81.33218071556685,-81.33218071556685,-81.33218071556685,-81.33218071556685,-81.33218071556685,-81.33218071556685,-81.33218071556685,-81.33218071556685,-81.33218071556685,-81.33218071556685,-81.33218071556685,-270.46827966074414,-268.22989432452005,-267.1970537982322,-267.1970537982322,-268.22031316622235,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-269.24610084963365,-267.0337774452702,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-72.41176488577848,-72.41176488577848,-72.41176488577848,-72.41176488577848,-72.41176488577848,-72.41176488577848,-72.41176488577848,-72.41176488577848,-72.41176488577848,-72.41176488577848,-72.41176488577848,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-67.03361567924013,-265.1220302068953,-265.1220302068953,-265.1220302068953,-265.1220302068953	0.99312042608257	-67.03361567924013	3	true	312
34	27	27	100	82600	435600	3484800	0	0	20.572184193583546	32.37552533059807	41.194885318084694	41.261308258679605	-179.63947739717167,-179.63947739717167,-179.63947739717167,20.36006284364294,20.36006284364294,20.35999698785268,20.35999698785268,20.35999698785268,20.35999698785268,20.3598769062602,20.3598769062602,20.3598769062602,20.3598769062602,20.3598769062602,20.3598769062602,20.3598769062602,20.3598769062602,20.3598769062602,20.3598769062602,18.715537223927083,18.715398059876254,18.715398059876254,18.715398059876254,18.715398059876254,18.715398059876254,18.715398059876254,18.715398059876254,18.715398059876254,18.715398059876254,18.715398059876254,18.715398059876254,18.715398059876254,-167.43511700198357,-266.21788601547365,-266.21788601547365,-266.21788601547365,-267.24097446331297,-268.26485509124046,-268.26485509124046,-268.26485509124046,-268.26485509124046,-268.26485509124046,-268.26485509124046,-268.26485509124046,-268.26485509124046,-268.26485509124046,-268.26485509124046,-268.26485509124046,-268.26485509124046,-268.26485509124046,-268.26485509124046,-268.26485509124046,-268.26485509124046,-268.26485509124046,-266.0368349181938,-266.03669575414295,-266.03669575414295,-266.03669575414295,-266.0371651097253,-266.0371651097253,-266.0371651097253,-266.0371651097253,-266.03669575414295,-266.0368833196656,-266.0368833196656,-266.0368833196656,-266.0368833196656,-266.0368833196656,-266.0368833196656,-266.0368833196656,-266.0368833196656,-266.0368833196656,-266.0368833196656,-266.0368833196656,-266.0368833196656,-266.0368833196656,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-266.0371145504535,-266.0371145504535,-266.0371145504535,-266.0371145504535,-266.0371145504535,-266.0371145504535,-266.0371145504535,-266.0371145504535,-266.0371145504535,32.37552533059807,32.37552533059807,32.37552533059807,32.37552533059807,32.37552533059807,29.40004206357642,29.40004206357642,29.40004206357642,20.572184193583546,20.572184193583546	0.9924952661553873	32.37552533059807	2	true	435
