# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 6
# run: 4f05915d-7f2d-4187-ad81-bce65b8e2a70
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	18	4786	16416	131328	0	0	-2099.9845004347326	-2099.9845004347326	-2099.9845004347326	-2099.9845004347326	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2205.312595673792,-2204.8768669281258,-2204.8768669281258,-2102.855518633005,-2102.855518633005,-2102.855518633005,-2100.893372742091,-2100.893372742091,-2100.893372742091,-2099.9845004347326,-2099.9845004347326	0.9959945094713449	-2099.9845004347326	2	true	411
26	16	16	7	1840	6384	51072	0	0	-2038.2415866538086	-2038.2415866538086	-2038.2415866538086	-2038.2415866538086	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2038.2415866538086,-2038.2415866538086	0.995805594344244	-2038.2415866538086	1	true	55
27	17	17	21	5306	19152	153216	0	0	-2033.7887985097566	-2033.7887985097566	-2033.7887985097566	-2033.7887985097566	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2035.7819549896403,-2035.7819549896403,-2035.7819549896403,-2035.7819549896403,-2035.7819549896403,-2034.492122754485,-2034.492122754485,-2034.492122754485,-2034.492122754485,-2034.492122754485,-2034.492122754485,-2033.7887985097566,-2033.7887985097566	0.9954564961507815	-2033.7887985097566	0	true	61
28	18	18	11	2730	10032	80256	0	0	-2029.3565473468952	-2029.3565473468952	-2029.3565473468952	-2029.3565473468952	-Infinity,-2035.1181018838279,-2035.1181018838279,-2035.1181018838279,-2032.4280989821973,-2031.1279293507064,-2031.1279293507064,-2030.2550974253231,-2030.2550974253231,-2029.3565473468952,-2029.3565473468952	0.9952702129681755	-2029.3565473468952	0	true	50
29	18	18	44	10240	40128	321024	0	0	-1136.1760208465932	-1136.1760208465932	-1136.1760208465932	-1136.1760208465932	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1235.6132566738534,-1235.6132566738534,-1136.5037861150604,-1136.5037861150604,-1136.5037861150604,-1136.5037861150604,-1136.5037861150604,-1136.5037861150604,-1136.5037861150604,-1136.5037861150604,-1136.5037861150604,-1136.5037861150604,-1136.5037861150604,-1136.5037861150604,-1136.5037861150604,-1136.5037861150604,-1136.5037861150604,-1136.5037861150604,-1136.3182122573755,-1136.3182122573755,-1136.3182122573755,-1136.3182122573755,-1136.3182122573755,-1136.1760208465932,-1136.1760208465932	0.9947478816502295	-1136.1760208465932	0	true	102
30	18	18	9	2060	8208	65664	0	0	-1134.6889687313462	-1134.6889687313462	-1134.6889687313462	-1134.6889687313462	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1134.6889687313462,-1134.6889687313462	0.9947478816502295	-1134.6889687313462	0	true	40
31	22	21	19	3991	17328	138624	0	0	-1131.080837884373	-1131.080837884373	-1131.080837884373	-1131.080837884373	-1184.3838160401053,-1182.7355078596565,-1183.153787473852,-1183.153787473852,-1183.153787473852,-1183.153787473852,-1183.153787473852,-1183.153787473852,-1183.153787473852,-1183.1754212477108,-1183.079008263549,-1181.0807917337752,-1181.0807917337752,-1181.0807917337752,-1181.0807917337752,-1181.0807917337752,-1181.0807917337752,-1131.080837884373,-1131.080837884373	0.9937624743202639	-1131.080837884373	0	true	54
32	23	22	11	2230	10032	80256	0	0	-832.0872604408169	-832.0872604408169	-832.0872604408169	-832.0872604408169	-Infinity,-Infinity,-Infinity,-933.9997477857925,-933.2137416519632,-933.2137416519632,-933.2137416519632,-931.4192627116382,-832.0873170874856,-832.0872604408169,-832.0872604408169	0.9932071705865583	-832.0872604408169	0	true	41
33	24	24	18	3528	16416	131328	0	0	-830.7378277292573	-830.7378277292573	-830.7378277292573	-830.7378277292573	-831.6973565053041,-831.6973565053041,-830.9269895123053,-830.9269895123053,-830.9269895123053,-830.9269895123053,-830.9269895123053,-830.9269895123053,-830.7378690473754,-830.7378690473754,-830.7378690473754,-830.7378690473754,-830.7378690473754,-830.7378690473754,-830.7378690473754,-830.7378690473754,-830.7378277292573,-830.7378277292573	0.9929675539731397	-830.7378277292573	0	true	46
34	25	25	22	4183	20064	160512	0	0	-827.2951616526432	-827.2951616526432	-827.2951616526432	-827.2951616526432	-Infinity,-Infinity,-829.1188354378295,-829.1188354378295,-829.1188354378295,-829.1188354378295,-829.1188354378295,-829.1188354378295,-829.1188354378295,-829.1188354378295,-829.1188354378295,-829.1188354378295,-829.1188354378295,-829.1188354378295,-829.1188354378295,-829.1188354378295,-829.1188354378295,-828.2184377033989,-828.2184377033989,-828.2184377033989,-827.2951616526432,-827.2951616526432	0.9925525109481579	-827.2951616526432	0	true	54
