# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 4fd29562-f6f5-4b2a-aa4d-4371152b61a9
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	100	53400	466884	3735072	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9968457241868389	-Infinity	7	true	841
26	15	15	100	53200	469260	3754080	0	0	-2041.1207206015083	-2041.1207206015083	-2036.1847127658707	-2036.1847127658707	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083,-2041.1207206015083	0.9961066961054532	-2041.1207206015083	5	true	919
27	15	15	100	52000	451440	3611520	0	0	-2038.4081504005112	-2038.4081504005112	-2035.0275566595997	-2035.0275566595997	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2040.1233883958341,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112,-2038.4081504005112	0.9960270797844731	-2038.4081504005112	5	true	522
28	15	15	100	51400	442530	3540240	0	0	-2035.4169856616356	-2035.4169856616356	-2032.041781603954	-2032.041781603954	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356,-2035.4169856616356	0.9960270797844731	-2035.4169856616356	5	true	428
29	15	15	100	47000	421740	3373920	0	0	-1150.3424512029621	-1150.3424512029621	-1137.6780218821245	-1137.6780218821245	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1159.8368106662228,-1154.823134197987,-1154.823134197987,-1154.823134197987,-1154.823134197987,-1154.823134197987,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621,-1150.3424512029621	0.9960270797844731	-1150.3424512029621	8	true	597
30	16	16	100	46200	415206	3321648	0	0	-1140.5287413043015	-1140.5287413043015	-1132.1936042568843	-1132.1936042568843	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1151.488313033353,-1148.501838163975,-1148.501838163975,-1148.501838163975,-1148.501838163975,-1148.501838163975,-1148.501838163975,-1148.501838163975,-1144.201997409555,-1144.201997409555,-1144.201997409555,-1144.201997409555,-1144.201997409555,-1144.201997409555,-1144.201997409555,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015,-1140.5287413043015	0.9955956967707507	-1140.5287413043015	7	true	449
31	16	15	100	45186	392040	3136320	0	0	-845.33786526531	-845.33786526531	-839.4489513148328	-839.4489513148328	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-876.2651237373805,-876.2651237373805,-876.2651237373805,-876.2651237373805,-876.2651237373805,-876.2651237373805,-876.2651237373805,-876.2651237373805,-868.2819934316315,-868.2819934316315,-868.2819934316315,-868.2819934316315,-868.2819934316315,-868.2819934316315,-868.2819934316315,-868.2819934316315,-868.2819934316315,-868.2819934316315,-868.2819934316315,-868.2819934316315,-868.2819934316315,-867.5282149745751,-867.5282149745751,-867.5282149745751,-867.5282149745751,-867.5282149745751,-867.5282149745751,-865.6482690514457,-865.6482690514457,-865.6482690514457,-865.6482690514457,-865.6482690514457,-865.6482690514457,-865.6482690514457,-865.6482690514457,-857.2385926846806,-857.2385926846806,-857.2385926846806,-857.2385926846806,-859.2869428391883,-859.2869428391883,-859.3733302704027,-862.3743878857546,-862.3743878857546,-862.3743878857546,-862.3743878857546,-862.3743878857546,-862.3743878857546,-862.3743878857546,-862.3743878857546,-862.3743878857546,-862.3743878857546,-862.3743878857546,-862.3743878857546,-862.3743878857546,-862.3743878857546,-857.206183864754,-854.4358611513702,-854.4358611513702,-854.4358611513702,-854.4358611513702,-854.4358611513702,-854.4358611513702,-854.4358611513702,-854.4358611513702,-854.4358611513702,-854.4358611513702,-854.4358611513702,-854.4358611513702,-854.4358611513702,-854.4358611513702,-854.4358611513702,-854.4358611513702,-846.4373569593437,-846.4373569593437,-845.33786526531,-845.33786526531,-845.33786526531,-845.33786526531,-845.33786526531,-845.33786526531,-845.33786526531,-845.33786526531,-845.33786526531,-845.33786526531,-845.33786526531,-845.33786526531,-845.33786526531,-845.33786526531,-845.33786526531	0.99547682061105	-845.33786526531	7	true	494
32	18	17	100	45694	384912	3079296	0	0	-546.8656757608728	-546.8656757608728	-535.2104246292897	-535.2104246292897	-567.949559754428,-567.949559754428,-557.8002258798838,-557.8002258798838,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-556.013956475385,-556.013956475385,-556.013956475385,-556.013956475385,-556.013956475385,-556.013956475385,-556.013956475385,-556.013956475385,-556.013956475385,-556.013956475385,-556.013956475385,-556.013956475385,-556.013956475385,-556.013956475385,-556.013956475385,-556.013956475385,-556.013956475385,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-554.6210434504495,-550.4454395283445,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728,-546.8656757608728	0.9953202199135847	-546.8656757608728	9	true	466
33	18	17	100	45599	373032	2984256	0	0	-537.5804742584289	-537.5804742584289	-532.9789016691965	-532.9789016691965	-Infinity,-Infinity,-Infinity,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-552.073239442011,-547.8965992938623,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-544.3173286087983,-539.3905770510517,-539.3905770510517,-537.5804742584289,-537.5804742584289,-537.5804742584289,-537.5804742584289,-537.5804742584289,-537.5804742584289,-537.5804742584289	0.9952647297504772	-537.5804742584289	6	true	410
34	18	16	100	45263	364716	2917728	0	0	-551.6209105834992	-551.6209105834992	-540.0082080883567	-540.0082080883567	-Infinity,-Infinity,-Infinity,-580.5285586706184,-571.9665836683213,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-572.0573570240146,-570.9963548380111,-570.9598913925482,-570.9598913925482,-570.9598913925482,-570.9598913925482,-570.9598913925482,-570.9598913925482,-570.9598913925482,-570.9598913925482,-570.9598913925482,-570.9598913925482,-570.9598913925482,-570.9598913925482,-564.326439643075,-566.366396532154,-566.366396532154,-566.366396532154,-566.366396532154,-566.366396532154,-566.366396532154,-566.366396532154,-566.366396532154,-566.366396532154,-566.366396532154,-566.366396532154,-566.366396532154,-566.366396532154,-559.3803835801934,-559.3803835801934,-559.3803835801934,-559.3803835801934,-559.3803835801934,-559.3803835801934,-559.3803835801934,-559.3803835801934,-559.3803835801934,-559.3803835801934,-559.3803835801934,-559.3803835801934,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992,-551.6209105834992	0.9950413434614459	-551.6209105834992	9	true	375
