# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 7
# run: 4ffefe71-f201-4f3d-906d-dc31cbb1f778
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	38	10066	34656	277248	0	0	-2095.324601835734	-2095.324601835734	-2095.324601835734	-2095.324601835734	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2197.5441225297586,-2195.577346590836,-2195.577346590836,-2194.32431462999,-2194.32431462999,-2193.3690702276117,-2193.3690702276117,-2193.3690702276117,-2193.3690702276117,-2095.4003178922612,-2095.4003178922612,-2095.4003178922612,-2095.4003178922612,-2095.4003178922612,-2095.3337334320395,-2095.3337334320395,-2095.3337334320395,-2095.3337334320395,-2095.3337334320395,-2095.3337334320395,-2095.3337334320395,-2095.3337334320395,-2095.3337334320395,-2095.3337334320395,-2095.3337334320395,-2095.3337334320395,-2095.324601835734,-2095.324601835734	0.9960270797844731	-2095.324601835734	2	true	381
26	16	16	7	1837	6384	51072	0	0	-2036.3440797598419	-2036.3440797598419	-2036.3440797598419	-2036.3440797598419	-Infinity,-Infinity,-2037.0747762836968,-2037.0747762836968,-2037.0747762836968,-2036.3440797598419,-2036.3440797598419	0.995805594344244	-2036.3440797598419	0	true	49
27	16	16	10	2534	9120	72960	0	0	-2034.5425672433473	-2034.5425672433473	-2034.5425672433473	-2034.5425672433473	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2034.5425672433473,-2034.5425672433473	0.9955956967707507	-2034.5425672433473	0	true	149
28	17	17	10	2469	9120	72960	0	0	-2030.8039331326565	-2030.8039331326565	-2030.8039331326565	-2030.8039331326565	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2030.8039331326565,-2030.8039331326565	0.9952876130456717	-2030.8039331326565	0	true	51
29	18	18	43	10155	39216	313728	0	0	-1140.2869243603482	-1140.2869243603482	-1140.2869243603482	-1140.2869243603482	-Infinity,-Infinity,-Infinity,-Infinity,-1437.060037085114,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1337.1645100209819,-1239.2412206074318,-1238.4390087090244,-1238.4390087090244,-1238.4390087090244,-1238.4390087090244,-1140.610684960711,-1140.610684960711,-1140.6052490419954,-1140.6052490419954,-1142.4211158715982,-1144.185311566328,-1142.1338928565613,-1140.2869243603482,-1140.2869243603482	0.995024126157873	-1140.2869243603482	0	true	64
30	18	18	26	5987	23712	189696	0	0	-1136.6374156860552	-1136.6374156860552	-1136.6374156860552	-1136.6374156860552	-Infinity,-Infinity,-Infinity,-Infinity,-1143.0832878203269,-1143.0832878203269,-1142.3190405407736,-1142.3190405407736,-1142.3190405407736,-1142.3190405407736,-1142.3190405407736,-1142.3190405407736,-1138.3804123098685,-1138.3804123098685,-1138.1230827085776,-1138.1230827085776,-1137.620356294141,-1137.620356294141,-1137.620356294141,-1137.620356294141,-1137.620356294141,-1137.620356294141,-1137.620356294141,-1137.620356294141,-1136.6374156860552,-1136.6374156860552	0.9948854007501045	-1136.6374156860552	0	true	50
31	20	20	14	2970	12768	102144	0	0	-835.1856062415336	-835.1856062415336	-835.1856062415336	-835.1856062415336	-Infinity,-835.8526356633753,-836.9731819587666,-835.1894532325534,-835.1894532325534,-835.1894532325534,-835.1894532325534,-835.1894532325534,-835.1894532325534,-835.1894532325534,-835.1894532325534,-835.1894532325534,-835.1856062415336,-835.1856062415336	0.9943563799065661	-835.1856062415336	0	true	43
32	22	22	33	6671	30096	240768	0	0	-835.3539456863829	-835.3539456863829	-835.3539456863829	-835.3539456863829	-Infinity,-Infinity,-Infinity,-Infinity,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-836.6008235075268,-835.3539456863829,-835.3539456863829	0.9933681213033975	-835.3539456863829	0	true	55
33	23	22	34	6567	31008	248064	0	0	-830.9534392327855	-830.9534392327855	-830.9534392327855	-830.9534392327855	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-830.9534392327855,-830.9534392327855	0.9932071705865583	-830.9534392327855	0	true	58
34	25	25	13	2470	11856	94848	0	0	-827.3266884624027	-827.3266884624027	-827.3266884624027	-827.3266884624027	-829.0273105701671,-828.7639977208966,-828.7639977208966,-828.7639977208966,-828.7639977208966,-828.7639977208966,-827.9946746142485,-827.9946746142485,-827.9946746142485,-827.9946746142485,-827.9946746142485,-827.3266884624027,-827.3266884624027	0.992750053004438	-827.3266884624027	0	true	43
