# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 18
# run: 509b59b7-6900-4515-a458-1ba685433fe6
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	12	12	51	24317	140556	1124448	0	0	-95.14473289694583	-95.14473289694583	-95.14473289694583	-95.14473289694583	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-95.1814787426779,-95.1814787426779,-95.1814787426779,-95.1814787426779,-95.1814787426779,-95.1814787426779,-95.1814787426779,-95.1814787426779,-95.1814787426779,-95.1814787426779,-95.1814787426779,-95.1814787426779,-95.1814787426779,-98.41133068880478,-98.42334397656222,-96.44836569436524,-96.44836569436524,-96.44836569436524,-96.44836569436524,-95.18048330292875,-95.18048330292875,-95.18048330292875,-95.18048330292875,-95.1569513804409,-95.1569513804409,-95.14473289694583,-95.14473289694583	0.9974600273429788	-95.14473289694583	6	false	1747
26	13	13	8	3927	22048	176384	0	0	-83.20800785314349	-83.20800785314349	-83.20800785314349	-83.20800785314349	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-83.20800785314349,-83.20800785314349	0.9973879413076377	-83.20800785314349	4	false	317
27	14	14	7	3436	19292	154336	0	0	-77.71755576503064	-77.71755576503064	-77.71755576503064	-77.71755576503064	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-77.71755576503064,-77.71755576503064	0.9968457241868389	-77.71755576503064	1	true	299
28	15	15	20	9615	55120	440960	0	0	-126.27407653036174	-126.27407653036174	-126.27407653036174	-126.27407653036174	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-177.62430301596603,-177.62430301596603,-176.63196111439015,-176.63196111439015,-176.3163208232558,-126.31629955988377,-126.31629955988377,-126.31629955988377,-126.31629955988377,-126.31629955988377,-126.27407653036174,-126.27407653036174	0.9960270797844731	-126.27407653036174	1	true	625
29	15	15	6	2830	16536	132288	0	0	-72.96733933933226	-72.96733933933226	-72.96733933933226	-72.96733933933226	-Infinity,-Infinity,-Infinity,-122.9670710831071,-72.96733933933226,-72.96733933933226	0.9960270797844731	-72.96733933933226	1	true	244
30	15	15	6	2631	16536	132288	0	0	28.640987164098053	28.640987164098053	28.640987164098053	28.640987164098053	-Infinity,28.64096115544486,28.64096115544486,28.64096115544486,28.640987164098053,28.640987164098053	0.9960270797844731	28.640987164098053	1	true	179
31	15	15	15	5356	41340	330720	0	0	79.602456674264	79.602456674264	79.602456674264	79.602456674264	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,79.60241921802516,79.602456674264,79.602456674264	0.9960270797844731	79.602456674264	1	true	207
32	16	16	69	24790	190164	1521312	0	0	76.80122071852605	76.80122071852605	76.80122071852605	76.80122071852605	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,75.99625529450968,75.99625529450968,75.99625529450968,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80086396932374,76.80122071852605,76.80122071852605	0.9954268136656409	76.80122071852605	1	true	769
33	16	16	3	1121	8268	66144	0	0	78.71335774629472	78.71335774629472	78.71335774629472	78.71335774629472	-Infinity,78.71335774629472,78.71335774629472	0.9954268136656409	78.71335774629472	1	true	89
34	17	16	5	1726	13780	110240	0	0	78.3899024448778	78.3899024448778	78.3899024448778	78.3899024448778	-Infinity,75.10311894985756,76.77190610968836,78.3899024448778,78.3899024448778	0.9954594205335539	78.3899024448778	1	true	103
35	18	18	23	7686	63388	507104	0	0	80.14513444631346	80.14513444631346	80.14513444631346	80.14513444631346	-Infinity,25.3812823249002,26.466307003137803,26.466307003137803,26.466307003137803,76.88452920413239,77.68446094423547,77.68446094423547,77.68446094423547,77.68446094423547,77.68446094423547,77.68446094423547,77.68446094423547,78.36412484444025,76.66641034263463,76.66641034263463,77.46578796792187,77.46578796792187,79.17812035351618,79.17812035351618,79.17812035351618,80.14513444631346,80.14513444631346	0.9949686359947655	80.14513444631346	0	true	174
36	18	16	14	4437	38584	308672	0	0	24.619891982877178	24.619891982877178	24.619891982877178	24.619891982877178	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,23.323500677953827,23.323500677953827,23.323500677953827,23.323500677953827,24.31752487548148,24.6184839066673,24.619891982877178,24.619891982877178	0.9950554901631077	24.619891982877178	3	true	118
37	18	15	13	3986	35828	286624	0	0	12.731236714065737	12.731236714065737	12.731236714065737	12.731236714065737	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,10.8373568633254,10.8373568633254,10.8373568633254,10.8373568633254,12.731236714065737,12.731236714065737	0.9945860170637737	12.731236714065737	4	false	119
38	18	14	23	5857	63388	507104	0	0	52.91794559848849	52.91794559848849	52.91794559848849	52.91794559848849	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,52.91794559848849,52.91794559848849	0.9942252213392213	52.91794559848849	7	false	135
39	18	14	13	3107	35828	286624	0	0	54.78292038136779	54.78292038136779	54.78292038136779	54.78292038136779	54.78282767075831,54.78282767075831,54.78282767075831,54.78282767075831,54.78282767075831,54.78282767075831,54.78282767075831,54.78282767075831,54.78282767075831,54.78282767075831,54.78282767075831,54.78292038136779,54.78292038136779	0.9942252213392213	54.78292038136779	7	false	88
40	19	16	18	4470	49608	396864	0	0	66.16873439093088	66.16873439093088	66.16873439093088	66.16873439093088	-Infinity,-Infinity,-Infinity,-Infinity,66.09447328404323,66.09447328404323,66.09447328404323,66.09447328404323,66.09447328404323,66.09447328404323,66.09447328404323,66.09447328404323,66.09447328404323,66.09447328404323,66.09447328404323,66.09447328404323,66.16873439093088,66.16873439093088	0.9939974850308159	66.16873439093088	4	false	119
41	20	17	37	10381	101972	815776	0	0	65.54941180086584	65.54941180086584	65.54941180086584	65.54941180086584	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,65.4777921238168,65.4777921238168,65.4777921238168,65.4777921238168,65.4777921238168,65.4777921238168,65.4777921238168,65.4777921238168,65.4777921238168,65.4777921238168,65.4777921238168,65.4777921238168,65.4777921238168,65.4777921238168,65.4777921238168,65.54941180086584,65.54941180086584	0.9936530292950048	65.54941180086584	4	false	388
42	21	16	15	3997	41340	330720	0	0	58.28388481667844	58.28388481667844	58.28388481667844	58.28388481667844	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,8.284084291286508,8.284084291286508,8.284084291286508,8.284084291286508,8.284084291286508,8.284084291286508,8.284084291286508,58.28388481667844,58.28388481667844	0.9933242555618106	58.28388481667844	5	false	95
43	21	14	15	3544	41340	330720	0	0	48.520414235126594	48.520414235126594	48.520414235126594	48.520414235126594	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,48.520414235126594,48.520414235126594	0.9934433144954347	48.520414235126594	9	false	84
44	22	13	17	3513	46172	369376	0	0	34.664506941501244	34.664506941501244	34.664506941501244	34.664506941501244	-Infinity,-Infinity,-Infinity,-Infinity,34.57861270430196,34.57861270430196,34.656801233931034,34.656801233931034,34.656801233931034,34.656801233931034,34.656801233931034,34.656801233931034,34.656801233931034,34.656801233931034,34.656801233931034,34.664506941501244,34.664506941501244	0.9928830758658004	34.664506941501244	11	false	85
