# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 27
# run: 5393184c-0354-4a1e-98e7-8d1ffba92f9f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	25	12309	23250	186000	0	0	-103.04645207419328	-103.04645207419328	-103.04645207419328	-103.04645207419328	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-103.04645207419328,-103.04645207419328	0.9960270797844731	-103.04645207419328	0	true	664
26	16	16	4	1772	3720	29760	0	0	-95.37861717821609	-95.37861717821609	-95.37861717821609	-95.37861717821609	-97.06276193601882,-97.06276193601882,-95.37861717821609,-95.37861717821609	0.9958381646573722	-95.37861717821609	0	true	111
27	16	16	18	7668	16740	133920	0	0	-96.05780186416786	-96.05780186416786	-96.05780186416786	-96.05780186416786	-98.64606727040722,-98.64606727040722,-98.64606727040722,-98.64606727040722,-98.64606727040722,-98.64606727040722,-98.64606727040722,-98.64606727040722,-98.64606727040722,-98.64606727040722,-98.64606727040722,-98.64606727040722,-98.64606727040722,-97.81788217779825,-97.81788217779825,-97.00765155996702,-96.05780186416786,-96.05780186416786	0.9954268136656409	-96.05780186416786	0	true	247
28	18	18	38	17012	35340	282720	0	0	-193.20106577687523	-193.20106577687523	-193.20106577687523	-193.20106577687523	-Infinity,-Infinity,-Infinity,-Infinity,-193.30956298647692,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.23922496379134,-193.20106577687523,-193.20106577687523	0.9952702129681755	-193.20106577687523	0	true	413
29	18	18	16	6953	14880	119040	0	0	-191.6617811630069	-191.6617811630069	-191.6617811630069	-191.6617811630069	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-191.6617811630069,-191.6617811630069	0.9952147228050682	-191.6617811630069	0	true	191
30	18	18	15	6426	13950	111600	0	0	-96.71702047710905	-96.71702047710905	-96.71702047710905	-96.71702047710905	-96.71722014648167,-96.71722014648167,-96.71722014648167,-96.71722014648167,-96.71722014648167,-96.71722014648167,-96.71722014648167,-96.71722014648167,-96.71722014648167,-96.71722014648167,-96.71722014648167,-96.71722014648167,-96.71722014648167,-96.71702047710905,-96.71702047710905	0.9947478816502295	-96.71702047710905	0	true	153
31	19	19	10	4270	9300	74400	0	0	-45.36744780024089	-45.36744780024089	-45.36744780024089	-45.36744780024089	-45.80393744516759,-45.63200008178377,-45.63200008178377,-45.63200008178377,-45.63200008178377,-45.63200008178377,-45.63200008178377,-45.63200008178377,-45.36744780024089,-45.36744780024089	0.9941695118474059	-45.36744780024089	0	true	301
32	22	22	33	14709	30690	245520	0	0	56.35264551764239	56.35264551764239	56.35264551764239	56.35264551764239	50.01016841348616,50.01016841348616,51.961622796558416,51.961622796558416,51.961622796558416,51.961622796558416,51.961622796558416,51.961622796558416,51.961622796558416,51.961622796558416,51.961622796558416,54.73158142913708,54.73158142913708,55.50070533611397,55.50070533611397,55.50070533611397,55.50070533611397,55.50070533611397,55.50070533611397,55.50070533611397,55.50070533611397,55.50070533611397,55.50070533611397,55.50070533611397,55.50070533611397,55.50070533611397,55.10345112375049,56.35263276397603,56.35263276397603,56.35263276397603,56.35263276397603,56.35264551764239,56.35264551764239	0.9933681213033975	56.35264551764239	0	true	329
33	23	23	16	7552	14880	119040	0	0	60.276497322977775	60.276497322977775	60.276497322977775	60.276497322977775	58.080559924207606,58.62805418335512,58.62805418335512,58.62805418335512,58.62805418335512,58.62805418335512,58.62805418335512,59.44211630025,59.44211630025,59.44211630025,59.44211630025,59.44211630025,59.44211630025,59.44211630025,60.276497322977775,60.276497322977775	0.9930914746931229	60.276497322977775	0	true	168
34	25	25	74	35520	68820	550560	0	0	61.08033355518924	61.08033355518924	61.08033355518924	61.08033355518924	9.549372940355285,10.419285573714058,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,11.080336410326678,61.08033355518924,61.08033355518924	0.9923616218626856	61.08033355518924	0	true	780
35	26	26	2	966	1860	14880	0	0	62.702707883008046	62.702707883008046	62.702707883008046	62.702707883008046	62.702707883008046,62.702707883008046	0.9922360927321776	62.702707883008046	0	true	62
36	28	28	7	3481	6510	52080	0	0	61.70670373661261	61.70670373661261	61.70670373661261	61.70670373661261	-Infinity,-Infinity,-Infinity,61.55704627978788,61.55704627978788,61.70670373661261,61.70670373661261	0.9911454807319727	61.70670373661261	0	true	112
37	29	29	1	469	930	7440	0	0	62.411707680912	62.411707680912	62.411707680912	62.411707680912	62.411707680912	0.9911305663798331	62.411707680912	0	true	46
38	31	31	18	8670	16740	133920	0	0	63.17735689214718	63.17735689214718	63.17735689214718	63.17735689214718	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,63.105239978385875,63.105239978385875,63.12371180753615,63.12371180753615,63.12371180753615,63.17735689214718,63.17735689214718	0.9908148792595463	63.17735689214718	0	true	224
39	32	32	19	9101	17670	141360	0	0	64.84894156151476	64.84894156151476	64.84894156151476	64.84894156151476	64.30094346133697,64.30094346133697,64.30094346133697,64.30094346133697,64.30094346133697,64.30094346133697,64.30094346133697,64.30094346133697,64.30094346133697,64.30094346133697,64.30094346133697,64.30094346133697,64.30094346133697,64.30094346133697,64.30094346133697,64.30094346133697,64.30094346133697,64.84894156151476,64.84894156151476	0.9902695549820514	64.84894156151476	0	true	247
40	33	32	43	20555	39990	319920	0	0	63.516253538951084	63.516253538951084	63.516253538951084	63.516253538951084	60.75235554471505,60.75235554471505,60.75235554471505,62.436327945712016,62.436327945712016,62.436327945712016,62.436327945712016,62.436327945712016,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.26806935774888,63.516253538951084,63.516253538951084	0.9900601326207588	63.516253538951084	0	true	505
41	36	36	12	6114	11160	89280	0	0	64.9819118657687	64.9819118657687	64.9819118657687	64.9819118657687	-Infinity,-Infinity,63.86006265318166,63.86006265318166,63.86006265318166,63.86006265318166,63.86006265318166,63.86006265318166,64.6755740716216,64.6755740716216,64.9819118657687,64.9819118657687	0.9894232386077015	64.9819118657687	0	true	158
42	37	35	6	3031	5580	44640	0	0	64.74158056068705	64.74158056068705	64.74158056068705	64.74158056068705	62.421031572151364,62.421031572151364,64.40590920563577,64.40590920563577,64.74158056068705,64.74158056068705	0.9894315730986026	64.74158056068705	0	true	89
43	41	40	1	549	930	7440	0	0	66.01626408334408	66.01626408334408	66.01626408334408	66.01626408334408	66.01626408334408	0.989055753357557	66.01626408334408	0	true	59
44	46	46	24	14400	22320	178560	0	0	64.48534068126244	64.48534068126244	64.48534068126244	64.48534068126244	59.490215855372625,59.490215855372625,60.28999404012306,60.28999404012306,61.18836085764485,61.18836085764485,61.98772073300505,61.98772073300505,61.98772073300505,61.98772073300505,61.98772073300505,61.98772073300505,63.6854883703253,63.6854883703253,63.6854883703253,63.6854883703253,63.6854883703253,63.6854883703253,63.6854883703253,63.6854883703253,63.6854883703253,63.6854883703253,64.48534068126244,64.48534068126244	0.9875335024601368	64.48534068126244	0	true	360
45	49	48	20	12620	18600	148800	0	0	64.92699650692947	64.92699650692947	64.92699650692947	64.92699650692947	61.64830895347785,61.64830895347785,61.64830895347785,62.44914419867551,62.44914419867551,62.44914419867551,62.44914419867551,62.44914419867551,62.44914419867551,62.44914419867551,63.36815732487028,63.36815732487028,63.36815732487028,63.36815732487028,63.36815732487028,63.36815732487028,64.15164150166878,64.15164150166878,64.92699650692947,64.92699650692947	0.9863366257009379	64.92699650692947	0	true	259
46	50	49	19	12597	17670	141360	0	0	65.06539773050872	65.06539773050872	65.06539773050872	65.06539773050872	11.674607377808455,11.107813277317726,13.107284784494807,13.945242569681623,13.945242569681623,14.227414414793857,14.227414414793857,14.227414414793857,14.227414414793857,14.227414414793857,64.22794070693175,64.22794070693175,64.22794070693175,64.22794070693175,64.22794070693175,64.22794070693175,64.22794070693175,65.06539773050872,65.06539773050872	0.9859773287225563	65.06539773050872	0	true	253
47	51	47	16	10419	14880	119040	0	0	62.906046797511046	62.906046797511046	62.906046797511046	62.906046797511046	-Infinity,-Infinity,58.95557319826972,61.6898118378453,61.6898118378453,61.6898118378453,61.6898118378453,61.6898118378453,61.6898118378453,61.6898118378453,61.6898118378453,61.6898118378453,61.6898118378453,61.6898118378453,62.906046797511046,62.906046797511046	0.9858492042023379	62.906046797511046	0	true	226
48	53	49	40	27005	37200	297600	0	0	63.536784480642055	63.536784480642055	63.536784480642055	63.536784480642055	-Infinity,-Infinity,-Infinity,-Infinity,60.89756821517765,61.43286970027496,62.227437944688724,62.227437944688724,62.227437944688724,62.227437944688724,62.227437944688724,62.486419242164494,62.486419242164494,62.486419242164494,62.486419242164494,62.486419242164494,62.486419242164494,62.486419242164494,62.486419242164494,62.486419242164494,62.486419242164494,62.486419242164494,62.486419242164494,62.486419242164494,62.486419242164494,62.486419242164494,62.67020002103193,62.67020002103193,62.67020002103193,62.67020002103193,62.67020002103193,62.67020002103193,62.67020002103193,62.67020002103193,62.67020002103193,62.67020002103193,62.67020002103193,62.67020002103193,63.536784480642055,63.536784480642055	0.9850328627514058	63.536784480642055	0	true	565
49	55	47	21	14049	19530	156240	0	0	60.52673770161957	60.52673770161957	60.52673770161957	60.52673770161957	39.689609462000334,44.33806717625734,47.307164948355435,47.307164948355435,48.90010430470504,53.017245272729774,53.017245272729774,53.017245272729774,53.017245272729774,53.017245272729774,53.017245272729774,53.017245272729774,53.017245272729774,56.4308044861734,56.4308044861734,56.4308044861734,56.4308044861734,59.114727105159844,59.114727105159844,60.52673770161957,60.52673770161957	0.9846122633991563	60.52673770161957	0	true	282
50	57	50	15	10217	13950	111600	0	0	63.123081650894605	63.123081650894605	63.123081650894605	63.123081650894605	-Infinity,62.53048421391416,62.53048421391416,62.53048421391416,62.53048421391416,62.699298624791304,62.699298624791304,62.986655362230465,63.07760253245397,63.07760253245397,63.07760253245397,63.07760253245397,63.07760253245397,63.123081650894605,63.123081650894605	0.9841362835481537	63.123081650894605	0	true	209
51	59	53	20	14393	18600	148800	0	0	14.559717661308687	14.559717661308687	14.559717661308687	14.559717661308687	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,14.559717661308687,14.559717661308687	0.9839428356277553	14.559717661308687	0	true	368
52	63	59	8	6224	7440	59520	0	0	14.658327065858064	14.658327065858064	14.658327065858064	14.658327065858064	10.743078689330748,12.443101776890437,12.443101776890437,12.957622981244842,12.957622981244842,12.957622981244842,14.658327065858064,14.658327065858064	0.9826491983535725	14.658327065858064	0	true	160
53	65	60	16	12668	14880	119040	0	0	65.56142975499512	65.56142975499512	65.56142975499512	65.56142975499512	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,65.56142975499512,65.56142975499512	0.9821404288607337	65.56142975499512	0	true	305
54	65	60	10	7920	9300	74400	0	0	64.23462624629272	64.23462624629272	64.23462624629272	64.23462624629272	61.70733153821971,61.70733153821971,61.70733153821971,61.70733153821971,61.70733153821971,63.407218262345346,63.407218262345346,63.810422268466276,64.23462624629272,64.23462624629272	0.9818738348162391	64.23462624629272	0	true	222
55	65	58	18	14148	16740	133920	0	0	61.416593609827004	61.416593609827004	61.416593609827004	61.416593609827004	50.853487580379166,50.853487580379166,50.853487580379166,51.652898259446054,51.652898259446054,51.652898259446054,51.652898259446054,51.652898259446054,55.250862395486664,55.250862395486664,57.41688421520105,57.41688421520105,59.35983885384175,60.61636341675427,60.61636341675427,60.61636341675427,61.416593609827004,61.416593609827004	0.9806818929529688	61.416593609827004	0	true	223
