# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 13
# run: 5402c940-c399-4c2c-b9dc-701aff7c6841
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	84600	331848	2654784	0	0	-381.8820364569777	-381.8820364569777	-29.04595221540132	-29.04595221540132	-1169.1462613042215,-1169.1462613042215,-1169.1462613042215,-969.1466886940021,-969.1467332123099,-969.1467332123099,-970.4566566645062,-974.525543797333,-974.5256774136017,-974.5256774136017,-974.5256774136017,-974.5256774136017,-674.6743678786107,-674.6743678786107,-674.6743678786107,-674.6743678786107,-674.6743678786107,-674.6743678786107,-674.6743678786107,-674.6743678786107,-674.6743678786107,-674.6743678786107,-674.6743678786107,-674.6743678786107,-674.6743678786107,-674.6743678786107,-674.6743678786107,-674.6743678786107,-674.6743678786107,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-974.6744887595631,-674.6745588116524,-674.6745588116524,-674.6745588116524,-674.6745588116524,-674.6745588116524,-674.6745588116524,-674.6745588116524,-674.6745588116524,-674.6745588116524,-674.6745588116524,-674.6745588116524,-674.6745588116524,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-883.089991924014,-873.3889910907421,-869.3651440857838,-868.1046976086045,-868.1046976086045,-868.9775581475808,-868.9775581475808,-868.9775581475808,-868.9775581475808,-868.9775581475808,-870.2847248058873,-581.2063555191729,-476.815844133828,-381.8820364569777,-381.8820364569777,-381.8820364569777,-381.8820364569777,-381.8820364569777,-381.8820364569777	0.9960270797844731	-381.8820364569777	5	true	875
26	15	15	100	87400	330660	2645280	0	0	-377.7283660609987	-377.7283660609987	-26.24364008181947	-26.24364008181947	-1167.202194030026,-1167.202194030026,-1167.202194030026,-667.2025266932512,-667.2025612302638,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-667.2026080914912,-472.7426964067955,-472.7426964067955,-472.7426964067955,-472.7426964067955,-472.7426964067955,-472.7426964067955,-472.7426964067955,-377.7283660609987,-377.7283660609987,-377.7283660609987,-377.7283660609987,-377.7283660609987,-377.7283660609987,-377.7283660609987,-377.7283660609987,-377.7283660609987,-377.7283660609987	0.9960270797844731	-377.7283660609987	5	true	290
27	16	16	100	90600	341352	2730816	0	0	-376.7266640550625	-376.7266640550625	-25.104565140031895	-25.104565140031895	-1168.0604818512606,-1168.0604818512606,-1168.0604818512606,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-668.0607970823386,-666.1144095134554,-666.1144095134554,-666.1144095134554,-666.1144095134554,-666.1144095134554,-666.1144095134554,-666.1144095134554,-666.1144095134554,-666.1144095134554,-666.1144095134554,-666.1144095134554,-666.1144095134554,-666.1233500606921,-666.1233500606921,-666.1233500606921,-467.6203059790494,-471.7410590287054,-471.7410590287054,-471.7410590287054,-471.7410590287054,-471.7410590287054,-376.7266640550625,-376.7266640550625,-376.7266640550625,-376.7266640550625,-376.7266640550625,-376.7266640550625,-376.7266640550625,-376.7266640550625,-376.7266640550625,-376.7266640550625,-376.7266640550625	0.9958381646573722	-376.7266640550625	5	true	288
28	16	16	100	92400	340164	2721312	0	0	-Infinity	-212.03368314292726	-Infinity	-58.28707476647413	-666.9578994836511,-666.9578994836511,-666.9578994836511,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-666.9582590366076,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.958363517395,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-616.9586996949126,-618.2467823304147,-618.2467823304147,-518.247302058062,-518.247302058062,-515.1754983697296,-515.1754983697296,-515.1754983697296,-515.1754983697296,-515.1754983697296,-515.1754983697296,-215.17568303078613,-215.17568303078613,-215.17568303078613,-212.03368314292726,-212.03368314292726,-212.03368314292726,-212.03368314292726,-212.0695132932797,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-212.03368314292726	2	true	291
29	17	17	100	94600	350856	2806848	0	0	-663.7797610070917	-363.11297372371297	-23.665745928349036	-7.269909072498752	-663.1128126173156,-663.1128126173156,-663.1128126173156,-363.11297372371297,-663.1129747249606,-663.1129747249606,-663.1129747249606,-663.1129747249606,-663.1130596753836,-663.1130596753836,-663.1130596753836,-663.1130596753836,-663.1130596753836,-663.1130596753836,-663.1130596753836,-663.1130596753836,-663.1130596753836,-663.1130596753836,-663.1130596753836,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-666.694018952718,-663.432938283192,-663.432938283192,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917,-663.7797610070917	0.9952876130456717	-363.11297372371297	3	true	276
30	18	18	100	96800	362340	2898720	0	0	-Infinity	-362.531604426416	-Infinity	-6.683343887594935	-362.531604426416,-362.531604426416,-362.531604426416,-662.5317849944342,-662.5317849944342,-662.5320566462073,-662.5320566462073,-662.5320566462073,-662.5320566462073,-662.5320566462073,-662.5320566462073,-662.5320566462073,-662.5320566462073,-662.5320566462073,-662.5320566462073,-662.5323227967556,-662.5323227967556,-662.5323227967556,-566.0951565193701,-566.0951565193701,-566.0951565193701,-566.0951565193701,-566.0951565193701,-566.0951565193701,-566.0951565193701,-566.0951565193701,-566.0951565193701,-566.0951565193701,-566.0951565193701,-566.0951565193701,-566.0951565193701,-566.0951565193701,-566.0951565193701,-566.0951565193701,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0954193290547,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-516.0957561918624,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952702129681755	-362.531604426416	3	true	304
31	18	18	100	72800	334620	2676960	0	0	-Infinity	-125.87247189274059	-19.098410373560014	-9.786104550339882	-266.898177386714,-266.898177386714,-266.898177386714,-566.8986288880369,-470.93917683818046,-170.939620652953,-170.93964655265623,-470.93969408173365,-470.93969408173365,-470.93969408173365,-470.93969408173365,-470.93969408173365,-470.93969408173365,-475.8721273076119,-475.8721273076119,-475.8721273076119,-475.8721273076119,-375.87241854796326,-375.87241854796326,-375.87241854796326,-375.87241854796326,-375.87241854796326,-375.87241854796326,-375.87241854796326,-375.87241854796326,-375.87241854796326,-325.8725814205996,-325.8725814205996,-325.8725814205996,-325.8725814205996,-325.8725814205996,-325.8725814205996,-325.8725814205996,-425.87283035652723,-425.87283035652723,-425.87283035652723,-425.87283035652723,-425.87283035652723,-425.87283035652723,-331.9408525381633,-331.9408525381633,-331.9408525381633,-331.9408525381633,-331.9408525381633,-331.9408525381633,-331.9408525381633,-331.9408525381633,-331.9408525381633,-331.9408525381633,-331.94082663846007,-331.9409174856965,-331.9409174856965,-331.9409174856965,-331.9409174856965,-331.9409174856965,-331.9409174856965,-331.9409174856965,-331.9409174856965,-331.9409174856965,-331.94066854976893,-331.94066854976893,-331.94066854976893,-325.87264636813285,-325.87264636813285,-325.87264636813285,-325.87264636813285,-325.8726489813227,-325.87281066216934,-325.87281066216934,-325.87281066216934,-325.87281066216934,-325.87281066216934,-325.87281066216934,-325.87281066216934,-325.87281066216934,-325.87281066216934,-325.87281066216934,-325.87281066216934,-325.87281066216934,-125.87247189274059,-125.87247189274059,-125.87247189274059,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9948854007501045	-125.87247189274059	6	true	270
32	18	18	100	74600	333432	2667456	0	0	-Infinity	-74.46471964477364	36.45329667070381	-7.958242609146076	-574.4642320956433,-574.4642320956433,-574.4642320956433,-374.4644975076926,-374.4644975076926,-74.46471964477364,-74.46471964477364,-74.46471964477364,-74.46471964477364,-74.46471964477364,-74.46471964477364,-74.46471964477364,-74.46471964477364,-74.46471964477364,-74.46471964477364,-74.46478640777943,-74.46478640777943,-74.46478640777943,-74.46478640777943,-74.46478640777943,-74.46478640777943,-74.46478640777943,-74.46478640777943,-74.46478640777943,-74.46478640777943,-74.46478640777943,-74.46478640777943,-74.46478640777943,-74.46478640777943,-274.46517256631154,-274.46517256631154,-274.46517256631154,-274.46517256631154,-274.46517256631154,-274.46517256631154,-274.46517256631154,-274.46517256631154,-274.46517256631154,-274.46517256631154,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-280.5334445813695,-274.46517256631154,-274.46517256631154,-274.46517256631154,-380.2670180814797,-380.2670180814797,-380.2670180814797,-380.2670180814797,-380.26712404733536,-380.26712404733536,-380.26712404733536,-274.4652785321672,-274.4652785321672,-274.4652785321672,-274.4652785321672,-278.4983482563708,-283.1162075669103,-283.1162075669103,-74.4648923736351,-74.4648923736351,-74.4648923736351,-74.4648923736351,-74.4648923736351,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9947478816502295	-74.46471964477364	6	true	285
33	21	21	100	77200	363528	2908224	0	0	-Infinity	-169.0046741613164	-16.799325796832008	43.05111324127364	-573.6202944510868,-573.6202944510868,-573.6202944510868,-573.620320391178,-573.620320391178,-273.62043071923546,-273.62043071923546,-273.62043071923546,-273.62043071923546,-273.62043071923546,-273.62053278504294,-273.62053278504294,-273.62053278504294,-273.62053278504294,-273.62053278504294,-273.62053278504294,-273.62053278504294,-273.62053278504294,-273.62053278504294,-273.62053278504294,-273.62064835386747,-273.62064835386747,-273.62064835386747,-273.62064835386747,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-479.68938894416846,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62105673695373,-473.62109868998454,-473.62109868998454,-469.0047256686882,-169.0046741613164,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9937941673185605	-169.0046741613164	5	true	328
34	23	23	100	78200	380952	3047616	0	0	-Infinity	29.74471827032732	28.954759099156778	43.54073421220704	-270.25420892234746,-270.25420892234746,-270.25420892234746,-470.25464561384484,-470.25464561384484,-70.25478641824188,-470.2548348656241,-470.2548348656241,-470.2548348656241,-470.2548348656241,-470.2548348656241,-470.2548348656241,-470.2548348656241,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.25508622399053,-370.2554626256562,-370.2554626256562,-370.2554626256562,-370.2554626256562,-370.2554626256562,-370.2554626256562,-370.2554626256562,-370.2554626256562,-370.2554626256562,-370.2554626256562,-370.2554626256562,-370.2554626256562,-370.2554626256562,-370.2554626256562,29.74471827032732,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9931903919404012	29.74471827032732	5	true	321
