# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 27
# run: 56661672-e661-484e-899a-05bd2bea5f28
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	77800	533016	4264128	0	0	-414.4503787832632	-414.4503787832632	-8.043839929433858	-8.043839929433858	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-870.0507071872648,-870.0507071872648,-870.0507071872648,-870.0507071872648,-1470.050826713311,-1470.050826713311,-1470.050826713311,-1470.050826713311,-1470.050816390093,-1470.050816390093,-1470.050816390093,-1470.050816390093,-1470.050816390093,-1470.050816390093,-970.0509634688633,-970.0509634688633,-970.0509634688633,-770.0510492890095,-770.0510492890095,-770.0510492890095,-770.0510492890095,-770.0510492890095,-770.0510492890095,-770.0510492890095,-770.0510492890095,-770.0510492890095,-770.0510492890095,-770.0510492890095,-770.0510492890095,-770.0510492890095,-770.0510492890095,-770.0510492890095,-770.0510492890095,-770.0510492890095,-871.7253485207219,-871.7253485207219,-975.1878149244218,-975.1878149244218,-975.1878149244218,-975.1878149244218,-975.1878149244218,-975.1878149244218,-970.0870607771546,-970.0870607771546,-965.4783940959462,-965.4783940959462,-963.4779334786681,-963.4779334786681,-963.4779334786681,-963.4779334786681,-963.4779334786681,-963.4779334786681,-963.4779817969578,-963.4779817969578,-963.4779817969578,-963.4779817969578,-963.4779817969578,-968.4030013720184,-982.3513984297814,-982.3513984297814,-787.6118974046782,-600.1976441620288,-507.13566483008196,-414.4503787832632,-414.4503787832632,-414.4503787832632,-414.4503787832632,-414.4503787832632	0.9960270797844731	-414.4503787832632	13	true	1030
26	16	16	100	83200	545886	4367088	0	0	-408.84524655301186	-374.9257969600666	-49.288954941769234	-47.46572885803487	-Infinity,-Infinity,-Infinity,-Infinity,-966.4411614210871,-966.4411614210871,-966.4411614210871,-766.4413438309917,-766.4413438309917,-766.4413438309917,-766.4413438309917,-766.4413438309917,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4416326127564,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-766.4418296909073,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-970.8833663434629,-374.9257969600666,-379.19596876433053,-394.75402208274033,-394.75402208274033,-394.75402208274033,-394.75402208274033,-401.6111308160192,-408.84524655301186,-408.84524655301186,-408.84524655301186,-408.84524655301186,-408.84524655301186,-408.84524655301186,-408.84524655301186,-408.84524655301186	0.9958381646573722	-374.9257969600666	8	true	705
27	16	16	100	85000	543708	4349664	0	0	-371.13086708767486	-168.25487094768383	-46.86329712222296	3.349886227421771	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-768.2545532283388,-168.25487094768383,-168.25487094768383,-168.25487094768383,-168.25487094768383,-168.25487094768383,-168.25487094768383,-168.25487094768383,-168.25487094768383,-168.25487094768383,-168.25487094768383,-270.73078433261867,-375.7096382000464,-375.7096382000464,-375.7096382000464,-375.7096382000464,-375.7096382000464,-375.7096382000464,-375.7096382000464,-375.7096382000464,-375.7096382000464,-375.7096382000464,-375.7096382000464,-375.7096382000464,-375.7096382000464,-375.7096382000464,-375.7096382000464,-375.7096382000464,-375.7096382000464,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486,-371.13086708767486	0.9954268136656409	-168.25487094768383	8	true	697
28	18	18	100	80600	564102	4512816	0	0	-170.71213130546948	-162.63112556345692	55.755796075333556	4.224903347914929	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-362.6308830443381,-362.6308830443381,-362.6308830443381,-362.6308830443381,-362.6308830443381,-362.6308830443381,-362.6308830443381,-362.6308830443381,-362.6308830443381,-362.6308830443381,-362.6308830443381,-362.6308830443381,-362.6308830443381,-362.6308830443381,-362.6308830443381,-162.63112556345692,-162.63112556345692,-162.63112556345692,-162.63112556345692,-162.63112556345692,-162.63112556345692,-162.63112556345692,-162.63112556345692,-162.63112556345692,-162.63112556345692,-162.63112556345692,-162.63112556345692,-163.53278612378548,-163.53278612378548,-163.53278612378548,-163.53278612378548,-163.53278612378548,-163.53278612378548,-163.53278612378548,-163.53278612378548,-163.53278612378548,-163.53278612378548,-171.04193549688938,-171.04193549688938,-171.04193549688938,-171.04193549688938,-171.04193549688938,-167.9602851273015,-167.9602851273015,-167.9602851273015,-167.9602851273015,-165.9728723862986,-165.9728723862986,-165.9728723862986,-165.9728723862986,-165.9728723862986,-165.9728723862986,-165.9728723862986,-165.9728723862986,-165.9728723862986,-264.4644933478374,-264.4644933478374,-364.98152584248857,-364.98152584248857,-364.98152584248857,-364.98152584248857,-364.98152584248857,-374.73889194352887,-374.73889194352887,-374.73889194352887,-374.73889194352887,-370.712074980123,-370.712074980123,-370.712074980123,-370.712074980123,-370.712074980123,-370.712074980123,-370.712074980123,-370.712074980123,-370.712074980123,-370.712074980123,-370.712074980123,-370.712074980123,-370.712074980123,-370.712074980123,-370.712074980123,-170.71213130546948,-170.71213130546948,-170.71213130546948,-170.71213130546948,-170.71213130546948,-170.71213130546948,-170.71213130546948,-170.71213130546948,-170.71213130546948	0.9952702129681755	-162.63112556345692	6	true	538
29	18	18	100	78800	552816	4422528	0	0	-776.1229653876422	-362.45333577155003	52.8202859268121	54.47189513246194	-562.4529258603595,-562.4529258603595,-562.4529258603595,-362.45333577155003,-562.4533470508036,-562.4533470508036,-562.4533470508036,-557.2637607768282,-559.3174031352639,-559.3174031352639,-559.3174031352639,-559.3174031352639,-559.3174031352639,-559.3174031352639,-559.3174031352639,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-562.8270611915904,-362.82723132832274,-362.82723132832274,-362.82723132832274,-362.82723132832274,-362.82723132832274,-362.82723132832274,-362.82723132832274,-362.82723132832274,-362.82723132832274,-362.82723132832274,-362.82723132832274,-362.82723132832274,-362.82723132832274,-362.82723132832274,-362.82723132832274,-362.82723132832274,-562.827496895906,-661.7646600726785,-661.7646600726785,-661.7646600726785,-661.7646600726785,-762.9001386973606,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-970.8968093041129,-967.7946181607919,-967.7946181607919,-967.7946181607919,-966.3245154106985,-966.3245154106985,-969.5789236200345,-969.5789236200345,-969.5789236200345,-969.5789236200345,-969.5789236200345,-969.5789236200345,-969.5789236200345,-969.5789236200345,-769.5790473412164,-769.5790473412164,-769.5790473412164,-769.5790473412164,-769.5790473412164,-775.3589933015043,-776.1229653876422,-776.1229653876422,-776.1229653876422	0.9952147228050682	-362.45333577155003	7	true	625
30	18	18	100	77200	519156	4153248	0	0	-Infinity	-4.025695809138506	-21.070251169240194	47.23857771811711	-171.65159663407633,-171.65159663407633,-171.65159663407633,-171.65169716946315,-171.65169716946315,-171.65177341378933,-171.65177341378933,-171.65208848487498,-171.65208848487498,-171.65224289763572,-171.65224289763572,-189.24765478664966,-189.24765478664966,-189.24765478664966,-196.46040921252327,-204.02508649113105,-204.02531252596685,-204.02531252596685,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-4.025695809138506,-209.8981307127131,-209.8981307127131,-209.8981307127131,-209.8981307127131,-209.8981307127131,-209.8981307127131,-209.8981307127131,-215.78960237776852,-215.30727458086167,-206.92506569928003,-206.92548020602408,-206.92548020602408,-206.92548020602408,-206.92548020602408,-206.92548020602408,-206.92548020602408,-206.92548020602408,-206.92548020602408,-206.92548020602408,-206.92548020602408,-206.92548020602408,-183.66725620744506,-183.66725620744506,-179.67736566945212,-179.67736566945212,-179.67736566945212,-179.67736566945212,-179.67736566945212,-179.67736566945212,-179.67736566945212,-179.67739328114436,-179.67739328114436,-179.67739328114436,-179.67739328114436,-179.67739328114436,-179.67739328114436,-179.67739328114436,-179.67739328114436,-179.67739328114436,-179.67739328114436,-179.67739328114436,-171.58290038492487,-171.58290038492487,-171.58290038492487,-171.58290038492487,-171.58290038492487,-171.58290038492487,-171.83776905658118,-171.83776905658118,-171.83776905658118,-171.83776905658118,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9947478816502295	-4.025695809138506	13	true	566
31	19	19	100	72400	510642	4085136	0	0	19.317130292007718	38.43848373335368	52.57277772143492	50.21418800359883	-186.8195717617021,-186.8195717617021,-186.8195717617021,-186.8195717617021,-186.8195717617021,-186.81962928843396,-186.81962928843396,13.180174946098637,13.180174946098637,13.180174946098637,13.180174946098637,13.180072140392175,13.180072140392175,13.180072140392175,13.180072140392175,13.180072140392175,13.180072140392175,13.17997850345474,13.17997850345474,13.17997850345474,13.17997850345474,13.17997850345474,13.17997850345474,13.17997850345474,13.17997850345474,13.17997850345474,13.17997850345474,13.17997850345474,13.17997850345474,13.17997850345474,13.17997850345474,13.179814040283992,13.179814040283992,13.179814040283992,13.179814040283992,13.179814040283992,13.179814040283992,13.179814040283992,15.246024136178965,15.246024136178965,15.246024136178965,15.246024136178965,15.246024136178965,15.246024136178965,15.246024136178965,15.246024136178965,18.459644879250707,20.871760339090514,20.871760339090514,20.871760339090514,20.871760339090514,20.871760339090514,20.871760339090514,20.871760339090514,20.871760339090514,20.871760339090514,20.871760339090514,20.871760339090514,20.871760339090514,23.23448310999799,26.736177219118417,26.736177219118417,26.736177219118417,24.471254701095006,24.539882684688394,24.539882684688394,24.539882684688394,24.539882684688394,24.539882684688394,24.539882684688394,24.539882684688394,24.539882684688394,24.539882684688394,24.539882684688394,24.539882684688394,24.539882684688394,24.539882684688394,24.539882684688394,24.539882684688394,24.539882684688394,24.539882684688394,26.912866548811067,26.912866548811067,26.912866548811067,30.965936198316008,30.965936198316008,34.99998247288489,38.43848373335368,38.43848373335368,38.43848373335368,37.18406534328947,33.10954971397062,33.10954971397062,33.10954971397062,33.10932930256736,33.10932930256736,30.57759186138748,30.57759186138748,19.317130292007718,19.317130292007718	0.9941695118474059	38.43848373335368	7	true	472
32	22	22	100	83082	536580	4292640	0	0	-163.4396108608897	25.643982220572322	54.771712789790186	54.119767966039234	24.294937065856864,24.294937065856864,24.294937065856864,24.294935950803854,24.294935950803854,24.294854608444503,24.294854608444503,24.294854608444503,24.294854608444503,24.294794974730955,24.294794974730955,24.294794974730955,24.29470062843351,24.29470062843351,24.29470062843351,24.29470062843351,24.366004411965996,24.366004411965996,23.992466150769076,22.436141667906902,22.436141667906902,22.436141667906902,22.436127745115037,22.436127745115037,22.436127745115037,22.436127745115037,22.436127745115037,22.436127745115037,22.436127745115037,24.96779479492331,24.96779479492331,24.96779479492331,24.96779479492331,24.96779479492331,24.96779479492331,16.189055657223324,16.189055657223324,16.189055657223324,16.189055657223324,16.189055657223324,16.189055657223324,16.189055657223324,16.189055657223324,16.189055657223324,16.189055657223324,16.189055657223324,16.189055657223324,14.130076128686003,14.130076128686003,14.459329027912677,14.459329027912677,14.458938187478584,14.458938187478584,14.458938187478584,19.70577577885324,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,23.237677325178584,25.643982220572322,5.18493126286652,5.18493126286652,5.18493126286652,5.18493126286652,5.18493126286652,5.18493126286652,5.18493126286652,10.356223832174855,10.356223832174855,10.356223832174855,10.356223832174855,10.356223832174855,-169.24935797202463,-163.17744417742975,-163.17744417742975,-163.4396108608897	0.9933681213033975	25.643982220572322	8	true	545
33	23	23	100	84276	552024	4416192	0	0	-171.87616986580937	30.90102569147761	53.64615508864415	53.9608289966876	-175.1108965134693,-175.1108965134693,-175.1108965134693,24.889099385798318,24.88908157822452,24.8889110266836,24.888853940226824,24.888853940226824,24.888853940226824,24.888853940226824,24.888853940226824,24.888853940226824,24.888853940226824,24.888853940226824,24.888853940226824,24.888853940226824,24.875608872387225,24.628861156485705,24.628861156485705,23.028487498686637,23.028487498686637,23.028487498686637,23.028487339672274,25.8328338181086,25.8328338181086,25.8328338181086,27.591773697360853,27.591773697360853,27.591773697360853,27.591773697360853,27.591773697360853,27.591773697360853,27.591773697360853,27.591773697360853,27.591773697360853,27.591773697360853,27.591773697360853,27.591773697360853,27.591437596542182,27.591437596542182,27.591437596542182,27.591437596542182,27.591437596542182,27.591437596542182,27.591437596542182,26.73188429688037,25.86485050075581,25.86485050075581,25.86485050075581,25.86485050075581,25.86485050075581,25.86485050075581,25.86485050075581,25.86485050075581,25.86485050075581,25.86485050075581,25.86485050075581,25.86485050075581,25.86485050075581,25.86485050075581,25.86485050075581,25.86485050075581,25.86485050075581,28.594314584015844,28.594314584015844,28.594314584015844,28.594314584015844,28.594314584015844,28.594314584015844,28.594314584015844,28.594314584015844,28.594314584015844,28.594314584015844,28.594314584015844,28.594314584015844,28.594314584015844,28.594314584015844,28.594314584015844,26.791680057697146,26.791680057697146,26.791680057697146,26.791680057697146,26.791680057697146,26.791680057697146,26.791680057697146,26.791680057697146,26.791680057697146,26.791680057697146,26.791680057697146,26.791680057697146,26.791680057697146,30.90102569147761,-163.17927920537224,-163.17927920537224,-163.17927920537224,-160.73347767188574,-166.71669639257217,-171.87616986580937,-171.87616986580937,-171.87616986580937	0.9930914746931229	30.90102569147761	7	true	593
34	26	26	100	94932	580536	4644288	0	0	46.11052600236708	46.11052600236708	59.73276118420192	59.73276118420192	-172.18055293386283,-172.18055293386283,-172.18055293386283,27.8194209221568,27.819342194871943,27.819342194871943,27.819342194871943,27.819342194871943,27.819342194871943,27.819342194871943,27.819342194871943,27.819342194871943,27.819342194871943,27.819342194871943,27.819342194871943,27.819342194871943,27.85351427155097,27.85351427155097,27.85351427155097,27.85351427155097,27.85351427155097,30.785960172965122,30.785960172965122,30.785772734974646,30.785772734974646,30.785772734974646,30.785772734974646,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,27.89791669984422,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,28.910467973072212,30.544122001258284,31.985127242285028,31.985127242285028,31.985127242285028,31.985127242285028,31.985127242285028,31.985127242285028,31.985127242285028,31.985127242285028,31.985127242285028,31.985127242285028,31.985127242285028,31.985127242285028,31.985127242285028,31.985127242285028,31.985127242285028,31.985127242285028,35.41834884680924,36.29472359798983,36.29472359798983,27.20073733983915,32.79102200970875,36.66197068549006,36.66197068549006,41.6577482332314,41.6577482332314,41.6577482332314,41.6577482332314,44.71055031164226,46.11052600236708	0.9922323641441428	46.11052600236708	3	true	598
