# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 4
# run: 57d71a69-735d-47fb-9191-70ac9dc172e4
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	175230	1401840	0	0	-1163.2193283218598	-1163.2193283218598	-1163.2193283218598	-1163.2193283218598	-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1523231524502,-1167.1847907500437,-1167.1847907500437,-1167.1847907500437,-1167.1847907500437,-1167.1847907500437,-1167.1847907500437,-1167.1847907500437,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1167.209040700756,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1165.2187512367227,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598,-1163.2193283218598	0.9960270797844731	-1163.2193283218598	0	true	811
26	15	15	100	53200	174240	1393920	0	0	-1158.5949446759596	-1158.5949446759596	-1158.5949446759596	-1158.5949446759596	-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596,-1158.5949446759596	0.9960270797844731	-1158.5949446759596	0	true	266
27	16	16	100	51600	174240	1393920	0	0	-1157.977981767754	-1157.977981767754	-1157.977981767754	-1157.977981767754	-1159.9528573377877,-1159.9528573377877,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754,-1157.977981767754	0.9955956967707507	-1157.977981767754	0	true	178
28	16	16	100	51400	173250	1386000	0	0	-1156.3834042273456	-1156.3834042273456	-1156.3834042273456	-1156.3834042273456	-1158.2949058840393,-1158.2949058840393,-1158.2949058840393,-1158.2949058840393,-1158.2949058840393,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456,-1156.3834042273456	0.9954268136656409	-1156.3834042273456	0	true	174
29	18	18	100	50000	177210	1417680	0	0	-1155.7674468060193	-1155.7674468060193	-1155.7674468060193	-1155.7674468060193	-1157.6613523489525,-1157.6613523489525,-1157.6613523489525,-1157.6613523489525,-1157.6613523489525,-1157.6613523489525,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193,-1155.7674468060193	0.9952702129681755	-1155.7674468060193	0	true	174
30	18	18	100	49800	176220	1409760	0	0	-1155.753825370831	-1155.753825370831	-1155.753825370831	-1155.753825370831	-1160.9283939939141,-1160.9283939939141,-1160.9283939939141,-1160.9283939939141,-1160.9283939939141,-1160.9283939939141,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831,-1155.753825370831	0.995024126157873	-1155.753825370831	0	true	182
31	18	18	100	48000	172260	1378080	0	0	-1156.2196242722182	-1156.2196242722182	-1156.2196242722182	-1156.2196242722182	-1157.6344883592521,-1157.6344883592521,-1157.6344883592521,-1157.6344883592521,-1157.6505551588673,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1157.72644224403,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182,-1156.2196242722182	0.9947478816502295	-1156.2196242722182	0	true	190
32	20	20	100	48176	175230	1401840	0	0	-1155.0886246850077	-1155.0886246850077	-1155.0886246850077	-1155.0886246850077	-1156.6953164140737,-1156.6953164140737,-1156.6953164140737,-1156.6953164140737,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1156.7106560257046,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077,-1155.0886246850077	0.9943563799065661	-1155.0886246850077	0	true	168
33	23	23	100	48685	183150	1465200	0	0	-1155.4728419786632	-1155.4728419786632	-1155.4728419786632	-1155.4728419786632	-1159.309574261175,-1159.309574261175,-1159.309574261175,-1159.309574261175,-1159.325255410022,-1159.325255410022,-1159.325255410022,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1157.4296299452565,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632,-1155.4728419786632	0.9931903919404012	-1155.4728419786632	0	true	177
34	23	23	100	48772	182160	1457280	0	0	-1153.995510070219	-1153.995510070219	-1153.995510070219	-1153.995510070219	-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219,-1153.995510070219	0.9931903919404012	-1153.995510070219	0	true	176
