# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 20
# run: 58f42bea-ea57-44e9-b862-74e1c524641d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	26	6935	23712	189696	0	0	-2093.286506269403	-2093.286506269403	-2093.286506269403	-2093.286506269403	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2093.286506269403,-2093.286506269403	0.9966555661970596	-2093.286506269403	2	true	447
26	15	15	33	8647	30096	240768	0	0	-2037.5813278576043	-2037.5813278576043	-2037.5813278576043	-2037.5813278576043	-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2038.4193076356835,-2037.5813278576043,-2037.5813278576043	0.9960270797844731	-2037.5813278576043	2	true	126
27	15	15	5	1276	4560	36480	0	0	-2034.8179600383476	-2034.8179600383476	-2034.8179600383476	-2034.8179600383476	-Infinity,-Infinity,-Infinity,-2034.8179600383476,-2034.8179600383476	0.9960270797844731	-2034.8179600383476	2	true	48
28	15	15	7	1721	6384	51072	0	0	-2032.730689471695	-2032.730689471695	-2032.730689471695	-2032.730689471695	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2032.730689471695,-2032.730689471695	0.9960270797844731	-2032.730689471695	2	true	46
29	16	16	12	2813	10944	87552	0	0	-1138.4768234788037	-1138.4768234788037	-1138.4768234788037	-1138.4768234788037	-Infinity,-Infinity,-Infinity,-Infinity,-1140.6849018943285,-1138.4864613679233,-1138.4864613679233,-1138.4864613679233,-1138.4864613679233,-1138.4864613679233,-1138.4768234788037,-1138.4768234788037	0.9956367112391343	-1138.4768234788037	2	true	44
30	16	16	14	3151	12768	102144	0	0	-1135.1589368420746	-1135.1589368420746	-1135.1589368420746	-1135.1589368420746	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1136.7586360903624,-1135.999347009438,-1135.999347009438,-1135.999347009438,-1135.999347009438,-1135.1589368420746,-1135.1589368420746	0.9954268136656409	-1135.1589368420746	1	true	42
31	17	17	20	4320	18240	145920	0	0	-1130.8954400119594	-1130.8954400119594	-1130.8954400119594	-1130.8954400119594	-1231.6691301381036,-1181.6691431256904,-1181.6691431256904,-1181.6691431256904,-1184.2950909148271,-1188.1431479347439,-1188.1431479347439,-1186.09054956616,-1133.6185450515604,-1134.2400642816713,-1132.6372819070618,-1132.6372819070618,-1132.6372819070618,-1132.6372819070618,-1132.6372819070618,-1132.6372819070618,-1132.6372819070618,-1132.6372819070618,-1130.8954400119594,-1130.8954400119594	0.9952876130456717	-1130.8954400119594	0	true	47
32	18	18	10	2054	9120	72960	0	0	-1130.7399665310686	-1130.7399665310686	-1130.7399665310686	-1130.7399665310686	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1130.7399665310686,-1130.7399665310686	0.9949686359947655	-1130.7399665310686	0	true	42
33	18	17	46	9200	41952	335616	0	0	-839.7050567812996	-839.7050567812996	-839.7050567812996	-839.7050567812996	-1036.5229356683376,-1036.5041862334826,-1036.5041862334826,-1036.5041862334826,-1036.5041862334826,-1036.5041862334826,-1036.5041862334826,-1036.5041862334826,-939.8074886202073,-939.8074886202073,-939.8074886202073,-939.8074886202073,-939.8074886202073,-939.8074886202073,-939.8074886202073,-939.8074886202073,-939.8074886202073,-939.8074886202073,-939.8074886202073,-939.8074886202073,-939.8074886202073,-939.8074886202073,-939.8074886202073,-939.9260847218044,-939.9260847218044,-939.3072242016186,-939.3072242016186,-939.3072242016186,-939.3072242016186,-939.3072242016186,-939.3072242016186,-939.3072242016186,-939.3072242016186,-939.1869466999069,-839.7601700634464,-839.7601700634464,-839.7601700634464,-839.7601700634464,-839.7601700634464,-839.7601700634464,-839.7601700634464,-839.7601700634464,-839.7601700634464,-839.7601700634464,-839.7050567812996,-839.7050567812996	0.9949021793962614	-839.7050567812996	2	true	60
34	18	18	4	792	3648	29184	0	0	-837.9103143720428	-837.9103143720428	-837.9103143720428	-837.9103143720428	-840.3996018308347,-839.7106726316098,-837.9103143720428,-837.9103143720428	0.9943932271294993	-837.9103143720428	0	true	32
