# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 11
# run: 5ae0532f-729c-47b7-8f92-775b96f6d23a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	175230	1401840	0	0	-1163.2184042805955	-1163.2184042805955	-1163.2184042805955	-1163.2184042805955	-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1169.1469489790277,-1167.1544920153517,-1167.1544920153517,-1167.1544920153517,-1167.1544920153517,-1167.1544920153517,-1167.1544920153517,-1167.1544920153517,-1167.1544920153517,-1167.1544920153517,-1167.1544920153517,-1167.1853944258335,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1165.2094178447448,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955,-1163.2184042805955	0.9960270797844731	-1163.2184042805955	0	true	787
26	15	15	100	53200	174240	1393920	0	0	-1158.5829652362354	-1158.5829652362354	-1158.5829652362354	-1158.5829652362354	-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354,-1158.5829652362354	0.9960270797844731	-1158.5829652362354	0	true	415
27	16	16	100	51600	174240	1393920	0	0	-1157.9112734431035	-1157.9112734431035	-1157.9112734431035	-1157.9112734431035	-1159.8893828067742,-1159.8893828067742,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035,-1157.9112734431035	0.995805594344244	-1157.9112734431035	0	true	204
28	16	16	100	51400	173250	1386000	0	0	-1156.3504249988457	-1156.3504249988457	-1156.3504249988457	-1156.3504249988457	-1158.2849222771956,-1158.2849222771956,-1158.2849222771956,-1158.2849222771956,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457,-1156.3504249988457	0.9955956967707507	-1156.3504249988457	0	true	190
29	17	17	100	50000	174240	1393920	0	0	-1155.7724270289443	-1155.7724270289443	-1155.7724270289443	-1155.7724270289443	-1157.6630759071024,-1157.6630759071024,-1157.6630759071024,-1157.6630759071024,-1157.6630759071024,-1157.6630759071024,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443,-1155.7724270289443	0.9952876130456717	-1155.7724270289443	0	true	278
30	18	18	87	43326	153080	1224640	0	0	-1155.1376042023187	-1155.1376042023187	-1155.1376042023187	-1155.1376042023187	-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187,-1155.1376042023187	0.9952702129681755	-1155.1376042023187	0	true	173
31	18	18	100	48114	172260	1378080	0	0	-1156.7527596095035	-1156.7527596095035	-1156.7527596095035	-1156.7527596095035	-1166.6409632242712,-1166.6409632242712,-1163.3629784246625,-1163.3629784246625,-1163.3790397144069,-1163.4567382756788,-1163.4567382756788,-1163.4567382756788,-1163.4567382756788,-1163.4567382756788,-1163.4567382756788,-1163.4567382756788,-1163.4567382756788,-1163.4567382756788,-1163.4567382756788,-1163.4567382756788,-1163.4567382756788,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1158.280618218814,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035,-1156.7527596095035	0.9947478816502295	-1156.7527596095035	0	true	172
32	19	19	100	48322	172260	1378080	0	0	-1154.9978122864472	-1154.9978122864472	-1154.9978122864472	-1154.9978122864472	-1156.6053652862859,-1156.6053652862859,-1156.6053652862859,-1156.6053652862859,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1156.6202011567357,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472,-1154.9978122864472	0.994524166368136	-1154.9978122864472	0	true	182
33	22	22	100	48902	180180	1441440	0	0	-1154.4060466670094	-1154.4060466670094	-1154.4060466670094	-1154.4060466670094	-1156.285844801154,-1156.285844801154,-1156.285844801154,-1156.285844801154,-1156.301477324049,-1156.301477324049,-1156.301477324049,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094,-1154.4060466670094	0.993745695674107	-1154.4060466670094	0	true	202
34	23	22	100	49034	179190	1433520	0	0	-1156.2155749506596	-1156.2155749506596	-1156.2155749506596	-1156.2155749506596	-1161.726056483007,-1161.726056483007,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1159.7462473190797,-1158.172694561701,-1158.172694561701,-1158.172694561701,-1158.172694561701,-1158.172694561701,-1158.172694561701,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596,-1156.2155749506596	0.9932403988858102	-1156.2155749506596	0	true	211
