# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 15
# run: 5bd1da03-1281-41b0-99e7-92889f2bb5c4
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	24	12995	41328	330624	0	0	-93.36624671414586	-93.36624671414586	-93.36624671414586	-93.36624671414586	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-97.2259442381492,-95.3410375951409,-93.36624671414586,-93.36624671414586	0.995805594344244	-93.36624671414586	0	true	957
26	16	16	2	978	3444	27552	0	0	-86.86725868716788	-86.86725868716788	-86.86725868716788	-86.86725868716788	-86.86725868716788,-86.86725868716788	0.9955956967707507	-86.86725868716788	0	true	186
27	17	17	7	3370	12054	96432	0	0	-82.5913901580478	-82.5913901580478	-82.5913901580478	-82.5913901580478	-Infinity,-Infinity,-83.56570760642529,-83.56570760642529,-83.56570760642529,-82.5913901580478,-82.5913901580478	0.9952876130456717	-82.5913901580478	0	true	267
28	18	18	17	8436	29274	234192	0	0	-32.66589695239864	-32.66589695239864	-32.66589695239864	-32.66589695239864	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-32.66589695239864,-32.66589695239864	0.995024126157873	-32.66589695239864	0	true	500
29	19	19	18	9041	30996	247968	0	0	-134.46404010493765	-134.46404010493765	-134.46404010493765	-134.46404010493765	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-134.46404010493765,-134.46404010493765	0.994524166368136	-134.46404010493765	0	true	564
30	20	20	9	4554	15498	123984	0	0	-181.07883689296256	-181.07883689296256	-181.07883689296256	-181.07883689296256	-Infinity,-Infinity,-181.88236594765206,-181.87337967618103,-181.87337967618103,-181.87337967618103,-181.87337967618103,-181.07883689296256,-181.07883689296256	0.9943563799065661	-181.07883689296256	0	true	195
31	23	23	34	15935	58548	468384	0	0	-129.8651995465913	-129.8651995465913	-129.8651995465913	-129.8651995465913	-Infinity,-Infinity,-182.0469793996055,-181.26733370025877,-181.26733370025877,-181.17012086851457,-179.96007470652646,-179.96007470652646,-179.96007470652646,-179.96007470652646,-179.96007470652646,-179.96007470652646,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-179.86574223380705,-129.8651995465913,-129.8651995465913	0.9931903919404012	-129.8651995465913	0	true	651
32	23	23	1	475	1722	13776	0	0	-128.60489092826865	-128.60489092826865	-128.60489092826865	-128.60489092826865	-128.60489092826865	0.99312042608257	-128.60489092826865	0	true	76
33	26	26	9	4437	15498	123984	0	0	-125.84900566498094	-125.84900566498094	-125.84900566498094	-125.84900566498094	-131.90877383921332,-128.3899431261211,-128.0997073475814,-128.0997073475814,-126.80231127549872,-126.80231127549872,-126.80231127549872,-125.84900566498094,-125.84900566498094	0.9923157090531579	-125.84900566498094	0	true	226
34	27	27	16	7681	27552	220416	0	0	-126.2379631272642	-126.2379631272642	-126.2379631272642	-126.2379631272642	-127.2037856659846,-127.2037856659846,-127.2037856659846,-127.2037856659846,-127.2037856659846,-127.2037856659846,-127.2037856659846,-127.2037856659846,-127.2037856659846,-127.2037856659846,-127.2037856659846,-127.2037856659846,-127.2037856659846,-127.2037856659846,-126.2379631272642,-126.2379631272642	0.9916600258807873	-126.2379631272642	0	true	408
35	28	28	19	9597	32718	261744	0	0	-23.8762461180035	-23.8762461180035	-23.8762461180035	-23.8762461180035	-25.627186107113197,-25.627186107113197,-25.627186107113197,-25.627186107113197,-25.627186107113197,-25.627186107113197,-25.627186107113197,-25.627186107113197,-25.627186107113197,-25.627186107113197,-25.627186107113197,-24.827293921344655,-24.827293921344655,-24.827293921344655,-24.827293921344655,-24.827293921344655,-24.66377405329076,-23.8762461180035,-23.8762461180035	0.9911454807319727	-23.8762461180035	0	true	496
36	29	28	10	5019	17220	137760	0	0	-23.31538319759197	-23.31538319759197	-23.31538319759197	-23.31538319759197	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-23.31538319759197,-23.31538319759197	0.9910046717014789	-23.31538319759197	0	true	324
37	31	31	23	11868	39606	316848	0	0	-18.05399387043989	-18.05399387043989	-18.05399387043989	-18.05399387043989	-21.51400471227619,-21.51400471227619,-21.51400471227619,-21.51400471227619,-21.51400471227619,-20.61614211664049,-20.61614211664049,-20.61614211664049,-20.61614211664049,-20.61614211664049,-20.61614211664049,-19.7404913466247,-19.0418371256444,-19.0418371256444,-18.333474978697204,-18.333474978697204,-18.333474978697204,-18.333474978697204,-18.333474978697204,-18.333474978697204,-18.333474978697204,-18.05399387043989,-18.05399387043989	0.9907862934179454	-18.05399387043989	0	true	574
38	31	29	11	5410	18942	151536	0	0	29.372947972490014	29.372947972490014	29.372947972490014	29.372947972490014	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-71.69555575020658,28.894020656835096,29.299990688194427,29.372947972490014,29.372947972490014	0.9904583969995832	29.372947972490014	0	true	213
39	32	31	10	4980	17220	137760	0	0	33.36770407641937	33.36770407641937	33.36770407641937	33.36770407641937	32.133999029079696,32.133999029079696,32.93720619778677,32.93720619778677,32.93720619778677,33.25470577113875,33.25470577113875,33.25470577113875,33.36770407641937,33.36770407641937	0.990018898823667	33.36770407641937	0	true	189
40	34	34	12	5783	20664	165312	0	0	35.09362190042403	35.09362190042403	35.09362190042403	35.09362190042403	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,35.09362190042403,35.09362190042403	0.989897939041241	35.09362190042403	0	true	552
41	36	36	17	8279	29274	234192	0	0	32.64317720403032	32.64317720403032	32.64317720403032	32.64317720403032	28.893825168732175,30.541117510034145,30.541117510034145,30.541117510034145,30.541117510034145,30.541117510034145,31.356079281631562,31.356079281631562,31.600603801547923,32.400834524445244,32.400834524445244,32.400834524445244,32.400834524445244,32.400834524445244,32.400834524445244,32.64317720403032,32.64317720403032	0.9890658790329063	32.64317720403032	0	true	276
42	40	39	24	12227	41328	330624	0	0	34.5815940205872	34.5815940205872	34.5815940205872	34.5815940205872	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,33.95741835047304,33.95741835047304,33.95741835047304,33.95741835047304,33.95741835047304,34.2674856833407,34.2674856833407,34.2674856833407,34.2674856833407,34.2674856833407,34.2674856833407,34.2674856833407,34.5815940205872,34.5815940205872	0.9884013496026495	34.5815940205872	0	true	443
43	44	40	33	16731	56826	454608	0	0	82.99646311873776	82.99646311873776	82.99646311873776	82.99646311873776	-Infinity,29.67610775029377,30.504187778559157,30.504187778559157,30.504187778559157,30.504187778559157,32.17870017368161,32.17870017368161,32.17870017368161,32.17870017368161,32.17870017368161,32.17870017368161,32.17870017368161,32.17870017368161,32.17870017368161,32.17870017368161,32.17870017368161,32.17870017368161,32.17870017368161,32.99646599475197,32.99646599475197,32.99646599475197,32.99646599475197,32.99646599475197,32.99646599475197,32.99646599475197,32.99646599475197,32.99646599475197,32.99646599475197,32.99646599475197,32.99646599475197,82.99646311873776,82.99646311873776	0.9872632163823919	82.99646311873776	0	true	527
44	46	44	14	7315	24108	192864	0	0	84.66008533320831	84.66008533320831	84.66008533320831	84.66008533320831	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,84.32630907621967,84.32630907621967,84.32630907621967,84.66008533320831,84.66008533320831	0.9868232795490599	84.66008533320831	0	true	388
45	47	46	16	8080	27552	220416	0	0	83.81241669093814	83.81241669093814	83.81241669093814	83.81241669093814	82.55846620496573,82.55846620496573,82.6934113288978,82.6934113288978,83.81240780830476,83.81240780830476,83.81240780830476,83.81240780830476,83.81240780830476,83.81240780830476,83.81240780830476,83.81240780830476,83.81240780830476,83.81240780830476,83.81241669093814,83.81241669093814	0.9863590703387164	83.81241669093814	0	true	230
46	51	48	19	8882	32718	261744	0	0	83.27859316520424	83.27859316520424	83.27859316520424	83.27859316520424	-Infinity,-Infinity,-Infinity,-Infinity,80.79649829338041,82.47814545668697,82.47814545668697,82.47814545668697,82.47814545668697,82.47814545668697,82.47814545668697,82.47814545668697,82.47814545668697,82.47814545668697,82.47814545668697,82.47814545668697,82.47814545668697,83.27859316520424,83.27859316520424	0.9855526352344258	83.27859316520424	0	true	424
47	51	47	3	1330	5166	41328	0	0	83.97459289758208	83.97459289758208	83.97459289758208	83.97459289758208	81.97467652808231,83.97459289758208,83.97459289758208	0.9855203939143596	83.97459289758208	0	true	79
48	52	48	7	3247	12054	96432	0	0	85.42702860088639	85.42702860088639	85.42702860088639	85.42702860088639	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,85.42702860088639,85.42702860088639	0.985355312506854	85.42702860088639	0	true	108
