# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 23
# run: 5ddae290-0c07-4911-8365-5aac118ef26e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	472230	3777840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9963744964578416	-Infinity	7	true	851
26	15	15	100	53200	469260	3754080	0	0	-Infinity	-Infinity	-2039.7893429882843	-2039.7893429882843	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	4	true	611
27	15	15	100	52200	454410	3635280	0	0	-2036.8102080171234	-2036.8102080171234	-2034.0929427791789	-2034.0929427791789	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2038.0170295910902,-2038.0170295910902,-2038.0170295910902,-2038.0170295910902,-2038.0170295910902,-2038.0170295910902,-2038.0170295910902,-2038.0170295910902,-2038.0170295910902,-2038.0170295910902,-2038.0170295910902,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234,-2036.8102080171234	0.9960270797844731	-2036.8102080171234	4	true	463
28	16	16	100	51400	447876	3583008	0	0	-2043.7466958075713	-2043.7466958075713	-2035.0109789966068	-2035.0109789966068	-Infinity,-Infinity,-2052.1922454189216,-2052.1922454189216,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2052.2299324734104,-2047.6927627823238,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713,-2043.7466958075713	0.9955956967707507	-2043.7466958075713	7	true	448
29	16	16	100	47200	430056	3440448	0	0	-2037.7501605982418	-2037.7501605982418	-2032.3466388134505	-2032.3466388134505	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2040.6811160120392,-2037.7501605982418,-2037.7501605982418,-2037.7501605982418,-2037.7501605982418	0.9954268136656409	-2037.7501605982418	5	true	438
30	18	18	100	46600	431838	3454704	0	0	-1152.5944351078742	-1152.5944351078742	-1133.9793287627292	-1133.9793287627292	-Infinity,-Infinity,-Infinity,-1164.411703662187,-1158.5490376484756,-1153.4465839134418,-1153.4465839134418,-1153.4465839134418,-1153.4465839134418,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1159.0388104207138,-1156.0391403053486,-1156.0391403053486,-1154.3205853615277,-1154.3205853615277,-1154.3205853615277,-1154.3205853615277,-1154.3205853615277,-1154.3205853615277,-1154.3205853615277,-1154.3205853615277,-1154.3205853615277,-1154.3205853615277,-1154.3205853615277,-1154.3205853615277,-1154.3205853615277,-1154.3205853615277,-1154.3205853615277,-1154.3205853615277,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742,-1152.5944351078742	0.9952702129681755	-1152.5944351078742	6	true	423
31	18	18	100	45895	414018	3312144	0	0	-567.4442673975943	-562.7277050681489	-543.600986870841	-545.9358599009213	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-569.876374400398,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-566.6761475644073,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-564.7706365682395,-562.7277050681489,-567.4442673975943	0.9949686359947655	-562.7277050681489	10	true	397
32	18	18	100	45812	390258	3122064	0	0	-583.078856483646	-583.078856483646	-540.6210991877554	-540.6210991877554	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-591.6114632976656,-586.5665730836731,-586.5665730836731,-586.5665730836731,-583.078856483646,-583.078856483646,-583.078856483646,-583.078856483646,-583.078856483646,-583.078856483646,-583.078856483646,-583.078856483646,-583.078856483646,-583.078856483646,-583.078856483646,-583.078856483646,-583.078856483646	0.9947478816502295	-583.078856483646	13	true	411
33	20	20	100	46221	392040	3136320	0	0	-552.793560883702	-552.793560883702	-532.2402367837176	-532.2402367837176	-Infinity,-Infinity,-565.8103520721763,-565.8103520721763,-565.8103520721763,-565.8103520721763,-565.8103520721763,-565.8103520721763,-565.8103520721763,-567.1839329325625,-567.1839329325625,-567.1839329325625,-567.1839329325625,-567.1839329325625,-567.1839329325625,-567.1839329325625,-567.1839329325625,-567.1839329325625,-567.1839329325625,-567.1839329325625,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-563.9430544314732,-558.1044345272472,-558.1044345272472,-558.1044345272472,-554.6125438105049,-554.6125438105049,-554.6125438105049,-556.1644363749481,-556.1644363749481,-555.1004636054541,-555.1004636054541,-555.1004636054541,-552.793560883702,-552.793560883702,-552.793560883702,-552.793560883702,-552.793560883702,-552.793560883702,-552.793560883702,-552.793560883702,-552.793560883702,-552.793560883702,-552.793560883702,-552.793560883702,-552.793560883702,-552.793560883702,-552.793560883702	0.9940017253858359	-552.793560883702	9	true	377
34	22	22	100	46560	396792	3174336	0	0	-547.2110744914029	-545.4202202271889	-530.9276515045137	-530.909368449004	-Infinity,-Infinity,-559.6422464685345,-561.528305045565,-557.6435945771378,-557.6435945771378,-559.7053212287003,-559.7053212287003,-559.7053212287003,-554.6672294904943,-554.6672294904943,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-556.1147136575497,-551.398038719295,-551.398038719295,-551.398038719295,-551.398038719295,-551.398038719295,-547.1611770303398,-545.4202202271889,-545.4202202271889,-545.5588841001609,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-548.6134778846722,-550.6928486839964,-548.800450485552,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029,-547.2110744914029	0.9933979500076767	-545.4202202271889	9	true	475
