# solver: Greedy
# max_time: 300000
# main_solver: Greedy
# random.seed: 13
# run: 5f9e152f-a5bd-47eb-ad08-371fb927a02f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	0	0	0	0	0	-1367.136658525477	-1367.136658525477	-1165.0256319665734	-1165.0256319665734	-1367.136658525477	0.9960270797844731	-1367.136658525477	2	true	93
26	15	15	1	0	0	0	0	0	-1362.5196271166324	-1362.5196271166324	-1161.4797364423457	-1161.4797364423457	-1362.5196271166324	0.9960270797844731	-1362.5196271166324	2	true	14
27	16	16	1	0	0	0	0	0	-1361.3098777279156	-1361.3098777279156	-1158.5028772496128	-1158.5028772496128	-1361.3098777279156	0.9958381646573722	-1361.3098777279156	2	true	9
28	16	16	1	0	0	0	0	0	-1362.5178971460314	-1362.5178971460314	-1159.019658348661	-1159.019658348661	-1362.5178971460314	0.9955956967707507	-1362.5178971460314	3	true	9
29	17	17	1	0	0	0	0	0	-1411.123484795418	-1411.123484795418	-1156.6195577239032	-1156.6195577239032	-1411.123484795418	0.9952876130456717	-1411.123484795418	3	true	10
30	18	18	1	0	0	0	0	0	-1410.7681356626874	-1410.7681356626874	-1156.243256263885	-1156.243256263885	-1410.7681356626874	0.9952702129681755	-1410.7681356626874	3	true	10
31	18	18	1	0	0	0	0	0	-1164.4232144075195	-1164.4232144075195	-1156.0794889527504	-1156.0794889527504	-1164.4232144075195	0.9948854007501045	-1164.4232144075195	4	true	9
32	18	17	1	0	0	0	0	0	-1269.365083594237	-1269.365083594237	-1159.2937154412214	-1159.2937154412214	-1269.365083594237	0.9947978885956386	-1269.365083594237	5	true	10
33	20	20	1	0	0	0	0	0	-1267.3533765138613	-1267.3533765138613	-1156.3882498304804	-1156.3882498304804	-1267.3533765138613	0.9940017253858359	-1267.3533765138613	5	true	8
34	22	22	1	0	0	0	0	0	-1325.9026831007518	-1325.9026831007518	-1157.047725785295	-1157.047725785295	-1325.9026831007518	0.9933979500076767	-1325.9026831007518	7	true	9
35	23	23	1	0	0	0	0	0	-1324.3394547040716	-1324.3394547040716	-1056.1341355357868	-1056.1341355357868	-1324.3394547040716	0.9930914746931229	-1324.3394547040716	7	true	10
36	24	24	1	0	0	0	0	0	-1223.0813787086545	-1223.0813787086545	-1056.366272458499	-1056.366272458499	-1223.0813787086545	0.9927890204048807	-1223.0813787086545	6	true	8
37	26	26	1	0	0	0	0	0	-1172.2902633318386	-1172.2902633318386	-1055.1832977315676	-1055.1832977315676	-1172.2902633318386	0.9922360927321776	-1172.2902633318386	6	true	8
38	28	28	1	0	0	0	0	0	-1069.4964076656915	-1069.4964076656915	-1055.923859220465	-1055.923859220465	-1069.4964076656915	0.9911454807319727	-1069.4964076656915	5	true	8
39	28	28	1	0	0	0	0	0	-1068.0827164411623	-1068.0827164411623	-1054.9502145444137	-1054.9502145444137	-1068.0827164411623	0.9911454807319727	-1068.0827164411623	5	true	8
40	30	30	1	0	0	0	0	0	-1068.0292354877326	-1068.0292354877326	-1054.8985106566493	-1054.8985106566493	-1068.0292354877326	0.9909851514464726	-1068.0292354877326	5	true	8
41	30	30	1	0	0	0	0	0	-1067.9760306011622	-1067.9760306011622	-460.4732757403789	-460.4732757403789	-1067.9760306011622	0.9906075770757631	-1067.9760306011622	5	true	8
42	31	30	1	0	0	0	0	0	-1168.1948969371106	-1168.1948969371106	-460.54458869714256	-460.54458869714256	-1168.1948969371106	0.9904319313354925	-1168.1948969371106	5	true	8
43	32	32	1	0	0	0	0	0	-1167.284458632906	-1167.284458632906	-460.5087835243172	-460.5087835243172	-1167.284458632906	0.9902824953758197	-1167.284458632906	5	true	8
44	36	36	1	0	0	0	0	0	-1167.0386913246289	-1167.0386913246289	-459.4979821284779	-459.4979821284779	-1167.0386913246289	0.9897878360298579	-1167.0386913246289	5	true	8
45	39	39	1	0	0	0	0	0	-1167.4300512954183	-1167.4300512954183	-458.46630069188114	-458.46630069188114	-1167.4300512954183	0.9888521066522394	-1167.4300512954183	5	true	8
46	42	42	1	0	0	0	0	0	-1171.406850347222	-1171.406850347222	-458.88628614992643	-458.88628614992643	-1171.406850347222	0.9881868826810739	-1171.406850347222	6	true	11
47	46	45	1	0	0	0	0	0	-1169.3622152527525	-1169.3622152527525	-458.60714913896106	-458.60714913896106	-1169.3622152527525	0.9869485893508599	-1169.3622152527525	5	true	9
48	47	47	1	0	0	0	0	0	-1166.4917440865343	-1166.4917440865343	-458.01141028235685	-458.01141028235685	-1166.4917440865343	0.9868711297621742	-1166.4917440865343	5	true	10
49	48	48	1	0	0	0	0	0	-1067.0950159954502	-1067.0950159954502	-458.3695663508334	-458.3695663508334	-1067.0950159954502	0.9862535732301999	-1067.0950159954502	5	true	9
50	50	50	1	0	0	0	0	0	-1066.491431700066	-1066.491431700066	-457.73145818979145	-457.73145818979145	-1066.491431700066	0.9855632726767608	-1066.491431700066	5	true	10
51	53	51	1	0	0	0	0	0	-1067.9893756414733	-1067.9893756414733	-458.08594473310825	-458.08594473310825	-1067.9893756414733	0.9846575913321296	-1067.9893756414733	5	true	10
52	54	53	1	0	0	0	0	0	-Infinity	-Infinity	-1116.4916720098354	-1116.4916720098354	-Infinity	0.9843700513960272	-Infinity	5	true	3
53	54	54	1	0	0	0	0	0	-Infinity	-Infinity	-1116.7943051268155	-1116.7943051268155	-Infinity	0.9842007296335017	-Infinity	5	true	4
54	57	56	1	0	0	0	0	0	-Infinity	-Infinity	-1114.4138773778054	-1114.4138773778054	-Infinity	0.9838025383642462	-Infinity	4	true	4
55	62	60	1	0	0	0	0	0	-Infinity	-Infinity	-1115.5154517783844	-1115.5154517783844	-Infinity	0.982619296539724	-Infinity	5	true	4
56	63	61	1	0	0	0	0	0	-Infinity	-Infinity	-1119.4599928616542	-1119.4599928616542	-Infinity	0.9823855652466351	-Infinity	6	true	4
57	63	62	1	0	0	0	0	0	-Infinity	-Infinity	-1068.8673822734709	-1068.8673822734709	-Infinity	0.9810903195619276	-Infinity	6	true	4
58	64	62	1	0	0	0	0	0	-Infinity	-Infinity	-1068.0666170387776	-1068.0666170387776	-Infinity	0.9809907077737406	-Infinity	5	true	4
59	66	65	1	0	0	0	0	0	-Infinity	-Infinity	-1063.7062409704936	-1063.7062409704936	-Infinity	0.9803790731168803	-Infinity	3	true	4
60	68	67	1	0	0	0	0	0	-Infinity	-Infinity	-1061.4263160411085	-1061.4263160411085	-Infinity	0.9786045942053359	-Infinity	3	true	4
61	71	69	1	0	0	0	0	0	-Infinity	-Infinity	-1067.004583644726	-1067.004583644726	-Infinity	0.9776042725232308	-Infinity	5	true	3
62	77	73	1	0	0	0	0	0	-Infinity	-Infinity	-1066.7052426853174	-1066.7052426853174	-Infinity	0.9740140809030495	-Infinity	5	true	4
63	78	75	1	0	0	0	0	0	-Infinity	-Infinity	-1065.216067979018	-1065.216067979018	-Infinity	0.9731505472251265	-Infinity	5	true	4
64	78	75	1	0	0	0	0	0	-Infinity	-Infinity	-1114.4117627308083	-1114.4117627308083	-Infinity	0.9728488605873626	-Infinity	4	true	3
65	79	73	1	0	0	0	0	0	-Infinity	-Infinity	-1116.4019847566778	-1116.4019847566778	-Infinity	0.9718983630767434	-Infinity	5	true	4
66	81	76	1	0	0	0	0	0	-Infinity	-Infinity	-1115.8006248764534	-1115.8006248764534	-Infinity	0.9703685453388995	-Infinity	5	true	4
67	87	81	1	0	0	0	0	0	-Infinity	-Infinity	-1064.100637842477	-1064.100637842477	-Infinity	0.9684574611970962	-Infinity	4	true	4
68	88	81	1	0	0	0	0	0	-Infinity	-Infinity	-1064.9469400345597	-1064.9469400345597	-Infinity	0.9670868395464285	-Infinity	4	true	5
69	94	88	1	0	0	0	0	0	-Infinity	-Infinity	-1063.1519513778862	-1063.1519513778862	-Infinity	0.965495719434717	-Infinity	4	true	5
70	94	90	1	0	0	0	0	0	-Infinity	-Infinity	-1063.751446642256	-1063.751446642256	-Infinity	0.9645426265343874	-Infinity	4	true	4
71	96	89	1	0	0	0	0	0	-Infinity	-Infinity	-864.6532966983467	-864.6532966983467	-Infinity	0.9631871751193515	-Infinity	4	true	4
72	102	93	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9619905542436451	-Infinity	4	true	3
73	107	97	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9604137270527342	-Infinity	3	true	3
74	111	101	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9568380111272766	-Infinity	3	true	3
75	118	106	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9555472616810816	-Infinity	4	true	3
76	120	109	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9548237693831748	-Infinity	3	true	4
77	122	110	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9534380871612286	-Infinity	3	true	3
78	126	115	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9528788355107801	-Infinity	3	true	4
79	131	118	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9509926086225429	-Infinity	3	true	3
80	140	128	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9484453615633754	-Infinity	3	true	3
81	150	136	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9451337905118407	-Infinity	3	true	4
82	155	141	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9415898772490338	-Infinity	2	true	4
83	156	141	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9403777205898486	-Infinity	2	true	3
