# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 23
# run: 609e4a95-de9d-4e7a-a03e-787c38ccce69
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	26	12913	24180	193440	0	0	-102.0760440383182	-102.0760440383182	-102.0760440383182	-102.0760440383182	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-108.01084209101802,-106.04314309858849,-106.04314309858849,-104.96827070076462,-104.96827070076462,-104.96827070076462,-104.96827070076462,-104.96827070076462,-104.96827070076462,-104.96827070076462,-104.95575599227635,-104.04174586199244,-104.04174586199244,-104.04174586199244,-104.04174586199244,-102.0760440383182,-102.0760440383182	0.9963744964578416	-102.0760440383182	0	true	536
26	15	15	2	907	1860	14880	0	0	-96.01406507820194	-96.01406507820194	-96.01406507820194	-96.01406507820194	-96.01406507820194,-96.01406507820194	0.9960270797844731	-96.01406507820194	0	true	59
27	15	15	1	439	930	7440	0	0	-94.35617927380824	-94.35617927380824	-94.35617927380824	-94.35617927380824	-94.35617927380824	0.9960270797844731	-94.35617927380824	0	true	47
28	16	16	7	3159	6510	52080	0	0	3.6062271257066345	3.6062271257066345	3.6062271257066345	3.6062271257066345	-Infinity,2.40617811883045,2.40617811883045,2.40617811883045,2.40617811883045,3.6062271257066345,3.6062271257066345	0.9955956967707507	3.6062271257066345	0	true	94
29	16	16	30	13470	27900	223200	0	0	5.020282024035115	5.020282024035115	5.020282024035115	5.020282024035115	-45.876714229472356,-45.876714229472356,-45.876714229472356,-45.876714229472356,-45.876714229472356,-45.876714229472356,-45.876714229472356,-45.876714229472356,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,-44.97971771125584,5.020282024035115,5.020282024035115	0.9954268136656409	5.020282024035115	0	true	279
30	18	18	9	4158	8370	66960	0	0	9.305516511455966	9.305516511455966	9.305516511455966	9.305516511455966	6.7893331611642065,6.7893331611642065,7.657510216593204,7.657510216593204,7.657510216593204,7.657510216593204,7.657510216593204,9.305516511455966,9.305516511455966	0.9952702129681755	9.305516511455966	0	true	111
31	18	18	7	3147	6510	52080	0	0	-40.29887168117423	-40.29887168117423	-40.29887168117423	-40.29887168117423	-90.2988679068139,-90.2988679068139,-90.2988679068139,-90.2988679068139,-90.2988679068139,-40.29887168117423,-40.29887168117423	0.9949686359947655	-40.29887168117423	0	true	80
32	18	18	1	439	930	7440	0	0	-44.27068130574423	-44.27068130574423	-44.27068130574423	-44.27068130574423	-44.27068130574423	0.9947478816502295	-44.27068130574423	0	true	35
33	20	20	10	4510	9300	74400	0	0	-43.288431941809286	-43.288431941809286	-43.288431941809286	-43.288431941809286	-43.658969726889715,-43.658969726889715,-43.658969726889715,-43.658969726889715,-45.1907768391981,-45.1907768391981,-45.1907768391981,-45.1907768391981,-43.288431941809286,-43.288431941809286	0.9940017253858359	-43.288431941809286	0	true	110
34	23	23	43	20167	39990	319920	0	0	-41.17990063154125	-41.17990063154125	-41.17990063154125	-41.17990063154125	-98.36935282785632,-94.76369405619937,-94.1973074454457,-93.38446023199678,-93.38446023199678,-93.38446023199678,-93.38446023199678,-93.38446023199678,-93.38446023199678,-93.38446023199678,-93.38446023199678,-93.38446023199678,-92.63378393167659,-92.63378393167659,-92.63378393167659,-92.63378393167659,-92.63378393167659,-92.63378393167659,-92.63378393167659,-91.86296641547963,-91.86296641547963,-91.86296641547963,-91.86296641547963,-91.86296641547963,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.86296983738213,-41.17990063154125,-41.17990063154125	0.9931903919404012	-41.17990063154125	0	true	453
