# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 10
# run: 6107f194-a946-47c2-b30f-c2840c0891fb
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	73000	533016	4264128	0	0	-614.4514921000718	-614.4514921000718	-7.7366440444480284	-7.7366440444480284	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1668.7700014562886,-1668.7700014562886,-1668.7700014562886,-1668.7700014562886,-1668.7700967952053,-1068.7701315120296,-1068.7701315120296,-868.7702014069257,-868.7702014069257,-868.7702014069257,-868.7702014069257,-868.7702014069257,-868.7702014069257,-868.7702014069257,-868.7702014069257,-868.7702014069257,-868.7702014069257,-868.7702014069257,-868.7702014069257,-1468.7703203480953,-1468.7703203480953,-968.7704646795551,-968.7704646795551,-968.7704646795551,-968.7704646795551,-968.7704646795551,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-968.7708054223807,-1173.9078956075534,-1173.9078956075534,-1173.9078956075534,-1173.9078956075534,-1173.9078956075534,-1173.9078956075534,-1173.9078956075534,-1168.8077841502222,-1164.1988851440092,-1164.1988851440092,-1165.4770667150253,-1163.4766496340662,-1163.4766496340662,-1163.4766496340662,-1163.4766496340662,-1163.4766496340662,-1163.4766496340662,-1163.4766496340662,-1163.4766496340662,-1163.4766496340662,-1163.4766496340662,-1163.4766496340662,-1170.1864912689234,-1182.3508869131992,-1182.3508869131992,-987.6115439736263,-800.1982313382148,-707.1367329874962,-614.4514921000718,-614.4514921000718,-614.4514921000718,-614.4514921000718,-614.4514921000718	0.9960270797844731	-614.4514921000718	13	true	1088
26	15	15	100	73000	530838	4246704	0	0	-608.9127046909501	-582.59118952104	-2.2873557789308325	-1.648794296170748	-Infinity,-Infinity,-Infinity,-Infinity,-966.5933335371203,-966.5934075186519,-966.5934075186519,-966.5934075186519,-966.5934075186519,-966.5934075186519,-966.5934075186519,-966.5934075186519,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-966.5937006882621,-1067.8888589754208,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-1171.0010817493958,-582.59118952104,-594.8213858984466,-594.8213858984466,-594.8213858984466,-594.8213858984466,-594.8213858984466,-608.9127046909501,-608.9127046909501,-608.9127046909501,-608.9127046909501,-608.9127046909501,-608.9127046909501,-608.9127046909501,-608.9127046909501	0.9960270797844731	-582.59118952104	9	true	604
27	16	16	100	75600	543708	4349664	0	0	-580.1076144367237	-364.34822204211173	3.0425393218705548	3.8870480794535816	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-964.3478913710145,-364.34822204211173,-364.34822204211173,-364.34822204211173,-364.34822204211173,-364.34822204211173,-364.34822204211173,-364.34822204211173,-364.34822204211173,-364.34822204211173,-465.48888660331596,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-568.4608823323406,-569.9530865102072,-580.1076144367237,-580.1076144367237,-580.1076144367237,-580.1076144367237,-580.1076144367237,-580.1076144367237,-580.1076144367237,-580.1076144367237,-580.1076144367237,-580.1076144367237,-580.1076144367237,-580.1076144367237,-580.1076144367237,-580.1076144367237,-580.1076144367237	0.9958381646573722	-364.34822204211173	7	true	538
28	16	16	100	78400	523512	4188096	0	0	-366.78041660583443	-366.78041660583443	52.540288981225075	52.540288981225075	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-567.2580619899534,-367.2583331871647,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-369.8532016575805,-471.67140443187657,-471.67140443187657,-465.07660947413933,-465.07660947413933,-568.7101080017851,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-566.7803582147134,-366.78041660583443,-366.78041660583443,-366.78041660583443,-366.78041660583443,-366.78041660583443,-366.78041660583443,-366.78041660583443,-366.78041660583443	0.9955956967707507	-366.78041660583443	7	true	466
29	17	17	100	79600	538956	4311648	0	0	-365.0913824633374	-360.9993677718352	53.65327182761108	1.5805077724409915	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-560.9991562095872,-560.9991562095872,-560.9991562095872,-560.9991562095872,-560.9991562095872,-560.9991562095872,-560.9991562095872,-560.9991562095872,-560.9991562095872,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-360.9993677718352,-363.9750460398455,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-573.4049356846847,-570.808384383022,-570.0767321151661,-570.0767321151661,-570.0767321151661,-566.9016539723283,-566.9016539723283,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-565.0913571171312,-365.0913824633374,-365.0913824633374,-365.0913824633374,-365.0913824633374,-365.0913824633374,-365.0913824633374,-365.0913824633374,-365.0913824633374,-365.0913824633374	0.9952876130456717	-360.9993677718352	5	true	642
30	18	18	100	72800	522918	4183344	0	0	-Infinity	-157.21533164872997	-7.944235053668085	51.84893607806757	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-376.8292534342929,-376.8292534342929,-376.8292534342929,-376.8292534342929,-284.0393024015957,-191.6079360316224,-191.6080898357933,-191.6080898357933,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-178.98174844229646,-377.6249979754895,-377.6249979754895,-377.6249979754895,-377.6249979754895,-377.6249979754895,-377.6249979754895,-383.93451545641193,-383.93451545641193,-383.93451545641193,-383.93451545641193,-383.93451545641193,-383.93451545641193,-383.93451545641193,-382.57881390924024,-382.57881390924024,-368.97232214980744,-368.97232214980744,-368.97232214980744,-368.97232214980744,-368.97232214980744,-368.97232214980744,-368.97232214980744,-368.97232214980744,-368.97232214980744,-368.97232214980744,-368.97232214980744,-366.8097093183991,-374.1463625964084,-874.146391855128,-874.146391855128,-874.146391855128,-874.146391855128,-874.146391855128,-874.146391855128,-365.7766274586333,-365.7766274586333,-365.7766274586333,-365.7766274586333,-365.7766274586333,-365.7766274586333,-365.7766274586333,-365.7766274586333,-365.7766274586333,-365.7766274586333,-365.7766274586333,-365.7766274586333,-365.7766274586333,-365.7766274586333,-365.7766274586333,-365.7766274586333,-365.7766274586333,-165.77710764813892,-165.77710764813892,-157.21533164872997,-157.306080406333,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952702129681755	-157.21533164872997	5	true	534
31	18	18	100	64000	501930	4015440	0	0	54.79308492691219	54.79308492691219	55.493445533096896	55.493445533096896	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,19.275667342611932,19.275667342611932,19.275667342611932,19.27542294133473,19.27542294133473,19.27542294133473,19.27542294133473,19.27542294133473,19.27542294133473,19.27542294133473,19.27542294133473,19.27542294133473,19.27542294133473,19.27542294133473,19.27542294133473,19.27542294133473,19.27542294133473,19.27542294133473,19.27542294133473,19.27542294133473,18.52427785527643,18.52427785527643,18.52427785527643,18.52427785527643,18.52427785527643,18.52427785527643,18.52427785527643,17.42908373760683,17.42908373760683,19.94125695708871,19.94125695708871,27.278094475579294,46.65889012902457,46.65889012902457,46.65889012902457,46.65889012902457,47.80079183891794,47.80079183891794,47.80079183891794,47.80079183891794,47.80079183891794,47.80079183891794,47.80079183891794,47.80079183891794,47.80079183891794,47.80079183891794,47.80079183891794,47.800797765367726,47.800797765367726,47.800797765367726,47.800797765367726,47.800797765367726,47.800797765367726,47.800797765367726,47.800797765367726,47.800797765367726,47.800797765367726,46.65889605547436,46.65889605547436,40.76184824629564,40.76184824629564,42.80267362630124,42.80267362630124,42.80267362630124,42.80267362630124,41.90374995618902,41.90374995618902,41.90374995618902,41.90374995618902,41.90374995618902,41.90374995618902,41.889327624995175,-158.12570605780786,-158.12570605780786,47.77134175137081,51.66107147876498,54.79308492691219,54.79308492691219,54.79308492691219,54.79308492691219,54.79308492691219,54.79308492691219,54.79308492691219,54.79308492691219,54.79308492691219,54.79308492691219	0.9948854007501045	54.79308492691219	1	true	418
32	18	18	100	63600	500940	4007520	0	0	50.83397047181391	50.834129665433835	54.73931933837127	54.73931933837127	-Infinity,-Infinity,-Infinity,15.078296316741092,15.078296316741092,15.078296316741092,15.078229783645273,15.078087304116568,15.078087304116568,15.077824544077348,15.077824544077348,15.077824544077348,15.077824544077348,15.077824544077348,15.077824544077348,15.077824544077348,15.077824544077348,15.077824544077348,15.047466445961941,15.047466445961941,15.062881299520694,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,14.293151119333697,17.437465575280058,17.437465575280058,21.665985472757882,21.665985472757882,21.665985472757882,21.665985472757882,35.8051171855429,42.78873719750678,42.78873719750678,42.78873719750678,42.78873719750678,42.78873719750678,42.78873719750678,42.78873719750678,42.78873719750678,42.78873719750678,42.78873719750678,42.78873719750678,42.78873719750678,42.78873719750678,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,48.60241631941719,45.091819944720385,45.091819944720385,45.091819944720385,48.60241631941719,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,50.834129665433835,50.83397047181391,50.83397047181391,50.83397047181391,50.83397047181391,50.83397047181391,50.83397047181391,50.83397047181391,50.83397047181391,50.83397047181391,50.83397047181391,50.83397047181391,50.83397047181391,50.83397047181391	0.9947478816502295	50.834129665433835	3	true	509
33	21	21	100	64200	528462	4227696	0	0	33.58335327382807	52.07206604600343	60.501303922399096	60.48308631052021	-Infinity,-Infinity,-171.36035916424868,28.639636631715476,28.639572488813954,28.639572488813954,28.639572488813954,26.227481962048245,22.14558260820018,22.145318578815086,22.11460576692088,15.482551707205872,15.482551707205872,15.482551707205872,15.482551707205872,15.482551707205872,15.482551707205872,15.482551707205872,15.482551707205872,15.482551707205872,15.482551707205872,15.482551707205872,15.482551707205872,15.482551707205872,14.725730839655235,14.725730839655235,14.725730839655235,14.725730839655235,14.725730839655235,14.725730839655235,14.725730839655235,14.725730839655235,14.725730839655235,14.725730839655235,14.725730839655235,14.725730839655235,14.725730839655235,14.725730839655235,10.959191055564844,10.959191055564844,10.959191055564844,10.959191055564844,10.959191055564844,10.959191055564844,4.09484061030021,4.09484061030021,4.09484061030021,4.09484061030021,10.178523667016478,10.178523667016478,10.178523667016478,2.909818139890575,2.909818139890575,18.913831935089313,28.82714504851305,28.82714504851305,28.82714504851305,28.82714504851305,28.82714504851305,28.82714504851305,28.82714504851305,28.82714504851305,28.82714504851305,34.74169702629166,34.74169702629166,34.74169702629166,34.74169702629166,34.74169702629166,40.21382404328128,40.21382404328128,49.61327823888374,49.61327823888374,49.61327823888374,49.61327823888374,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,52.07206604600343,44.87484061465939,33.58335327382807,33.58335327382807,33.58335327382807,33.58335327382807	0.9937941673185605	52.07206604600343	3	true	551
34	23	23	100	83877	521334	4170672	0	0	38.61548268834479	49.19361397366619	59.702184662004534	59.70443373549722	-Infinity,-Infinity,-169.82457360188772,30.175372241775747,30.175372241775747,30.175372241775747,30.175372241775747,30.175349825878442,30.175151677150822,30.175151677150822,30.175151677150822,30.175151677150822,30.175151677150822,30.175151677150822,30.175151677150822,30.175151677150822,29.43681708954412,26.803130621899747,26.803130621899747,26.803130621899747,26.803130621899747,24.56638659891447,24.56638659891447,24.56638659891447,24.56638659891447,24.56638659891447,11.214427398992816,11.214427398992816,11.214427398992816,11.214427398992816,11.214427398992816,16.2828597138735,16.2828597138735,16.2828597138735,16.2828597138735,16.2828597138735,15.737915635777702,15.737915635777702,15.737915635777702,19.942035199034482,19.942035199034482,19.942035199034482,19.942035199034482,19.942035199034482,19.942035199034482,19.942035199034482,19.942035199034482,26.83953831655754,33.29399439895613,33.29399439895613,33.29399439895613,33.29399439895613,33.29399439895613,33.29399439895613,33.29399439895613,33.29399439895613,37.033743387587535,38.90348414849623,38.90348414849623,38.90348414849623,44.68809294720043,44.68809294720043,44.68809294720043,44.68809294720043,44.68809294720043,44.68809294720043,44.68809294720043,44.68809294720043,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.91389238085873,44.882100091845004,44.882100091845004,44.882100091845004,49.19361397366619,49.19361397366619,49.19361397366619,49.19361397366619,49.19361397366619,44.89568031561922,39.84175758862926,44.509665044782544,38.61548268834479,38.61548268834479,38.61548268834479	0.9931903919404012	49.19361397366619	3	true	631
