# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 18
# run: 617708f9-1f2b-47df-9ce4-4b6e55541381
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	12	12	100	54994	601128	4809024	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9974600273429788	-Infinity	13	false	1334
26	13	13	100	55200	603702	4829616	0	0	-Infinity	-Infinity	-2442.2306811831427	-2442.2306811831427	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9973879413076377	-Infinity	11	false	1212
27	14	14	100	55261	590436	4723488	0	0	-Infinity	-Infinity	-2484.790186321519	-2484.790186321519	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9968457241868389	-Infinity	9	true	1048
28	15	15	100	55572	577170	4617360	0	0	-Infinity	-Infinity	-2488.903717929629	-2488.903717929629	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	11	true	779
29	15	15	100	55516	549450	4395600	0	0	-1437.5903705814312	-1437.5903705814312	-1431.8924082077754	-1431.8924082077754	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1452.3130697427177,-1452.3130697427177,-1452.3130697427177,-1452.3130697427177,-1452.3130697427177,-1452.3130697427177,-1452.3130697427177,-1442.255566561448,-1442.255566561448,-1442.255566561448,-1442.255566561448,-1442.255566561448,-1442.255566561448,-1442.255566561448,-1451.5853167087132,-1451.5853167087132,-1451.5853167087132,-1451.5853167087132,-1451.5853167087132,-1451.5853167087132,-1451.5853167087132,-1437.5903705814312	0.9960270797844731	-1437.5903705814312	8	true	724
30	15	15	100	55539	525690	4205520	0	0	-1042.0270754945777	-1039.1157676240994	-1030.0574767634985	-1030.2565018146238	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1055.9982581445265,-1055.9982581445265,-1055.9982581445265,-1041.6457455531147,-1041.6457455531147,-1041.6457455531147,-1041.6457455531147,-1041.6457455531147,-1041.6457455531147,-1041.6457455531147,-1041.6457455531147,-1041.6457455531147,-1041.6457455531147,-1041.6457455531147,-1041.6457455531147,-1041.6457455531147,-1039.1157676240994,-1039.1157676240994,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777,-1042.0270754945777	0.9960270797844731	-1039.1157676240994	10	true	862
31	15	15	100	55495	497970	3983760	0	0	-639.9179964675762	-639.9179964675762	-629.7068351098318	-629.7068351098318	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-661.4615080479268,-657.0349481270569,-657.0349481270569,-644.33290594487,-644.33290594487,-644.33290594487,-644.33290594487,-644.33290594487,-644.33290594487,-644.33290594487,-644.33290594487,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-642.9809653680816,-641.5733027067971,-641.5733027067971,-641.5733027067971,-641.5733027067971,-641.5733027067971,-641.5733027067971,-639.9179964675762,-639.9179964675762,-639.9179964675762,-639.9179964675762,-639.9179964675762,-639.9179964675762,-639.9179964675762,-639.9179964675762,-639.9179964675762,-639.9179964675762,-639.9179964675762,-639.9179964675762,-639.9179964675762	0.9960270797844731	-639.9179964675762	11	true	796
32	15	14	100	55278	471636	3773088	0	0	-665.7326998955202	-665.7326998955202	-641.7594782927828	-641.7594782927828	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-665.7326998955202,-665.7326998955202,-665.7326998955202,-665.7326998955202,-665.7326998955202,-665.7326998955202,-665.7326998955202,-665.7326998955202,-665.7326998955202	0.9956571819185417	-665.7326998955202	14	false	609
33	15	13	100	55105	445302	3562416	0	0	-658.5319153550263	-658.5319153550263	-646.1279828348723	-646.1279828348723	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-674.3765392236347,-673.216377411342,-673.216377411342,-673.216377411342,-673.216377411342,-673.216377411342,-673.216377411342,-673.216377411342,-673.216377411342,-673.216377411342,-673.216377411342,-673.216377411342,-667.7133744115009,-667.7133744115009,-667.7133744115009,-659.7267482303865,-658.5319153550263,-658.5319153550263,-658.5319153550263	0.9956981963869254	-658.5319153550263	14	false	588
34	18	16	100	55727	456984	3655872	0	0	-637.2188115244492	-636.9648490114394	-626.0067318433246	-626.0067318433246	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-640.8586341493161,-640.8586341493161,-640.8586341493161,-639.5076773335724,-639.5076773335724,-639.5076773335724,-639.5076773335724,-639.5076773335724,-639.5076773335724,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-636.9648490114394,-636.9648490114394,-636.9648490114394,-636.9648490114394,-636.9648490114394,-636.9648490114394,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492,-637.2188115244492	0.9953526805623589	-636.9648490114394	12	true	536
